vot_parCodigo,vot_proCodigoProvincia,parDenominacion
0008,01,FEDERAL                                                                                             
0022,01,HUMANISTA                                                                                           
0079,01,RENOVADOR FEDERAL                                                                                   
0083,01,"MOVIMIENTO POLITICO, SOCIAL Y CULTURAL PROYECTO SUR                                                 "
0178,01,ACCION CIUDADANA                                                                                    
0185,01,SOCIALISTA AUTENTICO                                                                                
0187,01,AUTODETERMINACION Y LIBERTAD                                                                        
0262,01,EL MOVIMIENTO                                                                                       
0327,01,BANDERA VECINAL                                                                                     
0503,01,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                           
0515,01,AVANCEMOS HACIA 1PAIS MEJOR                                                                         
0525,01,CONVOCATORIA ABIERTA POR BUENOS AIRES                                                               
0531,01,EVOLUCION                                                                                           
0567,01,IZQUIERDA AL FRENTE POR EL SOCIALISMO                                                               
0576,01,UNIDAD PORTEÑA                                                                                      
0580,01,VAMOS JUNTOS                                                                                        
0008,02,FEDERAL                                                                                             
0022,02,HUMANISTA                                                                                           
0259,02,DEL CAMPO POPULAR                                                                                   
0268,02,MOVIMIENTO AMPLIO DE TRABAJADORES Y JUBILADOS                                                       
0298,02,TODOS POR BUENOS AIRES                                                                              
0301,02,PATRIA GRANDE                                                                                       
0309,02,MOVIMIENTO ORGANIZACION DEMOCRATICA                                                                 
0503,02,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                           
0511,02,1PAIS                                                                                               
0518,02,CAMBIEMOS BUENOS AIRES                                                                              
0526,02,CREO                                                                                                
0527,02,ENCUENTRO POPULAR POR TIERRA TECHO Y TRABAJO                                                        
0546,02,FRENTE JUSTICIALISTA                                                                                
0552,02,FRENTE PATRIOTA BANDERA VECINAL                                                                     
0561,02,FRENTE SOCIALISTA Y POPULAR                                                                         
0567,02,IZQUIERDA AL FRENTE POR EL SOCIALISMO                                                               
0574,02,UNIDAD CIUDADANA                                                                                    
0033,03,NACIONALISTA CONSTITUCIONAL -  UNIR                                                                 
0194,03,OBRERO                                                                                              
0215,03,RENACER POLITICO Y SOCIAL                                                                           
0216,03,MOVIMIENTO AUTENTICO POPULAR                                                                        
0542,03,FRENTE CIVICO Y SOCIAL - CAMBIEMOS                                                                  
0544,03,FRENTE DE UNIDAD CIUDADANA                                                                          
0547,03,FRENTE JUSTICIALISTA PARA LA VICTORIA                                                               
0022,04,HUMANISTA                                                                                           
0069,04,GEN                                                                                                 
0201,04,PRIMERO LA GENTE                                                                                    
0217,04,ENCUENTRO VECINAL CORDOBA                                                                           
0231,04,POLITICA ABIERTA PARA LA INTEGRIDAD SOCIAL                                                          
0502,04,CAMBIEMOS                                                                                           
0503,04,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                           
0543,04,FRENTE CORDOBA CIUDADANA                                                                            
0567,04,IZQUIERDA AL FRENTE POR EL SOCIALISMO                                                               
0570,04,SOMOS                                                                                               
0578,04,UNION POR CORDOBA                                                                                   
0038,05,MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES                                                           
0072,05,INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR                                                         
0082,05,COMPROMISO FEDERAL                                                                                  
0528,05,ENCUENTRO POR CORRIENTES - ECO + CAMBIEMOS                                                          
0557,05,FRENTE RENOVADOR - 1PAIS                                                                            
0568,05,JUNTOS PODEMOS MAS                                                                                  
0571,05,SOMOS CORRIENTES                                                                                    
0033,06,NACIONALISTA CONSTITUCIONAL -  UNIR                                                                 
