vot_parCodigo,vot_proCodigoProvincia,parDenominacion
0187,01,AUTODETERMINACION Y LIBERTAD                                                                        
0501,01,FRENTE PARA LA VICTORIA                                                                             
0502,01,UNEN                                                                                                
0503,01,UNION PRO                                                                                           
0505,01,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                           
0506,01,CAMINO POPULAR                                                                                      
0501,02,FRENTE PARA LA VICTORIA                                                                             
0505,02,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                           
0507,02,UNIDOS POR LA LIBERTAD Y EL TRABAJO                                                                 
0510,02,FRENTE RENOVADOR                                                                                    
0513,02,UNION CON FE                                                                                        
0514,02,FRENTE PROGRESISTA CIVICO Y SOCIAL                                                                  
0014,03,PARTIDO OBRERO                                                                                      
0501,03,FRENTE PARA LA VICTORIA                                                                             
0508,03,FRENTE CIVICO Y SOCIAL                                                                              
0509,03,FRENTE TERCERA POSICION (F3P) UNIDAD CATAMARQUEÑA                                                   
0003,04,UNION CIVICA RADICAL                                                                                
0047,04,COALICION CIVICA - AFIRMACION PARA UNA REPUBLICA IGUALITARIA (ARI)                                  
0191,04,VECINALISMO INDEPENDIENTE                                                                           
0217,04,ENCUENTRO VECINAL CORDOBA                                                                           
0501,04,FRENTE PARA LA VICTORIA                                                                             
0503,04,UNION PRO                                                                                           
0505,04,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                           
0512,04,UNION POR CORDOBA                                                                                   
0514,04,FRENTE PROGRESISTA CIVICO Y SOCIAL                                                                  
0501,05,FRENTE PARA LA VICTORIA                                                                             
0516,05,CAMBIO POPULAR                                                                                      
0517,05,ENCUENTRO POR CORRIENTES                                                                            
0014,06,PARTIDO OBRERO                                                                                      
0501,06,FRENTE PARA LA VICTORIA                                                                             
0519,06,UNION POR CHACO                                                                                     
0003,07,UNION CIVICA RADICAL                                                                                
0038,07,MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES (MST)                                                     
0047,07,COALICION CIVICA - AFIRMACION PARA UNA REPUBLICA IGUALITARIA (ARI)                                  
0152,07,MOVIMIENTO POLO SOCIAL LA TERCERA POSICION DE LA GENTE                                              
0157,07,PARTIDO DE ACCION CHUBUTENSE                                                                        
0501,07,FRENTE PARA LA VICTORIA                                                                             
0003,08,UNION CIVICA RADICAL                                                                                
0068,08,NUEVA IZQUIERDA                                                                                     
0501,08,FRENTE PARA LA VICTORIA                                                                             
0545,08,ALIANZA UNION POR ENTRE RIOS                                                                        
0546,08,ALIANZA FRENTE AMPLIO PROGRESISTA                                                                   
0014,09,PARTIDO OBRERO                                                                                      
0501,09,FRENTE PARA LA VICTORIA                                                                             
0521,09,FRENTE AMPLIO FORMOSEÑO                                                                             
0068,10,NUEVA IZQUIERDA                                                                                     
0208,10,PARTIDO POR UN PUEBLO UNIDO                                                                         
0501,10,FRENTE PARA LA VICTORIA                                                                             
0505,10,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                           
0522,10,FRENTE JUJEÑO                                                                                       
0523,10,FRENTE UNION PRO                                                                                    
0524,10,FRENTE PRIMERO JUJUY                                                                                
0002,11,PARTIDO JUSTICIALISTA                                                                               
0022,11,PARTIDO HUMANISTA                                                                                   
0184,11,PUEBLO NUEVO                                                                                        
0190,11,PARTIDO DE LOS TRABAJADORES SOCIALISTAS                                                             
0525,11,FRENTE PAMPEANO CIVICO Y SOCIAL - FREPAM                                                            
0526,11,FRENTE PROPUESTA FEDERAL                                                                            
0061,12,IZQUIERDA POR UNA OPCION SOCIALISTA                                                                 
0501,12,FRENTE PARA LA VICTORIA                                                                             
0504,12,COMPROMISO FEDERAL                                                                                  
0548,12,FUERZA CIVICA RIOJANA                                                                               
0549,12,FRENTE NUEVO PACTO FEDERAL                                                                          
0003,13,UNION CIVICA RADICAL                                                                                
0501,13,FRENTE PARA LA VICTORIA                                                                             
0504,13,COMPROMISO FEDERAL                                                                                  
0505,13,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                           
0527,13,UNION PD-PRO                                                                                        
0528,13,FRENTE AMPLIO PROGRESISTA-COALICION CIVICA-ARI                                                      
0003,14,UNION CIVICA RADICAL                                                                                
0050,14,PARTIDO SOCIALISTA                                                                                  
0501,14,FRENTE PARA LA VICTORIA                                                                             
0529,14,FRENTE RENOVADOR DE LA CONCORDIA                                                                    
0531,14,FRENTE UNIDOS                                                                                       
0023,15,UNION POPULAR                                                                                       
0040,15,MOVIMIENTO LIBRES DEL SUR                                                                           
0153,15,MOVIMIENTO POPULAR NEUQUINO                                                                         
0166,15,UNION DE LOS NEUQUINOS                                                                              
0501,15,FRENTE PARA LA VICTORIA                                                                             
0505,15,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                           
0532,15,COMPROMISO CIVICO NEUQUINO                                                                          
0533,15,FRENTE PROGRESISTA SUR                                                                              
0003,16,UNION CIVICA RADICAL                                                                                
0014,16,PARTIDO OBRERO                                                                                      
0501,16,FRENTE PARA LA VICTORIA                                                                             
0534,16,ALIANZA FRENTE PROGRESISTA                                                                          
0002,17,PARTIDO JUSTICIALISTA                                                                               
0014,17,PARTIDO OBRERO                                                                                      
0038,17,MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES (MST)                                                     
0054,17,PARTIDO DE LA VICTORIA                                                                              
0060,17,MOVIMIENTO INDEPENDIENTE JUSTICIA Y DIGNIDAD                                                        
0155,17,PARTIDO RENOVADOR DE SALTA                                                                          
