vot_parCodigo,vot_proCodigoProvincia,parDenominacion
0503,02,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                           
0511,02,1PAIS                                                                                               
0518,02,CAMBIEMOS BUENOS AIRES                                                                              
0546,02,FRENTE JUSTICIALISTA                                                                                
0574,02,UNIDAD CIUDADANA                                                                                    
0194,09,OBRERO                                                                                              
0505,09,FRENTE DE LA VICTORIA                                                                               
0532,09,FRENTE AMPLIO FORMOSEÑO CAMBIEMOS                                                                   
0038,10,MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES                                                           
0210,10,MOVIMIENTO INTEGRACION LATINOAMERICANA DE EXPRESION SOCIAL                                          
0503,10,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                           
0545,10,FRENTE JUJEÑO CAMBIEMOS                                                                             
0546,10,FRENTE JUSTICIALISTA                                                                                
0558,10,FRENTE RENOVADOR 1PAIS                                                                              
0159,12,MOVIMIENTO NORTE GRANDE                                                                             
0503,12,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                           
0514,12,ALTERNATIVA POPULAR RIOJANA                                                                         
0517,12,CAMBIEMOS - FUERZA CIVICA RIOJANA                                                                   
0549,12,FRENTE JUSTICIALISTA RIOJANO                                                                        
0567,12,IZQUIERDA AL FRENTE POR EL SOCIALISMO                                                               
0023,14,UNION POPULAR                                                                                       
0071,14,DEL OBRERO                                                                                          
0072,14,INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR                                                         
0165,14,NUEVO OCTUBRE                                                                                       
0184,14,AGRARIO Y SOCIAL                                                                                    
0534,14,FRENTE AVANCEMOS                                                                                    
0535,14,FRENTE CAMBIEMOS                                                                                    
0559,14,FRENTE RENOVADOR DE LA CONCORDIA                                                                    
0182,18,ADN - ACCION POR UNA DEMOCRACIA NUEVA                                                               
0186,18,NUEVA IZQUIERDA                                                                                     
0512,18,1 PAIS SOMOS SAN JUAN                                                                               
0522,18,CAMBIEMOS SAN JUAN                                                                                  
0556,18,FRENTE PROGRESISTA POPULAR                                                                          
0564,18,FRENTE TODOS                                                                                        
0070,19,DE TRABAJADORES POR EL SOCIALISMO                                                                   
0516,19,AVANZAR Y CAMBIEMOS POR SAN LUIS                                                                    
0565,19,FRENTE UNIDAD JUSTICIALISTA SAN LUIS                                                                
0083,20,"MOVIMIENTO POLITICO, SOCIAL Y CULTURAL PROYECTO SUR                                                 "
0176,20,FRENTE RENOVADOR AUTENTICO                                                                          
0501,20,FRENTE PARA LA VICTORIA                                                                             
0504,20,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES - PARTIDO OBRERO + IZQUIERDA POR UNA OPCION SOCIALISTA    
0567,20,IZQUIERDA AL FRENTE POR EL SOCIALISMO                                                               
0577,20,UNION PARA VIVIR MEJOR - CAMBIEMOS                                                                  
