parDenominacion,vot_parCodigo,vot_proCodigoProvincia
ACCION CHAQUEÑA,00068,06
ALTERNATIVA FEDERAL,00092,21
ALTERNATIVA RENOVADORA FEDERAL,00069,06
AUTODETERMINACION Y LIBERTAD,00007,01
CAMBIA MENDOZA,00083,13
CHUBUT AL FRENTE,00074,07
COMPROMISO FEDERAL,00080,12
CONSENSO FEDERAL,00001,01
CONSENSO FEDERAL,00001,02
CONSENSO FEDERAL,00001,03
CONSENSO FEDERAL,00001,04
CONSENSO FEDERAL,00001,05
CONSENSO FEDERAL,00001,06
CONSENSO FEDERAL,00001,09
CONSENSO FEDERAL,00001,10
CONSENSO FEDERAL,00001,15
CONSENSO FEDERAL,00001,18
CONSENSO FEDERAL,00001,19
CONSENSO FEDERAL,00001,21
CONSENSO FEDERAL,00001,23
CONSERVADOR POPULAR,00088,17
DEMOCRATA CRISTIANO,00003,01
EL MOVIMIENTO,00055,01
ENCUENTRO POR CORRIENTES - ECO + JUNTOS POR EL CAMBIO,00067,05
ENCUENTRO VECINAL CORDOBA,00062,04
FRENTE AMPLIO FORMOSEÑO JUNTOS POR EL CAMBIO,00078,09
FRENTE CIVICO POR SANTIAGO,00095,22
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00008,01
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00008,02
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00008,03
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00008,04
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00008,07
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00008,10
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00008,11
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00008,12
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00008,13
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00008,15
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00008,16
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00008,17
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00008,18
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00008,19
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00008,20
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00008,21
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00008,23
FRENTE DE TODOS,00005,01
FRENTE DE TODOS,00005,02
FRENTE DE TODOS,00005,03
FRENTE DE TODOS,00005,04
FRENTE DE TODOS,00005,05
FRENTE DE TODOS,00005,06
FRENTE DE TODOS,00005,07
FRENTE DE TODOS,00005,08
FRENTE DE TODOS,00005,09
FRENTE DE TODOS,00005,10
FRENTE DE TODOS,00005,11
FRENTE DE TODOS,00005,12
FRENTE DE TODOS,00005,13
FRENTE DE TODOS,00005,14
FRENTE DE TODOS,00005,15
FRENTE DE TODOS,00005,16
FRENTE DE TODOS,00005,17
FRENTE DE TODOS,00005,18
FRENTE DE TODOS,00005,19
FRENTE DE TODOS,00005,20
FRENTE DE TODOS,00005,21
FRENTE DE TODOS,00005,22
FRENTE DE TODOS,00005,23
FRENTE DE TODOS,00005,24
FRENTE DESPERTAR,00065,04
FRENTE NOS,00010,21
FRENTE PATRIOTA,00011,02
FRENTE RENOVADOR AUTENTICO,00057,01
FRENTE RENOVADOR AUTENTICO,00057,20
FRENTE RENOVADOR DE LA CONCORDIA,00084,14
FRENTE SOMOS CATAMARCA,00052,03
FRENTE UNIDOS POR LA GENTE,00054,03
FUERZA REPUBLICANA,00096,23
GEN,00100,24
HACEMOS POR CORDOBA,00063,04
JUNTOS POR EL CAMBIO,00009,01
JUNTOS POR EL CAMBIO,00009,02
JUNTOS POR EL CAMBIO,00009,03
JUNTOS POR EL CAMBIO,00009,04
JUNTOS POR EL CAMBIO,00009,06
JUNTOS POR EL CAMBIO,00009,07
JUNTOS POR EL CAMBIO,00009,08
JUNTOS POR EL CAMBIO,00009,10
JUNTOS POR EL CAMBIO,00009,11
JUNTOS POR EL CAMBIO,00009,14
JUNTOS POR EL CAMBIO,00009,15
JUNTOS POR EL CAMBIO,00009,16
JUNTOS POR EL CAMBIO,00009,17
JUNTOS POR EL CAMBIO,00009,18
JUNTOS POR EL CAMBIO,00009,19
JUNTOS POR EL CAMBIO,00009,20
JUNTOS POR EL CAMBIO,00009,21
JUNTOS POR EL CAMBIO,00009,22
JUNTOS POR EL CAMBIO,00009,23
JUNTOS POR EL CAMBIO,00009,24
JUNTOS POR LA RIOJA,00081,12
JUNTOS SOMOS RIO NEGRO,00086,16
MORAL Y PROGRESO,00059,02
MOVIMIENTO AL SOCIALISMO,00002,01
MOVIMIENTO AL SOCIALISMO,00002,04
MOVIMIENTO AL SOCIALISMO,00002,08
MOVIMIENTO AL SOCIALISMO,00002,11
MOVIMIENTO AL SOCIALISMO,00002,12
MOVIMIENTO AL SOCIALISMO,00002,15
MOVIMIENTO AL SOCIALISMO,00002,16
MOVIMIENTO AL SOCIALISMO,00002,19
MOVIMIENTO AL SOCIALISMO,00002,20
MOVIMIENTO AL SOCIALISMO,00002,21
MOVIMIENTO DE ACCION VECINAL,00051,04
MOVIMIENTO DE AVANZADA SOCIALISTA,00012,02
MOVIMIENTO DE JUBILADOS Y JUVENTUD,00056,01
MOVIMIENTO INDEPENDIENTE RENOVADOR,00091,21
MOVIMIENTO LIBRES DEL SUR,00094,22
MOVIMIENTO ORGANIZACION DEMOCRATICA,00013,02
MOVIMIENTO POLO SOCIAL CHUBUT,00073,07
MOVIMIENTO POPULAR NEUQUINO,00085,15
MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES,00079,09
MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES,00079,22
NUEVA DIRIGENCIA,00090,18
NUEVA IZQUIERDA,00077,08
PARTIDO AUTONOMISTA,00050,21
PARTIDO CIUDADANOS A GOBERNAR,00066,05
PARTIDO CIUDADANOS A GOBERNAR,00066,06
PARTIDO DEL OBRERO,00072,06
PARTIDO DEL OBRERO,00072,14
PARTIDO DIGNIDAD CIUDADANA,00089,18
PARTIDO DIGNIDAD POPULAR,00006,01
PARTIDO DIGNIDAD POPULAR,00006,02
PARTIDO DIGNIDAD POPULAR,00006,22
PARTIDO HUMANISTA,00018,02
PARTIDO INDEPENDIENTE DEL CHUBUT,00075,07
PARTIDO OBRERO,00097,24
PARTIDO POPULAR,00061,03
PARTIDO POPULAR,00061,21
PARTIDO POPULAR,00061,22
PARTIDO PROYECTO SUR CHACO,00070,06
PARTIDO RENOVADOR FEDERAL,00017,02
PARTIDO REPUBLICANO FEDERAL,00058,02
PARTIDO SOCIAL PATAGONICO,00099,24
PARTIDO SOCIALISTA,00076,08
PARTIDO SOCIALISTA,00076,11
PARTIDO SOCIALISTA,00076,14
PROTECTORA FUERZA POLITICA,00082,13
UNION CELESTE Y BLANCA,00093,21
UNION DEL CENTRO DEMOCRATICO,00060,03
UNION POPULAR,00064,04
UNION POR SALTA,00087,17
UNIR,00071,06
UNIR,00071,10
UNIR,00071,12
UNITE POR LA LIBERTAD Y LA DIGNIDAD,00004,01
UNITE POR LA LIBERTAD Y LA DIGNIDAD,00004,04
UNITE POR LA LIBERTAD Y LA DIGNIDAD,00004,21
UNITE POR LA LIBERTAD Y LA DIGNIDAD,00004,22
VAMOS TODOS A VIVIR MEJOR,00098,24
