parDenominacion,vot_parCodigo,vot_proCodigoProvincia
MOVIMIENTO INDEPENDIENTE RENOVADOR,00062,21
MOVIMIENTO LIBRES DEL SUR,00063,22
MOVIMIENTO ORGANIZACION DEMOCRATICA,00064,02
MOVIMIENTO POLO SOCIAL CHUBUT,00066,07
MOVIMIENTO POPULAR NEUQUINO,00067,15
MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES,00068,09
MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES,00068,22
NUEVA DIRIGENCIA,00070,18
NUEVA IZQUIERDA,00071,08
PARTIDO AUTONOMISTA,00072,21
PARTIDO CIUDADANOS A GOBERNAR,00073,06
PARTIDO CONSERVADOR POPULAR,00074,17
PARTIDO DEL OBRERO,00075,06
PARTIDO DEL OBRERO,00075,14
PARTIDO DIGNIDAD CIUDADANA,00076,18
PARTIDO DIGNIDAD POPULAR,00077,01
PARTIDO DIGNIDAD POPULAR,00077,02
PARTIDO DIGNIDAD POPULAR,00077,22
PARTIDO HUMANISTA,00078,02
PARTIDO INDEPENDIENTE DEL CHUBUT,00079,07
PARTIDO OBRERO,00081,24
PARTIDO POPULAR,00082,03
PARTIDO POPULAR,00082,21
PARTIDO POPULAR,00082,22
PARTIDO PROYECTO SUR CHACO,00083,06
PARTIDO RENOVADOR FEDERAL,00084,02
PARTIDO REPUBLICANO FEDERAL,00085,02
PARTIDO SOCIAL PATAGONICO,00086,24
PARTIDO SOCIALISTA,00087,08
PARTIDO SOCIALISTA,00087,11
PARTIDO SOCIALISTA,00087,14
PROTECTORA FUERZA POLITICA,00090,13
UNION CELESTE Y BLANCA,00098,21
UNION DEL CENTRO DEMOCRATICO,00099,03
UNION POPULAR,00100,04
UNION POR SALTA,00101,17
UNIR,00106,06
UNIR,00106,10
UNIR,00106,12
UNITE POR LA LIBERTAD Y LA DIGNIDAD,00108,01
UNITE POR LA LIBERTAD Y LA DIGNIDAD,00108,04
UNITE POR LA LIBERTAD Y LA DIGNIDAD,00108,21
UNITE POR LA LIBERTAD Y LA DIGNIDAD,00108,22
VAMOS TODOS A VIVIR MEJOR,00109,24
