vot_parCodigo,vot_proCodigoProvincia,parDenominacion
0507,10,Frente Jujeño                                
0002,11,Justicialista                                
0003,11,Unión Cívica Radical                         
0022,11,Partido Humanista                            
0048,11,Recrear para el Crecimiento                  
0220,11,Alianza Encuentro ARI-PS                     
0221,11,DEL FRENTE                                   
0002,12,Justicialista                                
0003,12,Unión Cívica Radical                         
0022,12,Partido Humanista                            
0054,12,De La Victoria                               
0304,12,Alianza Electoral Transitoria Izquierda Unida
0003,13,Unión Cívica Radical                         
0006,13,Intransigente                                
0008,13,Partido Federal                              
0010,13,Partido Demócrata                            
0022,13,Partido Humanista                            
0047,13,Afirmación Para Una República Igualitaria    
0048,13,Recrear para el Crecimiento                  
0050,13,Partido Socialista                           
0052,13,Unión y Libertad                             
0101,13,Aza. Frente para la Victoria                 
0155,13,F.I.S.C.A.L.                                 
0156,13,Polo Social                                  
0157,13,Mov. p/Soc. Trab.                            
0158,13,Juntos por Mendoza                           
0159,13,Partido Todos                                
0160,13,Partido del Obrero                           
0001,14,Movimiento de Integración y Desarrollo       
0041,14,Partido Frente Grande                        
0047,14,Afirmación Para Una República Igualitaria    
0050,14,Partido Socialista                           
0111,14,Partido Comunista                            
0219,14,Frente Justicialista p/ La Victoria          
0269,14,Frente Renovador de la Concordia             
0270,14,Frente Cívico Radical Intransigente          
0271,14,Movimiento Acción Popular                    
0272,14,Frente Unidad para el Cambio                 
0045,15,de los Trabajadores Socialista               
0048,15,Recrear para el Crecimiento                  
0204,15,Movimiento Popular Neuquino                  
0225,15,Humanista Ecologista                         
0226,15,Servicio y Comunidad                         
0268,15,Frente Cívico para la Victoria(Alianza Nacion
0014,16,Partido Obrero                               
0022,16,Partido Humanista                            
0047,16,Afirmación Para Una República Igualitaria    
0101,16,Aza. Frente para la Victoria                 
0227,16,Alianza Concertación para el Desarrollo      
0228,16,Alianza Frente Amplio                        
0229,16,Provincial Rionegrino                        
0001,17,Movimiento de Integración y Desarrollo       
0003,17,Unión Cívica Radical                         
0005,17,Partido Demócrata Cristiano                  
0022,17,Partido Humanista                            
0023,17,Unión Popular                                
0041,17,Partido Frente Grande                        
0054,17,De La Victoria                               
0058,17,Izquierda Unida                              
0071,17,Partido Conservador Popular                  
0072,17,Partido Vecinos Unidos                       
0160,17,Partido del Obrero                           
0162,17,Alianza Frente Justicialista FREJUVI Unid.Jus
0163,17,Renovador de Salta                           
0164,17,Movimiento Popular Salteño                   
0003,18,Unión Cívica Radical                         
0047,18,Afirmación Para Una República Igualitaria    
0052,18,Unión y Libertad                             
0101,18,Aza. Frente para la Victoria                 
0161,18,Alianza Izquierda Unida                      
0169,18,Alianza Frente Opositor P/ la Unidad         
0170,18,Alianza Unidad Bloquista                     
0171,18,Alianza Frente Producción y Trabajo          
0172,18,Dignidad Ciudadana                           
0173,18,Partido Intransigente                        
0001,19,Movimiento de Integración y Desarrollo       
0037,19,Movimiento por la Dignidad y la Independencia
0050,19,Partido Socialista                           
0057,19,Mov. Social de los Trabajadores              
0101,19,Aza. Frente para la Victoria                 
0174,19,Alianza Frente para la Victoria Sanluiseña   
0175,19,"Frente Radical, Democ., Cívico y Social      "
0176,19,Alianza Unidad Popular                       
0177,19,Nueva Generación                             
0178,19,Partido Libre en Movimiento                  
0297,19,Frente Justicialista                         
0003,20,Unión Cívica Radical                         
0050,20,Partido Socialista                           
0101,20,Aza. Frente para la Victoria                 
0154,20,Frente de Unidad Trabajadora                 
0009,21,Demócrata Progresista                        
0014,21,Partido Obrero                               
0022,21,Partido Humanista                            
0030,21,Partido Socialista Auténtico                 
0036,21,Autonomista                                  
0037,21,Movimiento por la Dignidad y la Independencia
0045,21,de los Trabajadores Socialista               
0047,21,Afirmación Para Una República Igualitaria    
0051,21,Partido Popular de la Reconstrucción         
0101,21,Aza. Frente para la Victoria                 
0102,21,Alianza Propuesta Republicana                
0145,21,Política Abierta Para la Integridad Social   
0161,21,Alianza Izquierda Unida                      
0180,21,Frente por la Justicia y el Progreso Social  
0181,21,Alianza Frente Popular                       
0182,21,Frente Progresista Cívico y Social           
0184,21,Frente Emancipador                           
0185,21,de Participación Popular                     
0186,21,Frente de Agrupaciones Políticas Autoconvocad
0002,22,Justicialista                                
0014,22,Partido Obrero                               
0049,22,Movimiento por el Socialismo y el Trabajo    
0101,22,Aza. Frente para la Victoria                 
0230,22,Alianza Cruzada Santiagueña                  
0231,22,Frente Cívico por Santiago                   
0232,22,Frente Multisectorial                        
0014,23,Partido Obrero                               
0022,23,Partido Humanista                            
0048,23,Recrear para el Crecimiento                  
0058,23,Izquierda Unida                              
0101,23,Aza. Frente para la Victoria                 
0233,23,Frente Cívico y Social                       
0234,23,Alianza Acuerdo Soc. por la Inclusión        
0235,23,Defen. Prov (Bandera Blanca)                 
0236,23,Acción Provinciana                           
0237,23,De la Independencia                          
0238,23,Frente del Pueblo Unido                      
0239,23,Ciudadanos Independientes                    
0240,23,Frente Anticorrupción                        
0241,23,Fuerza Republicana                           
0022,24,Partido Humanista                            
0047,24,Afirmación Para Una República Igualitaria    
0050,24,Partido Socialista                           
0052,24,Unión y Libertad                             
0101,24,Aza. Frente para la Victoria                 
0242,24,Partido Unidad Federalista (PAUFE)           
0243,24,Movimiento Popular Fueguino                  
0244,24,Federal Fueguino                             
