vot_parCodigo,vot_proCodigoProvincia,parDenominacion
0003,01,Unión Cívica Radical                         
0005,01,Partido Demócrata Cristiano                  
0009,01,Demócrata Progresista                        
0014,01,Partido Obrero                               
0020,01,Unión de Centro Democrático                  
0023,01,Unión Popular                                
0036,01,Autonomista                                  
0037,01,Movimiento por la Dignidad y la Independencia
0038,01,Movimiento Socialista de los Trabajadores    
0050,01,Partido Socialista                           
0051,01,Partido Popular de la Reconstrucción         
0060,01,Movimiento Independiente de Jubilados y Desoc
0131,01,Alianza Concertación UNA                     
0134,01,Alianza Frente para la Victoria              
0135,01,Alianza Frente PTS-MAS Izquierda Socialista  
0136,01,Alianza Propuesta Republicana                
0137,01,Alianza Diálogo por Buenos Aires             
0138,01,Alianza Proyecto Sur                         
0139,01,Alianza El Movimiento de las Provincias Unida
0140,01,Acción Ciudadana                             
0141,01,Convergencia Socialista                      
0142,01,Liga Socialista Revolucionaria               
0143,01,El Movimiento                                
0144,01,Convocatoria de Integración Ciudadana        
0145,01,Consenso Porteño                             
0146,01,Asambleas Populares                          
0147,01,Fuerza Independiente de Centro               
0188,01,Alianza F.R.A.L.Frente Amplio para la Unidad 
0252,01,Al. Coalición Cívica                         
0332,01,"Alianza Frente Justicia, Unión y Libertad    "
0003,02,Unión Cívica Radical                         
0014,02,Partido Obrero                               
0030,02,Partido Socialista Auténtico                 
0038,02,Movimiento Socialista de los Trabajadores    
0048,02,Recrear para el Crecimiento                  
0051,02,Partido Popular de la Reconstrucción         
0060,02,Movimiento Independiente de Jubilados y Desoc
0132,02,Alianza F.R.A.L.Frente Amplio hacia la Unidad
0133,02,"Alianza Frente Justicia, Unión y Libertad    "
0134,02,Alianza Frente para la Victoria              
0135,02,Alianza Frente PTS-MAS Izquierda Socialista  
0141,02,Convergencia Socialista                      
0144,02,Convocatoria de Integración Ciudadana        
0250,02,Unidad Federalista (PAUFE)                   
0260,02,Concertación Plural                          
0269,02,Frente Coalición Cívica                      
0273,02,Sociedad Justa                               
0275,02,VAMOS                                        
0311,02,Movimiento Popular para la Reconquista       
0312,02,Unión PRO                                    
0313,02,P. Acción Solidaria Indep. Bonaerense        
0314,02,Lealtad y Dignidad Pcia. de BS AS            
0315,02,Movimiento del Trabajo                       
0316,02,Movimiento Federal de los Jubilados          
0317,02,Partido Renovador Pcia. de BS AS             
0014,03,Partido Obrero                               
0036,03,Autonomista                                  
0038,03,Movimiento Socialista de los Trabajadores    
0047,03,Afirmación Para Una República Igualitaria    
0148,03,Alianza Frente Justicialista                 
