codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0072,0076,0083,0167,0174,0194,0207,0524,0540,0563,0579
24,Ushuaia,001,U001 ,0001,278,1,5,5,5,1,26,1,3,17,47,38,32,27
24,Ushuaia,001,U001 ,0002,278,4,3,2,5,1,17,2,12,14,55,31,18,50
24,Ushuaia,001,U001 ,0003,277,0,10,4,7,1,32,0,7,22,48,27,21,32
24,Ushuaia,001,U001 ,0004,277,0,8,2,4,1,29,1,10,27,45,23,31,26
24,Ushuaia,001,U001 ,0005,277,4,8,3,5,2,24,3,8,24,45,26,29,36
24,Ushuaia,001,U001 ,0006,282,2,7,5,3,1,21,1,5,18,55,34,19,47
24,Ushuaia,001,U001 ,0007,277,3,12,5,4,1,24,4,4,15,49,20,27,35
24,Ushuaia,001,U001 ,0008,277,3,16,3,3,1,16,1,15,20,45,23,31,28
24,Ushuaia,001,U001 ,0009,277,2,14,6,8,2,14,4,10,16,55,24,31,33
24,Ushuaia,001,U001 ,0010,278,2,5,8,8,4,24,0,7,19,48,33,32,33
24,Ushuaia,001,U001 ,0011,277,3,6,3,2,0,23,0,7,19,67,35,21,35
24,Ushuaia,001,U001 ,0012,283,4,13,4,5,4,24,1,11,10,53,33,29,30
24,Ushuaia,001,U002 ,0013,286,1,11,3,3,5,26,0,7,11,58,29,27,23
24,Ushuaia,001,U002 ,0014,287,3,11,6,6,3,32,1,7,21,44,28,31,20
24,Ushuaia,001,U002 ,0015,285,1,6,2,4,3,32,2,9,17,58,17,36,21
24,Ushuaia,001,U002 ,0016,285,4,10,4,5,1,21,2,4,14,43,26,37,20
24,Ushuaia,001,U002 ,0017,286,4,6,4,3,1,20,0,5,26,44,38,31,12
24,Ushuaia,001,U002 ,0018,285,3,12,9,9,4,20,6,9,21,39,26,29,14
24,Ushuaia,001,U002 ,0019,285,3,13,4,5,1,28,1,9,24,37,29,18,31
24,Ushuaia,001,U002 ,0020,285,2,11,4,9,4,20,2,8,18,47,21,33,33
24,Ushuaia,001,U002 ,0021,285,2,16,9,5,1,21,3,9,15,42,31,27,25
24,Ushuaia,001,U002 ,0022,294,0,12,5,5,1,18,0,3,17,61,30,30,28
24,Ushuaia,001,U002 ,0023,285,1,9,4,4,2,22,0,6,17,48,30,30,28
24,Ushuaia,001,U002 ,0024,285,1,12,5,3,0,20,0,7,11,50,36,26,31
24,Ushuaia,001,U002 ,0025,285,0,8,6,6,1,31,1,10,12,52,30,31,27
24,Ushuaia,001,U002 ,0026,285,2,8,4,5,4,27,1,2,14,51,24,28,28
24,Ushuaia,001,U002 ,0027,290,1,18,5,8,2,18,1,11,13,46,28,22,26
24,Ushuaia,001,U003 ,0028,295,4,18,3,10,3,23,0,9,20,53,29,40,20
24,Ushuaia,001,U003 ,0029,296,1,13,4,5,1,24,1,13,15,43,31,29,30
24,Ushuaia,001,U003 ,0030,297,4,16,6,4,0,25,0,8,21,49,28,31,26
24,Ushuaia,001,U003 ,0031,296,2,10,9,8,1,28,0,13,20,39,25,27,38
24,Ushuaia,001,U003 ,0032,296,1,20,2,2,1,23,1,9,26,45,28,38,21
24,Ushuaia,001,U003 ,0033,296,1,16,4,9,0,23,1,14,18,51,27,22,36
