codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0081,0131,0133,0134,0135,0136,0137,0138,0180,0188,0525
21,Belgrano,001,0404A,0069,352,21,1,0,58,5,1,96,0,2,42,0,0,20
21,Belgrano,001,0404A,0070,351,21,2,0,64,4,1,59,1,4,56,0,0,22
21,Belgrano,001,0404A,0071,351,35,0,0,41,0,2,81,0,3,37,0,0,21
21,Belgrano,001,0404A,0072,350,22,1,0,36,7,1,114,2,3,46,1,0,27
21,Belgrano,001,0404A,0073,352,25,0,0,56,2,0,73,2,3,38,0,0,26
21,Belgrano,001,0404A,0074,350,17,4,1,63,3,0,64,0,3,44,0,0,12
21,Belgrano,001,0404A,0075,354,23,0,0,59,1,0,69,0,2,50,0,0,13
21,Belgrano,001,0404A,0076,351,27,0,0,73,4,0,57,2,2,35,0,0,18
21,Belgrano,001,0404A,0077,355,18,0,1,59,6,0,64,0,1,45,0,0,17
21,Belgrano,001,0404A,0078,350,21,0,1,67,15,2,78,0,1,48,0,0,15
21,Belgrano,001,0404A,0079,350,13,4,0,52,1,0,68,0,3,48,0,1,24
21,Belgrano,001,0404A,0080,352,13,6,1,61,6,0,63,0,1,58,0,0,25
21,Belgrano,001,0404A,0081,352,25,3,3,65,5,0,71,1,2,39,0,0,15
21,Belgrano,001,0404A,0082,352,25,0,0,71,8,3,70,0,3,32,0,0,16
21,Belgrano,001,0404A,0083,350,19,1,0,58,5,0,65,0,6,47,0,0,21
21,Belgrano,001,0404A,0084,350,24,0,1,46,6,1,95,1,1,32,0,1,30
21,Belgrano,001,0404A,0085,350,15,3,0,51,4,0,80,0,4,50,0,0,28
21,Belgrano,001,0404A,0086,353,22,0,1,66,8,1,75,0,4,36,0,0,18
21,Belgrano,001,0404A,0087,350,21,0,0,55,7,1,80,1,1,49,0,0,12
21,Belgrano,001,0404A,0088,353,21,0,0,60,2,0,77,1,7,44,0,0,21
21,Belgrano,001,0404A,0089,354,24,0,0,54,11,1,87,0,2,44,0,1,26
21,Belgrano,001,0404A,0090,350,0,0,0,58,4,0,81,0,0,37,0,0,20
21,Belgrano,001,0404A,0091,351,9,0,0,47,6,1,73,0,4,44,0,0,47
21,Belgrano,001,0404A,0092,351,18,2,0,58,6,1,75,0,0,46,0,0,24
21,Belgrano,001,0404A,0093,130,4,3,0,13,0,1,35,0,2,23,0,0,8
21,Belgrano,001,0404B,0094,350,27,0,0,78,3,3,74,0,0,38,0,0,21
21,Belgrano,001,0404B,0095,350,26,0,0,79,7,1,58,0,4,45,0,0,23
21,Belgrano,001,0404B,0096,350,24,0,1,52,11,1,77,1,3,35,0,0,27
21,Belgrano,001,0404B,0097,244,18,0,0,36,4,0,64,0,1,32,0,0,22
21,Belgrano,001,0405 ,0098,350,29,0,0,33,14,0,88,1,4,50,0,0,12
21,Belgrano,001,0405 ,0099,350,23,3,0,63,8,1,79,5,2,61,0,0,15
21,Belgrano,001,0405 ,0100,350,31,8,1,35,8,1,79,4,3,46,0,0,30
21,Belgrano,001,0405 ,0101,350,32,0,0,66,4,0,61,1,5,53,0,0,19
21,Belgrano,001,0405 ,0102,351,45,0,1,41,13,0,87,5,1,32,0,0,26
21,Belgrano,001,0405 ,0103,350,18,0,0,38,6,0,106,3,1,62,0,1,21
21,Belgrano,001,0405 ,0104,186,18,0,0,15,3,1,55,1,1,0,0,0,0
21,Belgrano,001,0405 ,0105,186,16,0,0,25,4,0,49,4,0,30,2,0,14
21,Belgrano,001,0406 ,0106,350,22,6,1,76,5,0,56,0,3,38,0,0,29
21,Belgrano,001,0406 ,0107,349,12,4,1,95,5,0,42,2,4,57,1,0,21
21,Belgrano,001,0406 ,0108,351,21,0,1,89,6,1,60,0,1,42,0,0,29
21,Belgrano,001,0406 ,0109,350,20,0,1,70,5,1,74,1,3,46,1,0,33
21,Belgrano,001,0406 ,0110,352,22,3,2,78,4,0,74,0,5,29,0,0,27
21,Belgrano,001,0406 ,0111,168,4,0,0,49,2,0,21,0,2,17,0,0,8
21,Caseros,002,0364 ,0112,351,13,6,1,68,9,2,70,2,9,55,1,1,25
21,Caseros,002,0364 ,0113,351,31,7,1,72,8,0,67,1,3,43,0,0,31
21,Caseros,002,0364 ,0114,352,20,0,1,70,4,0,67,0,8,48,0,0,22
21,Caseros,002,0364 ,0115,350,42,0,2,75,2,1,63,2,3,45,0,20,20
21,Caseros,002,0364 ,0116,350,28,4,2,70,12,0,66,0,10,44,0,0,27
21,Caseros,002,0364 ,0117,350,33,0,0,64,8,0,71,2,6,46,0,1,27
21,Caseros,002,0364 ,0118,350,30,0,1,83,10,1,46,1,5,55,0,0,20
21,Caseros,002,0364 ,0119,351,30,4,1,76,5,1,70,2,8,40,1,0,23
21,Caseros,002,0364 ,0120,352,29,0,1,59,2,0,60,1,4,56,0,0,38
21,Caseros,002,0364 ,0121,350,35,0,0,82,5,0,63,1,13,51,1,1,19
21,Caseros,002,0364 ,0122,351,20,0,1,83,8,1,58,0,11,51,1,1,24
21,Caseros,002,0364 ,0123,352,21,0,1,70,5,0,64,1,8,50,0,1,22
21,Caseros,002,0364 ,0124,352,26,1,0,76,3,0,54,2,4,49,0,0,27
21,Caseros,002,0364 ,0125,350,26,0,2,75,7,1,59,4,8,54,0,1,20
