codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,00095,00005,00009,00094,00079,00006,00061,00004
22,001,CAPITAL,05085,093757,0,0,22,179,38,20,0,0,1,9,4
22,001,CAPITAL,05085,093758,0,0,23,176,37,16,9,3,1,4,0
22,001,CAPITAL,05085,093759,0,0,22,161,36,29,5,3,4,4,1
22,001,CAPITAL,05085,093760,0,0,3,181,41,21,0,6,0,3,0
22,001,CAPITAL,05085,093761,0,0,7,190,35,18,0,4,1,1,3
22,001,CAPITAL,05085,093762,0,0,5,160,47,29,11,3,1,10,1
22,001,CAPITAL,05085,093763,0,0,6,183,32,30,8,6,0,7,2
22,001,CAPITAL,05085,093764,0,0,21,169,31,21,6,6,1,4,10
22,001,CAPITAL,05085,093765,0,0,9,169,44,20,6,0,2,4,1
22,001,CAPITAL,05085,093766,0,0,12,161,50,27,2,5,0,10,0
22,001,CAPITAL,05085,093767,0,0,10,172,44,23,10,7,3,5,2
22,001,CAPITAL,05086,093768,0,0,25,71,9,114,11,1,2,2,5
22,001,CAPITAL,05086,093769,0,0,16,67,17,115,13,5,0,4,6
22,001,CAPITAL,05086,093770,0,0,0,58,18,111,14,9,1,0,6
22,001,CAPITAL,05086,093771,0,0,0,0,0,101,0,0,0,0,0
22,001,CAPITAL,05086,093772,0,0,29,69,15,106,15,7,1,3,1
22,001,CAPITAL,05086,093773,0,0,22,56,18,107,16,2,0,5,5
22,001,CAPITAL,05086,093774,0,0,16,80,16,92,16,7,0,4,6
22,001,CAPITAL,05086,093775,0,0,15,60,9,124,13,4,2,0,8
22,001,CAPITAL,05086,093776,0,0,21,54,7,124,10,1,2,3,7
22,001,CAPITAL,05086,093777,0,0,18,53,19,123,20,4,0,2,5
22,001,CAPITAL,05086,093778,0,0,22,73,15,95,15,8,0,2,5
22,001,CAPITAL,05086,093779,0,0,16,69,14,110,16,8,0,6,2
22,001,CAPITAL,05086,093780,0,0,18,60,20,112,17,3,2,0,4
22,001,CAPITAL,05087,093781,0,0,24,94,17,76,13,3,1,1,6
22,001,CAPITAL,05087,093782,0,0,24,119,12,61,12,2,1,4,10
22,001,CAPITAL,05087,093783,0,0,23,91,32,82,13,9,1,0,4
22,001,CAPITAL,05087,093784,0,0,22,102,26,82,11,8,1,1,5
22,001,CAPITAL,05087,093785,0,0,12,99,18,90,15,6,0,3,3
22,001,CAPITAL,05087,093786,0,0,41,85,39,69,0,1,0,2,6
22,001,CAPITAL,05087,093787,0,0,21,116,23,55,14,6,1,5,9
22,001,CAPITAL,05087,093788,0,0,26,100,27,83,14,5,1,2,5
22,001,CAPITAL,05087,093789,0,0,23,128,22,54,16,7,0,1,2
22,001,CAPITAL,05087,093790,0,0,35,91,19,90,0,9,0,3,4
22,001,CAPITAL,05087,093791,0,0,16,95,31,76,19,6,0,4,6
22,001,CAPITAL,05087,093792,0,0,36,95,25,74,0,12,0,0,2
22,001,CAPITAL,05087,093793,0,0,11,124,22,58,16,6,1,1,9
22,001,CAPITAL,05087,093794,0,0,53,81,28,62,8,1,1,5,0
22,001,CAPITAL,05087,093795,0,0,18,105,28,73,20,5,1,0,6
22,001,CAPITAL,05087,093796,0,0,21,109,23,80,9,10,0,1,4
22,001,CAPITAL,05087,093797,0,0,23,103,13,94,12,4,0,5,7
22,001,CAPITAL,05087,093798,0,0,23,88,23,15,17,6,0,3,4
22,001,CAPITAL,05087,093799,0,0,48,108,40,60,0,0,0,6,6
22,001,CAPITAL,05087,093800,0,0,29,98,24,86,16,7,0,3,11
22,001,CAPITAL,05087,093801,0,0,25,94,28,83,16,0,0,0,3
22,001,CAPITAL,05087,093802,0,0,13,118,30,59,15,7,0,2,4
22,001,CAPITAL,05087,093803,0,0,20,125,9,68,22,4,1,2,6
22,001,CAPITAL,05087,093804,0,0,21,76,18,95,17,11,1,2,11
22,001,CAPITAL,05087,093805,0,0,17,106,21,70,19,14,0,4,7
22,001,CAPITAL,05087,093806,0,0,15,106,37,66,17,6,0,4,3
22,001,CAPITAL,05088,093807,0,0,13,96,27,70,26,5,2,1,15
22,001,CAPITAL,05088,093808,0,0,19,117,31,53,19,5,1,1,5
22,001,CAPITAL,05088,093809,0,0,39,109,28,64,0,0,0,8,6
22,001,CAPITAL,05088,093810,0,0,3,98,28,94,17,6,2,4,11
22,001,CAPITAL,05088,093811,0,0,0,109,44,61,19,3,2,2,3
22,001,CAPITAL,05088,093812,0,0,0,124,36,55,15,4,0,3,8
22,001,CAPITAL,05088,093813,0,0,24,120,30,52,19,9,0,3,2
22,001,CAPITAL,05088,093814,0,0,19,114,32,61,14,4,1,1,2
22,001,CAPITAL,05088,093815,0,0,23,139,27,50,18,6,2,2,3
