codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0001,0002,0003,0005,0014,0038,0041,0042,0048,0057,0128,0139,0141,0142,0144,0145,0147,0148,0161,0507,0564,0565,0566
04,Capital,001,0001 ,0023,374,3,5,5,5,106,1,3,3,4,1,4,1,2,1,5,2,1,1,4,6,5,0,66,12,9
04,Capital,001,0001 ,3593,381,4,6,1,11,86,4,5,2,6,5,1,2,4,0,4,1,2,2,3,5,3,5,71,13,4
04,Capital,001,0001 ,3594,381,6,5,2,12,82,4,2,1,5,6,2,3,3,1,1,3,1,0,1,8,7,6,70,10,9
04,Capital,001,0001 ,3595,381,2,3,0,11,93,6,6,6,2,2,1,3,1,6,1,0,4,1,2,6,6,2,78,8,5
04,Capital,001,0001 ,3596,381,10,2,4,13,89,1,8,4,3,1,0,1,2,1,4,2,4,0,1,5,3,4,63,9,7
04,Capital,001,0001 ,3597,380,3,4,3,19,77,4,1,2,7,2,1,0,2,2,2,1,0,1,0,3,11,7,79,15,6
04,Capital,001,0001 ,3598,380,6,0,3,18,87,2,3,3,9,0,0,1,3,1,1,0,3,0,2,10,0,2,78,9,6
04,Capital,001,0001 ,3599,380,8,10,3,23,95,3,1,2,7,4,5,2,2,1,2,1,0,2,0,5,6,1,47,10,3
04,Capital,001,0001 ,3600,380,12,5,0,11,72,5,3,7,3,2,6,4,3,2,0,0,1,1,1,8,10,2,62,12,2
04,Capital,001,0001 ,3601,380,13,7,2,10,74,2,4,4,0,0,0,0,2,1,6,5,1,2,2,4,0,0,66,8,17
04,Capital,001,0001 ,3602,380,0,0,0,9,97,2,2,2,8,1,10,9,2,2,0,2,0,2,0,3,3,5,78,6,4
04,Capital,001,0001 ,3603,380,6,1,2,18,89,10,1,3,3,3,1,3,1,0,0,1,3,2,1,14,3,2,76,8,8
04,Capital,001,0001 ,3604,380,1,2,1,15,94,3,3,3,1,0,4,0,3,0,0,2,2,2,0,7,4,4,62,9,9
04,Capital,001,0001 ,3605,380,5,6,0,14,74,2,3,3,1,2,3,1,1,0,2,0,2,1,0,15,9,3,68,12,6
04,Capital,001,0001 ,3606,380,6,7,0,19,87,0,2,2,5,5,4,1,2,3,1,1,1,0,1,7,4,2,62,11,10
04,Capital,001,0001 ,3607,380,2,3,0,9,84,1,4,1,6,0,4,2,1,9,0,2,1,0,2,4,4,2,79,9,9
04,Capital,001,0001 ,3608,380,0,0,0,9,81,2,4,0,2,8,4,7,5,3,2,1,1,0,1,9,1,6,68,9,6
04,Capital,001,0001 ,3609,380,2,5,3,7,79,7,4,2,4,5,2,1,0,1,0,1,0,1,3,6,2,4,79,7,8
04,Capital,001,0002 ,0024,368,3,9,0,12,83,2,3,0,3,1,3,3,4,2,1,4,4,0,7,6,5,6,65,7,8
04,Capital,001,0002 ,0025,367,4,1,1,12,84,1,5,3,7,0,6,0,4,7,0,0,1,2,0,7,4,3,69,14,5
04,Capital,001,0002 ,0026,367,0,3,3,8,73,0,3,1,6,2,0,5,0,1,0,7,1,1,0,6,2,0,73,11,7
