codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,00092,00001,00008,00005,00010,00009,00002,00091,00050,00061,00093,00004
21,001,BELGRANO,04555,085541,0,0,6,2,32,10,76,6,111,2,0,5,0,0,7
21,001,BELGRANO,04555,085542,0,0,6,0,20,8,77,10,136,0,1,2,0,3,8
21,001,BELGRANO,04555,085543,0,0,3,0,23,3,66,3,152,3,0,5,2,0,5
21,001,BELGRANO,04555,085544,0,0,15,0,24,6,68,2,138,1,0,4,0,0,9
21,001,BELGRANO,04555,085545,0,0,4,0,42,7,51,9,141,0,0,9,1,0,0
21,001,BELGRANO,04555,085546,0,0,6,0,36,2,60,7,135,1,0,6,0,0,6
21,001,BELGRANO,04555,085547,0,0,10,0,23,3,53,18,135,0,0,1,0,0,7
21,001,BELGRANO,04555,085548,0,0,10,0,24,6,46,6,161,2,0,7,0,1,14
21,001,BELGRANO,04555,085549,0,0,9,1,26,4,56,3,148,1,0,2,0,0,8
21,001,BELGRANO,04555,085550,0,0,10,0,29,4,55,9,123,0,0,1,0,1,10
21,001,BELGRANO,04555,085551,0,0,7,0,28,2,83,2,134,3,0,4,0,0,8
21,001,BELGRANO,04555,085552,0,0,6,0,22,2,84,8,124,0,0,2,0,0,6
21,001,BELGRANO,04555,085553,0,0,3,0,25,7,71,13,122,3,0,6,0,0,3
21,001,BELGRANO,04555,085554,0,0,2,0,22,6,85,7,121,3,0,5,0,0,11
21,001,BELGRANO,04555,085555,0,0,8,0,15,2,73,12,142,0,0,2,0,0,7
21,001,BELGRANO,04555,085556,0,0,10,5,0,3,30,19,178,2,0,1,1,0,5
21,001,BELGRANO,04555,085557,0,0,6,0,22,6,72,10,139,0,0,9,0,0,6
21,001,BELGRANO,04555,085558,0,0,11,0,23,0,80,7,142,0,0,3,0,0,5
21,001,BELGRANO,04555,085559,0,0,3,0,28,4,68,4,147,4,0,3,1,0,9
21,001,BELGRANO,04555,085560,0,0,2,0,26,4,61,7,152,0,0,6,0,0,7
21,001,BELGRANO,04555,085561,0,0,7,0,39,5,67,3,127,1,0,4,0,2,10
21,001,BELGRANO,04555,085562,0,0,5,0,31,3,48,8,159,1,1,4,0,0,13
21,001,BELGRANO,04555,085563,0,0,8,0,34,5,60,5,143,0,0,13,0,1,4
21,001,BELGRANO,04555,085564,0,0,5,1,24,5,101,5,114,3,0,3,0,0,5
21,001,BELGRANO,04555,085565,0,0,2,0,34,4,65,8,123,2,0,7,0,1,7
21,001,BELGRANO,04555,085566,0,0,2,0,24,4,55,3,156,1,0,0,0,0,6
21,001,BELGRANO,04555,085567,0,0,7,0,28,5,80,7,133,2,0,5,0,0,5
21,001,BELGRANO,04555,085568,0,0,1,1,33,4,64,1,150,1,0,3,1,1,6
21,001,BELGRANO,04555,085569,0,0,8,0,32,2,63,12,131,4,0,7,0,1,5
21,001,BELGRANO,04555,085570,0,0,4,0,12,6,37,6,85,0,0,2,0,0,8
21,001,BELGRANO,04556,085571,0,0,16,0,27,6,113,7,73,2,1,0,0,0,4
21,001,BELGRANO,04556,085572,0,0,14,0,28,6,98,4,87,0,2,0,0,0,10
21,001,BELGRANO,04556,085573,0,0,4,0,39,9,103,5,91,0,1,2,0,0,4
21,001,BELGRANO,04556,085574,0,0,5,0,50,4,95,8,94,0,0,2,0,0,7
21,001,BELGRANO,04556,085575,0,0,4,0,41,4,62,4,134,0,0,1,0,1,5
21,001,BELGRANO,04556,085576,0,0,8,0,36,1,108,7,109,3,0,1,0,0,3
21,001,BELGRANO,04556,085577,0,0,2,0,39,3,91,6,105,0,1,1,1,1,6
21,001,BELGRANO,04556,085578,0,0,8,1,38,2,91,6,96,1,0,0,0,0,6
21,001,BELGRANO,04556,085579,0,0,19,0,37,3,111,4,90,1,0,0,0,0,2
21,001,BELGRANO,04556,085580,0,0,12,0,34,2,97,6,81,0,0,0,0,0,4
21,001,BELGRANO,04556,085581,0,0,4,0,33,3,94,14,94,2,0,2,1,1,4
21,001,BELGRANO,04556,085582,0,0,9,0,48,3,98,8,77,3,0,1,1,0,7
21,001,BELGRANO,04556,085583,0,0,14,1,47,3,83,5,121,3,0,0,0,0,8
21,001,BELGRANO,04556,085584,0,0,1,0,34,6,126,13,58,0,0,0,0,0,2
21,001,BELGRANO,04556,085585,0,0,6,0,30,0,130,11,60,1,0,1,0,0,1
21,001,BELGRANO,04556,085586,0,0,11,0,41,2,123,13,68,2,0,2,0,0,3
21,001,BELGRANO,04556,085587,0,0,0,1,41,2,94,8,80,1,0,1,1,1,4
21,001,BELGRANO,04556,085588,0,0,7,0,53,0,99,10,94,2,0,0,0,0,4
21,001,BELGRANO,04556,085589,0,0,5,0,48,1,113,6,86,1,0,0,0,1,1
21,001,BELGRANO,04556,085590,0,0,5,0,47,4,112,5,91,2,0,0,1,0,5
21,001,BELGRANO,04556,085591,0,0,9,0,30,3,117,13,66,0,0,0,1,0,3
21,001,BELGRANO,04556,085592,0,0,10,1,38,5,106,13,91,1,0,0,0,0,9
21,001,BELGRANO,04556,085593,0,0,2,0,52,0,115,8,54,0,0,1,1,0,4
21,001,BELGRANO,04556,085594,0,0,5,0,40,3,92,12,94,1,1,0,0,0,10
21,001,BELGRANO,04556,085595,0,0,5,1,48,5,108,7,77,2,0,0,1,2,3
21,001,BELGRANO,04556,085596,0,0,6,0,42,2,130,10,68,1,0,1,1,0,5
21,001,BELGRANO,04556,085597,0,0,2,1,34,6,96,3,112,5,0,0,0,0,6
21,001,BELGRANO,04556,085598,0,0,5,0,43,1,96,10,80,2,0,0,0,0,6
21,001,BELGRANO,04556,085599,0,0,3,0,45,5,117,11,73,5,0,0,0,0,3
21,001,BELGRANO,04556,085600,0,0,4,0,32,3,112,10,82,0,0,0,0,0,4
21,001,BELGRANO,04556,085601,0,0,5,1,43,2,116,8,75,1,0,0,1,2,7
21,001,BELGRANO,04556,085602,0,0,0,0,20,0,47,1,39,1,0,0,0,0,3
21,001,BELGRANO,04557,085603,0,0,8,1,36,5,53,3,130,4,0,1,0,0,1
21,001,BELGRANO,04557,085604,0,0,14,0,38,4,86,1,115,6,0,0,1,0,6
21,001,BELGRANO,04557,085605,0,0,15,0,42,7,79,2,115,1,0,2,0,0,8
21,001,BELGRANO,04557,085606,0,0,9,1,30,5,81,2,128,0,0,0,0,0,3
21,001,BELGRANO,04557,085607,0,0,4,0,34,0,62,6,134,2,1,0,0,0,6
21,001,BELGRANO,04557,085608,0,0,4,0,34,7,63,4,155,1,0,1,1,1,4
21,001,BELGRANO,04557,085609,0,0,3,0,22,0,30,1,75,1,0,0,0,0,2
21,001,BELGRANO,04557,085610,0,0,3,0,21,3,35,1,65,3,0,1,1,0,5
21,001,BELGRANO,04558,085611,0,0,3,0,35,3,93,2,107,1,0,0,1,0,0
21,001,BELGRANO,04558,085612,0,0,8,0,24,6,126,0,89,3,0,1,0,0,3
21,001,BELGRANO,04558,085613,0,0,5,1,35,4,92,5,123,0,0,0,0,1,4
21,001,BELGRANO,04558,085614,0,0,8,0,35,4,83,3,125,0,0,0,1,0,3
21,001,BELGRANO,04558,085615,0,0,14,0,24,9,108,3,97,4,1,0,0,0,2
