codprov,coddepto,depto,circuito,mesa,electores,blancos,nulos,00004,00037,00050,00024
06,001,San Fernando,0005B,000096,341,18,3,13,145,77,6
06,001,San Fernando,0005B,000097,337,14,0,9,182,68,12
06,001,San Fernando,0005B,000098,338,4,14,10,147,81,7
06,001,San Fernando,0005B,000099,338,21,1,11,164,78,8
06,001,San Fernando,00006,000108,348,16,2,15,85,152,14
06,001,San Fernando,00006,000109,348,9,2,8,100,141,14
06,001,San Fernando,00006,000110,347,11,2,7,106,128,12
06,001,San Fernando,00006,000111,348,15,0,9,94,133,21
06,001,San Fernando,00006,000112,347,12,1,4,92,159,14
06,001,San Fernando,00006,000113,345,14,0,5,90,153,12
06,001,San Fernando,00006,000114,347,10,1,9,110,134,15
06,001,San Fernando,00006,000115,351,7,4,15,84,157,15
06,001,San Fernando,0007A,000116,342,13,2,12,110,129,16
06,001,San Fernando,0007A,000117,343,8,3,11,104,143,18
06,001,San Fernando,0007A,000118,343,12,2,7,91,145,9
06,001,San Fernando,0007A,000119,344,16,0,5,100,139,27
06,001,San Fernando,0007A,000120,342,13,5,13,87,147,16
06,001,San Fernando,0007A,000121,344,14,0,7,90,136,19
06,001,San Fernando,0007A,000122,344,7,1,18,95,132,20
06,001,San Fernando,0007A,000123,343,10,2,9,84,156,16
06,001,San Fernando,0007A,000124,344,15,0,6,101,143,16
06,001,San Fernando,0007A,000125,344,23,3,8,108,119,14
06,001,San Fernando,0007A,000126,344,20,2,4,107,121,20
06,001,San Fernando,0007A,000127,343,16,0,10,124,113,13
06,001,San Fernando,0007A,000128,343,10,1,11,112,125,12
06,001,San Fernando,0007A,000129,343,17,0,8,122,112,6
06,001,San Fernando,0007A,000130,344,12,0,7,118,131,11
06,001,San Fernando,0007A,000131,343,15,1,4,96,143,19
06,001,San Fernando,0007A,000132,344,11,3,10,86,149,9
06,001,San Fernando,0007A,000133,343,11,0,7,104,129,12
06,001,San Fernando,0007A,000134,347,9,0,8,98,142,17
