codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,00074,00008,00005,00009,00073,00075
07,001,RAWSON,02339,059195,0,0,57,43,5,59,38,12,5
07,001,RAWSON,02339,059196,0,0,14,27,7,65,30,5,5
07,001,RAWSON,02339,059197,0,0,62,35,6,58,33,6,4
07,001,RAWSON,02339,059198,0,0,65,36,8,60,27,11,3
07,001,RAWSON,02339,059199,0,0,39,40,2,64,36,11,5
07,001,RAWSON,02339,059200,0,0,61,27,3,86,39,4,3
07,001,RAWSON,02339,059201,0,0,67,34,5,59,22,10,3
07,001,RAWSON,02339,059202,0,0,0,43,0,62,38,0,4
07,001,RAWSON,02340,059203,0,0,0,36,6,58,52,11,6
07,001,RAWSON,02340,059204,0,0,51,27,6,72,55,9,9
07,001,RAWSON,02340,059205,0,0,76,33,9,66,50,9,2
07,001,RAWSON,02340,059206,0,0,64,28,10,56,55,14,3
07,001,RAWSON,02340,059207,0,0,50,27,3,55,66,16,7
07,001,RAWSON,02340,059208,0,0,0,31,7,72,68,16,3
07,001,RAWSON,02340,059209,0,0,69,33,8,47,54,10,2
07,001,RAWSON,02340,059210,0,0,0,35,5,72,55,10,2
07,001,RAWSON,02340,059211,0,0,69,29,10,70,50,10,2
07,001,RAWSON,02340,059212,0,0,0,28,4,70,54,9,5
07,001,RAWSON,02340,059213,0,0,67,38,6,69,52,9,2
07,001,RAWSON,02340,059214,0,0,51,21,8,75,56,6,0
07,001,RAWSON,02340,059215,0,0,61,34,9,76,45,9,8
07,001,RAWSON,02341,059216,0,0,69,38,7,62,44,7,8
07,001,RAWSON,02341,059217,0,0,46,29,5,109,54,3,6
07,001,RAWSON,02341,059218,0,0,88,31,2,60,49,8,5
07,001,RAWSON,02341,059219,0,0,64,39,0,65,45,14,6
07,001,RAWSON,02341,059220,0,0,61,39,15,69,54,10,4
07,001,RAWSON,02341,059221,0,0,0,35,7,68,49,7,1
07,001,RAWSON,02341,059222,0,0,61,37,6,71,38,7,7
07,001,RAWSON,02341,059223,0,0,0,31,8,70,49,26,9
07,001,RAWSON,02341,059224,0,0,55,41,9,75,52,8,4
07,001,RAWSON,02341,059225,0,0,60,33,9,70,52,9,8
07,001,RAWSON,02341,059226,0,0,65,18,10,71,47,6,2
07,001,RAWSON,02341,059227,0,0,65,32,11,71,51,14,4
07,001,RAWSON,02341,059228,0,0,73,17,9,63,47,11,9
07,001,RAWSON,02341,059229,0,0,72,41,5,59,55,11,2
07,001,RAWSON,02341,059230,0,0,67,38,7,54,48,6,3
07,001,RAWSON,02341,059231,0,0,76,43,3,55,47,6,13
07,001,RAWSON,02341,059232,0,0,88,23,6,53,65,12,4
07,001,RAWSON,02341,059233,0,0,69,36,7,70,56,8,4
07,001,RAWSON,02341,059234,0,0,77,34,6,66,55,0,5
07,001,RAWSON,02341,059235,0,0,62,45,6,65,47,10,1
07,001,RAWSON,02341,059236,0,0,74,35,8,64,45,8,6
07,001,RAWSON,02341,059237,0,0,102,10,7,68,52,15,4
07,001,RAWSON,02341,059238,0,0,77,48,6,50,40,6,10
07,001,RAWSON,02341,059239,0,0,62,41,8,56,46,14,7
07,001,RAWSON,02341,059240,0,0,67,42,4,74,43,9,4
07,001,RAWSON,02341,059241,0,0,0,0,0,0,0,0,0
07,001,RAWSON,02341,059242,0,0,82,40,5,61,39,10,9
07,001,RAWSON,02341,059243,0,0,54,29,5,61,51,17,7
07,001,RAWSON,02341,059244,0,0,3,48,0,57,53,3,8
07,001,RAWSON,02341,059245,0,0,75,33,6,56,50,6,7
07,001,RAWSON,02341,059246,0,0,73,37,11,52,52,10,7
07,001,RAWSON,02341,059247,0,0,65,45,5,72,38,7,8
07,001,RAWSON,02341,059248,0,0,3,32,7,75,51,14,4
07,001,RAWSON,02341,059249,0,0,69,31,5,84,43,14,5
07,001,RAWSON,02341,059250,0,0,71,41,12,61,48,10,6
07,001,RAWSON,02341,059251,0,0,66,33,15,73,53,5,3
07,001,RAWSON,02341,059252,0,0,80,41,7,74,51,6,0
07,001,RAWSON,02341,059253,0,0,56,37,8,89,53,12,5
07,001,RAWSON,02341,059254,0,0,69,35,9,62,62,7,1
07,001,RAWSON,02342,059255,0,0,74,43,0,55,33,8,6
07,001,RAWSON,02342,059256,0,0,1,33,4,71,41,4,12
07,001,RAWSON,02342,059257,0,0,74,38,8,71,34,2,6
07,001,RAWSON,02342,059258,0,0,71,33,5,70,36,0,3
07,001,RAWSON,02342,059259,0,0,53,36,5,86,40,6,0
07,001,RAWSON,02342,059260,0,0,74,32,3,68,32,17,5
07,001,RAWSON,02342,059261,0,0,67,35,5,85,35,9,3
07,001,RAWSON,02343,059262,0,0,45,27,11,59,80,8,4
07,001,RAWSON,02343,059263,0,0,35,34,14,63,86,13,3
07,001,RAWSON,02343,059264,0,0,39,38,9,58,67,13,2
07,001,RAWSON,02343,059265,0,0,56,0,0,0,0,0,0
07,001,RAWSON,02343,059266,0,0,49,21,10,63,96,8,3
07,001,RAWSON,02343,059267,0,0,47,30,5,73,71,10,2
07,001,RAWSON,02343,059268,0,0,57,32,9,57,69,15,3
07,001,RAWSON,02343,059269,0,0,0,18,6,68,84,9,5
07,001,RAWSON,02343,059270,0,0,53,26,9,55,66,13,3
07,001,RAWSON,02343,059271,0,0,0,36,11,75,74,15,6
07,001,RAWSON,02343,059272,0,0,1,22,7,62,93,10,6
07,001,RAWSON,02343,059273,0,0,49,20,7,65,73,9,3
07,001,RAWSON,02343,059274,0,0,55,26,11,68,73,18,2
07,001,RAWSON,02343,059275,0,0,37,39,11,64,87,9,2
07,001,RAWSON,02343,059276,0,0,55,23,12,59,83,23,7
07,001,RAWSON,02343,059277,0,0,18,23,8,73,79,15,4
07,001,RAWSON,02343,059278,0,0,45,35,4,50,79,14,5
07,001,RAWSON,02343,059279,0,0,59,31,8,55,72,12,2
07,001,RAWSON,02343,059280,0,0,50,23,11,53,84,7,3
07,001,RAWSON,02343,059281,0,0,61,28,10,74,69,11,1
07,001,RAWSON,02344,059282,0,0,29,41,8,109,23,18,9
07,001,RAWSON,02344,059283,0,0,22,52,12,120,24,15,7
07,001,RAWSON,02344,059284,0,0,50,43,6,110,22,11,7
07,001,RAWSON,02344,059285,0,0,38,11,6,90,39,11,9
07,001,RAWSON,02344,059286,0,0,36,55,9,96,27,10,0
07,001,RAWSON,02344,059287,0,0,49,53,13,85,20,14,6
07,001,RAWSON,02344,059288,0,0,28,49,6,108,23,9,9
07,001,RAWSON,02344,059289,0,0,31,48,9,127,25,14,6
07,001,RAWSON,02344,059290,0,0,3,46,4,125,26,0,13
