codprov,coddepto,depto,circuito,mesa,electores,blancos,nulos,00037,00050,00024
18,001,Capital,00001,000001,331,11,NA,43,197,14
18,001,Capital,00001,000010,333,8,NA,61,194,13
18,001,Capital,00001,000011,331,11,NA,33,199,10
18,001,Capital,00001,000012,330,14,NA,42,187,18
18,001,Capital,00001,000013,334,15,NA,31,199,7
18,001,Capital,00001,000014,338,8,NA,54,193,11
18,001,Capital,00001,000002,332,10,NA,36,195,15
18,001,Capital,00001,000003,332,11,NA,46,180,11
18,001,Capital,00001,000004,331,7,NA,38,199,13
18,001,Capital,00001,000005,333,10,NA,36,197,11
18,001,Capital,00001,000006,331,4,NA,41,210,8
18,001,Capital,00001,000007,343,10,NA,38,211,7
18,001,Capital,00001,000008,331,5,NA,54,199,16
18,001,Capital,00001,000009,335,1,NA,53,205,9
18,001,Capital,00002,000015,311,16,NA,46,164,11
18,001,Capital,00002,000016,312,8,NA,53,173,6
18,001,Capital,00002,000017,307,10,NA,43,170,15
18,001,Capital,00002,000018,311,6,NA,38,168,8
18,001,Capital,00002,000019,313,10,NA,53,156,15
18,001,Capital,00002,000020,309,6,NA,34,187,11
18,001,Capital,00002,000021,381,4,NA,57,230,18
18,001,Capital,00003,000022,328,14,NA,47,179,17
18,001,Capital,00003,000023,328,10,NA,41,183,15
18,001,Capital,00003,000024,330,6,NA,54,195,9
18,001,Capital,00003,000025,325,12,NA,47,181,9
18,001,Capital,00003,000026,328,8,NA,43,196,10
18,001,Capital,00003,000027,329,6,NA,43,199,12
18,001,Capital,00003,000028,335,16,NA,39,192,16
18,001,Capital,00004,000029,306,17,NA,57,166,19
18,001,Capital,00004,000030,305,12,NA,65,141,17
18,001,Capital,00004,000031,306,9,NA,55,171,15
18,001,Capital,00004,000032,304,9,NA,56,162,11
18,001,Capital,00004,000033,308,13,NA,60,160,12
18,001,Capital,00004,000034,311,10,NA,60,164,17
18,001,Capital,00005,000035,342,11,NA,71,179,19
18,001,Capital,00005,000036,342,12,NA,93,163,16
18,001,Capital,00005,000037,340,9,NA,86,169,20
18,001,Capital,00005,000038,345,11,NA,73,178,20
18,001,Capital,00005,000039,340,6,NA,64,177,21
18,001,Capital,00005,000040,339,6,NA,78,168,17
18,001,Capital,00005,000041,338,13,NA,83,149,18
18,001,Capital,00005,000042,342,20,NA,83,154,19
18,001,Capital,00006,000043,333,18,NA,135,112,18
18,001,Capital,00006,000044,327,16,NA,144,110,14
18,001,Capital,00006,000045,323,22,NA,99,116,26
18,001,Capital,00006,000046,329,25,NA,109,136,13
18,001,Capital,00006,000047,327,17,NA,124,107,20
18,001,Capital,00006,000048,330,18,NA,117,110,25
18,001,Capital,00006,000049,333,18,NA,118,135,17
18,001,Capital,00006,000050,328,17,NA,128,121,20
18,001,Capital,00006,000051,334,17,NA,125,109,23
18,001,Capital,00006,000052,323,11,NA,126,115,22
18,001,Capital,00006,000053,333,17,NA,142,101,22
18,001,Capital,00007,000054,330,16,NA,191,53,13
18,001,Capital,00007,000055,332,8,NA,192,52,18
18,001,Capital,00007,000056,328,16,NA,165,75,12
18,001,Capital,00007,000057,328,14,NA,186,66,16
18,001,Capital,00007,000058,326,7,NA,198,43,17
18,001,Capital,00007,000059,328,14,NA,181,45,19
18,001,Capital,00007,000060,333,12,NA,170,64,17
18,001,Capital,00007,000061,330,12,NA,174,54,25
18,001,Capital,00007,000062,329,7,NA,157,78,19
18,001,Capital,00007,000063,328,21,NA,142,82,24
18,001,Capital,00007,000064,331,10,NA,165,83,12
18,001,Capital,00007,000065,328,19,NA,156,81,21
18,001,Capital,00007,000066,331,19,NA,163,69,17
18,001,Capital,00008,000067,325,16,NA,97,127,18
18,001,Capital,00008,000068,320,10,NA,114,109,16
18,001,Capital,00008,000069,323,15,NA,106,116,22
18,001,Capital,00008,000070,321,8,NA,93,138,21
18,001,Capital,00008,000071,318,8,NA,107,110,24
