codprov,coddepto,depto,circuito,mesa,electores,blancos,nulos,00099,00097,00005,00009,00098,00100
24,001,Ushuaia,000U1,000001,301,23,10,19,8,72,41,17,27
24,001,Ushuaia,000U1,000010,301,30,12,16,10,74,45,26,24
24,001,Ushuaia,000U1,000011,298,18,11,21,5,75,59,14,23
24,001,Ushuaia,000U1,000012,302,24,18,14,10,77,42,21,18
24,001,Ushuaia,000U1,000013,300,26,9,21,10,70,55,17,21
24,001,Ushuaia,000U1,000014,300,28,12,22,12,75,38,15,23
24,001,Ushuaia,000U1,000015,91,7,4,9,1,26,11,8,9
24,001,Ushuaia,000U1,000002,298,26,6,22,10,68,49,19,16
24,001,Ushuaia,000U1,000003,302,19,18,22,14,79,39,18,18
24,001,Ushuaia,000U1,000004,300,25,13,22,10,54,46,33,26
24,001,Ushuaia,000U1,000005,297,31,7,25,5,68,48,16,10
24,001,Ushuaia,000U1,000006,299,23,6,14,7,81,44,21,22
24,001,Ushuaia,000U1,000007,304,20,13,22,13,78,58,20,15
24,001,Ushuaia,000U1,000008,300,20,13,21,10,54,42,23,21
24,001,Ushuaia,000U1,000009,299,17,18,21,11,79,41,14,22
24,001,Ushuaia,000U2,000016,300,24,14,8,8,85,40,22,27
24,001,Ushuaia,000U2,000017,299,19,14,21,9,81,34,17,20
24,001,Ushuaia,000U2,000018,300,26,12,18,5,69,50,22,24
24,001,Ushuaia,000U2,000019,300,20,12,16,7,75,40,17,17
24,001,Ushuaia,000U2,000020,298,25,8,14,6,77,42,15,19
24,001,Ushuaia,000U2,000021,298,32,10,13,6,73,27,18,22
24,001,Ushuaia,000U2,000022,298,25,13,15,6,86,39,15,24
24,001,Ushuaia,000U2,000023,297,22,5,16,6,76,33,22,19
24,001,Ushuaia,000U2,000024,300,39,8,10,12,76,37,26,17
24,001,Ushuaia,000U2,000025,305,25,17,21,3,64,54,21,28
24,001,Ushuaia,000U2,000026,295,25,15,16,9,59,50,22,19
24,001,Ushuaia,000U2,000027,299,19,8,20,4,76,47,13,10
24,001,Ushuaia,000U2,000028,302,26,11,14,5,68,60,16,22
24,001,Ushuaia,000U2,000029,299,31,9,9,2,74,47,24,19
24,001,Ushuaia,000U2,000030,202,12,12,12,4,57,26,14,7
24,001,Ushuaia,000U3,000031,299,43,0,16,8,83,41,17,23
24,001,Ushuaia,000U3,000032,298,31,14,21,6,90,38,12,14
24,001,Ushuaia,000U3,000033,296,29,10,12,9,87,38,19,22
24,001,Ushuaia,000U3,000034,300,22,13,10,6,78,37,27,24
24,001,Ushuaia,000U3,000035,301,21,12,22,7,89,31,16,17
24,001,Ushuaia,000U3,000036,301,33,6,18,6,71,37,17,23
24,001,Ushuaia,000U3,000037,298,28,7,13,17,74,40,19,12
24,001,Ushuaia,000U3,000038,299,24,6,13,7,78,46,13,21
24,001,Ushuaia,000U3,000039,298,22,21,8,6,70,42,23,14
24,001,Ushuaia,000U3,000040,298,13,12,15,6,83,42,21,15
24,001,Ushuaia,000U3,000041,302,36,9,11,15,74,37,18,21
24,001,Ushuaia,000U3,000042,299,27,15,11,6,81,38,15,28
24,001,Ushuaia,000U3,000043,297,27,7,11,2,80,45,13,27
24,001,Ushuaia,000U3,000044,298,35,16,15,4,82,27,22,17
24,001,Ushuaia,000U3,000045,299,8,11,11,16,78,50,22,16
24,001,Ushuaia,000U3,000046,302,35,19,6,10,96,22,13,26
24,001,Ushuaia,000U3,000047,304,25,8,17,7,83,38,21,27
24,001,Ushuaia,000U3,000048,300,32,12,16,8,80,34,10,17
24,001,Ushuaia,000U3,000049,301,13,9,16,11,93,34,21,17
24,001,Ushuaia,000U3,000050,300,39,16,14,6,70,34,26,18
24,001,Ushuaia,000U3,000051,122,11,2,4,1,37,13,10,6
24,001,Ushuaia,000U4,000052,297,25,11,12,8,73,45,15,27
24,001,Ushuaia,000U4,000053,297,25,11,10,7,78,44,18,22
24,001,Ushuaia,000U4,000054,299,27,7,18,6,95,48,17,9
24,001,Ushuaia,000U4,000055,296,26,5,11,7,75,47,21,15
24,001,Ushuaia,000U4,000056,299,32,15,11,7,76,50,15,18
24,001,Ushuaia,000U4,000057,301,30,9,13,7,80,42,14,21
24,001,Ushuaia,000U4,000058,299,17,6,11,11,59,44,28,26
24,001,Ushuaia,000U4,000059,303,26,16,11,11,71,44,22,17
24,001,Ushuaia,000U4,000060,297,16,12,26,7,67,38,13,22
24,001,Ushuaia,000U4,000061,302,29,9,10,4,83,39,19,14
24,001,Ushuaia,000U4,000062,298,25,0,19,6,87,38,11,23
24,001,Ushuaia,000U4,000063,298,28,9,13,7,87,48,7,20
24,001,Ushuaia,000U4,000064,299,23,17,9,10,68,41,19,25
24,001,Ushuaia,000U4,000065,299,26,11,14,6,91,33,11,24
24,001,Ushuaia,000U4,000066,299,28,20,20,6,73,28,15,19
24,001,Ushuaia,000U4,000067,297,18,11,13,7,71,43,18,16
24,001,Ushuaia,000U4,000068,299,27,7,16,9,75,41,13,16
24,001,Ushuaia,000U4,000069,296,31,2,19,7,80,38,14,12
24,001,Ushuaia,000U4,000070,298,21,18,14,6,68,42,21,11
24,001,Ushuaia,000U4,000071,300,20,9,21,3,54,53,15,19
24,001,Ushuaia,000U4,000072,296,32,11,16,7,76,35,25,17
24,001,Ushuaia,000U4,000073,298,19,9,12,5,68,48,22,19
24,001,Ushuaia,000U4,000074,297,21,9,17,5,78,28,15,10
24,001,Ushuaia,000U4,000075,298,23,12,20,5,66,42,19,22
24,001,Ushuaia,000U4,000076,301,31,14,9,7,75,28,24,21
24,001,Ushuaia,000U4,000077,299,29,13,10,4,86,42,21,21
24,001,Ushuaia,000U4,000078,177,12,4,10,5,41,25,10,15
24,001,Ushuaia,000U5,000100,292,19,16,15,8,77,40,21,20
24,001,Ushuaia,000U5,000101,293,21,20,16,2,66,48,16,22
24,001,Ushuaia,000U5,000102,234,16,8,9,11,43,44,18,12
24,001,Ushuaia,000U5,000079,297,35,7,15,5,73,44,13,28
24,001,Ushuaia,000U5,000080,293,33,9,9,7,62,39,13,32
24,001,Ushuaia,000U5,000081,296,15,13,13,11,73,38,21,17
24,001,Ushuaia,000U5,000082,291,26,19,13,7,54,43,14,19
24,001,Ushuaia,000U5,000083,294,6,9,19,7,84,49,16,20
24,001,Ushuaia,000U5,000084,298,24,13,10,12,70,48,15,20
24,001,Ushuaia,000U5,000085,296,22,9,16,6,73,64,16,17
24,001,Ushuaia,000U5,000086,295,25,17,12,6,55,47,24,21
24,001,Ushuaia,000U5,000087,297,21,11,23,5,62,48,28,18
24,001,Ushuaia,000U5,000088,296,22,15,19,10,59,53,17,21
24,001,Ushuaia,000U5,000089,294,18,5,13,11,70,46,16,22
24,001,Ushuaia,000U5,000090,297,20,7,15,6,69,54,15,12
24,001,Ushuaia,000U5,000091,297,25,15,14,5,67,46,12,21
24,001,Ushuaia,000U5,000092,295,25,16,20,10,55,48,12,19
24,001,Ushuaia,000U5,000093,296,17,8,14,8,91,41,18,18
24,001,Ushuaia,000U5,000094,294,12,11,11,10,75,52,20,15
24,001,Ushuaia,000U5,000095,298,43,2,19,2,72,50,17,12
24,001,Ushuaia,000U5,000096,302,19,13,12,11,65,44,28,18
24,001,Ushuaia,000U5,000097,295,6,4,16,3,67,59,23,23
24,001,Ushuaia,000U5,000098,297,16,13,7,4,65,58,15,26
24,001,Ushuaia,000U5,000099,298,27,2,12,5,57,58,16,22
24,001,Ushuaia,000U6,000103,299,29,14,12,9,72,44,24,14
24,001,Ushuaia,000U6,000104,298,22,15,12,12,77,32,18,26
24,001,Ushuaia,000U6,000105,300,21,8,25,10,56,38,19,16
24,001,Ushuaia,000U6,000106,302,19,15,14,9,64,41,21,19
24,001,Ushuaia,000U6,000107,298,24,13,13,8,86,37,16,13
24,001,Ushuaia,000U6,000108,298,21,21,11,4,68,47,16,19
24,001,Ushuaia,000U6,000109,301,29,8,18,7,71,42,14,25
24,001,Ushuaia,000U6,000110,300,18,16,18,6,71,42,17,22
24,001,Ushuaia,000U6,000111,303,18,12,15,4,79,41,18,20
24,001,Ushuaia,000U6,000112,307,25,8,18,7,72,49,16,24
24,001,Ushuaia,000U6,000113,299,29,9,21,10,62,43,15,19
24,001,Ushuaia,000U6,000114,299,25,8,20,6,76,46,11,20
24,001,Ushuaia,000U6,000115,302,20,18,16,16,64,31,23,21
24,001,Ushuaia,000U6,000116,298,16,12,15,6,64,51,27,17
24,001,Ushuaia,000U6,000117,301,25,10,22,9,75,47,15,16
24,001,Ushuaia,000U6,000118,296,13,16,15,5,68,37,17,13
24,001,Ushuaia,000U6,000119,298,25,8,16,4,66,44,23,22
24,001,Ushuaia,000U6,000120,299,24,12,13,11,77,36,13,24
24,001,Ushuaia,000U6,000121,297,34,16,12,8,75,45,15,13
24,001,Ushuaia,000U6,000122,256,23,11,16,5,60,40,8,18
24,001,Ushuaia,000U7,000123,301,24,20,8,4,89,29,20,22
24,001,Ushuaia,000U7,000124,300,29,5,21,14,85,27,16,23
24,001,Ushuaia,000U7,000125,300,34,14,11,7,83,34,14,14
24,001,Ushuaia,000U7,000126,297,28,16,16,11,77,30,15,23
24,001,Ushuaia,000U7,000127,298,23,10,6,4,82,34,25,24
24,001,Ushuaia,000U7,000128,306,41,10,16,2,97,39,17,16
24,001,Ushuaia,000U7,000129,298,7,25,10,9,98,37,15,16
24,001,Ushuaia,000U7,000130,301,24,15,9,5,103,31,14,17
24,001,Ushuaia,000U7,000131,298,29,10,18,5,97,25,15,27
24,001,Ushuaia,000U7,000132,299,27,15,12,6,92,31,18,24
24,001,Ushuaia,000U7,000133,299,30,8,12,9,98,29,17,28
24,001,Ushuaia,000U7,000134,90,8,2,5,4,21,9,10,10
24,001,Ushuaia,000U8,000135,298,30,13,16,2,50,60,14,12
24,001,Ushuaia,000U8,000136,299,15,8,16,8,45,60,11,20
24,001,Ushuaia,000U8,000137,297,17,4,18,8,53,51,16,20
24,001,Ushuaia,000U8,000138,297,30,3,16,4,63,56,10,22
24,001,Ushuaia,000U8,000139,296,18,11,14,8,63,61,22,22
24,001,Ushuaia,000U8,000140,302,15,8,11,5,62,56,11,12
24,001,Ushuaia,000U8,000141,293,12,4,12,3,70,44,17,23
24,001,Ushuaia,000U8,000142,297,19,8,17,0,63,47,12,21
24,001,Ushuaia,000U8,000143,299,20,17,9,5,50,51,13,14
24,001,Ushuaia,000U8,000144,297,19,4,18,3,50,57,19,21
24,001,Ushuaia,000U8,000145,297,17,9,13,4,55,50,9,19
24,001,Ushuaia,000U8,000146,107,4,5,7,3,19,24,2,9
24,001,Ushuaia,000U9,000147,300,24,11,11,6,75,41,20,22
24,001,Ushuaia,000U9,000148,299,35,9,19,5,89,21,25,10
24,001,Ushuaia,000U9,000149,298,17,7,17,6,72,40,17,23
24,001,Ushuaia,000U9,000150,301,32,3,20,6,77,43,19,14
24,001,Ushuaia,000U9,000151,299,30,7,15,9,78,44,14,15
24,001,Ushuaia,000U9,000152,305,23,9,10,8,66,52,13,24
24,001,Ushuaia,000U9,000153,298,20,11,18,11,71,45,24,16
24,001,Ushuaia,000U9,000154,299,16,7,19,13,71,50,17,20
24,001,Ushuaia,000U9,000155,279,21,6,12,8,55,41,19,21
24,001,Ushuaia,00U10,000156,299,25,12,27,7,62,30,21,19
24,001,Ushuaia,00U10,000157,301,19,10,25,6,85,31,9,29
24,001,Ushuaia,00U10,000158,299,27,11,14,12,103,23,8,13
