codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0008,0033,0065,0171,0174,0188,0202,0211,0259,0502,0503,0510,0530,0546,0554,0560,0580
21,Belgrano,001,0403 ,0054,350,16,22,1,1,4,4,5,16,3,3,2,75,5,1,5,55,19,3,2
21,Belgrano,001,0403 ,0055,351,17,13,2,5,2,1,7,10,10,5,4,68,1,4,3,48,31,3,4
21,Belgrano,001,0403 ,0056,351,9,12,1,1,1,7,10,13,2,3,1,81,2,3,6,57,23,7,3
21,Belgrano,001,0403 ,0057,351,22,7,0,1,1,2,7,17,1,2,7,75,4,6,5,40,23,7,9
21,Belgrano,001,0403 ,0058,351,27,0,2,0,5,2,12,15,3,1,8,59,4,6,5,60,26,1,6
21,Belgrano,001,0403 ,0059,351,28,0,3,0,0,1,8,12,4,2,2,71,4,4,0,59,32,4,8
21,Belgrano,001,0403 ,0060,351,27,0,0,1,1,1,5,19,6,5,11,62,6,5,5,41,28,3,11
21,Belgrano,001,0403 ,0061,342,26,0,2,1,3,5,7,8,1,4,6,63,3,7,4,52,29,4,8
21,Belgrano,001,0404A,0062,351,0,0,1,0,2,0,9,12,5,0,2,99,1,2,8,53,13,1,4
21,Belgrano,001,0404A,0063,351,7,0,0,0,2,3,11,15,1,3,2,90,6,6,6,36,15,1,2
21,Belgrano,001,0404A,0064,351,44,0,0,1,1,2,5,14,4,0,5,136,2,2,3,29,14,3,1
21,Belgrano,001,0404A,0065,351,17,16,2,0,0,0,7,23,4,2,4,117,0,7,0,51,12,0,1
21,Belgrano,001,0404A,0066,350,32,0,1,1,1,1,7,24,3,2,0,122,1,6,1,51,10,4,1
21,Belgrano,001,0404A,0067,351,30,0,0,1,0,0,6,13,5,1,1,120,1,10,1,34,18,5,3
21,Belgrano,001,0404A,0068,351,40,0,0,4,2,2,7,21,3,3,5,89,5,10,5,58,8,1,0
21,Belgrano,001,0404A,0069,350,33,0,0,1,2,0,3,11,4,1,1,98,3,7,2,49,12,3,0
21,Belgrano,001,0404A,0070,351,6,16,1,0,1,0,5,19,2,2,0,116,4,8,3,50,14,4,1
21,Belgrano,001,0404A,0071,351,17,24,0,0,0,3,9,15,0,0,7,103,4,5,7,46,13,0,1
21,Belgrano,001,0404A,0072,351,30,0,1,0,1,1,4,18,1,2,2,105,2,7,5,50,12,5,0
21,Belgrano,001,0404A,0073,350,11,13,0,0,0,1,4,18,1,1,0,138,5,7,4,33,11,4,0
21,Belgrano,001,0404A,0074,351,10,25,0,0,1,0,5,22,0,2,4,83,3,8,6,47,18,8,1
21,Belgrano,001,0404A,0075,351,3,23,1,0,4,1,14,21,3,1,2,92,3,9,6,39,12,5,1
21,Belgrano,001,0404A,0076,351,36,0,1,0,2,2,10,11,6,2,0,98,3,5,4,30,13,1,1
21,Belgrano,001,0404A,0077,350,20,0,0,0,1,1,6,12,6,3,3,87,3,9,3,55,12,4,2
21,Belgrano,001,0404A,0078,350,33,0,1,0,3,0,18,22,8,1,0,87,1,1,5,53,17,3,0
21,Belgrano,001,0404A,0079,351,24,0,0,0,3,0,8,11,3,6,1,106,1,3,2,61,13,3,2
21,Belgrano,001,0404A,0080,351,11,15,0,2,0,0,11,7,2,1,2,104,2,4,7,48,19,9,1
21,Belgrano,001,0404A,0081,350,29,0,0,0,3,0,18,8,5,3,3,82,3,9,4,58,21,2,2
