codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0005,0038,0044,0048,0051,0059,0131,0132,0133,0134,0154,0309
08,Paraná                                  ,001,0001 ,0001,760,4,3,10,4,0,16,8,182,106,10,46,202,4,6
08,Paraná                                  ,001,0001 ,0002,760,19,1,2,10,2,10,12,176,124,12,48,176,2,10
08,Paraná                                  ,001,0001 ,0003,760,45,10,2,8,0,18,14,184,112,16,70,160,2,18
08,Paraná                                  ,001,0001 ,0004,760,0,0,0,8,0,14,28,218,100,4,62,180,2,10
08,Paraná                                  ,001,0001 ,0005,760,44,13,8,8,0,16,16,166,94,10,64,196,2,8
08,Paraná                                  ,001,0001 ,0006,760,10,6,2,18,2,12,12,178,122,6,58,168,4,6
08,Paraná                                  ,001,0001 ,0007,760,20,6,4,4,4,22,14,172,112,10,44,144,4,12
08,Paraná                                  ,001,0001 ,0008,760,40,3,4,8,8,10,10,162,100,10,48,182,2,6
08,Paraná                                  ,001,0001 ,0009,760,24,12,4,10,2,18,12,168,98,12,56,182,4,14
08,Paraná                                  ,001,0001 ,0010,760,50,11,4,6,4,18,6,188,102,4,52,176,2,4
08,Paraná                                  ,001,0001 ,0011,760,0,0,0,6,2,18,14,174,82,12,56,182,2,8
08,Paraná                                  ,001,0001 ,0012,760,26,0,6,6,6,10,6,158,126,8,52,178,2,6
08,Paraná                                  ,001,0001 ,0013,760,45,6,2,6,4,14,14,192,118,8,60,150,0,10
08,Paraná                                  ,001,0001 ,0014,642,16,2,4,12,0,10,12,138,90,6,52,168,4,10
08,Paraná                                  ,001,0001 ,0015,643,40,2,4,12,2,22,10,138,78,6,52,186,4,8
08,Paraná                                  ,001,0001 ,0016,380,4,6,2,3,1,5,1,85,61,6,12,81,0,8
08,Paraná                                  ,001,0001 ,0017,380,19,1,3,2,0,11,5,84,46,3,27,77,1,2
08,Paraná                                  ,001,0001 ,0018,272,1,1,1,1,0,4,3,69,37,2,18,50,0,2
08,Paraná                                  ,001,0002 ,0016,380,26,5,2,1,1,9,1,83,55,1,25,73,1,3
08,Paraná                                  ,001,0002 ,0017,380,27,2,3,2,0,8,5,83,71,3,25,53,0,6
08,Paraná                                  ,001,0002 ,0018,380,0,0,3,3,0,13,4,78,61,4,36,66,0,5
08,Paraná                                  ,001,0002 ,0019,760,6,7,2,4,2,24,6,176,112,8,66,138,4,20
08,Paraná                                  ,001,0002 ,0020,760,34,8,6,2,0,28,6,184,150,4,52,128,0,10
08,Paraná                                  ,001,0002 ,0021,760,17,3,4,10,0,10,12,202,114,18,52,132,4,12
08,Paraná                                  ,001,0002 ,0022,760,21,10,2,10,4,22,12,192,122,8,54,150,2,18
08,Paraná                                  ,001,0002 ,0023,760,36,5,2,14,0,20,8,186,98,6,60,150,2,12
08,Paraná                                  ,001,0002 ,0024,760,36,11,4,8,2,20,8,164,148,6,48,152,2,12
08,Paraná                                  ,001,0002 ,0025,760,39,10,6,8,0,36,6,154,110,8,50,170,0,16
08,Paraná                                  ,001,0002 ,0026,760,0,0,2,10,2,14,16,208,124,12,44,116,0,10
08,Paraná                                  ,001,0002 ,0027,614,33,8,4,10,2,6,4,166,116,6,42,124,2,12
08,Paraná                                  ,001,0002 ,0028,614,6,4,10,8,2,20,8,194,90,10,52,138,2,10
08,Paraná                                  ,001,0002 ,0029,380,2,2,1,2,0,5,2,112,60,2,23,62,1,4
08,Paraná                                  ,001,0002 ,0030,380,14,5,0,3,1,7,5,103,50,3,26,62,3,3
08,Paraná                                  ,001,0002 ,0031,380,30,0,4,1,0,7,5,95,63,2,13,54,1,4
08,Paraná                                  ,001,0002 ,0032,380,10,0,2,6,0,5,3,93,70,3,28,59,0,4
08,Paraná                                  ,001,0002 ,0033,380,0,0,1,0,0,7,4,88,57,5,20,61,0,1
08,Paraná                                  ,001,0002 ,0034,360,12,9,2,3,1,5,2,94,67,3,17,57,1,7
08,Paraná                                  ,001,0003 ,0029,380,21,0,1,2,1,7,4,65,49,5,19,111,1,5
08,Paraná                                  ,001,0003 ,0030,380,0,0,0,4,1,6,5,79,54,1,26,88,1,4
08,Paraná                                  ,001,0003 ,0031,380,0,7,4,3,1,4,5,90,47,5,30,101,1,4
08,Paraná                                  ,001,0003 ,0032,380,1,7,0,1,0,7,8,67,38,3,26,92,1,3
08,Paraná                                  ,001,0003 ,0033,380,4,8,1,10,2,5,1,90,48,5,17,85,2,4
08,Paraná                                  ,001,0003 ,0034,380,26,3,0,3,1,9,7,78,42,3,17,101,0,3
08,Paraná                                  ,001,0003 ,0035,760,0,9,4,10,2,20,6,214,96,6,38,214,2,16
08,Paraná                                  ,001,0003 ,0036,760,15,6,4,6,2,12,14,192,90,10,54,222,2,20
08,Paraná                                  ,001,0003 ,0037,627,8,3,4,8,2,10,4,196,108,6,40,186,0,12
08,Paraná                                  ,001,0003 ,0038,627,31,3,2,8,2,8,10,174,90,4,46,178,2,14
08,Paraná                                  ,001,0003 ,0039,380,23,8,2,2,0,4,8,81,41,2,15,99,1,3
08,Paraná                                  ,001,0003 ,0040,380,13,6,2,1,0,5,1,104,31,3,26,94,1,7
08,Paraná                                  ,001,0003 ,0041,380,3,4,2,3,1,9,5,80,38,3,20,91,2,3
08,Paraná                                  ,001,0003 ,0042,380,15,1,1,1,0,7,4,69,64,2,18,103,0,4
08,Paraná                                  ,001,0003 ,0043,380,21,2,0,2,1,10,6,73,42,3,17,91,3,3
08,Paraná                                  ,001,0003 ,0044,380,14,8,4,2,1,6,6,76,43,1,19,108,1,4
08,Paraná                                  ,001,0003 ,0045,380,18,4,2,1,0,5,2,94,54,1,22,83,0,8
08,Paraná                                  ,001,0003 ,0046,216,9,2,0,2,1,5,4,61,30,1,7,52,0,1
08,Paraná                                  ,001,0004 ,0039,380,27,0,0,5,0,10,3,91,55,5,22,75,1,11
08,Paraná                                  ,001,0004 ,0040,380,0,0,3,6,0,13,3,87,81,3,17,59,1,3
08,Paraná                                  ,001,0004 ,0041,380,26,7,2,4,1,12,5,88,55,4,30,65,1,8
08,Paraná                                  ,001,0004 ,0042,380,20,1,1,3,1,15,2,100,60,4,25,55,1,13
08,Paraná                                  ,001,0004 ,0043,380,31,3,2,2,0,11,6,85,68,1,20,68,2,6
08,Paraná                                  ,001,0004 ,0044,380,15,5,1,2,0,8,6,89,82,4,23,47,0,7
08,Paraná                                  ,001,0004 ,0045,380,25,4,1,2,0,10,2,99,66,5,16,66,1,4
08,Paraná                                  ,001,0004 ,0046,380,25,9,5,2,0,10,4,81,65,3,26,76,3,5
08,Paraná                                  ,001,0004 ,0047,760,36,15,2,4,2,32,4,196,124,16,98,162,4,2
08,Paraná                                  ,001,0004 ,0048,760,39,7,4,8,0,22,14,220,120,16,54,148,2,12
08,Paraná                                  ,001,0004 ,0049,760,28,4,2,4,8,20,8,216,116,10,58,120,0,12
08,Paraná                                  ,001,0004 ,0050,760,43,5,4,4,4,28,6,230,120,12,46,130,4,16
08,Paraná                                  ,001,0004 ,0051,646,45,3,10,4,2,16,8,238,110,6,42,96,0,26
08,Paraná                                  ,001,0004 ,0052,647,30,5,4,6,0,16,8,206,122,8,50,118,2,16
08,Paraná                                  ,001,0004 ,0053,380,11,5,1,2,0,2,3,109,62,6,17,63,0,5
08,Paraná                                  ,001,0004 ,0054,380,12,5,0,5,0,5,5,99,53,1,17,76,0,6
08,Paraná                                  ,001,0004 ,0055,380,2,2,3,1,0,11,5,89,58,0,26,64,1,6
08,Paraná                                  ,001,0004 ,0056,380,2,0,2,2,0,7,2,97,47,3,22,66,2,8
08,Paraná                                  ,001,0004 ,0057,380,1,1,3,4,0,10,3,90,57,3,25,63,1,4
08,Paraná                                  ,001,0004 ,0058,380,21,2,1,4,0,10,3,93,72,2,19,68,0,0
08,Paraná                                  ,001,0004 ,0059,380,28,5,0,2,1,12,3,101,49,2,22,57,0,8
08,Paraná                                  ,001,0004 ,0060,380,0,0,1,2,2,9,5,123,52,4,12,58,0,2
08,Paraná                                  ,001,0004 ,0061,380,22,2,0,1,0,6,3,127,43,3,19,59,0,4
08,Paraná                                  ,001,0004 ,0062,380,24,0,2,3,0,5,3,108,71,1,23,48,1,5
08,Paraná                                  ,001,0004 ,0063,210,6,2,0,2,0,4,3,54,31,1,11,39,0,5
08,Paraná                                  ,001,0004 ,0064,210,16,2,2,0,0,4,3,46,42,2,6,39,1,0
08,Paraná                                  ,001,0005 ,0053,380,13,15,2,0,0,5,6,57,38,1,26,99,48,3
08,Paraná                                  ,001,0005 ,0054,380,19,4,0,7,0,6,3,0,33,5,34,126,2,2
08,Paraná                                  ,001,0005 ,0055,380,25,5,0,4,0,4,6,63,25,1,30,121,4,2
08,Paraná                                  ,001,0005 ,0056,380,0,0,1,6,0,5,5,66,40,2,19,102,3,7
08,Paraná                                  ,001,0005 ,0057,380,6,10,2,3,0,4,5,43,35,0,42,103,1,2
08,Paraná                                  ,001,0005 ,0058,380,0,0,0,8,0,4,2,36,38,4,39,120,4,3
08,Paraná                                  ,001,0005 ,0059,380,0,0,2,3,3,6,5,54,24,0,37,121,1,4
08,Paraná                                  ,001,0005 ,0060,380,0,0,1,2,1,4,5,58,31,2,21,124,3,6
08,Paraná                                  ,001,0005 ,0061,380,0,0,0,4,0,5,2,50,26,4,33,123,2,3
08,Paraná                                  ,001,0005 ,0062,380,0,0,1,1,0,5,6,61,31,2,30,120,0,0
08,Paraná                                  ,001,0005 ,0063,225,0,0,1,2,3,4,3,29,19,1,24,73,0,4
08,Paraná                                  ,001,0005 ,0065,380,0,0,4,1,0,5,4,57,30,0,1,133,2,1
08,Paraná                                  ,001,0005 ,0066,380,26,3,5,2,2,7,3,57,46,2,26,131,0,2
08,Paraná                                  ,001,0005 ,0067,380,0,0,0,5,1,5,7,60,31,0,33,139,1,2
08,Paraná                                  ,001,0005 ,0068,380,2,7,3,5,0,4,5,84,32,2,22,116,2,4
08,Paraná                                  ,001,0005 ,0069,380,18,10,0,3,0,5,0,38,29,2,20,160,1,4
08,Paraná                                  ,001,0005 ,0070,380,0,0,3,3,0,5,6,61,40,3,37,135,1,0
08,Paraná                                  ,001,0005 ,0071,380,0,0,1,0,1,3,1,63,41,1,2,122,1,2
08,Paraná                                  ,001,0005 ,0072,380,0,0,1,0,2,6,1,57,18,0,30,147,1,2
08,Paraná                                  ,001,0005 ,0073,380,13,0,0,3,0,3,2,59,34,1,33,140,3,5
08,Paraná                                  ,001,0005 ,0074,380,0,0,1,6,5,4,3,62,41,2,35,115,0,2
08,Paraná                                  ,001,0005 ,0075,280,0,0,0,1,0,3,1,38,27,0,18,101,0,0
08,Paraná                                  ,001,0005 ,0076,280,21,8,1,1,2,4,3,37,25,1,21,90,1,3
08,Paraná                                  ,001,0006 ,0064,380,0,0,1,2,0,9,6,50,46,2,36,140,4,0
08,Paraná                                  ,001,0006 ,0065,380,5,4,1,1,0,5,5,46,25,6,19,149,0,2
08,Paraná                                  ,001,0006 ,0066,380,11,8,2,2,0,5,4,39,27,0,22,149,4,0
08,Paraná                                  ,001,0006 ,0067,229,0,0,0,1,0,4,1,22,9,2,25,78,0,1
08,Paraná                                  ,001,0006 ,0068,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08,Paraná                                  ,001,0006 ,0077,380,4,3,3,4,0,5,3,55,36,2,33,160,0,2
08,Paraná                                  ,001,0006 ,0078,380,0,0,0,1,0,2,2,52,29,1,19,194,2,2
08,Paraná                                  ,001,0006 ,0079,380,5,5,3,0,0,2,3,67,38,5,33,147,2,0
08,Paraná                                  ,001,0006 ,0080,279,5,5,2,0,0,3,1,36,26,2,20,104,0,3
08,Paraná                                  ,001,0006 ,0081,280,0,0,0,1,0,5,4,42,13,0,24,138,2,3
08,Paraná                                  ,001,0007 ,0069,380,22,8,0,3,0,0,2,60,25,3,26,146,3,0
08,Paraná                                  ,001,0007 ,0070,380,6,5,1,7,0,4,3,29,24,4,25,161,3,1
08,Paraná                                  ,001,0007 ,0071,191,7,1,0,3,0,1,1,17,17,1,12,90,3,1
08,Paraná                                  ,001,0007 ,0072,192,10,3,0,0,0,2,2,22,17,0,17,86,3,0
08,Paraná                                  ,001,0007 ,0082,380,6,7,1,1,0,2,4,50,23,1,28,188,3,0
08,Paraná                                  ,001,0007 ,0083,380,11,3,0,2,0,2,4,45,35,2,25,180,6,0
08,Paraná                                  ,001,0007 ,0084,228,0,6,0,1,0,2,6,33,20,0,11,101,3,0
08,Paraná                                  ,001,0007 ,0085,228,0,0,1,1,0,4,2,37,21,1,8,102,2,0
08,Paraná                                  ,001,0008 ,0073,380,18,7,1,3,0,6,3,55,46,2,25,129,0,3
08,Paraná                                  ,001,0008 ,0074,380,21,4,2,4,0,4,7,66,45,3,32,95,0,6
08,Paraná                                  ,001,0008 ,0075,380,1,5,1,5,1,7,7,73,47,5,19,121,3,4
08,Paraná                                  ,001,0008 ,0076,380,28,0,1,3,0,5,6,81,44,8,18,100,2,4
08,Paraná                                  ,001,0008 ,0077,380,0,0,2,2,0,8,6,68,40,4,27,104,0,1
08,Paraná                                  ,001,0008 ,0078,380,12,12,0,1,0,2,1,69,58,3,25,106,1,2
