codprov,coddepto,depto,circuito,mesa,electores,blancos,nulos,00007,00055,00056,00008,00005,00009,00001,00002,00003,00057,00004,00006
01,001,Comuna 1,00009,000197,343,8,6,0,0,0,3,45,127,15,3,3,0,5,0
01,001,Comuna 1,00009,000198,345,11,2,2,0,1,5,75,110,14,2,2,0,8,0
01,001,Comuna 1,00009,000199,346,20,0,2,0,2,4,54,116,11,2,5,0,5,1
01,001,Comuna 1,00009,000200,347,9,0,2,2,1,6,62,117,15,0,4,0,8,0
01,001,Comuna 1,00009,000201,348,16,0,0,1,0,4,52,129,4,2,2,0,11,0
01,001,Comuna 1,00009,000202,347,8,1,1,0,0,11,67,115,10,3,1,0,5,1
01,001,Comuna 1,00009,000203,346,12,2,1,1,0,9,62,105,12,0,2,0,11,1
01,001,Comuna 1,00009,000204,347,4,5,5,1,1,6,56,123,19,3,0,0,7,0
01,001,Comuna 1,00009,000205,348,8,3,1,1,1,2,57,113,14,0,2,0,9,0
01,001,Comuna 1,00009,000206,347,17,0,0,1,0,5,62,107,22,1,3,0,4,1
01,001,Comuna 1,00009,000207,344,11,3,0,2,0,8,59,115,11,3,4,0,10,0
01,001,Comuna 1,00009,000208,344,9,3,4,1,0,10,54,115,16,1,0,0,10,0
01,001,Comuna 1,00009,000209,344,9,1,0,0,0,4,56,132,6,1,3,0,7,0
01,001,Comuna 1,00009,000210,345,9,3,1,1,1,3,52,128,8,0,2,0,9,0
01,001,Comuna 1,00009,000211,346,8,3,4,0,0,11,52,116,14,3,2,0,7,0
01,001,Comuna 1,00009,000212,343,9,1,0,1,0,9,61,111,17,0,4,0,6,0
01,001,Comuna 1,00009,000213,343,14,0,1,0,0,7,58,115,14,1,5,0,5,0
01,001,Comuna 1,00009,000214,344,16,2,0,0,0,5,56,122,18,1,2,0,13,0
01,001,Comuna 1,00009,000215,345,14,1,1,1,1,7,51,126,20,3,0,0,6,0
01,001,Comuna 1,00009,000216,347,13,3,3,2,0,4,56,126,13,2,4,0,8,0
01,001,Comuna 1,00009,000217,345,9,2,1,0,2,6,45,122,10,2,1,0,7,0
01,001,Comuna 1,00009,000218,346,3,1,1,0,0,7,51,125,17,8,2,0,12,0
01,001,Comuna 1,00009,000219,345,9,5,5,1,0,4,67,110,15,4,1,0,4,0
01,001,Comuna 1,00009,000220,347,8,1,4,1,0,6,61,112,13,1,3,0,10,0
01,001,Comuna 1,00009,000221,342,6,5,1,0,0,8,43,117,15,0,1,0,9,0
01,001,Comuna 1,00009,000222,345,5,2,3,1,0,8,58,107,14,3,1,2,14,0
01,001,Comuna 1,00009,000223,345,9,3,0,0,0,4,61,122,15,3,1,0,10,0
01,001,Comuna 1,00009,000224,345,12,1,3,1,1,6,59,109,10,1,4,1,7,0
01,001,Comuna 1,00009,000225,359,8,1,3,0,0,6,51,126,11,1,5,0,6,1
01,001,Comuna 1,00010,000226,344,9,1,1,2,0,6,78,117,12,2,7,1,11,0
01,001,Comuna 1,00010,000227,343,14,4,1,0,2,9,63,118,13,1,9,1,9,0
01,001,Comuna 1,00010,000228,339,10,2,2,0,0,2,62,128,12,1,3,0,8,0
01,001,Comuna 1,00010,000229,342,18,1,1,2,0,9,58,113,15,1,1,0,9,0
01,001,Comuna 1,00010,000230,341,8,2,3,1,1,5,61,121,16,3,6,0,6,0
01,001,Comuna 1,00010,000231,346,8,2,1,1,1,8,65,119,18,4,4,0,16,0
01,001,Comuna 1,00010,000232,336,8,4,0,1,0,12,60,130,10,3,10,1,4,0
01,001,Comuna 1,00010,000233,347,15,6,5,0,0,6,74,106,14,3,5,1,4,1
01,001,Comuna 1,00010,000234,342,14,2,2,2,0,7,65,126,14,2,2,0,3,2
01,001,Comuna 1,00010,000235,342,15,0,2,0,1,12,59,123,17,2,2,0,5,0
01,001,Comuna 1,00010,000236,342,13,3,1,0,0,2,61,137,22,6,1,0,7,0
01,001,Comuna 1,00010,000237,342,9,0,5,1,0,6,52,146,19,2,4,0,5,0
01,001,Comuna 1,00010,000238,343,13,1,4,0,1,11,60,115,27,0,1,0,13,0
01,001,Comuna 1,00010,000239,343,8,7,3,1,2,14,59,121,13,1,3,0,6,0
01,001,Comuna 1,00010,000240,343,11,5,1,0,0,11,58,124,20,5,2,1,5,2
01,001,Comuna 1,00010,000241,343,5,0,6,1,0,7,76,112,22,5,3,0,5,0
01,001,Comuna 1,00010,000242,340,5,2,5,0,0,16,60,107,21,0,10,0,10,0
01,001,Comuna 1,00010,000243,343,3,1,4,0,1,5,60,137,12,2,7,1,11,1
01,001,Comuna 1,00010,000244,343,8,2,4,1,0,16,56,120,12,3,2,0,9,0
01,001,Comuna 1,00010,000245,344,15,3,5,3,0,15,54,116,19,4,4,1,7,0
01,001,Comuna 1,00010,000246,341,6,3,1,0,0,6,61,124,15,4,5,1,10,1
01,001,Comuna 1,00010,000247,340,5,2,4,1,1,13,61,122,9,1,5,1,9,0
01,001,Comuna 1,00010,000248,340,12,6,1,0,0,7,60,114,24,4,2,2,11,0
01,001,Comuna 1,00010,000249,342,2,4,4,0,1,5,50,149,12,1,5,0,10,0
01,001,Comuna 1,00010,000250,342,13,0,2,1,2,11,64,129,16,1,3,0,12,0
01,001,Comuna 1,00010,000251,342,9,2,3,0,0,7,65,115,22,1,4,0,5,0
01,001,Comuna 1,00010,000252,343,10,2,2,0,2,7,56,118,23,6,6,0,7,1
01,001,Comuna 1,00010,000253,342,9,1,2,2,3,13,52,121,16,2,5,0,14,1
01,001,Comuna 1,00010,000254,341,17,1,4,2,1,7,67,114,11,0,4,0,6,0
01,001,Comuna 1,00010,000255,341,7,1,3,1,0,5,56,136,20,6,3,0,8,1
01,001,Comuna 1,00010,000256,342,8,3,2,2,0,8,69,119,9,3,2,0,8,1
01,001,Comuna 1,00010,000257,344,12,2,2,2,0,12,52,124,12,3,9,0,11,1
01,001,Comuna 1,00010,000258,344,4,0,5,1,0,8,64,131,18,2,0,1,8,0
01,001,Comuna 1,00010,000259,342,12,6,4,1,0,12,58,118,14,2,10,0,6,1
01,001,Comuna 1,00011,000260,340,9,1,2,3,2,15,82,105,13,1,3,0,4,0
01,001,Comuna 1,00011,000261,341,12,4,2,0,1,10,87,103,19,3,4,0,9,0
01,001,Comuna 1,00011,000262,340,6,0,4,2,0,8,74,102,22,2,0,1,7,0
01,001,Comuna 1,00011,000263,337,9,0,0,1,1,9,71,102,12,2,3,0,10,0
01,001,Comuna 1,00011,000264,341,14,2,4,0,0,10,69,102,21,3,1,0,6,0
01,001,Comuna 1,00011,000265,344,14,3,2,1,0,13,79,101,13,5,1,0,5,1
01,001,Comuna 1,00011,000266,342,7,2,7,2,1,3,99,115,19,2,1,0,5,0
01,001,Comuna 1,00011,000267,340,13,2,4,1,2,10,92,96,22,0,6,0,5,0
01,001,Comuna 1,00011,000268,341,7,3,5,2,0,15,82,82,19,1,2,1,14,0
01,001,Comuna 1,00011,000269,341,11,1,8,1,2,9,72,91,20,4,3,0,13,1
01,001,Comuna 1,00011,000270,345,12,2,2,0,1,13,69,99,17,1,3,0,10,2
01,001,Comuna 1,00011,000271,342,11,1,3,0,0,5,85,108,22,0,5,2,7,1
01,001,Comuna 1,00011,000272,342,8,3,2,0,0,8,84,106,7,4,2,0,6,0
01,001,Comuna 1,00011,000273,342,8,6,4,0,0,10,76,101,19,1,4,0,10,0
01,001,Comuna 1,00011,000274,342,10,2,1,0,1,1,86,98,11,0,3,0,10,0
01,001,Comuna 1,00011,000275,342,8,4,2,0,1,5,83,90,22,1,2,1,14,0
01,001,Comuna 1,00011,000276,342,6,0,7,0,0,10,75,81,18,6,5,0,11,0
01,001,Comuna 1,00011,000277,341,9,3,2,0,0,17,79,87,15,3,2,1,6,1
01,001,Comuna 1,00011,000278,342,20,2,5,1,0,11,85,83,14,1,2,2,8,0
01,001,Comuna 1,00011,000279,341,14,2,5,0,0,9,83,93,15,0,2,0,7,1
01,001,Comuna 1,00011,000280,342,10,1,2,3,0,7,81,91,20,2,2,0,5,0
01,001,Comuna 1,00011,000281,339,11,0,2,1,0,8,74,91,20,4,2,0,14,1
01,001,Comuna 1,00011,000282,343,12,1,3,0,0,10,76,106,16,3,3,0,1,0
01,001,Comuna 1,00011,000283,341,7,2,4,0,3,9,79,108,14,2,4,0,7,0
01,001,Comuna 1,00011,000284,345,13,0,3,1,0,9,81,98,10,1,3,0,3,0
01,001,Comuna 1,00011,000285,343,11,2,2,4,1,6,74,113,16,4,1,0,11,0
01,001,Comuna 1,00011,000286,342,11,1,4,0,0,12,95,96,12,2,3,0,7,0
01,001,Comuna 1,00011,000287,342,13,1,6,0,0,5,97,90,12,1,3,0,5,0
01,001,Comuna 1,00011,000288,338,13,4,0,1,0,9,80,90,15,7,3,0,8,0
01,001,Comuna 1,00011,000289,342,12,3,4,0,0,7,83,103,20,4,4,0,9,0
01,001,Comuna 1,00011,000290,341,8,3,6,0,0,7,85,95,19,1,1,0,10,0
01,001,Comuna 1,00011,000291,340,8,3,5,1,0,7,75,88,13,3,3,0,11,0
01,001,Comuna 1,00011,000292,342,9,5,3,0,1,13,69,113,12,3,4,0,7,0
01,001,Comuna 1,00011,000293,339,13,1,0,1,1,10,79,88,13,0,3,0,8,0
