codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0014,0038,0045,0050,0165,0167,0168,0169,0501,0572,0573,0574
13,Capital,001,0001 ,0001,700,9,8,10,8,16,18,2,2,10,14,68,10,288,88
13,Capital,001,0001 ,0002,700,16,2,6,6,6,10,4,4,10,14,68,12,284,78
13,Capital,001,0001 ,0003,700,9,9,16,10,4,14,6,0,10,22,66,10,282,102
13,Capital,001,0001 ,0004,700,2,7,6,10,4,12,6,2,6,26,86,16,306,78
13,Capital,001,0001 ,0005,609,10,5,8,12,16,12,4,2,6,10,86,20,222,104
13,Capital,001,0001 ,0006,528,3,5,2,16,8,12,6,0,12,12,64,18,206,78
13,Capital,001,0001 ,0007,270,0,0,2,3,1,3,0,0,2,6,29,4,106,32
13,Capital,001,0002 ,0007,350,12,4,1,1,1,5,2,2,6,3,27,5,131,48
13,Capital,001,0002 ,0008,645,11,6,2,10,2,8,6,6,10,10,50,8,268,88
13,Capital,001,0002 ,0009,646,3,5,0,0,6,12,6,0,6,16,36,6,260,96
13,Capital,001,0002 ,0010,253,2,4,2,0,1,2,1,0,8,1,21,4,105,35
13,Capital,001,0002 ,0011,253,0,1,1,4,1,1,1,0,3,1,16,3,96,46
13,Capital,001,0003 ,0010,344,5,1,2,1,0,5,2,0,1,4,32,6,110,53
13,Capital,001,0003 ,0011,344,7,1,0,2,3,6,1,0,5,5,7,3,115,64
13,Capital,001,0003 ,0012,350,5,17,2,0,0,4,2,1,4,2,15,5,128,50
13,Capital,001,0003 ,0013,264,0,1,2,2,2,6,0,1,1,5,17,3,95,38
13,Capital,001,0003 ,0014,265,13,1,1,2,0,0,1,0,0,1,13,2,106,47
13,Capital,001,0004 ,0012,350,0,0,2,1,0,6,1,1,7,6,26,1,116,74
13,Capital,001,0004 ,0013,350,24,3,1,2,1,11,2,1,6,3,9,2,125,71
13,Capital,001,0004 ,0014,290,1,2,4,2,2,3,3,2,2,0,14,4,108,51
13,Capital,001,0004 ,0015,641,5,7,10,4,10,6,6,2,6,10,32,12,278,116
13,Capital,001,0004 ,0016,350,1,4,2,3,2,5,2,3,2,5,14,4,121,54
13,Capital,001,0004 ,0017,350,2,1,2,3,5,0,2,0,0,4,10,4,152,48
13,Capital,001,0004 ,0018,263,2,4,2,0,0,2,1,1,1,1,13,2,92,39
13,Capital,001,0004 ,0019,263,1,1,2,1,3,3,0,1,1,3,22,1,92,54
13,Capital,001,0005 ,0016,350,4,0,1,3,3,3,2,1,5,10,27,4,132,60
13,Capital,001,0005 ,0017,350,3,4,3,1,4,7,1,3,4,9,34,6,113,62
13,Capital,001,0005 ,0018,350,3,7,3,1,3,5,1,0,2,7,0,3,121,71
13,Capital,001,0005 ,0019,227,2,5,2,5,0,2,1,2,0,2,23,2,70,41
13,Capital,001,0005 ,0020,577,11,8,4,10,6,14,2,0,10,8,54,6,208,140
13,Capital,001,0005 ,0021,350,4,5,1,2,1,8,1,0,2,2,18,5,117,59
13,Capital,001,0005 ,0022,350,7,1,2,0,1,6,4,0,3,4,18,4,138,44
13,Capital,001,0005 ,0023,350,3,4,2,3,2,8,1,0,6,2,15,5,108,71
13,Capital,001,0005 ,0024,259,7,1,0,0,1,2,0,2,6,4,18,4,79,43
