codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0003,0060,0136,0184,0185,0190,0192,0194,0501,0510,0517
23,Capital,001,0003 ,0063,348,20,4,85,18,4,0,16,5,11,2,49,40,21
23,Capital,001,0003 ,0064,348,27,4,73,19,5,0,20,9,9,0,44,43,19
23,Capital,001,0003 ,0065,348,0,0,92,15,4,0,12,15,4,3,44,34,13
23,Capital,001,0003 ,0066,347,1,3,98,15,4,0,23,12,2,0,53,30,13
23,Capital,001,0003 ,0067,347,1,4,95,12,2,0,14,9,9,4,60,31,9
23,Capital,001,0003 ,0068,347,2,9,82,22,3,0,21,6,6,2,53,28,10
23,Capital,001,0003 ,0069,347,19,4,75,0,6,0,16,14,8,3,55,41,11
23,Capital,001,0003 ,0070,347,0,1,80,0,5,0,21,0,6,2,53,22,4
23,Capital,001,0003 ,0071,347,29,4,91,14,4,0,11,10,5,4,44,33,11
23,Capital,001,0003 ,0072,347,19,3,104,11,7,0,26,15,3,5,46,24,9
23,Capital,001,0003 ,0073,347,25,8,96,17,4,0,18,9,11,3,40,33,11
23,Capital,001,0003 ,0074,347,21,1,98,19,4,0,22,10,2,1,45,30,6
23,Capital,001,0003 ,0075,347,21,3,97,15,6,0,10,7,8,3,53,27,9
23,Capital,001,0003 ,0076,347,19,3,74,10,6,0,24,12,4,2,49,43,8
23,Capital,001,0003 ,0077,347,24,3,82,24,0,0,15,14,3,1,48,38,11
23,Capital,001,0003 ,0078,347,4,1,85,0,7,0,18,7,1,5,41,42,17
23,Capital,001,0003 ,0079,347,2,2,92,11,6,0,23,9,6,2,45,33,12
23,Capital,001,0003 ,0080,347,32,0,99,16,3,0,23,12,4,4,45,23,11
23,Capital,001,0003 ,0081,347,20,4,92,14,4,0,17,11,6,3,49,34,13
23,Capital,001,0004 ,0082,342,10,4,76,12,4,0,15,11,8,9,60,36,8
23,Capital,001,0004 ,0083,342,14,2,84,12,7,0,17,9,2,1,54,44,14
23,Capital,001,0004 ,0084,342,0,0,86,12,5,0,22,3,7,10,47,37,9
23,Capital,001,0004 ,0085,342,15,5,85,8,5,0,23,11,5,1,61,36,12
23,Capital,001,0004 ,0086,342,16,4,87,13,8,0,18,8,4,0,46,39,14
23,Capital,001,0004 ,0087,342,11,8,79,27,2,0,23,10,3,3,53,29,8
23,Capital,001,0004 ,0088,342,9,3,83,16,3,0,15,0,10,2,49,30,9
23,Capital,001,0004 ,0089,342,15,3,80,22,5,0,16,12,5,2,60,41,13
23,Capital,001,0004 ,0090,342,5,2,90,18,5,0,27,12,4,4,55,22,6
23,Capital,001,0004 ,0091,342,24,2,82,26,3,0,17,7,5,3,57,32,12
23,Capital,001,0004 ,0092,342,16,7,78,14,4,0,14,9,6,0,60,40,9
23,Capital,001,0004 ,0093,342,3,4,73,15,4,0,18,6,9,2,50,43,9
23,Capital,001,0004 ,0094,342,21,8,89,9,4,0,16,12,11,4,58,24,9
23,Capital,001,0004 ,0095,341,17,8,77,17,7,0,15,11,8,3,46,41,11
