codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0038,0047,0050,0052,0134,0201,0202,0203,0204,0205,0206,0207,0208
18,Capital                                 ,001,0001 ,0001,323,10,4,1,25,3,2,42,33,0,7,58,13,2,31,1
18,Capital                                 ,001,0001 ,0002,323,5,3,1,19,11,3,39,41,2,3,53,16,0,22,0
18,Capital                                 ,001,0001 ,0003,322,9,0,0,27,10,1,39,38,1,2,49,10,0,30,0
18,Capital                                 ,001,0001 ,0004,322,6,4,0,21,3,1,38,41,0,10,49,9,1,40,0
18,Capital                                 ,001,0001 ,0005,322,7,6,0,35,2,0,51,41,1,2,52,9,1,33,0
18,Capital                                 ,001,0001 ,0006,322,3,1,3,20,2,0,38,49,1,1,64,10,0,26,0
18,Capital                                 ,001,0001 ,0007,322,12,2,1,29,3,4,45,38,0,4,46,9,1,20,1
18,Capital                                 ,001,0001 ,0008,322,8,2,0,30,5,1,47,31,0,2,51,13,3,34,1
18,Capital                                 ,001,0001 ,0009,322,4,5,1,31,5,0,40,41,3,5,60,7,3,20,0
18,Capital                                 ,001,0001 ,0010,322,9,6,0,19,7,1,41,40,0,3,35,6,1,41,2
18,Capital                                 ,001,0001 ,1001,318,1,2,1,0,3,0,51,29,2,7,55,11,0,23,0
18,Capital                                 ,001,0001 ,1002,318,13,2,0,24,8,4,43,38,0,6,53,10,5,39,1
18,Capital                                 ,001,0001 ,1003,318,9,1,1,28,5,4,41,32,3,7,45,6,1,28,1
18,Capital                                 ,001,0001 ,1004,318,5,2,0,12,6,1,44,34,2,7,57,4,2,30,0
18,Capital                                 ,001,0001 ,1005,318,16,4,0,17,2,5,50,33,2,8,52,11,1,17,2
18,Capital                                 ,001,0001 ,1006,318,14,3,1,16,3,3,42,41,3,3,61,6,6,14,2
18,Capital                                 ,001,0001 ,1007,318,2,4,0,21,3,1,34,37,6,9,67,9,0,23,0
18,Capital                                 ,001,0001 ,1008,317,9,3,1,23,8,6,36,29,0,11,64,5,3,29,0
18,Capital                                 ,001,0002 ,0011,305,0,4,1,22,9,3,35,32,1,4,53,12,2,10,0
18,Capital                                 ,001,0002 ,0012,305,0,0,0,34,4,3,31,32,1,1,62,9,1,23,0
18,Capital                                 ,001,0002 ,0013,305,5,5,0,25,3,0,36,32,1,8,54,15,1,17,0
18,Capital                                 ,001,0002 ,0014,304,5,4,1,16,9,1,36,32,1,4,58,14,4,1,1
18,Capital                                 ,001,0002 ,0015,304,5,5,0,26,6,0,39,31,2,4,48,6,0,24,0
18,Capital                                 ,001,0002 ,1009,284,12,2,2,21,1,4,41,27,1,6,58,6,2,19,0
18,Capital                                 ,001,0002 ,1010,284,1,2,1,18,5,6,38,35,1,8,55,4,0,17,0
18,Capital                                 ,001,0002 ,1011,284,6,3,0,14,0,2,46,24,1,8,43,4,1,29,1
18,Capital                                 ,001,0002 ,1012,284,1,2,0,17,3,5,29,37,0,6,53,6,1,20,0
18,Capital                                 ,001,0002 ,1013,284,7,0,1,7,8,2,38,34,4,3,69,4,2,24,0
18,Capital                                 ,001,0003 ,0016,285,5,0,0,14,9,1,40,40,3,9,43,5,0,33,0
18,Capital                                 ,001,0003 ,0017,285,10,4,0,20,3,5,37,27,0,3,42,10,2,33,0
18,Capital                                 ,001,0003 ,0018,285,5,3,1,25,3,0,37,31,0,3,40,12,2,21,0
18,Capital                                 ,001,0003 ,0019,285,5,2,0,14,4,3,38,32,3,7,40,11,4,35,0
18,Capital                                 ,001,0003 ,0020,285,4,3,2,22,5,5,35,28,1,4,46,10,1,21,0
18,Capital                                 ,001,0003 ,0021,285,4,6,2,27,5,0,28,33,1,2,54,12,2,24,0
18,Capital                                 ,001,0003 ,1014,279,6,3,0,16,10,4,39,40,3,5,47,11,0,21,0
18,Capital                                 ,001,0003 ,1015,279,9,3,2,13,3,6,40,28,1,5,46,10,0,18,0
18,Capital                                 ,001,0003 ,1016,279,3,1,0,17,4,1,23,29,0,1,56,8,2,34,0
18,Capital                                 ,001,0003 ,1017,279,13,5,3,7,9,1,33,34,1,2,56,8,1,33,0
18,Capital                                 ,001,0003 ,1018,278,0,2,0,19,2,5,56,32,2,6,35,9,1,33,0
18,Capital                                 ,001,0004 ,0022,300,4,4,2,22,2,1,69,35,3,5,27,14,2,36,2
18,Capital                                 ,001,0004 ,0023,300,6,3,2,13,10,3,57,35,1,3,31,19,1,42,0
18,Capital                                 ,001,0004 ,0024,300,5,2,1,11,2,4,59,32,0,2,38,16,2,15,1
18,Capital                                 ,001,0004 ,0025,299,0,1,1,0,4,0,64,47,2,2,31,19,0,18,1
18,Capital                                 ,001,0004 ,1019,260,14,4,1,15,6,4,46,29,6,6,28,4,4,21,1
18,Capital                                 ,001,0004 ,1020,259,13,7,0,9,7,2,51,23,1,2,53,7,3,14,0
18,Capital                                 ,001,0004 ,1021,259,13,4,0,14,1,2,67,28,0,6,22,7,1,12,2
18,Capital                                 ,001,0004 ,1022,259,10,5,2,5,8,4,49,26,2,5,28,11,3,27,1
18,Capital                                 ,001,0005 ,0026,297,2,5,0,19,1,2,71,33,0,3,45,11,5,11,4
18,Capital                                 ,001,0005 ,0027,297,9,1,1,21,6,3,58,45,3,3,33,16,4,20,0
18,Capital                                 ,001,0005 ,0028,297,6,1,1,20,1,7,71,31,3,2,35,8,3,18,3
18,Capital                                 ,001,0005 ,0029,297,1,0,0,19,6,3,67,22,3,3,37,10,4,24,2
18,Capital                                 ,001,0005 ,0030,296,8,6,0,14,1,3,59,40,0,1,37,12,5,15,0
18,Capital                                 ,001,0005 ,0031,296,5,1,2,13,0,4,84,30,1,3,32,6,1,10,5
18,Capital                                 ,001,0005 ,1023,294,7,8,0,14,4,5,73,40,3,3,39,13,1,18,0
18,Capital                                 ,001,0005 ,1024,294,9,1,0,11,4,3,74,38,3,5,34,11,2,13,2
18,Capital                                 ,001,0005 ,1025,294,7,3,1,14,11,2,67,34,1,2,46,5,2,16,0
18,Capital                                 ,001,0005 ,1026,294,6,3,0,10,5,7,65,36,3,2,36,10,3,21,1
18,Capital                                 ,001,0005 ,1027,294,10,5,0,18,4,4,52,23,3,2,36,12,4,28,0
18,Capital                                 ,001,0006 ,0032,321,5,3,3,6,6,2,101,39,2,2,40,13,4,8,0
18,Capital                                 ,001,0006 ,0033,321,0,4,2,12,0,6,97,40,2,4,46,15,9,8,0
18,Capital                                 ,001,0006 ,0034,320,2,0,0,9,5,1,114,42,3,1,27,9,13,7,0
18,Capital                                 ,001,0006 ,0035,320,7,9,1,11,0,0,104,43,2,2,21,15,3,18,0
18,Capital                                 ,001,0006 ,1028,297,8,4,1,4,0,6,80,30,7,1,26,11,2,12,1
18,Capital                                 ,001,0006 ,1029,296,4,1,0,9,2,2,83,28,1,2,29,6,0,16,3
18,Capital                                 ,001,0006 ,1030,296,1,3,0,11,2,4,81,36,3,2,24,9,6,13,2
18,Capital                                 ,001,0006 ,1031,296,1,4,2,4,5,3,102,28,3,1,26,7,3,13,4
18,Capital                                 ,001,0007 ,0036,294,4,2,0,7,0,2,111,46,1,0,16,12,4,4,1
18,Capital                                 ,001,0007 ,0037,294,1,3,0,12,1,4,102,41,0,2,14,18,8,11,1
18,Capital                                 ,001,0007 ,0038,294,7,8,0,8,0,2,116,34,0,2,8,12,10,4,0
18,Capital                                 ,001,0007 ,0039,293,6,3,0,6,5,4,106,37,1,0,9,12,0,10,0
18,Capital                                 ,001,0007 ,0040,293,0,0,0,9,0,3,87,42,1,0,18,17,8,0,0
18,Capital                                 ,001,0007 ,0041,293,0,4,1,11,0,3,105,41,0,0,7,16,15,4,0
18,Capital                                 ,001,0007 ,0042,293,0,0,0,5,1,4,123,42,0,1,16,6,3,3,0
18,Capital                                 ,001,0007 ,1032,309,11,5,0,7,1,1,107,34,2,1,14,17,4,7,0
18,Capital                                 ,001,0007 ,1033,308,1,1,0,6,4,1,108,30,2,2,20,8,8,14,0
18,Capital                                 ,001,0007 ,1034,308,13,4,0,7,2,3,85,38,1,2,14,12,11,8,0
18,Capital                                 ,001,0007 ,1035,308,1,2,0,9,0,5,115,30,1,0,21,14,2,6,0
18,Capital                                 ,001,0007 ,1036,308,3,0,1,6,0,0,92,39,4,1,16,15,12,7,2
18,Capital                                 ,001,0007 ,1037,308,0,0,1,9,0,5,108,28,1,2,21,12,4,5,1
18,Capital                                 ,001,0008 ,0043,314,1,2,1,11,7,2,94,37,5,2,25,15,7,16,0
18,Capital                                 ,001,0008 ,0044,314,2,3,0,7,8,4,101,34,0,3,28,16,8,0,0
18,Capital                                 ,001,0008 ,0045,314,5,2,0,11,4,5,91,40,0,3,27,18,7,19,2
18,Capital                                 ,001,0008 ,0046,314,0,0,1,12,7,0,89,49,5,0,30,12,6,12,3
18,Capital                                 ,001,0008 ,0047,314,0,1,1,19,3,0,92,39,0,0,30,9,5,20,1
18,Capital                                 ,001,0008 ,0048,314,1,4,2,11,7,3,108,39,4,5,33,6,8,11,1
18,Capital                                 ,001,0008 ,0049,313,0,0,1,13,4,4,75,42,3,3,20,15,2,17,0
18,Capital                                 ,001,0008 ,1038,314,18,0,1,12,1,6,82,36,6,0,23,9,10,8,1
18,Capital                                 ,001,0008 ,1039,314,3,3,0,11,3,4,86,32,2,2,27,14,5,13,2
18,Capital                                 ,001,0008 ,1040,314,1,3,1,5,2,5,69,34,1,1,44,11,10,10,1
18,Capital                                 ,001,0008 ,1041,314,8,3,0,7,1,4,83,44,4,0,30,9,5,21,2
18,Capital                                 ,001,0008 ,1042,313,3,3,0,10,0,4,90,31,3,0,26,9,14,10,2
