codprov,coddepto,depto,circuito,mesa,electores,blancos,nulos,00055,00050,00037,00036
16,001,Adolfo Alsina,00002,000161,336,17,0,68,54,69,0
16,001,Adolfo Alsina,00002,000162,337,7,2,71,43,93,6
16,001,Adolfo Alsina,00002,000163,332,18,0,69,46,83,4
16,001,Adolfo Alsina,00002,000164,331,6,2,67,32,99,0
16,001,Adolfo Alsina,00002,000165,332,14,2,69,39,88,3
16,001,Adolfo Alsina,00002,000166,331,8,1,57,47,94,6
16,001,Adolfo Alsina,00003,000167,22,1,0,5,4,2,0
16,001,Adolfo Alsina,00004,000168,284,6,1,42,65,54,3
16,001,Adolfo Alsina,00004,000169,278,4,12,51,54,54,9
16,001,Adolfo Alsina,00004,000170,280,2,0,59,49,48,5
16,001,Adolfo Alsina,00101,000001,339,7,11,98,68,48,14
16,001,Adolfo Alsina,00101,000010,337,4,4,94,82,54,11
16,001,Adolfo Alsina,00101,000011,383,3,5,82,69,65,14
16,001,Adolfo Alsina,00101,000002,337,10,5,98,50,71,19
16,001,Adolfo Alsina,00101,000003,339,4,3,79,79,58,13
16,001,Adolfo Alsina,00101,000004,336,3,8,96,77,49,16
16,001,Adolfo Alsina,00101,000005,335,6,12,92,66,69,14
16,001,Adolfo Alsina,00101,000006,334,2,4,94,70,62,12
16,001,Adolfo Alsina,00101,000007,337,10,6,88,90,68,9
16,001,Adolfo Alsina,00101,000008,336,4,8,81,72,73,5
16,001,Adolfo Alsina,00101,000009,336,0,20,68,89,60,10
16,001,Adolfo Alsina,00102,000012,317,12,5,64,28,100,5
16,001,Adolfo Alsina,00102,000013,317,8,16,72,28,99,5
16,001,Adolfo Alsina,00102,000014,321,14,13,90,22,111,5
16,001,Adolfo Alsina,00102,000015,320,4,11,55,31,102,9
16,001,Adolfo Alsina,00102,000016,320,8,6,69,25,116,9
16,001,Adolfo Alsina,00102,000017,319,8,9,72,42,104,10
16,001,Adolfo Alsina,00102,000018,321,5,2,81,32,95,3
16,001,Adolfo Alsina,00102,000019,316,12,0,75,29,100,7
16,001,Adolfo Alsina,00102,000020,320,6,10,66,27,118,7
16,001,Adolfo Alsina,00102,000021,321,6,8,82,30,104,7
16,001,Adolfo Alsina,00102,000022,324,7,6,81,31,103,5
16,001,Adolfo Alsina,00103,000023,312,6,9,108,50,57,11
16,001,Adolfo Alsina,00103,000024,315,0,7,93,50,65,16
