codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0014,0022,0048,0058,0101,0233,0234,0236,0237,0238,0239,0240,0241
23,Capital                                 ,001,0003 ,0038,374,2,3,5,3,14,1,80,23,28,0,3,25,10,22,18
23,Capital                                 ,001,0003 ,0039,374,2,2,4,3,31,3,62,25,18,0,3,20,9,40,27
23,Capital                                 ,001,0003 ,0040,374,0,3,4,2,17,3,72,18,27,0,2,28,10,35,21
23,Capital                                 ,001,0003 ,0041,374,2,4,1,4,20,4,53,27,19,2,1,37,15,30,23
23,Capital                                 ,001,0003 ,0042,374,6,2,5,3,14,4,64,24,32,1,2,23,6,39,24
23,Capital                                 ,001,0003 ,0043,374,3,6,3,6,10,4,78,31,18,0,3,28,10,28,17
23,Capital                                 ,001,0003 ,1294,398,6,6,2,2,14,4,80,32,21,1,8,41,12,32,21
23,Capital                                 ,001,0003 ,1295,398,6,7,7,3,14,4,82,24,17,0,2,37,9,42,27
23,Capital                                 ,001,0003 ,1296,398,5,3,5,6,18,1,72,24,16,1,1,42,15,30,21
23,Capital                                 ,001,0003 ,1297,398,9,2,7,4,23,4,76,23,23,0,3,26,7,38,28
23,Capital                                 ,001,0003 ,1298,398,10,8,2,4,20,2,97,37,24,0,1,35,6,21,29
23,Capital                                 ,001,0003 ,1299,398,2,3,2,4,16,1,63,31,14,0,3,34,19,48,26
23,Capital                                 ,001,0003 ,1300,398,9,5,4,1,10,7,63,26,26,1,0,40,10,37,17
23,Capital                                 ,001,0003 ,1301,398,5,8,9,2,21,3,73,28,28,1,0,36,10,36,18
23,Capital                                 ,001,0004 ,0044,400,0,0,4,0,18,6,96,22,22,0,0,28,10,31,28
23,Capital                                 ,001,0004 ,0045,399,2,8,9,7,20,4,104,18,38,0,1,26,8,25,15
23,Capital                                 ,001,0004 ,0046,399,3,5,2,3,12,6,81,24,23,0,0,24,10,36,20
23,Capital                                 ,001,0004 ,0047,399,4,6,5,4,18,2,82,23,31,0,0,19,19,45,26
23,Capital                                 ,001,0004 ,0048,399,4,5,3,3,15,3,90,19,24,2,1,32,10,39,24
23,Capital                                 ,001,0004 ,0049,399,7,12,4,5,25,1,77,20,30,0,1,21,5,31,20
23,Capital                                 ,001,0004 ,0050,399,1,8,7,1,19,3,99,24,16,0,1,29,11,36,18
23,Capital                                 ,001,0004 ,0051,399,7,4,7,7,17,7,80,27,21,1,2,33,8,26,18
23,Capital                                 ,001,0004 ,0052,399,4,8,3,4,19,8,104,15,33,1,0,26,9,26,26
23,Capital                                 ,001,0004 ,1302,353,4,5,2,2,13,7,62,25,28,0,2,33,14,26,14
23,Capital                                 ,001,0004 ,1303,353,3,9,4,4,18,2,76,27,22,1,1,31,3,33,20
23,Capital                                 ,001,0004 ,1304,353,4,7,2,1,25,1,72,28,20,0,2,19,11,42,15
23,Capital                                 ,001,0004 ,1305,353,3,3,8,5,7,4,76,17,27,0,2,21,6,42,15
23,Capital                                 ,001,0004 ,1306,353,6,9,5,3,11,3,70,25,15,0,0,26,1,40,12
23,Capital                                 ,001,0004 ,1307,353,3,8,8,2,21,3,62,18,23,2,2,33,12,25,14
23,Capital                                 ,001,0004 ,1308,352,5,4,3,3,8,3,73,19,31,0,0,35,9,30,15
23,Capital                                 ,001,0004 ,1309,352,3,8,3,4,21,4,56,28,17,1,0,32,10,42,15
23,Capital                                 ,001,0005 ,0053,399,6,5,4,2,27,3,54,41,32,1,4,21,17,32,25
23,Capital                                 ,001,0005 ,0054,399,7,2,1,3,29,3,74,32,39,0,2,14,16,30,19
23,Capital                                 ,001,0005 ,0055,399,2,3,3,1,22,4,55,36,22,1,3,23,30,41,19
23,Capital                                 ,001,0005 ,0056,399,3,2,2,3,49,3,53,37,22,0,0,16,22,33,18
23,Capital                                 ,001,0005 ,0057,399,4,3,3,0,33,1,50,46,22,0,0,8,29,42,27
23,Capital                                 ,001,0005 ,0058,399,6,4,1,5,36,2,52,30,27,0,1,29,20,28,20
23,Capital                                 ,001,0005 ,0059,399,5,7,1,3,32,0,55,50,37,0,0,22,16,32,13
23,Capital                                 ,001,0005 ,0060,399,5,6,4,2,27,6,53,41,25,0,0,20,26,31,23
23,Capital                                 ,001,0005 ,0061,399,6,11,3,2,41,4,59,34,29,0,0,18,24,25,13
23,Capital                                 ,001,0005 ,0062,398,3,3,3,4,35,0,70,42,27,0,0,15,28,36,12
23,Capital                                 ,001,0005 ,0063,398,7,9,2,2,32,3,50,31,31,1,1,30,20,33,11
23,Capital                                 ,001,0005 ,0064,398,3,5,2,2,25,6,70,27,35,0,0,30,16,30,13
23,Capital                                 ,001,0005 ,0065,398,5,8,1,6,27,2,49,49,27,1,2,25,18,39,24
23,Capital                                 ,001,0005 ,1310,378,6,6,0,4,35,3,61,33,18,0,1,33,20,23,20
23,Capital                                 ,001,0005 ,1311,378,10,7,2,1,17,4,54,35,15,0,1,28,17,39,21
23,Capital                                 ,001,0005 ,1312,378,3,1,0,1,38,2,52,45,23,1,1,18,27,39,20
23,Capital                                 ,001,0005 ,1313,378,5,7,1,3,30,3,53,36,35,1,1,27,24,44,13
23,Capital                                 ,001,0005 ,1314,378,5,8,4,1,28,1,55,55,23,0,1,25,21,24,22
23,Capital                                 ,001,0005 ,1315,378,8,1,2,2,36,1,57,37,25,0,2,15,10,31,16
23,Capital                                 ,001,0005 ,1316,378,8,7,2,2,35,3,57,34,30,0,1,24,15,26,23
23,Capital                                 ,001,0005 ,1317,378,5,3,0,4,44,1,51,43,26,0,1,20,24,35,21
23,Capital                                 ,001,0005 ,1318,377,6,4,1,1,30,3,55,53,14,1,2,33,11,31,17
23,Capital                                 ,001,0005 ,1319,377,5,5,1,1,23,2,65,29,23,1,0,24,21,18,25
23,Capital                                 ,001,0005 ,1320,377,5,4,4,2,31,4,51,44,22,2,1,16,21,27,21
23,Capital                                 ,001,0006 ,0066,367,3,6,4,0,16,1,65,34,19,3,1,25,11,21,14
23,Capital                                 ,001,0006 ,0067,367,5,3,3,2,24,1,76,33,23,2,2,21,12,27,21
23,Capital                                 ,001,0006 ,0068,367,2,7,1,1,18,3,67,23,21,0,0,19,10,28,15
23,Capital                                 ,001,0006 ,0069,367,2,10,4,1,16,1,67,31,25,1,0,14,8,26,21
23,Capital                                 ,001,0006 ,0070,367,4,12,1,1,26,1,68,33,20,2,0,24,10,27,28
23,Capital                                 ,001,0006 ,0071,367,2,4,2,2,20,1,60,29,30,0,2,22,18,26,19
23,Capital                                 ,001,0006 ,0072,367,1,3,2,6,34,2,60,30,22,0,1,30,11,28,21
23,Capital                                 ,001,0006 ,1321,346,3,6,14,3,19,5,56,26,11,0,2,20,13,33,18
23,Capital                                 ,001,0006 ,1322,346,2,4,2,8,21,3,62,25,15,2,0,33,10,35,20
23,Capital                                 ,001,0006 ,1323,345,7,7,7,2,15,2,59,29,26,3,0,24,10,33,16
23,Capital                                 ,001,0006 ,1324,345,5,5,3,0,30,3,54,31,21,2,0,27,9,24,20
23,Capital                                 ,001,0006 ,1325,345,2,5,32,2,20,2,67,28,14,2,0,28,13,34,22
