codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0002,0006,0008,0014,0038,0045,0050,0165,0166,0167,0168,0169,0501,0572,0573,0574,0575
13,Capital,001,0001 ,0001,700,5,8,48,2,0,10,10,16,18,2,6,2,10,20,6,12,282,92,14
13,Capital,001,0001 ,0002,700,13,2,54,10,4,6,6,10,14,4,2,4,14,14,10,16,280,76,10
13,Capital,001,0001 ,0003,700,7,6,36,6,6,14,8,4,14,6,4,0,6,26,14,14,274,108,2
13,Capital,001,0001 ,0004,700,1,8,46,6,0,6,10,4,14,6,2,2,8,26,20,18,298,84,8
13,Capital,001,0001 ,0005,609,2,0,56,2,4,8,16,12,10,4,6,2,6,14,22,20,232,114,12
13,Capital,001,0001 ,0006,528,4,6,34,2,4,2,16,8,12,6,2,0,12,12,20,24,202,82,6
13,Capital,001,0001 ,0007,270,0,0,19,2,2,2,3,1,4,0,0,0,2,7,3,5,103,32,2
13,Capital,001,0002 ,0007,350,10,4,16,3,0,1,1,1,5,2,3,2,6,4,2,5,131,49,3
13,Capital,001,0002 ,0008,645,7,3,36,12,4,0,8,2,8,6,4,6,10,12,4,10,268,88,2
13,Capital,001,0002 ,0009,646,5,5,16,2,2,0,0,6,10,6,8,0,6,16,10,8,258,94,4
13,Capital,001,0002 ,0010,253,0,0,13,1,0,2,0,1,2,1,0,0,6,2,5,4,105,37,2
13,Capital,001,0002 ,0011,253,0,2,7,1,0,1,4,2,1,1,2,0,1,1,3,3,97,45,3
13,Capital,001,0003 ,0010,344,6,1,17,3,2,2,1,0,5,3,0,0,1,5,7,6,106,54,3
13,Capital,001,0003 ,0011,344,7,1,11,1,0,0,2,4,6,2,1,0,4,5,6,5,110,68,1
13,Capital,001,0003 ,0012,350,5,17,4,1,0,2,0,0,4,2,0,1,3,4,9,6,117,59,1
13,Capital,001,0003 ,0013,264,0,1,10,0,1,2,2,3,6,0,2,1,1,5,1,4,93,39,4
13,Capital,001,0003 ,0014,265,0,1,11,0,0,1,2,0,1,1,0,0,0,1,0,3,102,49,5
13,Capital,001,0004 ,0012,350,0,0,24,0,1,2,1,0,8,1,0,1,6,6,1,1,113,76,0
13,Capital,001,0004 ,0013,350,32,3,12,1,1,1,2,1,11,3,2,1,5,3,9,2,119,78,2
13,Capital,001,0004 ,0014,290,1,3,9,0,1,4,2,2,3,3,0,2,2,3,5,4,105,52,0
13,Capital,001,0004 ,0015,641,7,1,18,2,2,10,4,10,8,6,2,2,6,10,6,14,280,120,4
13,Capital,001,0004 ,0016,350,1,4,1,0,3,2,3,2,5,1,7,3,1,6,2,6,117,60,0
13,Capital,001,0004 ,0017,350,3,1,3,1,4,2,3,5,0,2,1,0,0,5,0,5,145,53,2
13,Capital,001,0004 ,0018,263,0,4,8,0,0,2,0,0,3,1,0,1,1,2,3,2,93,38,2
13,Capital,001,0004 ,0019,263,0,1,12,3,0,2,1,3,4,0,1,1,1,3,2,1,92,55,3
13,Capital,001,0005 ,0016,350,6,0,19,0,1,1,2,3,4,2,2,1,5,10,0,6,124,68,1
13,Capital,001,0005 ,0017,350,4,4,22,0,0,4,1,4,8,0,4,2,2,10,6,6,116,65,2
13,Capital,001,0005 ,0018,350,3,7,21,0,1,3,1,3,5,1,4,0,1,7,31,5,124,69,3
13,Capital,001,0005 ,0019,227,4,5,14,1,1,2,3,0,3,1,0,2,0,5,7,3,62,43,1
13,Capital,001,0005 ,0020,577,13,8,38,2,6,4,10,8,14,2,0,0,8,12,8,6,190,158,8
13,Capital,001,0005 ,0021,350,4,5,13,2,0,1,2,1,8,1,1,0,1,3,0,5,115,62,1
13,Capital,001,0005 ,0022,350,3,1,7,0,3,2,0,1,6,4,1,0,4,7,5,6,131,49,2
13,Capital,001,0005 ,0023,350,5,4,6,0,0,2,2,2,8,2,0,0,6,3,8,5,104,71,1
13,Capital,001,0005 ,0024,259,4,2,9,2,1,0,0,1,2,0,1,2,5,5,2,5,80,44,2
13,Capital,001,0005 ,0025,259,6,0,12,3,1,2,1,3,3,0,1,0,3,6,0,9,90,45,3
13,Capital,001,0006 ,0021,350,7,3,10,0,0,4,3,1,5,2,0,0,2,4,9,3,122,86,1
13,Capital,001,0006 ,0022,350,6,2,16,0,0,0,3,1,3,2,4,0,1,4,4,4,115,80,3
13,Capital,001,0006 ,0023,350,1,11,15,1,0,0,4,3,8,2,4,0,2,10,2,7,132,64,0
13,Capital,001,0006 ,0024,350,0,0,16,1,0,2,3,4,5,2,0,2,2,9,9,4,122,62,1
13,Capital,001,0006 ,0025,350,0,0,0,0,0,1,5,3,6,0,0,0,3,6,9,2,135,71,0
13,Capital,001,0006 ,0026,618,14,1,26,6,4,6,14,0,12,4,2,4,8,6,20,10,262,116,2
13,Capital,001,0006 ,0027,618,21,12,28,2,0,0,0,8,14,0,2,0,6,14,14,12,282,106,8
13,Capital,001,0006 ,0028,350,0,0,12,0,0,2,0,1,5,0,2,2,1,7,7,4,141,62,2
13,Capital,001,0006 ,0029,350,7,2,11,2,0,1,0,3,7,0,2,2,0,8,2,9,124,55,4
13,Capital,001,0006 ,0030,350,5,4,10,0,5,1,3,2,6,1,1,0,2,8,2,9,125,62,1
13,Capital,001,0006 ,0031,350,8,4,12,0,2,0,2,0,3,2,0,1,4,4,2,3,136,72,2
13,Capital,001,0006 ,0032,333,0,0,16,0,0,4,0,2,4,1,0,3,2,4,6,8,130,48,0
13,Capital,001,0006 ,0033,334,3,2,10,0,1,2,2,4,5,1,0,1,3,9,5,8,127,65,2
13,Capital,001,0007 ,0028,350,1,7,23,0,0,4,5,1,5,3,2,0,4,4,2,6,124,71,1
13,Capital,001,0007 ,0029,350,6,2,21,3,1,2,5,4,2,3,3,2,3,17,4,5,98,64,5
13,Capital,001,0007 ,0030,350,7,0,56,0,1,3,3,1,12,2,5,0,5,2,0,6,121,56,0
13,Capital,001,0007 ,0031,234,3,7,0,0,0,2,4,1,3,1,1,0,1,1,16,3,81,46,3
13,Capital,001,0007 ,0032,235,5,4,9,0,2,0,0,0,3,0,2,0,2,5,1,2,75,42,1
13,Capital,001,0007 ,0034,350,0,0,20,1,0,2,2,4,8,1,2,3,4,8,5,10,107,61,6
13,Capital,001,0007 ,0035,350,18,3,18,1,3,0,2,2,4,1,0,0,2,6,8,10,110,78,0
13,Capital,001,0007 ,0036,350,1,1,17,0,0,3,0,3,3,0,2,0,3,11,4,13,122,61,1
13,Capital,001,0007 ,0037,350,3,0,13,1,0,3,2,4,3,1,0,0,5,8,1,12,123,68,0
13,Capital,001,0007 ,0038,200,1,2,10,0,1,0,2,0,1,2,0,1,2,4,1,7,84,33,2
13,Capital,001,0007 ,0039,201,2,2,11,3,0,3,0,0,1,0,2,0,1,7,4,10,80,30,1
13,Capital,001,0008 ,0033,350,7,0,17,0,0,1,4,1,9,2,0,2,1,14,8,6,113,50,0
13,Capital,001,0008 ,0034,350,4,1,20,0,1,5,3,1,4,1,0,1,5,5,3,8,122,52,2
13,Capital,001,0008 ,0035,226,3,2,7,0,0,3,0,4,1,2,0,2,1,6,3,8,85,36,2
13,Capital,001,0008 ,0036,227,3,3,11,0,0,7,3,4,2,0,0,0,0,5,3,4,88,24,1
13,Capital,001,0008 ,0040,350,2,2,20,0,0,4,3,2,12,0,2,2,4,9,4,11,107,49,1
13,Capital,001,0008 ,0041,350,9,8,22,1,0,2,0,4,9,0,1,1,0,6,7,11,130,45,1
13,Capital,001,0008 ,0042,350,9,0,11,1,0,0,3,7,7,3,1,0,2,7,11,2,120,42,1
13,Capital,001,0008 ,0043,182,1,0,7,0,0,0,2,2,3,2,1,0,0,3,1,4,73,28,3
13,Capital,001,0008 ,0044,183,0,0,5,0,1,1,0,0,5,0,0,0,0,1,1,3,75,30,1
13,Capital,001,0009 ,0037,350,10,2,21,0,2,3,3,3,4,0,1,2,2,6,5,5,125,41,2
13,Capital,001,0009 ,0038,346,2,2,19,1,0,6,1,1,7,2,6,1,3,2,4,6,123,44,5
13,Capital,001,0009 ,0039,347,5,9,22,1,0,5,5,4,13,2,0,0,1,7,6,4,107,40,1
13,Capital,001,0009 ,0045,350,1,1,17,4,0,3,2,4,7,4,1,0,3,4,3,4,124,49,6
13,Capital,001,0009 ,0046,350,6,2,19,1,0,3,4,4,3,0,2,1,5,6,1,7,115,48,6
13,Capital,001,0009 ,0047,263,2,2,22,1,0,1,1,4,6,0,0,1,1,3,3,5,97,31,6
13,Capital,001,0009 ,0048,264,1,3,9,0,3,3,1,4,4,1,4,0,1,3,4,2,95,35,2
13,Capital,001,0010 ,0040,350,4,5,23,0,0,2,3,0,9,4,0,1,8,8,8,12,107,46,1
13,Capital,001,0010 ,0041,206,5,1,19,2,1,1,0,2,7,0,0,1,1,4,0,3,74,38,0
13,Capital,001,0010 ,0042,207,13,2,13,0,1,3,0,1,4,2,2,0,1,5,1,3,57,35,0
13,Capital,001,0010 ,0049,350,0,0,11,3,1,2,1,2,7,0,0,1,2,7,7,5,139,40,2
13,Capital,001,0010 ,0050,247,0,1,11,0,1,3,2,1,5,2,1,2,0,6,3,6,90,36,2
13,Capital,001,0010 ,0051,247,1,4,9,0,0,3,1,2,4,0,0,1,1,7,10,4,88,34,3
13,Capital,001,0011 ,0043,211,4,1,15,1,1,0,5,2,1,1,1,0,0,2,6,4,64,29,3
13,Capital,001,0011 ,0044,211,5,4,16,3,1,4,3,3,1,1,0,1,3,3,0,3,59,35,0
13,Capital,001,0011 ,0052,215,2,3,15,2,2,1,3,1,1,0,0,1,1,3,1,1,65,32,0
13,Capital,001,0011 ,0053,215,3,5,0,0,0,1,0,2,5,0,2,0,2,2,5,5,71,22,3
13,Capital,001,0012 ,0045,280,4,4,20,0,2,3,3,3,5,4,1,0,0,2,3,5,116,33,1
13,Capital,001,0012 ,0046,281,4,5,22,1,0,2,2,4,8,2,6,0,6,8,0,5,90,39,0
13,Capital,001,0012 ,0054,296,4,3,14,2,2,2,2,0,9,3,4,1,1,1,0,9,131,29,1
13,Capital,001,0012 ,0055,296,2,3,20,2,4,1,4,4,7,1,1,0,3,6,2,5,114,29,2
13,Capital,001,0013 ,0047,350,0,0,29,0,0,4,4,5,4,4,0,2,0,5,11,11,111,44,6
13,Capital,001,0013 ,0048,257,0,0,5,2,1,2,2,4,3,1,2,2,3,6,8,10,83,34,8
13,Capital,001,0013 ,0049,258,0,0,22,4,2,8,3,5,3,1,3,1,1,7,1,1,71,31,0
13,Capital,001,0013 ,0056,350,16,12,24,2,2,2,3,5,5,3,1,2,4,12,2,7,103,51,5
13,Capital,001,0013 ,0057,280,0,0,30,1,0,1,2,2,5,2,6,1,2,7,5,5,100,33,2
13,Capital,001,0013 ,0058,281,7,2,23,2,2,3,3,0,1,1,1,0,4,6,1,14,99,35,6
13,Capital,001,0014 ,0050,350,0,0,35,2,3,3,6,4,10,4,4,0,4,8,7,3,104,41,3
13,Capital,001,0014 ,0051,350,6,1,31,2,5,8,0,0,0,4,1,0,0,14,10,7,130,31,0
13,Capital,001,0014 ,0052,350,13,5,31,1,3,6,0,3,4,2,1,3,4,3,9,5,120,37,1
13,Capital,001,0014 ,0053,350,2,8,23,2,0,7,2,3,3,3,1,2,3,10,13,7,130,38,7
13,Capital,001,0014 ,0054,350,4,8,17,2,2,2,2,6,7,2,4,1,3,6,8,6,116,39,3
13,Capital,001,0014 ,0055,350,0,0,21,0,3,3,5,2,1,4,2,1,3,6,8,6,126,30,1
13,Capital,001,0014 ,0056,263,0,0,21,9,0,3,4,3,3,0,1,0,2,8,3,2,86,30,1
13,Capital,001,0014 ,0057,263,7,4,22,1,0,3,3,2,4,2,3,0,2,10,5,0,93,31,5
13,Capital,001,0014 ,0059,350,7,5,42,0,4,4,4,0,9,4,1,1,1,8,4,5,130,41,0
