codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,00068,00069,00001,00005,00009,00066,00072,00070,00071
06,001,SAN FERNANDO,02204,056922,0,0,23,13,1,10,105,93,3,3,0,4
06,001,SAN FERNANDO,02204,056923,0,0,19,5,0,8,109,114,2,2,0,0
06,001,SAN FERNANDO,02204,056924,0,0,12,15,1,9,111,90,1,11,0,3
06,001,SAN FERNANDO,02204,056925,0,0,33,8,3,13,92,18,3,1,0,3
06,001,SAN FERNANDO,02205,056926,0,0,3,15,0,8,155,65,1,0,2,0
06,001,SAN FERNANDO,02205,056927,0,0,0,17,3,4,153,61,0,3,3,3
06,001,SAN FERNANDO,02205,056928,0,0,21,11,0,6,174,52,1,2,0,0
06,001,SAN FERNANDO,02205,056929,0,0,22,11,3,4,158,57,0,5,0,2
06,001,SAN FERNANDO,02205,056930,0,0,16,13,0,3,165,63,2,1,2,2
06,001,SAN FERNANDO,02205,056931,0,0,24,17,0,8,164,51,0,3,0,1
06,001,SAN FERNANDO,02205,056932,0,0,0,0,0,2,161,38,19,2,0,4
06,001,SAN FERNANDO,02205,056933,0,0,22,14,0,6,161,45,0,1,1,3
06,001,SAN FERNANDO,02205,056934,0,0,0,16,1,6,170,47,1,2,0,2
06,001,SAN FERNANDO,02205,056935,0,0,0,8,1,7,166,41,1,2,0,6
06,001,SAN FERNANDO,02205,056936,0,0,4,16,3,3,144,65,0,2,0,3
06,001,SAN FERNANDO,02205,056937,0,0,13,10,0,8,170,65,0,4,0,3
06,001,SAN FERNANDO,02205,056938,0,0,3,8,1,7,174,42,1,5,0,1
06,001,SAN FERNANDO,02205,056939,0,0,3,6,1,5,170,61,3,0,0,1
06,001,SAN FERNANDO,02205,056940,0,0,18,19,1,5,143,60,2,6,0,3
06,001,SAN FERNANDO,02205,056941,0,0,17,13,0,5,165,40,0,3,0,1
06,001,SAN FERNANDO,02205,056942,0,0,21,14,2,5,159,43,2,4,0,1
06,001,SAN FERNANDO,02205,056943,0,0,23,14,0,8,158,45,0,4,0,2
06,001,SAN FERNANDO,02205,056944,0,0,29,11,1,10,154,51,0,4,0,5
06,001,SAN FERNANDO,02205,056945,0,0,0,0,3,5,3,30,2,2,0,2
06,001,SAN FERNANDO,02205,056946,0,0,0,10,3,7,146,73,0,3,0,1
06,001,SAN FERNANDO,02205,056947,0,0,0,15,4,5,161,48,0,1,1,4
06,001,SAN FERNANDO,02205,056948,0,0,0,12,1,3,165,76,1,7,0,1
06,001,SAN FERNANDO,02205,056949,0,0,0,0,0,0,173,43,2,4,0,0
06,001,SAN FERNANDO,02205,056950,0,0,33,0,1,0,167,59,0,0,1,6
06,001,SAN FERNANDO,02205,056951,0,0,0,11,0,5,165,46,0,2,1,1
06,001,SAN FERNANDO,02205,056952,0,0,22,15,0,3,188,44,1,1,1,5
06,001,SAN FERNANDO,02205,056953,0,0,2,10,0,1,163,70,0,5,0,0
06,001,SAN FERNANDO,02206,056954,0,0,21,15,1,4,135,56,1,7,1,4
