codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0001,0003,0005,0022,0041,0054,0058,0071,0072,0160,0162,0163,0164
17,Capital                                 ,001,0001E,3030,441,6,4,11,11,3,12,6,23,5,0,4,29,108,61,2
17,Capital                                 ,001,0001E,3031,440,1,2,12,15,6,12,3,13,5,0,2,34,99,86,4
17,Capital                                 ,001,0001F,1028,409,5,6,11,13,4,8,3,19,6,0,3,48,61,64,6
17,Capital                                 ,001,0001F,1029,409,19,9,12,11,5,4,6,13,4,0,0,32,6,49,5
17,Capital                                 ,001,0001F,1030,408,11,13,8,11,1,7,6,16,5,0,0,40,57,68,1
17,Capital                                 ,001,0001F,1031,408,1,5,15,25,6,5,5,13,2,0,1,33,60,68,4
17,Capital                                 ,001,0001F,1032,408,6,6,13,10,4,5,2,23,2,0,2,43,67,60,1
17,Capital                                 ,001,0001F,1033,408,10,9,11,8,2,4,10,18,6,0,0,37,69,63,2
17,Capital                                 ,001,0001F,1034,408,9,8,7,13,4,2,4,17,5,0,2,46,52,78,3
17,Capital                                 ,001,0001F,1035,408,6,10,15,13,4,5,12,16,5,0,0,0,59,59,4
17,Capital                                 ,001,0001F,1036,408,3,1,10,7,3,4,3,19,6,0,0,42,66,65,2
17,Capital                                 ,001,0001F,3032,414,9,4,14,13,2,3,5,13,2,0,0,49,80,73,1
17,Capital                                 ,001,0001F,3033,414,11,4,11,16,7,6,7,19,2,0,1,44,64,62,1
17,Capital                                 ,001,0001F,3034,414,7,18,9,13,6,13,5,21,2,0,5,37,75,70,4
17,Capital                                 ,001,0001F,3035,414,10,3,17,7,2,3,3,12,1,0,0,34,80,80,2
17,Capital                                 ,001,0001F,3036,414,14,14,15,14,5,3,3,27,9,0,0,33,56,81,1
17,Capital                                 ,001,0001F,3037,414,10,8,13,10,5,9,6,10,2,0,2,37,76,76,4
17,Capital                                 ,001,0001F,3038,414,8,9,10,17,5,3,5,32,8,0,2,45,60,69,3
17,Capital                                 ,001,0001F,3039,414,15,14,14,10,9,8,2,15,5,0,6,32,84,70,3
17,Capital                                 ,001,0001F,3040,414,8,2,11,17,3,10,5,20,3,0,3,45,69,81,2
17,Capital                                 ,001,0001F,3041,414,5,5,12,13,3,9,8,22,6,0,2,43,71,70,4
17,Capital                                 ,001,0001F,3042,413,4,5,17,19,3,8,4,13,3,0,2,44,64,72,5
17,Capital                                 ,001,0001F,3043,413,6,6,15,7,5,6,3,21,2,0,1,48,67,77,5
17,Capital                                 ,001,0001G,1037,413,8,10,6,8,6,5,3,28,9,0,5,29,74,66,7
17,Capital                                 ,001,0001G,1038,413,4,2,13,11,5,6,4,24,4,0,3,47,52,65,3
