codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,00037,00047,00052,00081,00086,00109
24,001,Ushuaia,05657,098139,0,0,26,48,15,70,9,18,16
24,001,Ushuaia,05657,098140,0,0,21,49,16,75,10,16,22
24,001,Ushuaia,05657,098141,0,0,23,79,10,61,7,15,25
24,001,Ushuaia,05657,098142,0,0,27,68,10,62,7,12,27
24,001,Ushuaia,05657,098143,0,0,17,72,13,68,10,16,21
24,001,Ushuaia,05657,098144,0,0,0,73,9,56,6,16,38
24,001,Ushuaia,05657,098145,0,0,28,56,12,68,11,17,23
24,001,Ushuaia,05657,098146,0,0,27,57,16,75,11,13,22
24,001,Ushuaia,05657,098147,0,0,32,36,21,68,6,12,33
24,001,Ushuaia,05657,098148,0,0,23,62,18,61,8,18,26
24,001,Ushuaia,05657,098149,0,0,35,51,13,63,5,23,35
24,001,Ushuaia,05657,098150,0,0,19,40,3,55,10,14,19
24,001,Ushuaia,05658,098151,0,0,27,71,13,58,13,14,26
24,001,Ushuaia,05658,098152,0,0,29,59,18,56,14,17,30
24,001,Ushuaia,05658,098153,0,0,20,49,17,49,12,24,26
24,001,Ushuaia,05658,098154,0,0,28,67,15,60,6,14,20
24,001,Ushuaia,05658,098155,0,0,40,64,12,36,14,16,28
24,001,Ushuaia,05658,098156,0,0,25,55,10,62,13,22,20
24,001,Ushuaia,05658,098157,0,0,38,52,8,55,6,17,39
24,001,Ushuaia,05658,098158,0,0,26,56,20,48,14,22,33
24,001,Ushuaia,05658,098159,0,0,33,67,12,59,10,17,21
24,001,Ushuaia,05658,098160,0,0,27,59,14,64,14,22,29
24,001,Ushuaia,05658,098161,0,0,34,55,10,55,13,21,28
24,001,Ushuaia,05658,098162,0,0,34,62,12,57,14,23,13
24,001,Ushuaia,05658,098163,0,0,27,60,14,58,12,14,34
24,001,Ushuaia,05658,098164,0,0,24,62,11,56,13,16,39
24,001,Ushuaia,05658,098165,0,0,34,70,16,56,9,29,19
24,001,Ushuaia,05658,098166,0,0,29,56,16,63,8,10,25
24,001,Ushuaia,05658,098167,0,0,31,65,11,56,9,21,26
24,001,Ushuaia,05658,098168,0,0,29,63,16,50,10,14,29
24,001,Ushuaia,05658,098169,0,0,36,71,11,50,12,9,27
24,001,Ushuaia,05658,098170,0,0,31,56,7,48,9,14,20
24,001,Ushuaia,05659,098171,0,0,29,88,22,45,6,11,18
24,001,Ushuaia,05659,098172,0,0,43,69,17,33,15,21,30
24,001,Ushuaia,05659,098173,0,0,38,76,14,41,11,10,30
24,001,Ushuaia,05659,098174,0,0,47,69,11,34,14,21,27
24,001,Ushuaia,05659,098175,0,0,28,68,17,51,11,7,30
24,001,Ushuaia,05659,098176,0,0,50,86,8,43,8,14,24
24,001,Ushuaia,05659,098177,0,0,36,73,10,39,8,17,34
24,001,Ushuaia,05659,098178,0,0,25,83,16,43,6,13,29
24,001,Ushuaia,05659,098179,0,0,46,92,11,38,7,15,25
24,001,Ushuaia,05659,098180,0,0,40,79,18,38,9,18,21
24,001,Ushuaia,05659,098181,0,0,37,89,14,32,4,23,28
24,001,Ushuaia,05659,098182,0,0,5,27,2,12,4,0,16
24,001,Ushuaia,05660,098183,0,0,29,50,5,76,7,16,19
24,001,Ushuaia,05660,098184,0,0,19,58,8,70,6,17,19
24,001,Ushuaia,05660,098185,0,0,1,44,17,60,4,25,21
24,001,Ushuaia,05660,098186,0,0,28,45,13,76,8,16,24
24,001,Ushuaia,05660,098187,0,0,17,51,17,80,11,12,22
24,001,Ushuaia,05660,098188,0,0,16,47,14,75,4,15,17
24,001,Ushuaia,05660,098189,0,0,29,45,21,58,15,15,19
24,001,Ushuaia,05660,098190,0,0,15,57,14,59,5,19,28
24,001,Ushuaia,05660,098191,0,0,28,50,11,65,10,14,15
24,001,Ushuaia,05660,098192,0,0,25,44,12,72,10,14,26
24,001,Ushuaia,05660,098193,0,0,17,56,12,64,3,10,26
24,001,Ushuaia,05660,098194,0,0,12,17,7,27,2,7,5
24,001,Ushuaia,05661,098195,0,0,19,74,26,46,11,15,26
24,001,Ushuaia,05661,098196,0,0,28,77,11,40,10,13,27
24,001,Ushuaia,05661,098197,0,0,28,64,10,53,9,13,32
24,001,Ushuaia,05661,098198,0,0,29,63,9,48,9,20,28
24,001,Ushuaia,05661,098199,0,0,22,81,14,69,7,11,17
24,001,Ushuaia,05661,098200,0,0,29,65,13,68,6,10,24
24,001,Ushuaia,05661,098201,0,0,22,58,16,54,16,15,31
24,001,Ushuaia,05661,098202,0,0,19,50,14,61,13,22,31
24,001,Ushuaia,05661,098203,0,0,28,56,14,44,11,12,24
24,001,Ushuaia,05662,098204,0,0,25,65,11,37,14,31,35
24,001,Ushuaia,05662,098205,0,0,31,79,11,43,14,15,24
24,001,Ushuaia,05662,098206,0,0,31,77,9,34,15,18,27
24,001,Ushuaia,05662,098207,0,0,27,80,12,43,11,12,31
24,001,Ushuaia,05662,098208,0,0,21,75,14,35,11,29,24
24,001,Ushuaia,05662,098209,0,0,26,84,16,40,11,23,2
24,001,Ushuaia,05662,098210,0,0,26,72,12,50,14,26,26
24,001,Ushuaia,05662,098211,0,0,27,81,9,46,13,18,18
24,001,Ushuaia,05662,098212,0,0,20,70,14,51,12,22,17
24,001,Ushuaia,05662,098213,0,0,9,15,5,14,9,6,7
24,001,Ushuaia,05663,098214,0,0,41,71,18,39,14,18,33
24,001,Ushuaia,05663,098215,0,0,28,86,13,36,6,12,38
24,001,Ushuaia,05663,098216,0,0,38,55,18,52,11,16,24
24,001,Ushuaia,05663,098217,0,0,32,69,22,40,9,16,34
24,001,Ushuaia,05663,098218,0,0,28,86,15,42,7,12,31
24,001,Ushuaia,05663,098219,0,0,36,75,16,50,10,14,21
24,001,Ushuaia,05663,098220,0,0,26,73,15,43,8,22,28
24,001,Ushuaia,05663,098221,0,0,51,65,14,41,9,14,19
24,001,Ushuaia,05663,098222,0,0,46,69,16,45,7,8,31
24,001,Ushuaia,05663,098223,0,0,30,93,15,40,6,14,31
24,001,Ushuaia,05663,098224,0,0,29,77,17,50,8,8,33
24,001,Ushuaia,05663,098225,0,0,39,72,13,49,5,11,26
24,001,Ushuaia,05663,098226,0,0,43,60,15,64,12,9,29
24,001,Ushuaia,05663,098227,0,0,31,79,19,39,13,13,25
24,001,Ushuaia,05663,098228,0,0,26,81,13,57,15,9,25
24,001,Ushuaia,05663,098229,0,0,33,69,20,49,8,10,29
24,001,Ushuaia,05663,098230,0,0,30,81,16,47,9,9,29
24,001,Ushuaia,05663,098231,0,0,27,79,14,39,8,11,30
24,001,Ushuaia,05663,098232,0,0,40,81,12,40,11,13,24
24,001,Ushuaia,05663,098233,0,0,34,80,18,49,7,11,23
24,001,Ushuaia,05663,098234,0,0,16,33,2,26,5,6,15
24,001,Ushuaia,05664,098235,0,0,40,91,9,45,6,15,37
24,001,Ushuaia,05664,098236,0,0,33,88,12,42,10,23,29
24,001,Ushuaia,05664,098237,0,0,41,86,16,37,10,16,32
24,001,Ushuaia,05664,098238,0,0,41,90,13,29,9,9,42
24,001,Ushuaia,05664,098239,0,0,26,102,18,46,5,14,35
24,001,Ushuaia,05664,098240,0,0,34,89,14,56,15,10,30
24,001,Ushuaia,05664,098241,0,0,25,116,17,30,8,15,25
24,001,Ushuaia,05664,098242,0,0,11,16,4,19,1,5,3
24,001,Ushuaia,05664,101399,0,0,0,0,0,0,0,0,0
24,001,Ushuaia,05665,098243,0,0,33,62,16,50,10,13,27
24,001,Ushuaia,05665,098244,0,0,30,61,17,46,8,18,33
24,001,Ushuaia,05665,098245,0,0,40,66,10,48,11,22,31
24,001,Ushuaia,05665,098246,0,0,25,83,20,57,11,15,22
24,001,Ushuaia,05665,098247,0,0,37,53,22,61,8,10,29
24,001,Ushuaia,05665,098248,0,0,31,55,14,69,14,18,30
24,001,Ushuaia,05665,098249,0,0,23,70,18,70,7,13,20
24,001,Ushuaia,05665,098250,0,0,37,67,17,56,10,20,26
24,001,Ushuaia,05665,098251,0,0,30,74,19,56,8,12,30
24,001,Ushuaia,05665,098252,0,0,41,62,16,64,7,14,29
24,001,Ushuaia,05665,098253,0,0,35,72,14,46,9,8,30
24,001,Ushuaia,05665,098254,0,0,22,64,10,58,12,15,22
24,001,Ushuaia,05665,098255,0,0,15,58,7,32,4,13,26
24,001,Ushuaia,05666,098256,0,0,22,35,5,33,7,13,13
24,002,Río Grande,05667,098257,0,0,29,68,23,39,13,9,53
24,002,Río Grande,05667,098258,0,0,29,99,16,17,3,8,50
24,002,Río Grande,05667,098259,0,0,33,92,13,25,6,5,60
24,002,Río Grande,05667,098260,0,0,38,81,15,33,8,4,59
24,002,Río Grande,05667,098261,0,0,41,63,17,38,6,11,67
24,002,Río Grande,05667,098262,0,0,47,70,20,35,2,6,65
24,002,Río Grande,05667,098263,0,0,46,77,10,34,4,5,56
24,002,Río Grande,05667,098264,0,0,24,70,15,48,8,5,50
24,002,Río Grande,05667,098265,0,0,22,83,12,40,10,6,54
24,002,Río Grande,05667,098266,0,0,38,71,25,43,5,6,47
24,002,Río Grande,05667,098267,0,0,30,66,12,53,11,7,45
24,002,Río Grande,05667,098268,0,0,46,64,16,30,8,5,63
24,002,Río Grande,05667,098269,0,0,39,68,26,36,9,9,36
24,002,Río Grande,05667,098270,0,0,28,95,11,32,4,8,54
24,002,Río Grande,05667,098271,0,0,22,86,16,34,10,5,52
24,002,Río Grande,05667,098272,0,0,28,66,22,51,7,3,44
24,002,Río Grande,05667,098273,0,0,30,76,19,46,6,8,56
24,002,Río Grande,05667,098274,0,0,29,70,18,41,6,9,52
24,002,Río Grande,05667,098275,0,0,36,57,14,43,5,3,59
24,002,Río Grande,05667,098276,0,0,29,85,15,32,10,6,53
