codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0001,0002,0003,0005,0006,0008,0009,0012,0019,0020,0033,0036,0040,0044,0047,0048,0050,0056,0120,0289,0290,0291,0292,0293,0543,0543,0586,0587
05,Capital,001,0001 ,0001,450,1,8,2,33,40,1,1,2,7,7,4,5,3,43,4,19,16,1,1,12,5,19,14,21,0,2,6,6,12,12
05,Capital,001,0001 ,0002,450,6,15,3,19,37,3,5,2,3,7,3,1,7,22,5,6,23,2,2,2,4,18,22,9,4,4,5,5,27,27
05,Capital,001,0001 ,0003,450,12,4,3,17,43,6,1,1,5,5,8,2,6,27,7,12,5,2,4,10,4,10,30,14,1,4,4,4,30,30
05,Capital,001,0001 ,0004,450,5,12,2,23,37,4,0,7,9,10,0,3,2,21,4,9,11,1,4,6,7,12,28,9,18,3,5,5,16,16
05,Capital,001,0001 ,0005,450,0,0,3,17,54,5,0,8,3,2,11,12,1,28,6,8,20,4,0,15,3,13,10,6,9,6,0,0,21,21
05,Capital,001,0001 ,0006,450,2,6,1,17,34,0,0,5,23,3,0,6,5,26,9,2,12,2,5,8,10,14,16,16,11,2,5,5,24,24
05,Capital,001,0001 ,0007,450,10,5,2,25,32,3,0,4,2,2,2,2,5,38,5,8,13,5,11,4,4,11,16,25,5,3,1,1,21,21
05,Capital,001,0001 ,0008,450,3,17,1,23,30,2,0,3,6,5,3,3,5,31,13,7,13,3,0,10,6,20,18,28,10,2,5,5,12,12
05,Capital,001,0001 ,0009,450,4,10,2,30,30,2,0,14,3,5,8,3,3,27,8,5,17,4,5,12,5,5,24,8,2,7,3,3,26,26
05,Capital,001,0001 ,0010,450,4,10,0,25,38,5,2,13,24,4,12,2,1,36,4,29,9,1,4,10,4,11,12,15,4,6,2,2,16,16
05,Capital,001,0001 ,0011,450,8,9,0,15,32,1,1,21,1,2,3,4,1,41,3,10,12,4,2,14,8,12,20,8,1,10,10,10,23,23
05,Capital,001,0001 ,0012,416,3,12,5,18,48,4,0,2,11,2,7,3,1,18,8,1,14,3,5,7,3,11,5,26,0,15,1,1,28,28
05,Capital,001,0001 ,0851,450,8,14,3,28,36,3,0,0,4,5,6,1,1,32,8,6,8,2,3,11,2,11,16,26,10,2,0,0,22,22
05,Capital,001,0001 ,0852,450,4,12,2,34,44,4,1,4,5,6,11,2,3,22,1,9,15,14,3,12,12,10,13,13,0,6,8,8,16,16
05,Capital,001,0001 ,0853,450,4,3,0,25,51,9,0,11,0,6,2,7,2,34,8,2,13,4,6,6,4,13,5,19,0,6,8,8,45,45
05,Capital,001,0001 ,0854,450,6,17,1,41,47,1,3,12,11,1,6,5,1,26,5,1,12,0,9,15,13,11,8,16,2,14,9,9,13,13
05,Capital,001,0001 ,0855,450,9,14,0,31,53,2,4,10,3,6,14,5,2,30,6,6,7,3,0,5,20,24,13,2,6,7,3,3,8,8
05,Capital,001,0001 ,0856,450,9,17,1,20,36,6,1,4,2,3,26,1,1,29,10,10,1,0,7,12,1,23,5,9,5,13,9,9,7,7
05,Capital,001,0001 ,0857,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05,Capital,001,0001 ,0858,450,8,14,0,40,43,1,1,3,7,4,5,10,37,4,4,4,11,2,8,3,4,6,7,10,19,16,5,5,17,17
05,Capital,001,0001 ,0859,308,14,6,0,24,33,2,1,13,4,8,3,1,0,24,3,1,9,4,1,3,1,11,12,9,3,7,5,5,21,21
05,Capital,001,0001 ,0860,309,8,5,0,18,43,6,2,6,0,3,1,1,1,26,1,11,15,1,3,8,1,8,9,6,3,5,1,1,28,28
05,Capital,001,0002 ,0013,450,5,20,3,21,44,11,0,15,7,5,3,6,7,24,10,20,10,2,8,11,12,13,15,6,1,5,7,7,23,23
05,Capital,001,0002 ,0014,450,8,14,6,28,52,4,0,2,5,9,4,4,2,27,2,4,11,5,2,15,18,15,30,6,11,5,4,4,20,20
05,Capital,001,0002 ,0015,450,7,13,10,28,38,9,0,12,6,12,5,3,4,29,3,11,9,11,4,9,6,26,14,2,2,6,6,6,7,7
05,Capital,001,0002 ,0016,450,5,20,3,37,65,5,0,3,1,2,1,3,3,23,12,7,7,5,4,11,9,12,15,7,9,3,2,2,27,27
05,Capital,001,0002 ,0017,450,12,15,7,34,41,0,9,8,7,3,4,2,4,26,8,3,6,6,2,14,13,20,8,12,4,7,0,0,20,20
05,Capital,001,0002 ,0018,450,10,12,4,42,23,9,0,9,0,2,8,5,4,26,15,16,23,0,12,7,12,15,8,12,6,5,5,5,10,10
05,Capital,001,0002 ,0019,450,5,14,5,40,24,5,0,2,24,6,11,6,3,31,6,6,13,2,4,13,16,9,14,8,2,4,6,6,21,21
05,Capital,001,0002 ,0020,450,5,8,1,49,24,17,1,9,22,6,15,6,4,37,4,13,8,12,0,11,8,11,0,18,2,14,4,4,15,15
05,Capital,001,0002 ,0021,450,6,18,4,46,41,3,0,8,5,7,2,7,0,23,5,5,9,7,11,7,8,17,6,7,1,3,4,4,29,29
05,Capital,001,0002 ,0022,450,7,11,9,26,16,8,0,3,27,6,5,5,0,30,2,4,11,7,4,8,9,8,20,5,3,10,11,11,31,31
