codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0003,0005,0022,0047,0050,0052,0055,0187,0245,0249,0250,0436,0437,0438
24,Ushuaia                                 ,001,0001 ,0001,366,26,6,19,14,12,59,8,5,38,27,0,16,24,4,1,8
24,Ushuaia                                 ,001,0001 ,0002,363,20,16,19,9,3,44,9,1,27,35,0,17,20,7,8,12
24,Ushuaia                                 ,001,0001 ,0003,368,21,5,16,7,6,47,10,3,29,36,0,20,23,4,6,7
24,Ushuaia                                 ,001,0001 ,0004,369,26,14,24,7,3,48,10,4,40,16,0,20,19,5,9,5
24,Ushuaia                                 ,001,0001 ,0005,363,30,8,20,10,10,43,11,2,38,21,0,19,19,1,7,6
24,Ushuaia                                 ,001,0001 ,0006,368,32,10,25,5,6,49,18,2,29,30,0,22,26,2,4,9
24,Ushuaia                                 ,001,0001 ,0007,363,25,8,20,10,6,54,21,1,44,13,0,24,28,3,4,5
24,Ushuaia                                 ,001,0001 ,0119,381,40,10,17,7,5,46,6,6,33,18,0,13,27,0,4,9
24,Ushuaia                                 ,001,0001 ,0120,377,18,4,25,6,4,48,5,5,37,32,0,17,19,3,7,3
24,Ushuaia                                 ,001,0001 ,0121,377,37,6,17,2,2,51,1,7,21,25,0,24,21,8,2,8
24,Ushuaia                                 ,001,0001 ,0122,377,33,6,15,11,7,37,16,2,24,22,0,16,19,4,8,9
24,Ushuaia                                 ,001,0001 ,0123,374,23,17,20,11,7,43,8,5,30,16,0,18,16,4,4,2
24,Ushuaia                                 ,001,0001 ,0124,375,34,4,26,4,4,46,12,1,25,24,0,23,23,5,9,6
24,Ushuaia                                 ,001,0001 ,0125,375,28,8,28,11,0,46,6,3,32,15,0,17,19,3,3,4
24,Ushuaia                                 ,001,0001 ,0126,379,33,9,22,10,5,43,5,5,31,16,0,32,20,3,7,10
24,Ushuaia                                 ,001,0002 ,0008,334,26,8,22,11,7,30,5,3,34,26,0,17,18,6,9,14
24,Ushuaia                                 ,001,0002 ,0009,338,24,5,17,10,5,53,11,2,30,16,0,20,25,4,5,8
24,Ushuaia                                 ,001,0002 ,0010,338,28,8,17,16,1,45,13,6,38,16,0,18,12,2,4,7
24,Ushuaia                                 ,001,0002 ,0011,337,33,11,13,11,7,55,10,6,26,17,0,25,18,3,4,5
24,Ushuaia                                 ,001,0002 ,0012,339,24,15,19,5,6,39,8,3,41,13,0,25,27,7,5,9
24,Ushuaia                                 ,001,0002 ,0127,357,31,9,29,7,1,45,8,2,23,13,0,20,11,1,5,7
24,Ushuaia                                 ,001,0002 ,0128,361,33,7,26,12,3,34,10,2,26,22,0,16,25,7,7,8
24,Ushuaia                                 ,001,0002 ,0129,358,34,9,16,15,2,31,18,3,34,23,0,16,10,4,6,7
24,Ushuaia                                 ,001,0002 ,0130,358,30,5,20,11,4,44,8,3,38,13,0,21,21,5,4,10
24,Ushuaia                                 ,001,0002 ,0131,370,26,6,21,12,3,38,12,7,31,15,0,31,22,2,3,7
24,Ushuaia                                 ,001,0003 ,0013,363,17,11,18,8,2,43,7,4,35,27,0,32,23,6,6,2
24,Ushuaia                                 ,001,0003 ,0014,369,29,11,27,9,3,54,7,4,27,19,0,26,22,5,6,14
24,Ushuaia                                 ,001,0003 ,0015,363,29,15,23,15,11,42,4,3,25,26,0,21,27,0,7,10
24,Ushuaia                                 ,001,0003 ,0016,364,35,7,31,6,9,38,15,0,38,22,0,25,24,3,7,10
24,Ushuaia                                 ,001,0003 ,0017,364,41,6,19,9,4,45,10,3,33,24,0,25,26,2,8,5
24,Ushuaia                                 ,001,0003 ,0018,365,23,7,18,21,4,51,6,5,29,30,0,24,21,2,1,9
24,Ushuaia                                 ,001,0003 ,0019,360,24,14,18,17,1,40,9,2,46,15,0,16,24,6,7,5
24,Ushuaia                                 ,001,0003 ,0020,362,31,11,14,10,6,36,9,6,44,29,0,23,32,3,5,8
24,Ushuaia                                 ,001,0003 ,0132,375,2,10,17,8,3,38,13,6,27,27,0,25,42,2,2,6
24,Ushuaia                                 ,001,0003 ,0133,372,34,12,15,3,3,37,16,5,20,26,0,29,24,1,8,10
24,Ushuaia                                 ,001,0003 ,0134,373,34,4,16,13,3,45,7,7,23,20,0,27,25,2,7,4
24,Ushuaia                                 ,001,0003 ,0135,372,33,5,26,6,5,58,0,8,36,22,0,21,19,3,6,2
24,Ushuaia                                 ,001,0003 ,0136,368,46,8,22,17,4,42,8,3,29,19,0,39,12,0,9,8
24,Ushuaia                                 ,001,0003 ,0137,375,30,8,24,4,5,36,18,6,32,24,0,21,31,3,5,9
24,Ushuaia                                 ,001,0003 ,0138,374,33,12,22,8,3,35,8,5,36,20,0,29,34,1,9,7
24,Ushuaia                                 ,001,0003 ,0139,376,38,8,29,16,4,34,12,8,30,16,0,18,24,3,11,11
24,Ushuaia                                 ,001,0004 ,0021,390,20,11,21,10,4,68,3,3,31,27,0,29,31,1,2,8
24,Ushuaia                                 ,001,0004 ,0022,390,33,6,14,7,6,41,24,4,35,22,0,32,23,5,5,6
24,Ushuaia                                 ,001,0004 ,0023,390,34,11,17,12,6,52,12,5,25,25,0,20,29,2,7,10
24,Ushuaia                                 ,001,0004 ,0024,389,38,8,17,9,5,47,19,3,27,26,0,22,26,2,4,6
24,Ushuaia                                 ,001,0004 ,0025,392,34,12,14,6,5,38,17,7,30,35,0,25,30,4,4,14
24,Ushuaia                                 ,001,0004 ,0026,391,31,8,18,13,6,31,17,3,29,24,0,26,28,3,7,5
24,Ushuaia                                 ,001,0004 ,0027,389,28,6,18,16,7,49,7,6,26,25,0,25,27,2,9,10
24,Ushuaia                                 ,001,0004 ,0028,390,31,11,21,14,7,33,12,2,38,21,0,30,25,6,2,14
24,Ushuaia                                 ,001,0004 ,0029,395,33,14,20,14,4,42,9,5,33,18,0,32,32,2,7,10
24,Ushuaia                                 ,001,0004 ,0030,393,36,9,24,15,6,44,5,4,38,24,0,23,24,3,5,10
24,Ushuaia                                 ,001,0004 ,0031,385,3,5,20,11,5,39,12,5,39,25,0,24,31,3,10,3
24,Ushuaia                                 ,001,0004 ,0032,392,37,12,15,5,6,44,16,7,33,22,0,20,25,2,8,15
24,Ushuaia                                 ,001,0004 ,0140,378,45,13,17,24,5,40,10,5,19,25,0,27,18,1,4,6
24,Ushuaia                                 ,001,0004 ,0141,377,33,10,17,15,5,40,2,8,35,20,0,28,17,3,7,6
24,Ushuaia                                 ,001,0004 ,0142,376,29,6,18,17,5,34,6,3,26,17,0,26,32,4,2,8
24,Ushuaia                                 ,001,0004 ,0143,378,33,5,19,18,4,27,25,4,24,27,0,18,25,2,7,5
24,Ushuaia                                 ,001,0004 ,0144,376,23,4,21,8,4,37,7,5,32,23,0,24,51,1,4,7
24,Ushuaia                                 ,001,0004 ,0145,377,38,10,25,17,3,46,2,4,28,19,0,17,22,4,5,10
24,Ushuaia                                 ,001,0004 ,0146,383,35,7,15,23,1,53,7,9,29,17,0,17,22,3,3,2
24,Ushuaia                                 ,001,0004 ,0147,379,37,18,16,3,4,40,12,6,25,30,0,21,30,5,3,0
24,Ushuaia                                 ,001,0004 ,0148,379,48,4,21,16,4,35,6,5,33,24,0,24,18,4,6,3
24,Ushuaia                                 ,001,0004 ,0149,380,38,3,18,13,4,37,7,7,25,13,0,16,46,1,7,7
24,Ushuaia                                 ,001,0004 ,0150,381,36,2,19,18,3,34,4,8,32,17,0,26,31,2,4,9
24,Ushuaia                                 ,001,0004 ,0151,383,52,5,23,14,6,47,8,3,17,19,0,27,26,5,10,10
24,Ushuaia                                 ,001,0004 ,0152,389,41,5,29,8,4,32,15,4,35,13,0,16,42,2,7,14
