codprov,coddepto,depto,circuito,mesa,electores,blancos,00036,00050,00037,00047
19,001,Pueyrredon,00010,000543,290,13,3,55,135,7
19,001,Pueyrredon,00010,000544,290,10,2,48,118,0
19,001,Pueyrredon,00010,000545,297,21,3,40,133,0
19,001,Pueyrredon,00011,000546,41,2,1,18,4,1
19,001,Pueyrredon,00012,000547,240,13,3,45,109,4
19,001,Pueyrredon,00012,000548,244,5,0,43,128,4
19,001,Pueyrredon,00013,000549,158,7,0,59,56,2
19,001,Pueyrredon,00014,000550,47,0,0,6,21,0
19,001,Pueyrredon,00015,000551,267,16,4,70,107,12
19,001,Pueyrredon,00015,000552,271,8,5,76,92,7
19,001,Pueyrredon,1001A,000001,345,27,7,85,149,15
19,001,Pueyrredon,1001A,000010,343,36,4,73,151,10
19,001,Pueyrredon,1001A,000011,344,35,10,55,148,14
19,001,Pueyrredon,1001A,000012,343,30,4,56,160,22
19,001,Pueyrredon,1001A,000013,344,36,4,54,170,21
19,001,Pueyrredon,1001A,000014,343,51,11,35,138,21
19,001,Pueyrredon,1001A,000015,343,13,9,56,173,26
19,001,Pueyrredon,1001A,000016,343,31,11,74,138,23
19,001,Pueyrredon,1001A,000017,343,25,4,73,140,28
19,001,Pueyrredon,1001A,000018,347,42,2,75,144,22
19,001,Pueyrredon,1001A,000019,359,46,5,81,150,19
19,001,Pueyrredon,1001A,000002,339,21,9,73,143,25
19,001,Pueyrredon,1001A,000020,358,31,5,67,141,18
19,001,Pueyrredon,1001A,000021,354,27,8,70,132,29
19,001,Pueyrredon,1001A,000022,342,30,5,58,162,20
19,001,Pueyrredon,1001A,000023,342,21,10,94,142,24
19,001,Pueyrredon,1001A,000024,344,36,7,70,154,21
19,001,Pueyrredon,1001A,000003,343,52,9,71,130,25
19,001,Pueyrredon,1001A,000004,343,37,10,68,152,16
19,001,Pueyrredon,1001A,000005,342,36,8,79,141,18
19,001,Pueyrredon,1001A,000006,345,43,12,83,135,0
19,001,Pueyrredon,1001A,000007,340,27,9,85,119,31
19,001,Pueyrredon,1001A,000008,344,27,8,64,155,24
19,001,Pueyrredon,1001A,000009,344,25,8,89,126,30
19,001,Pueyrredon,1001B,000025,330,19,2,160,73,21
19,001,Pueyrredon,1001B,000026,327,38,7,129,74,21
19,001,Pueyrredon,1001B,000027,328,22,10,139,83,17
19,001,Pueyrredon,1001B,000028,330,25,6,136,78,20
19,001,Pueyrredon,1001B,000029,330,24,10,128,95,19
19,001,Pueyrredon,1001B,000030,331,28,10,139,75,25
19,001,Pueyrredon,1001B,000031,328,27,9,142,86,19
19,001,Pueyrredon,1001B,000032,330,29,17,122,78,21
19,001,Pueyrredon,1001B,000033,332,17,11,136,89,26
19,001,Pueyrredon,1001B,000034,338,33,9,124,83,31
19,001,Pueyrredon,1001C,000035,328,43,9,108,97,29
19,001,Pueyrredon,1001C,000036,328,31,9,140,63,28
19,001,Pueyrredon,1001C,000037,327,22,11,147,81,16
19,001,Pueyrredon,1001C,000038,330,28,12,134,83,18
19,001,Pueyrredon,1001C,000039,332,16,9,132,87,24
19,001,Pueyrredon,1001C,000040,330,25,9,167,70,18
19,001,Pueyrredon,1001C,000041,333,22,7,144,81,21
19,001,Pueyrredon,01002,000042,335,24,13,84,132,15
19,001,Pueyrredon,01002,000043,336,28,7,90,104,13
19,001,Pueyrredon,01002,000044,338,22,10,98,133,12
19,001,Pueyrredon,01002,000045,335,44,2,95,119,0
19,001,Pueyrredon,01002,000046,336,20,6,99,121,23
19,001,Pueyrredon,01002,000047,336,28,11,103,116,24
19,001,Pueyrredon,01002,000048,337,24,8,105,110,21
19,001,Pueyrredon,01002,000049,334,28,3,99,128,17
19,001,Pueyrredon,01002,000050,335,24,9,87,134,26
19,001,Pueyrredon,01002,000051,338,14,5,111,126,18
19,001,Pueyrredon,01002,000052,331,51,7,86,118,19
19,001,Pueyrredon,01002,000053,335,29,6,88,111,24
19,001,Pueyrredon,01002,000054,336,29,13,100,113,13
19,001,Pueyrredon,01002,000055,336,24,7,97,124,22
19,001,Pueyrredon,01002,000056,334,26,13,98,110,21
19,001,Pueyrredon,01002,000057,338,31,12,89,126,12
19,001,Pueyrredon,01002,000058,348,31,11,101,124,23
19,001,Pueyrredon,01002,000059,342,29,9,94,115,16
19,001,Pueyrredon,01002,000060,332,26,11,92,103,15
19,001,Pueyrredon,01002,000061,338,24,6,116,106,18
19,001,Pueyrredon,01003,000062,331,38,8,91,119,16
19,001,Pueyrredon,01003,000063,334,27,7,102,106,20
19,001,Pueyrredon,01003,000064,332,26,8,101,122,17
19,001,Pueyrredon,01003,000065,329,23,11,110,93,25
19,001,Pueyrredon,01003,000066,333,25,8,118,121,13
19,001,Pueyrredon,01003,000067,332,20,14,108,100,24
19,001,Pueyrredon,01003,000068,330,23,9,95,107,14
19,001,Pueyrredon,01003,000069,329,19,8,88,125,17
19,001,Pueyrredon,01003,000070,332,21,13,89,116,22
19,001,Pueyrredon,01003,000071,334,23,9,97,120,28
19,001,Pueyrredon,01003,000072,332,28,6,105,99,23
19,001,Pueyrredon,01003,000073,334,33,3,106,111,15
19,001,Pueyrredon,01003,000074,331,29,3,116,117,11
19,001,Pueyrredon,01003,000075,332,32,11,102,94,16
19,001,Pueyrredon,01003,000076,333,35,13,87,104,22
19,001,Pueyrredon,01003,000077,332,30,5,99,102,19
19,001,Pueyrredon,01003,000078,341,34,8,104,98,14
19,001,Pueyrredon,01003,000079,339,23,11,120,98,27
19,001,Pueyrredon,01003,000080,335,26,10,109,111,18
19,001,Pueyrredon,01004,000100,343,21,6,76,150,15
19,001,Pueyrredon,01004,000101,351,23,12,61,171,17
19,001,Pueyrredon,01004,000102,359,16,6,73,143,24
19,001,Pueyrredon,01004,000103,362,23,7,90,149,10
19,001,Pueyrredon,01004,000104,357,25,7,68,153,27
19,001,Pueyrredon,01004,000105,346,18,12,78,131,23
19,001,Pueyrredon,01004,000106,346,24,8,72,143,27
19,001,Pueyrredon,01004,000107,350,25,7,94,135,9
19,001,Pueyrredon,01004,000081,347,22,6,60,174,16
19,001,Pueyrredon,01004,000082,347,22,10,70,142,22
19,001,Pueyrredon,01004,000083,348,31,4,68,149,17
19,001,Pueyrredon,01004,000084,349,22,14,61,158,22
19,001,Pueyrredon,01004,000085,346,26,8,72,140,13
19,001,Pueyrredon,01004,000086,348,23,7,62,165,10
19,001,Pueyrredon,01004,000087,348,18,9,81,153,12
19,001,Pueyrredon,01004,000088,347,23,13,73,147,15
19,001,Pueyrredon,01004,000089,351,28,12,64,159,15
19,001,Pueyrredon,01004,000090,345,28,2,80,138,16
19,001,Pueyrredon,01004,000091,346,31,14,89,134,14
19,001,Pueyrredon,01004,000092,345,25,10,58,158,14
19,001,Pueyrredon,01004,000093,346,40,8,55,147,11
19,001,Pueyrredon,01004,000094,344,16,9,64,151,30
19,001,Pueyrredon,01004,000095,349,36,8,52,155,24
19,001,Pueyrredon,01004,000096,349,25,6,86,143,15
19,001,Pueyrredon,01004,000097,345,28,6,71,142,19
19,001,Pueyrredon,01004,000098,348,27,15,78,151,8
19,001,Pueyrredon,01004,000099,342,28,11,69,147,11
19,001,Pueyrredon,01005,000108,345,23,8,109,120,14
19,001,Pueyrredon,01005,000109,345,25,15,117,107,19
19,001,Pueyrredon,01005,000110,344,28,5,118,105,20
19,001,Pueyrredon,01005,000111,344,22,9,103,108,16
19,001,Pueyrredon,01005,000112,345,22,9,100,111,21
19,001,Pueyrredon,01005,000113,341,35,9,85,121,20
19,001,Pueyrredon,01005,000114,345,27,14,105,85,23
19,001,Pueyrredon,01005,000115,345,28,3,101,113,23
19,001,Pueyrredon,01005,000116,346,129,8,109,8,18
19,001,Pueyrredon,01005,000117,347,22,12,100,102,21
19,001,Pueyrredon,01005,000118,346,20,15,115,100,22
19,001,Pueyrredon,01005,000119,345,20,8,111,105,15
19,001,Pueyrredon,01005,000120,345,37,8,103,101,15
19,001,Pueyrredon,01005,000121,353,15,12,90,128,29
19,001,Pueyrredon,01005,000122,347,18,10,106,114,20
19,001,Pueyrredon,01006,000123,333,10,6,97,122,19
19,001,Pueyrredon,01006,000124,328,18,8,130,75,26
19,001,Pueyrredon,01006,000125,334,26,8,127,101,11
19,001,Pueyrredon,01006,000126,334,40,10,93,87,22
19,001,Pueyrredon,01006,000127,336,25,5,113,87,28
19,001,Pueyrredon,01006,000128,334,22,13,105,97,22
19,001,Pueyrredon,01006,000129,330,15,7,121,101,20
19,001,Pueyrredon,01006,000130,332,18,9,97,108,19
19,001,Pueyrredon,01006,000131,339,27,3,102,115,18
19,001,Pueyrredon,01006,000132,332,22,14,95,96,30
19,001,Pueyrredon,01006,000133,334,25,13,110,96,15
19,001,Pueyrredon,01006,000134,336,12,7,117,103,17
19,001,Pueyrredon,01006,000135,333,19,7,124,85,14
19,001,Pueyrredon,01006,000136,336,26,10,106,95,20
19,001,Pueyrredon,01006,000137,343,20,5,121,91,22
19,001,Pueyrredon,01007,000138,342,23,1,5,126,107
19,001,Pueyrredon,01007,000139,337,17,9,121,101,21
19,001,Pueyrredon,01007,000140,341,21,10,115,96,21
19,001,Pueyrredon,01007,000141,340,29,10,118,102,16
19,001,Pueyrredon,01007,000142,341,25,9,96,119,16
19,001,Pueyrredon,01007,000143,341,30,5,102,114,18
19,001,Pueyrredon,01007,000144,344,21,5,109,127,13
19,001,Pueyrredon,01007,000145,339,16,9,109,121,27
19,001,Pueyrredon,01007,000146,342,13,10,116,106,25
19,001,Pueyrredon,01007,000147,341,29,11,107,100,26
19,001,Pueyrredon,01007,000148,341,27,11,108,99,18
19,001,Pueyrredon,01007,000149,342,20,6,117,118,19
19,001,Pueyrredon,01007,000150,346,19,9,139,91,25
19,001,Pueyrredon,01007,000151,340,46,10,103,121,0
19,001,Pueyrredon,01007,000152,341,24,13,120,102,20
19,001,Pueyrredon,01007,000153,347,25,9,106,107,16
19,001,Pueyrredon,01007,000154,341,32,6,117,95,20
19,001,Pueyrredon,01007,000155,343,17,3,130,97,19
19,001,Pueyrredon,01007,000156,343,23,7,96,122,17
19,001,Pueyrredon,01007,000157,341,29,9,110,97,24
19,001,Pueyrredon,01007,000158,353,27,12,96,122,16
19,001,Pueyrredon,01007,000159,349,16,8,125,102,15
19,001,Pueyrredon,01007,000160,341,28,9,118,97,26
19,001,Pueyrredon,1008A,000161,340,26,8,125,110,23
19,001,Pueyrredon,1008A,000162,342,22,10,128,107,25
19,001,Pueyrredon,1008A,000163,339,34,9,114,105,17
19,001,Pueyrredon,1008A,000164,341,32,9,101,115,32
19,001,Pueyrredon,1008A,000165,342,32,8,118,105,19
19,001,Pueyrredon,1008A,000166,339,23,7,120,110,19
19,001,Pueyrredon,1008A,000167,345,43,9,114,104,21
19,001,Pueyrredon,1008B,000168,346,27,14,120,106,30
19,001,Pueyrredon,1008B,000169,343,25,6,135,89,24
19,001,Pueyrredon,1008B,000170,349,29,12,144,98,17
19,001,Pueyrredon,1008B,000171,347,17,9,118,117,23
19,001,Pueyrredon,1008B,000172,346,24,13,115,104,20
19,001,Pueyrredon,1008B,000173,347,20,15,142,100,20
19,001,Pueyrredon,1008B,000174,348,27,9,135,110,25
19,001,Pueyrredon,1008B,000175,344,21,14,133,107,24
19,001,Pueyrredon,1008B,000176,355,30,17,124,98,19
19,001,Pueyrredon,1008B,000177,350,24,11,136,95,26
19,001,Pueyrredon,1008C,000178,330,26,11,111,99,24
19,001,Pueyrredon,1008C,000179,331,25,12,115,97,33
19,001,Pueyrredon,1008C,000180,328,27,9,118,106,10
19,001,Pueyrredon,1008C,000181,330,24,5,123,88,28
19,001,Pueyrredon,1008C,000182,328,29,9,133,94,10
19,001,Pueyrredon,1008C,000183,327,23,7,140,98,15
19,001,Pueyrredon,1008C,000184,326,18,13,116,97,17
19,001,Pueyrredon,1008C,000185,325,28,10,132,91,18
19,001,Pueyrredon,1008C,000186,330,23,5,127,102,24
19,001,Pueyrredon,1008C,000187,329,27,5,119,100,23
19,001,Pueyrredon,1008C,000188,329,26,13,137,82,24
19,001,Pueyrredon,1008C,000189,329,22,13,112,117,21
19,001,Pueyrredon,1008C,000190,326,24,8,134,99,21
19,001,Pueyrredon,1008C,000191,329,31,9,122,109,18
19,001,Pueyrredon,1008C,000192,329,16,10,134,95,21
19,001,Pueyrredon,1008C,000193,334,34,4,122,100,16
19,001,Pueyrredon,1008C,000194,339,31,9,134,93,20
19,001,Pueyrredon,1008D,000195,327,30,12,134,73,25
19,001,Pueyrredon,1008D,000196,323,44,14,106,79,20
19,001,Pueyrredon,1008D,000197,325,3,13,144,61,26
19,001,Pueyrredon,1008D,000198,329,21,8,131,111,18
19,001,Pueyrredon,1008D,000199,325,31,12,136,84,20
19,001,Pueyrredon,1008D,000200,329,31,11,131,85,27
19,001,Pueyrredon,1008D,000201,329,26,8,122,90,20
19,001,Pueyrredon,1008D,000202,329,17,13,134,82,25
19,001,Pueyrredon,1008D,000203,329,30,8,136,85,25
19,001,Pueyrredon,1008D,000204,324,26,11,126,91,21
19,001,Pueyrredon,1008D,000205,334,25,9,138,82,21
19,001,Pueyrredon,1008D,000206,334,12,10,140,98,23
19,001,Pueyrredon,1008E,000207,339,10,8,124,97,29
