codprov,coddepto,depto,circuito,mesa,electores,blancos,nulos,00037,00101,00050,00036,00074
17,001,Capital,0001G,001102,345,21,2,61,23,145,10,7
17,001,Capital,0001G,001103,343,20,2,45,27,148,11,4
17,001,Capital,0001G,001104,346,21,10,52,21,160,9,9
17,001,Capital,0001G,001105,345,19,4,64,28,135,6,5
17,001,Capital,0001G,001106,347,16,2,47,28,160,12,13
17,001,Capital,0002A,001107,346,23,3,52,34,146,10,11
17,001,Capital,0002A,001108,347,28,2,60,31,139,11,10
17,001,Capital,0002A,001109,344,25,2,65,30,134,11,8
17,001,Capital,0002A,001110,344,21,3,63,25,118,14,9
17,001,Capital,0002A,001111,351,25,3,71,17,142,8,9
17,001,Capital,0002A,001112,345,20,2,56,33,146,10,11
17,001,Capital,0002A,001113,346,16,4,74,23,119,13,5
17,001,Capital,0002A,001114,345,32,1,48,24,150,13,5
17,001,Capital,0002A,001115,348,36,4,49,25,133,7,11
17,001,Capital,0002A,001116,344,20,1,63,28,151,15,9
17,001,Capital,0002A,001117,348,15,2,57,38,130,21,10
17,001,Capital,0002A,001118,347,31,0,56,30,127,11,13
17,001,Capital,0002A,001119,346,8,6,85,20,143,15,5
17,001,Capital,0002A,001120,345,15,1,70,27,130,11,12
17,001,Capital,0002A,001121,344,18,2,58,35,140,14,7
17,001,Capital,0002A,001122,345,24,0,57,32,128,11,12
17,001,Capital,0002A,001123,346,22,5,60,26,133,12,10
17,001,Capital,0002A,001124,345,28,0,63,31,119,11,8
17,001,Capital,0002A,001125,346,22,2,84,28,116,16,8
17,001,Capital,0002A,001126,345,22,0,64,25,132,14,7
17,001,Capital,0002A,001127,349,18,2,47,27,133,17,12
17,001,Capital,0002B,001128,335,15,1,69,26,111,15,7
17,001,Capital,0002B,001129,335,15,5,56,24,131,8,6
17,001,Capital,0002B,001130,336,15,3,45,24,123,8,3
17,001,Capital,0002B,001131,336,19,0,51,29,129,7,7
17,001,Capital,0002B,001132,336,21,0,49,18,156,11,9
17,001,Capital,0002B,001133,335,19,0,47,13,154,14,4
17,001,Capital,0002B,001134,336,14,2,42,21,155,5,8
17,001,Capital,0002B,001135,338,23,0,61,26,135,13,3
17,001,Capital,0002B,001136,335,16,0,50,16,133,5,10
17,001,Capital,0002B,001137,337,18,4,74,10,131,12,5
17,001,Capital,0002B,001138,335,23,0,66,21,128,7,7
17,001,Capital,0002B,001139,335,23,2,62,20,138,13,5
17,001,Capital,0002B,001140,340,19,1,51,31,130,15,5
17,001,Capital,0002C,001141,337,12,0,38,20,157,7,12
17,001,Capital,0002C,001142,336,20,1,39,17,141,6,8
17,001,Capital,0002C,001143,336,18,0,45,24,127,12,9
17,001,Capital,0002C,001144,334,17,6,30,18,151,13,8
17,001,Capital,0002C,001145,335,20,0,52,17,131,8,5
17,001,Capital,0002C,001146,334,14,1,41,26,117,14,16
17,001,Capital,0002C,001147,332,9,1,46,21,154,5,7
17,001,Capital,0002C,001148,335,16,0,38,29,139,9,7
17,001,Capital,0002C,001149,336,16,0,43,18,147,3,5
17,001,Capital,0002C,001150,337,13,1,37,20,150,8,6
17,001,Capital,0002C,001151,335,20,0,43,22,130,6,11
17,001,Capital,0002C,001152,335,10,2,35,14,136,6,14
17,001,Capital,0002D,001153,342,19,0,81,33,113,16,7
17,001,Capital,0002D,001154,342,18,2,67,46,106,12,10
17,001,Capital,0002D,001155,340,22,2,62,36,137,10,13
17,001,Capital,0002D,001156,340,29,0,73,30,102,17,8
17,001,Capital,0002D,001157,341,19,4,64,36,110,19,14
17,001,Capital,0002D,001158,341,24,1,58,28,146,17,8
17,001,Capital,0002D,001159,345,14,0,96,30,111,15,8
17,001,Capital,0002D,001160,339,20,0,85,33,111,12,13
17,001,Capital,0002D,001161,342,32,1,55,39,110,16,9
17,001,Capital,0002D,001162,343,29,0,91,20,101,17,8
17,001,Capital,0002D,001163,343,25,0,67,34,126,15,9
17,001,Capital,0002D,001164,338,19,3,67,32,113,11,9
17,001,Capital,0002D,001165,342,17,7,80,29,100,12,14
17,001,Capital,0002D,001166,342,23,0,70,45,115,14,9
17,001,Capital,0002D,001167,341,24,5,83,33,105,10,9
17,001,Capital,0002D,001168,339,24,3,91,36,92,3,10
17,001,Capital,0002D,001169,339,28,1,68,41,117,13,8
17,001,Capital,0002D,001170,342,15,3,78,40,111,9,11
17,001,Capital,0002D,001171,339,24,1,61,40,116,16,9
17,001,Capital,0002D,001172,340,16,2,65,39,135,14,9
17,001,Capital,0002D,001173,342,22,0,65,34,105,16,12
17,001,Capital,0002D,001174,340,19,3,90,31,99,10,9
17,001,Capital,0002D,001175,340,22,0,86,33,105,7,10
17,001,Capital,0002D,001176,340,17,3,58,44,119,6,11
17,001,Capital,0002D,001177,340,16,5,61,31,128,14,8
17,001,Capital,0002D,001178,340,24,2,73,47,112,8,15
17,001,Capital,0002D,001179,340,14,4,72,31,135,9,10
17,001,Capital,0002D,001180,339,25,2,71,35,107,12,8
17,001,Capital,0002D,001181,341,28,0,76,33,106,12,7
17,001,Capital,0002E,001182,295,16,2,55,29,106,9,6
17,001,Capital,0002E,001183,294,11,0,43,38,112,10,8
17,001,Capital,0002E,001184,293,15,1,48,27,109,8,6
17,001,Capital,0002E,001185,294,15,0,45,27,107,9,11
17,001,Capital,0002E,001186,295,16,3,49,29,113,5,4
17,001,Capital,0002E,001187,297,18,0,41,26,117,9,5
17,001,Capital,0002F,001188,334,17,2,58,23,130,4,13
17,001,Capital,0002F,001189,334,25,0,66,26,126,11,6
17,001,Capital,0002F,001190,336,22,1,45,18,143,16,10
