codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0003,0014,0038,0054,0060,0155,0200,0203,0216,0535,0536
17,Capital,001,0001E,1063,350,1,2,NA,36,6,4,6,13,7,25,11,88,25
17,Capital,001,0001E,1064,350,3,6,NA,34,5,7,8,14,3,20,12,69,22
17,Capital,001,0001E,1065,301,2,2,NA,41,7,1,0,15,0,25,5,67,22
17,Capital,001,0001F,1066,350,0,0,NA,36,3,4,13,10,6,25,8,80,28
17,Capital,001,0001F,1067,350,0,0,NA,40,6,5,12,13,1,27,12,65,36
17,Capital,001,0001F,1068,350,0,0,NA,36,6,7,9,15,2,27,5,81,37
17,Capital,001,0001F,1069,351,0,4,NA,40,5,4,9,13,3,16,7,84,44
17,Capital,001,0001F,1070,350,6,6,NA,30,5,12,7,15,1,28,5,79,42
17,Capital,001,0001F,1071,351,3,7,NA,48,3,2,8,10,6,24,9,98,25
17,Capital,001,0001F,1072,350,0,0,NA,32,5,0,0,11,9,29,19,87,32
17,Capital,001,0001F,1073,349,0,3,NA,35,6,2,5,13,3,21,12,102,32
17,Capital,001,0001F,1074,350,7,6,NA,28,8,3,11,12,2,28,0,84,37
17,Capital,001,0001F,1075,350,7,2,NA,45,6,2,7,11,4,29,9,82,40
17,Capital,001,0001F,1076,350,1,2,NA,44,6,2,7,10,4,14,8,91,46
17,Capital,001,0001F,1077,350,8,3,NA,34,4,5,9,15,2,23,9,95,36
17,Capital,001,0001F,1078,350,16,5,NA,45,3,7,6,10,3,20,5,78,38
17,Capital,001,0001F,1079,350,0,0,NA,37,3,6,11,17,1,18,10,81,44
17,Capital,001,0001F,1080,350,0,0,NA,32,4,6,12,13,0,23,16,103,28
17,Capital,001,0001F,1081,351,0,0,NA,42,5,3,12,12,1,28,10,85,39
17,Capital,001,0001F,1082,350,0,0,NA,45,4,2,4,18,4,24,11,95,32
17,Capital,001,0001F,1083,350,7,3,NA,39,5,4,11,10,0,19,14,113,39
17,Capital,001,0001F,1084,350,19,1,NA,33,4,7,6,15,3,23,8,79,37
17,Capital,001,0001F,1085,350,0,0,NA,44,3,6,11,13,4,15,5,100,38
17,Capital,001,0001F,1086,350,10,3,NA,44,9,4,8,17,1,27,12,82,30
17,Capital,001,0001F,1087,350,0,0,NA,55,4,2,14,15,2,17,6,14,33
17,Capital,001,0001F,1088,350,0,0,NA,45,4,5,13,17,5,21,20,76,0
17,Capital,001,0001F,1089,350,1,0,NA,40,3,2,10,11,2,21,12,87,31
17,Capital,001,0001F,1090,350,1,18,NA,46,5,4,5,10,4,23,7,84,42
17,Capital,001,0001F,1091,350,0,0,NA,32,6,5,12,9,6,18,0,84,38
17,Capital,001,0001F,1092,350,4,0,NA,35,7,4,5,10,6,26,10,65,32
17,Capital,001,0001F,1093,192,1,5,NA,12,1,2,2,7,0,12,4,56,26
17,Capital,001,0001G,1094,350,4,7,NA,33,2,10,14,12,0,35,8,74,25
17,Capital,001,0001G,1095,350,0,0,NA,49,9,9,3,18,7,18,11,68,24
17,Capital,001,0001G,1096,351,19,8,NA,36,4,10,1,12,4,26,9,79,27
17,Capital,001,0001G,1097,350,3,6,NA,29,6,9,8,17,3,20,11,76,29
17,Capital,001,0001G,1098,350,5,2,NA,40,3,8,8,8,5,33,5,77,26
17,Capital,001,0001G,1099,350,0,0,NA,39,10,3,5,13,1,20,7,79,41
17,Capital,001,0001G,1100,350,0,0,NA,36,3,4,6,8,2,2,20,93,45
17,Capital,001,0001G,1101,350,8,0,NA,54,7,3,10,16,1,26,8,72,43
17,Capital,001,0001G,1102,350,0,0,NA,39,4,6,8,5,3,31,11,71,31
17,Capital,001,0001G,1103,350,1,11,NA,47,3,4,6,11,5,31,4,86,27
17,Capital,001,0001G,1104,350,0,0,NA,38,2,2,8,14,2,29,7,80,29
17,Capital,001,0001G,1105,350,10,6,NA,49,2,3,5,13,2,16,6,73,34
17,Capital,001,0001G,1106,350,10,0,NA,44,7,6,5,16,1,26,8,91,23
17,Capital,001,0001G,1107,350,1,4,NA,41,2,0,5,13,0,25,10,88,42
17,Capital,001,0001G,1108,350,3,5,NA,24,5,14,7,18,4,24,14,67,36
17,Capital,001,0001G,1109,350,0,0,NA,44,5,1,3,13,8,30,9,83,30
17,Capital,001,0001G,1110,350,3,9,NA,41,5,7,2,10,2,18,9,95,33
17,Capital,001,0001G,1111,350,0,6,NA,56,3,7,3,12,9,20,10,60,37
17,Capital,001,0001G,1112,350,1,8,NA,39,3,8,7,17,4,23,7,84,26
17,Capital,001,0001G,1113,350,0,0,NA,33,9,5,8,16,3,32,7,80,28
17,Capital,001,0001G,1114,350,2,6,NA,48,3,7,8,13,2,31,9,75,32
17,Capital,001,0001G,1115,350,6,0,NA,50,6,8,7,13,3,29,8,81,28
17,Capital,001,0001G,1116,224,1,2,NA,21,2,0,3,4,1,15,3,59,24
17,Capital,001,0002A,1117,350,0,0,NA,36,3,6,11,16,4,45,0,72,25
17,Capital,001,0002A,1118,350,9,5,NA,46,7,4,6,9,7,32,8,76,19
17,Capital,001,0002A,1119,350,5,0,NA,49,5,4,12,13,5,36,11,75,12
17,Capital,001,0002A,1120,350,0,0,NA,50,7,4,4,11,3,35,9,65,23
17,Capital,001,0002A,1121,350,1,9,NA,45,9,1,12,23,1,31,12,71,29
17,Capital,001,0002A,1122,350,4,9,NA,44,10,4,5,10,0,27,11,80,29
17,Capital,001,0002A,1123,350,4,5,NA,46,7,3,14,5,2,32,12,63,25
17,Capital,001,0002A,1124,350,9,8,NA,45,1,8,3,5,4,30,9,82,23
17,Capital,001,0002A,1125,350,2,2,NA,55,6,7,8,22,4,28,6,66,25
17,Capital,001,0002A,1126,350,1,5,NA,48,5,8,7,13,0,42,11,76,19
17,Capital,001,0002A,1127,350,7,5,NA,58,6,4,6,15,6,28,13,69,34
17,Capital,001,0002A,1128,350,3,2,NA,41,6,10,13,14,1,35,8,64,23
17,Capital,001,0002A,1129,351,0,0,NA,33,4,7,7,19,6,23,11,72,29
17,Capital,001,0002A,1130,350,0,5,NA,61,7,7,8,4,4,25,9,76,28
17,Capital,001,0002A,1131,350,2,4,NA,42,6,6,5,9,7,35,8,73,26
17,Capital,001,0002A,1132,350,16,4,NA,45,4,5,7,19,0,30,6,84,31
17,Capital,001,0002A,1133,350,2,2,NA,45,8,5,6,11,2,43,10,62,23
17,Capital,001,0002A,1134,350,17,4,NA,39,10,7,3,18,3,34,13,70,18
17,Capital,001,0002A,1135,350,2,5,NA,40,4,6,6,12,6,37,6,83,24
17,Capital,001,0002A,1136,350,0,0,NA,52,10,3,15,18,4,34,8,70,16
17,Capital,001,0002A,1137,350,0,0,NA,45,9,3,11,11,3,33,6,69,28
17,Capital,001,0002A,1138,350,1,4,NA,43,8,8,11,17,3,35,10,72,16
17,Capital,001,0002A,1139,92,0,0,NA,10,0,2,2,1,1,10,1,15,12
17,Capital,001,0002B,1140,350,0,1,NA,38,7,4,8,19,3,13,11,90,31
17,Capital,001,0002B,1141,350,2,3,NA,45,9,3,11,12,3,21,7,71,21
17,Capital,001,0002B,1142,350,8,4,NA,35,6,8,14,13,3,19,8,78,16
17,Capital,001,0002B,1143,350,3,8,NA,41,6,8,11,14,1,22,7,70,30
17,Capital,001,0002B,1144,350,1,4,NA,48,5,9,11,12,1,19,5,78,30
17,Capital,001,0002B,1145,350,0,0,NA,39,11,9,4,16,1,28,2,79,26
17,Capital,001,0002B,1146,351,6,5,NA,41,4,6,10,19,2,29,4,54,26
17,Capital,001,0002B,1147,350,15,2,NA,50,9,10,4,11,8,24,10,66,20
17,Capital,001,0002B,1148,350,0,1,NA,45,4,6,6,18,3,28,6,86,30
17,Capital,001,0002B,1149,350,0,0,NA,41,5,1,9,9,7,21,7,82,19
17,Capital,001,0002B,1150,350,0,0,NA,30,8,9,11,8,3,30,13,80,30
17,Capital,001,0002B,1151,350,0,0,NA,46,6,13,13,4,6,23,8,67,19
17,Capital,001,0002B,1152,350,0,0,NA,31,6,13,9,11,0,31,0,69,32
17,Capital,001,0002B,1153,187,0,0,NA,12,3,5,1,3,6,18,1,43,11
17,Capital,001,0002B,1154,187,0,1,NA,21,4,1,5,4,5,10,7,47,11
17,Capital,001,0002C,1155,350,2,7,NA,51,4,2,6,13,4,19,6,81,16
17,Capital,001,0002C,1156,350,8,4,NA,34,6,5,12,15,3,20,6,86,33
17,Capital,001,0002C,1157,350,9,3,NA,23,7,3,13,20,2,39,7,69,38
17,Capital,001,0002C,1158,350,9,3,NA,30,6,5,4,11,6,23,9,100,35
17,Capital,001,0002C,1159,351,10,4,NA,40,4,5,6,11,2,24,7,83,28
17,Capital,001,0002C,1160,350,0,0,NA,35,4,4,8,13,5,26,10,81,26
17,Capital,001,0002C,1161,350,1,1,NA,32,4,7,3,7,7,20,8,60,31
17,Capital,001,0002C,1162,350,1,6,NA,33,6,7,5,16,1,24,11,69,23
17,Capital,001,0002C,1163,350,18,2,NA,33,4,5,10,8,4,25,6,81,20
17,Capital,001,0002C,1164,350,0,0,NA,29,7,1,8,8,7,29,3,74,34
17,Capital,001,0002C,1165,351,0,0,NA,24,5,4,2,14,1,34,7,70,25
17,Capital,001,0002C,1166,350,2,3,NA,42,6,6,10,11,5,23,10,85,17
17,Capital,001,0002C,1167,350,5,4,NA,30,3,2,6,15,5,19,11,76,42
17,Capital,001,0002C,1168,350,0,0,NA,31,4,3,3,9,5,25,14,65,23
17,Capital,001,0002C,1169,179,0,0,NA,18,2,3,1,11,1,12,3,45,13
