codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0023,0036,0179,0302,0501,0504,0508,0509,0510,0517,0518,0536
01,Comuna 01,001,0001 ,0001,347,2,4,26,4,0,11,88,13,3,13,19,12,35,16
01,Comuna 01,001,0001 ,0002,345,5,1,10,10,0,15,74,12,5,15,35,16,30,10
01,Comuna 01,001,0001 ,0003,345,4,3,22,6,2,6,92,14,8,17,28,12,30,12
01,Comuna 01,001,0001 ,0004,345,4,5,32,1,2,7,94,9,10,20,32,8,29,12
01,Comuna 01,001,0001 ,0005,343,4,8,23,10,3,7,81,8,10,14,33,10,24,9
01,Comuna 01,001,0001 ,0006,344,2,5,18,15,3,11,84,10,9,17,29,10,32,5
01,Comuna 01,001,0001 ,0007,344,1,5,21,6,2,9,85,9,0,21,21,19,26,26
01,Comuna 01,001,0001 ,0008,345,9,6,22,8,3,11,94,16,3,12,20,14,39,10
01,Comuna 01,001,0001 ,0009,345,2,6,18,10,2,11,75,17,11,23,29,15,35,12
01,Comuna 01,001,0001 ,0010,347,0,0,11,12,0,10,80,19,4,11,25,15,38,16
01,Comuna 01,001,0001 ,0011,346,10,0,22,0,9,0,86,6,7,23,34,16,20,12
01,Comuna 01,001,0001 ,0012,345,3,4,23,15,2,12,67,17,5,25,39,8,20,16
01,Comuna 01,001,0001 ,0013,345,5,4,17,11,1,7,93,25,6,21,27,12,32,14
01,Comuna 01,001,0001 ,0014,347,6,2,26,10,2,4,78,14,12,21,32,5,27,8
01,Comuna 01,001,0001 ,0015,342,0,0,23,17,5,5,76,10,4,11,21,43,38,5
01,Comuna 01,001,0001 ,0016,343,6,5,29,11,1,7,80,12,6,14,27,13,17,16
01,Comuna 01,001,0001 ,0017,342,2,3,9,10,1,18,89,13,7,15,27,12,27,9
01,Comuna 01,001,0001 ,0018,343,15,1,14,10,2,6,14,13,6,15,26,10,26,13
01,Comuna 01,001,0001 ,0019,346,3,4,23,7,2,3,73,16,4,23,28,17,34,15
01,Comuna 01,001,0001 ,0020,343,6,4,21,10,1,8,95,15,7,14,19,9,25,18
01,Comuna 01,001,0001 ,0021,345,7,2,18,20,3,3,90,13,3,18,34,10,37,15
01,Comuna 01,001,0001 ,0022,345,6,2,36,8,0,8,74,8,3,19,35,10,24,12
01,Comuna 01,001,0001 ,0023,344,4,1,12,16,1,4,70,16,10,15,25,14,23,18
01,Comuna 01,001,0001 ,0024,342,6,4,33,8,0,6,80,17,7,15,30,13,24,5
01,Comuna 01,001,0001 ,0025,342,5,2,15,10,0,14,98,14,6,16,27,21,27,13
01,Comuna 01,001,0001 ,0026,345,5,0,20,7,0,15,91,10,5,21,23,9,23,15
