codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0001,0003,0014,0038,0128,0144,0145,0148,0507,0564,0565,0566,0567
04,Capital,001,0001 ,0001,375,3,6,1,66,0,5,2,2,0,14,2,85,11,15,15
04,Capital,001,0001 ,0002,375,5,1,0,78,0,1,2,0,1,8,4,78,7,9,9
04,Capital,001,0001 ,0003,375,4,0,1,107,1,6,1,0,1,5,5,77,8,15,15
04,Capital,001,0001 ,0004,375,1,0,2,83,1,2,2,0,1,7,3,82,6,12,12
04,Capital,001,0001 ,0005,375,3,5,0,65,4,3,3,3,0,12,2,85,11,12,12
04,Capital,001,0001 ,0006,375,5,3,2,80,2,2,1,2,1,3,2,88,12,15,15
04,Capital,001,0001 ,0007,375,2,3,1,101,3,1,1,1,2,7,4,75,7,6,6
04,Capital,001,0001 ,0008,374,1,0,0,86,1,1,3,0,0,13,2,63,10,11,11
04,Capital,001,0001 ,0009,374,4,3,2,70,4,1,1,2,0,3,1,78,9,14,14
04,Capital,001,0001 ,0010,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04,Capital,001,0001 ,0011,374,4,5,4,80,5,4,2,1,3,1,4,73,5,7,7
04,Capital,001,0001 ,0012,374,5,6,2,79,4,5,1,0,0,2,5,79,15,9,9
04,Capital,001,0001 ,0013,374,4,5,1,91,4,3,3,4,2,4,3,73,9,6,6
04,Capital,001,0001 ,0014,374,2,3,0,77,2,2,4,1,0,10,2,68,3,13,13
04,Capital,001,0001 ,0015,374,2,4,1,83,1,3,0,2,0,12,1,90,9,14,14
04,Capital,001,0001 ,0016,374,4,2,3,74,4,4,0,2,0,10,2,77,10,12,12
04,Capital,001,0001 ,0017,374,3,4,2,67,6,6,2,1,1,10,4,78,5,15,15
04,Capital,001,0001 ,0018,374,3,3,0,94,1,4,4,2,0,12,0,65,3,14,14
04,Capital,001,0001 ,0019,374,2,2,1,84,1,4,4,0,1,4,3,74,10,22,22
04,Capital,001,0001 ,0020,374,4,1,2,108,1,3,4,2,0,9,1,62,14,13,13
04,Capital,001,0001 ,0021,374,4,3,3,72,3,3,2,2,1,6,3,86,6,12,12
04,Capital,001,0001 ,0022,374,2,4,2,71,1,4,2,0,0,7,3,87,11,13,13
04,Capital,001,0001 ,0023,374,1,5,4,86,3,4,3,1,1,12,0,82,9,17,17
04,Capital,001,0001 ,3593,381,4,6,2,66,5,1,4,2,2,8,4,84,12,13,13
04,Capital,001,0001 ,3594,381,8,5,3,62,1,1,3,0,0,8,3,89,10,20,20
04,Capital,001,0001 ,3595,381,4,3,0,74,6,5,3,4,1,8,1,93,7,11,11
04,Capital,001,0001 ,3596,381,7,3,3,74,7,4,5,4,0,7,4,74,7,10,10
04,Capital,001,0001 ,3597,380,6,4,3,69,1,1,1,1,1,3,6,84,14,21,21
04,Capital,001,0001 ,3598,380,4,0,3,70,3,3,6,3,0,12,3,89,8,13,13
04,Capital,001,0001 ,3599,380,6,10,3,75,1,3,2,0,1,7,1,57,10,14,14
04,Capital,001,0001 ,3600,380,10,5,0,59,3,7,4,1,1,5,2,74,10,17,17
04,Capital,001,0001 ,3601,380,7,7,2,66,4,4,4,1,1,4,0,76,5,17,17
04,Capital,001,0001 ,3602,380,3,2,0,77,2,2,2,0,2,4,4,93,5,13,13
04,Capital,001,0001 ,3603,380,5,1,2,82,0,2,1,2,2,13,3,87,5,11,11
04,Capital,001,0001 ,3604,380,2,2,1,74,2,4,3,2,2,10,3,75,9,13,13
04,Capital,001,0001 ,3605,380,5,6,0,55,3,3,1,2,1,17,2,82,11,16,16
04,Capital,001,0001 ,3606,380,5,6,0,69,2,3,3,1,0,7,3,77,7,17,17
04,Capital,001,0001 ,3607,380,4,3,0,74,4,0,1,1,0,2,3,90,7,17,17
04,Capital,001,0001 ,3608,380,2,1,1,63,4,0,5,0,0,5,3,84,9,8,8
04,Capital,001,0001 ,3609,380,2,5,2,60,2,2,4,1,1,4,3,95,4,12,12
04,Capital,001,0002 ,0024,368,1,8,0,75,3,0,4,5,0,5,5,74,5,19,19
04,Capital,001,0002 ,0025,367,5,1,1,82,5,1,3,1,2,7,3,78,10,15,15
04,Capital,001,0002 ,0026,367,0,3,3,67,3,1,0,0,1,6,0,82,6,15,15
04,Capital,001,0002 ,0027,367,4,10,1,71,2,5,1,1,1,3,2,64,16,17,17
04,Capital,001,0002 ,0028,367,3,6,0,77,3,4,1,2,0,5,2,65,9,19,19
04,Capital,001,0002 ,0029,367,4,7,1,84,1,6,0,1,0,5,1,83,7,18,18
04,Capital,001,0002 ,0030,367,3,5,0,59,2,4,3,2,2,8,3,84,9,15,15
04,Capital,001,0002 ,0031,367,1,9,2,68,6,1,2,1,0,2,0,77,9,15,15
04,Capital,001,0002 ,3610,379,0,3,1,0,0,0,0,2,1,9,4,102,12,12,12
04,Capital,001,0002 ,3611,379,5,5,2,77,3,4,1,1,0,6,3,69,11,14,14
04,Capital,001,0002 ,3612,379,4,3,2,59,3,4,3,2,0,5,5,69,15,19,19
04,Capital,001,0002 ,3613,378,3,4,0,70,5,3,1,1,0,4,3,93,7,12,12
04,Capital,001,0002 ,3614,378,3,8,1,59,2,3,2,1,1,3,3,79,7,22,22
04,Capital,001,0002 ,3615,378,12,1,2,50,4,6,2,4,0,4,1,82,11,20,20
04,Capital,001,0002 ,3616,378,4,3,1,51,5,4,0,0,4,7,1,83,10,17,17
04,Capital,001,0003 ,0032,379,3,2,2,83,3,4,1,2,1,8,1,84,11,18,18
04,Capital,001,0003 ,0033,379,2,3,2,76,8,4,0,3,1,4,5,83,19,16,16
04,Capital,001,0003 ,0034,379,0,0,1,73,3,2,0,1,0,9,4,81,9,21,21
04,Capital,001,0003 ,0035,379,0,4,2,80,2,1,3,2,1,13,3,103,9,15,15
04,Capital,001,0003 ,0036,379,1,5,0,85,1,5,6,2,0,11,4,86,15,11,11
04,Capital,001,0003 ,0037,379,2,3,0,73,1,3,4,2,0,10,2,74,16,20,20
04,Capital,001,0003 ,0038,379,3,8,0,81,3,4,4,1,3,9,3,91,14,10,10
04,Capital,001,0003 ,0039,379,5,2,3,64,5,7,4,3,2,11,4,89,21,20,20
04,Capital,001,0003 ,0040,379,3,2,1,86,1,2,2,1,1,13,2,90,10,19,19
04,Capital,001,0003 ,0041,379,3,6,0,85,3,0,4,0,1,13,4,92,14,20,20
04,Capital,001,0003 ,0042,379,3,2,3,74,0,2,0,1,4,13,7,82,16,6,6
04,Capital,001,0003 ,0043,379,6,5,3,73,3,5,2,2,1,16,2,79,14,16,16
04,Capital,001,0003 ,0044,379,5,10,1,85,2,2,2,1,6,6,6,88,8,14,14
04,Capital,001,0003 ,0045,379,3,2,0,82,5,6,0,3,0,8,1,81,14,12,12
04,Capital,001,0003 ,0046,378,3,6,2,72,1,8,3,3,0,7,1,87,12,21,21
04,Capital,001,0003 ,0047,378,3,3,1,75,1,5,3,4,1,7,1,65,10,20,20
04,Capital,001,0003 ,0048,378,1,3,1,85,2,2,2,1,3,10,5,89,12,16,16
04,Capital,001,0003 ,0049,378,1,2,0,69,3,6,0,0,1,8,4,68,14,23,23
04,Capital,001,0003 ,0050,378,5,2,3,81,3,1,1,0,1,4,2,85,15,11,11
04,Capital,001,0003 ,0051,378,0,0,0,59,6,2,3,1,3,6,2,93,7,15,15
04,Capital,001,0003 ,0052,378,3,5,0,83,5,8,1,3,1,8,3,96,16,14,14
04,Capital,001,0003 ,0053,378,3,3,1,83,4,6,2,3,0,12,1,81,12,21,21
04,Capital,001,0003 ,0054,378,6,6,1,83,2,1,1,1,1,6,3,86,15,14,14
04,Capital,001,0003 ,0055,378,2,4,1,90,2,2,4,1,2,10,2,78,14,11,11
04,Capital,001,0003 ,0056,378,5,11,0,87,2,5,2,1,1,9,3,93,11,14,14
04,Capital,001,0003 ,0057,378,2,2,1,86,5,3,2,2,0,11,2,100,9,14,14
04,Capital,001,0003 ,0058,378,8,1,2,89,6,4,0,0,0,5,2,78,6,19,19
04,Capital,001,0003 ,0059,378,2,3,0,77,1,5,7,0,1,10,3,100,11,8,8
04,Capital,001,0003 ,3617,385,4,8,0,76,3,3,3,3,1,16,3,101,10,16,16
04,Capital,001,0003 ,3618,385,2,1,2,80,2,2,2,3,0,8,3,94,12,16,16
04,Capital,001,0003 ,3619,385,6,5,2,85,2,6,0,1,1,5,5,99,10,25,25
04,Capital,001,0003 ,3620,385,1,0,1,66,4,4,3,1,0,7,7,101,9,14,14
04,Capital,001,0003 ,3621,385,3,5,2,67,1,0,4,0,2,8,1,102,15,19,19
04,Capital,001,0003 ,3622,385,5,5,0,68,2,4,2,3,3,7,3,94,9,24,24
04,Capital,001,0003 ,3623,385,6,5,2,61,3,2,2,0,0,15,0,115,11,15,15
04,Capital,001,0003 ,3624,385,0,3,3,69,4,4,3,2,0,6,3,100,11,13,13
04,Capital,001,0003 ,3625,385,4,6,2,61,2,5,1,2,1,17,4,80,14,20,20
04,Capital,001,0003 ,3626,385,5,8,1,70,2,5,2,0,1,3,6,86,6,26,26
04,Capital,001,0003 ,3627,385,1,3,3,60,5,4,6,3,0,6,1,93,16,23,23
04,Capital,001,0003 ,3628,384,1,1,1,80,3,4,0,1,0,7,2,83,12,18,18
04,Capital,001,0003 ,3629,384,1,3,4,70,1,1,6,1,0,7,3,92,8,13,13
04,Capital,001,0003 ,3630,384,5,10,2,73,5,2,1,1,0,9,1,91,6,18,18
04,Capital,001,0003 ,3631,384,1,5,3,52,5,3,4,1,1,3,4,100,9,13,13
04,Capital,001,0003 ,3632,384,5,4,0,62,4,3,2,0,0,10,2,101,8,12,12
04,Capital,001,0003 ,3633,384,8,3,2,65,2,0,1,4,0,5,6,80,15,17,17
04,Capital,001,0003 ,3634,384,4,6,0,67,5,2,3,1,2,5,3,83,10,24,24
04,Capital,001,0003 ,3635,384,2,7,4,68,5,5,1,1,1,8,1,82,9,15,15
04,Capital,001,0003 ,3636,384,3,5,2,83,0,5,2,2,2,10,1,83,9,16,16
04,Capital,001,0003 ,3637,384,5,1,1,64,2,5,7,4,0,17,3,83,16,13,13
