codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0003,0006,0008,0010,0022,0047,0048,0050,0052,0101,0155,0156,0157,0158,0159,0160
13,Capital                                 ,001,0001 ,0001,880,10,16,222,28,18,44,20,156,20,8,10,64,10,6,12,6,34,16
13,Capital                                 ,001,0001 ,0002,880,25,21,256,6,24,60,16,160,24,12,6,62,4,6,8,6,48,6
13,Capital                                 ,001,0001 ,0003,880,20,31,246,2,32,46,14,130,34,20,14,62,4,4,14,2,38,4
13,Capital                                 ,001,0001 ,0004,683,28,22,212,8,14,56,4,124,8,10,4,54,6,14,14,10,30,6
13,Capital                                 ,001,0001 ,0005,683,11,4,224,16,30,50,12,132,16,8,14,40,6,6,6,2,24,6
13,Capital                                 ,001,0002 ,0006,880,49,13,214,14,18,56,16,124,8,12,10,38,14,4,8,2,40,8
13,Capital                                 ,001,0002 ,0007,640,19,21,184,10,12,58,8,124,14,4,8,38,14,4,4,2,22,4
13,Capital                                 ,001,0002 ,0008,640,19,12,194,4,18,50,6,106,22,10,8,40,10,6,2,4,22,4
13,Capital                                 ,001,0003 ,0009,791,5,7,182,6,4,78,10,94,24,4,8,34,4,4,0,4,30,4
13,Capital                                 ,001,0003 ,0010,793,8,3,200,12,8,80,6,108,14,10,2,52,8,2,4,2,28,4
13,Capital                                 ,001,0004 ,0011,880,21,16,246,8,12,130,10,132,42,10,8,38,4,10,8,0,34,6
13,Capital                                 ,001,0004 ,0012,864,12,8,156,6,26,146,14,144,38,8,10,32,4,6,4,2,36,2
13,Capital                                 ,001,0004 ,0013,814,13,13,200,6,20,88,6,110,46,8,2,42,4,6,4,4,32,2
13,Capital                                 ,001,0004 ,0014,391,4,15,73,5,6,41,4,55,13,2,2,17,2,3,2,1,13,0
13,Capital                                 ,001,0005 ,0014,440,32,4,81,4,8,44,3,58,14,3,2,26,2,1,1,3,11,3
13,Capital                                 ,001,0005 ,0015,880,32,33,176,18,12,86,10,106,28,12,10,44,2,8,6,4,30,4
13,Capital                                 ,001,0005 ,0016,757,14,16,158,6,12,100,8,138,16,16,2,40,2,4,6,2,26,6
13,Capital                                 ,001,0005 ,0017,757,15,24,182,12,10,94,8,138,20,8,6,36,2,2,6,0,28,4
13,Capital                                 ,001,0005 ,0018,328,6,4,56,2,2,27,3,42,7,4,3,6,1,4,2,1,12,1
13,Capital                                 ,001,0005 ,0019,328,9,10,64,6,9,19,4,55,17,5,0,7,1,2,2,1,13,2
13,Capital                                 ,001,0006 ,0018,440,12,14,119,3,8,55,7,50,16,6,3,23,2,0,2,2,9,2
13,Capital                                 ,001,0006 ,0019,440,20,11,97,4,5,36,4,66,18,3,4,19,1,0,2,1,13,1
13,Capital                                 ,001,0006 ,0020,880,16,9,182,4,10,96,8,150,48,8,2,46,8,6,4,4,30,2
13,Capital                                 ,001,0006 ,0021,880,54,11,200,4,12,74,12,138,32,4,6,42,18,2,4,4,44,4
