codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0013,0038,0072,0076,0186,0302,0333,0501,0507,0503,0502,0504,0506
01,Comuna 01,001,0001 ,0001,343,12,0,1,0,2,1,8,0,0,60,21,2,104,15,20
01,Comuna 01,001,0001 ,0002,344,10,0,0,2,4,0,7,1,0,55,23,3,85,15,17
01,Comuna 01,001,0001 ,0003,344,4,3,1,4,2,1,11,2,0,72,23,6,84,11,18
01,Comuna 01,001,0001 ,0004,343,11,3,1,3,1,0,7,0,0,68,30,0,90,11,15
01,Comuna 01,001,0001 ,0005,343,8,0,2,3,5,1,4,2,0,63,22,1,84,13,17
01,Comuna 01,001,0001 ,0006,344,2,0,1,2,2,0,10,3,0,82,33,1,88,11,15
01,Comuna 01,001,0001 ,0007,344,5,2,2,3,5,1,15,0,0,78,21,2,74,15,14
01,Comuna 01,001,0001 ,0008,344,15,2,3,0,0,0,6,1,1,64,28,1,96,14,14
01,Comuna 01,001,0001 ,0009,344,7,0,3,2,4,1,9,1,0,76,32,2,91,14,10
01,Comuna 01,001,0001 ,0010,344,7,1,1,1,1,0,7,0,0,72,23,4,99,12,10
01,Comuna 01,001,0001 ,0011,344,0,4,0,2,3,0,10,0,0,75,15,1,75,11,25
01,Comuna 01,001,0001 ,0012,343,5,4,2,1,3,0,6,0,0,75,33,3,91,14,19
01,Comuna 01,001,0001 ,0013,345,7,4,2,1,1,2,3,0,0,67,19,3,93,12,21
01,Comuna 01,001,0001 ,0014,344,9,2,0,1,2,1,8,1,0,63,39,3,85,13,11
01,Comuna 01,001,0001 ,0015,343,9,2,2,0,2,0,2,0,0,74,27,1,78,11,21
01,Comuna 01,001,0001 ,0016,341,4,1,2,1,5,0,7,0,0,76,24,2,81,10,14
01,Comuna 01,001,0001 ,0017,343,5,3,1,1,1,0,9,1,0,73,24,1,80,20,12
01,Comuna 01,001,0001 ,0018,343,8,3,1,3,1,0,5,0,0,65,26,5,80,11,14
01,Comuna 01,001,0001 ,0019,343,18,4,2,0,0,0,5,0,1,63,18,0,99,11,18
01,Comuna 01,001,0001 ,0020,344,8,1,3,2,6,0,13,0,3,62,32,0,96,14,20
01,Comuna 01,001,0001 ,0021,342,5,0,4,5,2,2,7,0,1,67,17,3,86,19,13
01,Comuna 01,001,0001 ,0022,342,8,1,1,1,2,0,9,0,0,66,24,3,97,14,17
01,Comuna 01,001,0001 ,0023,342,8,0,0,2,5,1,9,0,0,77,26,3,89,12,13
01,Comuna 01,001,0001 ,0024,342,18,1,3,0,4,0,14,0,0,68,24,6,79,12,19
01,Comuna 01,001,0001 ,0025,343,2,5,3,1,2,0,8,0,0,71,18,1,88,16,15
01,Comuna 01,001,0001 ,0026,342,15,5,2,0,3,0,6,0,0,61,27,1,96,12,14
01,Comuna 01,001,0001 ,0027,342,8,0,1,1,5,0,13,1,0,62,21,4,105,13,16
01,Comuna 01,001,0001 ,0028,341,7,2,1,1,4,0,10,0,0,74,21,5,97,10,19
01,Comuna 01,001,0001 ,0029,342,5,2,2,5,2,2,10,0,1,67,23,2,77,14,12
01,Comuna 01,001,0001 ,0030,343,0,3,4,5,6,1,9,0,2,70,18,3,94,13,8
01,Comuna 01,001,0001 ,0031,342,10,0,1,0,2,0,10,0,0,70,27,2,83,12,16
01,Comuna 01,001,0002 ,0032,347,6,5,1,3,5,0,8,0,0,74,34,3,79,7,7
01,Comuna 01,001,0002 ,0033,349,2,2,0,2,1,0,5,0,0,70,27,1,80,18,14
01,Comuna 01,001,0002 ,0034,348,3,5,1,4,6,1,12,0,0,64,29,4,95,14,9
01,Comuna 01,001,0002 ,0035,347,10,0,0,6,5,0,5,0,0,87,20,4,85,7,13
01,Comuna 01,001,0002 ,0036,347,29,1,1,4,1,0,12,0,1,71,22,4,78,7,14
01,Comuna 01,001,0002 ,0037,348,8,1,2,1,3,0,11,1,1,82,13,2,71,12,18
01,Comuna 01,001,0002 ,0038,347,8,2,0,2,1,0,11,1,0,71,24,2,84,12,11
01,Comuna 01,001,0002 ,0039,348,8,1,1,2,4,1,8,1,0,61,22,2,88,8,21
01,Comuna 01,001,0002 ,0040,347,7,0,1,2,3,2,8,1,0,61,26,1,106,11,12
01,Comuna 01,001,0002 ,0041,347,4,0,3,5,3,1,11,0,0,74,27,2,62,12,16
01,Comuna 01,001,0002 ,0042,348,5,2,3,0,3,3,8,0,0,58,20,2,55,11,11
