codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0005,0014,0038,0048,0056,0060,0132,0302,0303,0304,0305,0306,0307,0308,0439
17,Capital                                 ,001,0001A,1001,392,1,4,6,13,4,4,0,0,0,5,21,0,59,2,19,15,95
17,Capital                                 ,001,0001A,1002,391,40,1,3,15,2,2,0,0,2,4,18,0,54,1,2,13,108
17,Capital                                 ,001,0001A,1003,391,1,3,4,17,3,4,0,0,0,1,15,0,47,3,11,20,97
17,Capital                                 ,001,0001A,1004,391,1,0,7,7,3,4,4,0,2,1,26,0,60,3,10,17,101
17,Capital                                 ,001,0001A,1005,391,29,4,0,12,0,2,0,0,1,0,8,0,53,1,13,19,127
17,Capital                                 ,001,0001A,3001,429,30,3,15,11,3,2,0,2,1,0,14,2,66,3,16,19,117
17,Capital                                 ,001,0001A,3002,429,0,0,5,15,0,5,1,1,3,4,15,0,72,3,13,13,112
17,Capital                                 ,001,0001A,3003,429,0,0,1,11,3,4,0,0,0,1,31,0,61,3,17,10,116
17,Capital                                 ,001,0001A,3004,428,0,0,2,10,2,1,0,0,0,1,29,0,67,4,8,12,108
17,Capital                                 ,001,0001A,3005,428,1,8,4,7,1,0,0,0,1,7,23,3,65,2,5,16,112
17,Capital                                 ,001,0001A,3006,428,0,0,6,13,2,2,1,0,0,2,32,0,62,2,19,16,112
17,Capital                                 ,001,0001B,1006,442,3,2,1,12,1,4,2,0,0,3,28,0,77,4,10,14,114
17,Capital                                 ,001,0001B,1007,442,4,1,0,6,1,2,0,0,0,0,20,0,64,2,10,17,122
17,Capital                                 ,001,0001B,1008,441,0,0,2,0,5,2,0,1,1,2,26,0,64,1,18,12,103
17,Capital                                 ,001,0001B,1009,441,2,5,4,11,1,4,2,0,0,1,39,0,46,0,18,26,96
17,Capital                                 ,001,0001B,3007,406,30,1,16,11,1,2,2,1,0,1,31,0,53,4,11,19,101
17,Capital                                 ,001,0001B,3008,405,0,0,1,11,2,3,0,0,0,1,26,0,61,2,21,19,98
17,Capital                                 ,001,0001B,3009,405,0,0,5,10,2,5,2,0,2,1,26,0,57,1,29,20,82
17,Capital                                 ,001,0001B,3010,405,0,0,0,7,1,2,0,1,1,2,28,0,73,0,12,20,81
17,Capital                                 ,001,0001B,3011,405,2,2,9,6,1,3,0,0,1,1,27,1,57,4,20,20,89
17,Capital                                 ,001,0001B,3012,405,3,0,1,2,1,0,0,0,2,2,31,0,56,5,25,20,84
17,Capital                                 ,001,0001C,1010,387,0,0,0,11,2,7,0,0,0,1,18,2,28,0,15,28,97
17,Capital                                 ,001,0001C,1011,387,1,2,7,12,3,1,0,0,0,2,27,0,55,0,12,10,112
17,Capital                                 ,001,0001C,1012,387,26,0,1,11,1,4,3,0,0,0,16,2,61,5,11,19,99
17,Capital                                 ,001,0001C,1013,386,33,3,2,6,4,5,0,0,0,2,15,0,57,3,11,17,96
17,Capital                                 ,001,0001C,1014,386,23,3,0,7,0,3,1,0,0,0,17,0,52,3,13,23,101
17,Capital                                 ,001,0001C,3013,383,54,3,4,10,0,3,1,2,2,1,23,0,41,5,18,18,96
17,Capital                                 ,001,0001C,3014,383,0,1,2,8,0,4,1,0,0,1,33,0,52,0,0,21,91
17,Capital                                 ,001,0001C,3015,383,122,4,1,7,0,1,1,0,0,0,19,1,39,0,12,11,59
17,Capital                                 ,001,0001C,3016,383,44,3,0,3,0,2,1,0,5,0,26,0,53,4,14,18,98
17,Capital                                 ,001,0001C,3017,383,38,3,1,9,0,7,0,0,1,2,21,0,57,2,18,24,95
17,Capital                                 ,001,0001C,3018,382,23,3,1,13,2,6,1,0,3,0,24,0,52,3,20,16,77
17,Capital                                 ,001,0001D,1015,407,1,3,0,16,1,2,1,0,1,2,20,0,60,1,10,17,102
17,Capital                                 ,001,0001D,1016,407,52,0,1,8,1,10,1,0,0,0,20,0,52,2,24,0,85
17,Capital                                 ,001,0001D,1017,407,36,3,6,17,1,6,3,0,1,1,22,1,54,3,18,18,91
