codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0003,0005,0022,0047,0050,0052,0055,0187,0245,0249,0250,0436,0437,0438
24,Ushuaia                                 ,001,0004 ,0141,377,42,12,17,15,7,39,5,9,21,14,2,28,17,3,6,9
24,Ushuaia                                 ,001,0004 ,0142,376,45,8,16,16,5,36,6,7,18,13,5,24,19,6,2,7
24,Ushuaia                                 ,001,0004 ,0143,378,44,6,14,18,5,28,24,6,14,22,5,19,20,5,5,7
24,Ushuaia                                 ,001,0004 ,0144,376,33,6,20,8,8,38,8,8,16,14,4,27,43,3,5,10
24,Ushuaia                                 ,001,0004 ,0145,377,52,6,18,19,4,49,5,7,16,13,7,18,20,2,3,11
24,Ushuaia                                 ,001,0004 ,0146,383,44,7,12,23,1,55,10,9,16,15,5,19,14,5,4,4
24,Ushuaia                                 ,001,0004 ,0147,379,45,17,16,4,5,39,12,6,16,25,13,22,22,7,2,0
24,Ushuaia                                 ,001,0004 ,0148,379,63,4,16,15,4,37,7,7,18,22,12,20,15,6,3,2
24,Ushuaia                                 ,001,0004 ,0149,380,43,3,16,14,4,39,8,9,13,11,7,21,36,1,8,9
24,Ushuaia                                 ,001,0004 ,0150,381,37,2,17,18,5,35,6,11,20,16,9,25,24,5,4,11
24,Ushuaia                                 ,001,0004 ,0151,383,54,6,17,13,7,49,12,5,12,16,6,26,24,6,8,11
24,Ushuaia                                 ,001,0004 ,0152,389,73,6,21,8,4,27,15,8,22,9,11,19,27,5,5,10
24,Ushuaia                                 ,001,0005 ,0033,392,5,6,18,14,7,51,11,8,22,15,4,39,26,0,2,10
24,Ushuaia                                 ,001,0005 ,0034,396,45,11,14,9,8,55,12,11,21,17,4,27,24,7,0,13
24,Ushuaia                                 ,001,0005 ,0035,390,49,6,21,14,4,49,15,8,10,18,4,35,32,6,3,7
24,Ushuaia                                 ,001,0005 ,0036,393,46,12,12,10,4,51,12,16,17,16,9,21,27,5,5,5
24,Ushuaia                                 ,001,0005 ,0037,387,55,7,17,16,7,57,15,8,13,16,6,29,25,3,5,9
24,Ushuaia                                 ,001,0005 ,0038,390,57,8,18,6,6,44,16,11,16,14,6,30,24,6,4,9
24,Ushuaia                                 ,001,0005 ,0039,391,52,1,19,13,11,48,13,9,19,19,8,29,16,7,3,11
24,Ushuaia                                 ,001,0005 ,0040,390,37,7,20,15,6,59,5,8,21,15,6,25,22,3,4,7
24,Ushuaia                                 ,001,0005 ,0041,389,69,14,9,9,3,52,6,13,16,17,5,30,23,4,5,9
24,Ushuaia                                 ,001,0005 ,0042,390,44,11,19,5,5,55,18,8,13,26,13,29,19,4,9,5
24,Ushuaia                                 ,001,0005 ,0043,396,36,7,13,10,2,54,11,10,20,21,7,21,32,3,5,7
