codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0008,0068,0187,0234,0262,0324,0325,0501,0502,0503,0504,0505,0506
01,Comuna 01,001,0001 ,0001,349,5,4,1,6,6,3,5,0,0,60,60,67,7,22,4
01,Comuna 01,001,0001 ,0002,350,4,4,0,4,8,2,3,0,1,50,62,75,8,13,12
01,Comuna 01,001,0001 ,0003,349,4,2,2,10,6,3,1,0,2,74,60,63,9,8,12
01,Comuna 01,001,0001 ,0004,350,4,5,0,5,4,2,3,1,3,77,71,68,2,13,7
01,Comuna 01,001,0001 ,0005,349,5,5,1,3,3,2,2,0,1,64,65,64,3,10,6
01,Comuna 01,001,0001 ,0006,349,3,4,1,2,5,1,1,2,3,63,77,70,4,11,5
01,Comuna 01,001,0001 ,0007,349,8,3,0,7,10,1,2,0,1,54,69,64,4,19,8
01,Comuna 01,001,0001 ,0008,348,8,5,3,3,7,6,1,1,2,65,53,67,6,13,8
01,Comuna 01,001,0001 ,0009,350,5,6,0,7,10,3,2,0,3,59,74,57,3,15,11
01,Comuna 01,001,0001 ,0010,349,4,2,1,5,7,2,3,1,0,68,75,82,3,7,2
01,Comuna 01,001,0001 ,0011,349,4,5,2,4,7,1,2,1,0,68,62,60,6,16,11
01,Comuna 01,001,0001 ,0012,349,2,1,0,4,4,4,2,1,1,75,72,64,8,0,0
01,Comuna 01,001,0001 ,0013,350,4,5,1,8,4,1,1,3,4,64,82,57,7,8,6
01,Comuna 01,001,0001 ,0014,348,4,4,1,6,5,1,3,0,4,57,71,81,6,11,6
01,Comuna 01,001,0001 ,0015,350,2,5,0,5,4,2,1,1,2,65,56,72,5,10,5
01,Comuna 01,001,0001 ,0016,350,1,1,0,96,9,5,3,2,1,58,68,65,4,15,3
01,Comuna 01,001,0001 ,0017,348,6,1,2,3,12,2,2,2,1,67,64,56,6,14,5
01,Comuna 01,001,0001 ,0018,349,2,5,1,3,4,3,1,1,1,60,73,75,9,10,6
01,Comuna 01,001,0001 ,0019,349,4,4,1,8,5,3,2,0,3,50,90,65,4,12,5
01,Comuna 01,001,0001 ,0020,348,3,2,0,7,6,4,0,1,2,65,67,71,9,11,6
01,Comuna 01,001,0001 ,0021,349,10,2,1,5,0,2,6,2,0,62,69,72,4,15,3
01,Comuna 01,001,0001 ,0022,349,2,5,0,5,6,4,6,1,1,57,69,62,1,20,6
01,Comuna 01,001,0001 ,0023,348,5,0,1,5,7,2,2,0,2,57,70,68,4,9,10
01,Comuna 01,001,0001 ,0024,348,7,2,2,0,8,4,2,1,1,81,73,56,6,8,5
01,Comuna 01,001,0001 ,0025,348,1,5,2,5,6,0,4,1,3,72,61,68,2,11,9
01,Comuna 01,001,0001 ,0026,349,3,4,0,3,3,4,4,0,0,69,66,72,8,8,3
01,Comuna 01,001,0001 ,0027,348,5,3,0,3,10,4,5,2,1,64,68,84,1,12,6
01,Comuna 01,001,0001 ,0028,348,3,4,0,5,10,3,4,1,1,56,77,63,4,14,10
01,Comuna 01,001,0001 ,0029,348,3,6,3,5,6,6,2,1,5,62,64,67,8,5,11
01,Comuna 01,001,0001 ,0030,348,2,10,0,3,8,6,3,3,4,61,66,60,5,21,10
01,Comuna 01,001,0001 ,0031,348,2,5,0,0,13,4,3,1,2,75,72,54,7,8,13
01,Comuna 01,001,0002 ,0032,343,1,8,0,7,7,0,1,2,3,75,52,57,9,9,6
01,Comuna 01,001,0002 ,0033,345,0,8,1,5,3,2,4,2,0,61,54,52,9,9,10
01,Comuna 01,001,0002 ,0034,343,3,5,0,8,4,2,1,2,1,67,70,60,5,16,9
01,Comuna 01,001,0002 ,0035,342,8,3,0,5,6,1,4,3,4,88,62,51,3,5,11
01,Comuna 01,001,0002 ,0036,342,7,2,2,5,10,2,2,2,1,59,45,56,0,6,3
01,Comuna 01,001,0002 ,0037,342,5,7,4,11,7,1,2,1,4,70,56,52,4,11,9
01,Comuna 01,001,0002 ,0038,341,1,2,0,7,5,5,3,0,3,76,42,62,3,13,7
