codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0001,0003,0014,0020,0038,0041,0043,0047,0056,0057,0132,0134,0135,0151,0152,0153,0154,0155,0157,0158,0159,0160,0161
04,Capital                                 ,001,0001 ,0001,383,4,4,7,91,1,5,1,3,NA,69,0,0,1,17,6,7,4,21,0,0,0,0,0,5,0
04,Capital                                 ,001,0001 ,0002,383,4,3,13,70,0,3,1,1,NA,68,1,1,0,10,4,4,4,24,0,0,0,1,0,5,0
04,Capital                                 ,001,0001 ,0003,383,8,2,4,77,0,7,1,2,NA,81,0,0,0,16,6,3,6,22,0,0,0,1,1,8,0
04,Capital                                 ,001,0001 ,0004,383,0,0,9,71,1,5,1,3,NA,79,0,1,0,22,2,6,4,23,0,0,0,1,1,9,0
04,Capital                                 ,001,0001 ,0005,383,13,1,18,55,2,4,0,7,NA,59,0,0,0,17,7,4,5,22,3,0,1,0,0,8,0
04,Capital                                 ,001,0001 ,0006,383,13,0,7,66,2,5,0,3,NA,55,0,0,0,17,5,3,9,26,0,0,0,0,1,9,0
04,Capital                                 ,001,0001 ,0007,383,10,1,8,72,0,4,0,1,NA,80,3,0,0,17,3,2,5,11,1,0,0,0,0,11,1
04,Capital                                 ,001,0001 ,0008,383,4,1,12,71,0,1,1,6,NA,73,0,0,0,10,4,3,0,29,0,0,0,1,0,6,0
04,Capital                                 ,001,0001 ,0009,383,10,1,10,75,3,7,3,12,NA,61,0,0,0,18,0,4,6,20,0,1,0,0,0,11,0
04,Capital                                 ,001,0001 ,0010,383,11,4,5,82,2,7,0,1,NA,65,0,0,0,26,4,3,4,22,0,0,0,0,0,11,0
04,Capital                                 ,001,0001 ,0011,382,7,4,12,61,4,8,1,0,NA,67,0,1,0,11,6,2,5,21,0,1,0,0,0,7,0
04,Capital                                 ,001,0001 ,0012,382,2,1,9,60,3,2,1,4,NA,71,2,0,1,16,3,0,10,18,0,0,0,0,0,7,0
04,Capital                                 ,001,0001 ,0013,382,8,0,7,72,0,8,5,3,NA,60,0,0,1,9,4,3,6,29,0,3,0,0,1,4,1
04,Capital                                 ,001,0001 ,0014,382,7,1,7,60,0,4,1,5,NA,69,1,0,0,18,5,6,4,21,0,0,0,0,1,9,0
04,Capital                                 ,001,0001 ,0015,382,6,3,8,71,0,3,0,8,NA,86,1,0,0,14,6,5,1,17,0,0,0,1,0,9,0
04,Capital                                 ,001,0001 ,0016,382,16,0,8,59,1,6,2,7,NA,92,0,1,0,18,3,3,3,24,1,0,1,0,0,3,0
04,Capital                                 ,001,0001 ,0017,382,7,0,12,48,1,5,0,7,NA,78,0,1,1,16,3,4,7,30,0,1,0,0,0,7,0
04,Capital                                 ,001,0001 ,0018,382,1,1,8,74,1,4,0,4,NA,68,0,0,0,19,1,2,6,24,0,0,1,0,0,9,0
04,Capital                                 ,001,0001 ,0019,382,7,0,5,54,2,7,1,1,NA,75,0,1,0,19,9,3,6,24,0,0,0,1,0,12,0
04,Capital                                 ,001,0001 ,0020,382,8,0,7,70,3,2,3,4,NA,77,0,0,0,17,2,5,3,26,1,1,0,0,0,10,1
04,Capital                                 ,001,0001 ,0021,382,10,8,9,57,3,4,0,2,NA,81,0,0,0,15,3,4,4,20,0,0,0,1,1,11,0
04,Capital                                 ,001,0001 ,0022,382,8,0,14,61,2,3,1,9,NA,64,0,0,1,18,3,4,10,33,0,0,0,0,0,4,0
04,Capital                                 ,001,0001 ,0023,382,6,1,9,76,0,8,0,4,NA,65,0,0,1,12,4,5,9,36,1,1,0,0,0,5,1
04,Capital                                 ,001,0001 ,3486,373,1,4,11,59,3,8,1,7,NA,48,1,1,0,30,2,11,6,37,0,0,1,0,0,8,3
04,Capital                                 ,001,0001 ,3487,373,17,4,16,66,1,2,1,5,NA,34,0,0,0,21,7,5,4,28,0,0,1,0,0,5,1
04,Capital                                 ,001,0001 ,3488,373,17,2,12,61,0,3,2,2,NA,46,0,0,3,21,2,6,10,32,0,0,1,0,0,7,2
04,Capital                                 ,001,0001 ,3489,373,15,3,4,59,2,6,0,3,NA,52,0,1,1,26,5,3,12,24,0,0,0,0,2,11,1
04,Capital                                 ,001,0001 ,3490,373,5,5,11,56,0,4,0,5,NA,59,0,0,0,23,6,7,9,21,1,0,0,0,1,12,1
04,Capital                                 ,001,0001 ,3491,373,1,1,5,54,0,8,0,0,NA,48,2,0,0,18,3,8,5,34,1,0,0,0,0,11,2
04,Capital                                 ,001,0001 ,3492,373,11,4,10,53,1,1,2,5,NA,43,0,0,1,22,5,13,6,25,0,0,0,0,0,11,0
04,Capital                                 ,001,0001 ,3493,373,17,6,13,64,1,6,3,7,NA,43,0,0,1,18,6,8,6,21,0,0,0,0,1,5,2
04,Capital                                 ,001,0001 ,3494,373,15,2,9,46,2,0,0,8,NA,47,0,0,0,15,2,3,5,26,0,1,1,1,0,10,0
04,Capital                                 ,001,0001 ,3495,373,0,0,11,60,0,3,1,4,NA,53,0,0,1,33,3,3,10,12,0,0,0,1,0,6,5
04,Capital                                 ,001,0001 ,3496,372,0,0,8,49,1,1,0,5,NA,61,0,0,1,25,0,6,6,31,0,1,0,0,0,7,1
04,Capital                                 ,001,0001 ,3497,372,9,2,11,60,2,5,2,5,NA,58,0,0,0,21,3,5,2,31,1,0,0,2,0,6,1
04,Capital                                 ,001,0001 ,3498,372,8,3,10,49,3,3,0,6,NA,51,0,1,1,23,1,10,5,20,1,1,0,0,0,9,2
04,Capital                                 ,001,0001 ,3499,372,9,3,6,42,1,8,1,0,NA,50,1,0,0,23,5,4,6,34,0,0,0,0,0,9,0
04,Capital                                 ,001,0001 ,3500,372,2,6,12,44,0,8,0,9,NA,59,0,0,0,18,3,3,3,21,1,0,0,1,0,11,2
04,Capital                                 ,001,0001 ,3501,372,9,2,6,57,3,4,1,8,NA,49,0,0,1,12,2,3,8,32,0,0,0,0,0,9,0
04,Capital                                 ,001,0001 ,3502,372,10,1,12,42,1,5,0,4,NA,41,1,0,0,17,3,5,7,36,8,0,0,0,2,11,0
04,Capital                                 ,001,0001 ,3503,372,3,0,4,61,1,3,0,7,NA,55,1,0,2,16,5,11,9,25,0,0,0,0,0,8,2
04,Capital                                 ,001,0002 ,0024,378,9,4,9,71,3,5,1,4,NA,75,0,0,0,11,3,3,10,20,0,0,0,1,0,7,0
04,Capital                                 ,001,0002 ,0025,378,4,5,16,63,0,0,2,3,NA,71,0,0,0,18,3,5,6,20,0,1,0,1,0,12,0
04,Capital                                 ,001,0002 ,0026,378,6,0,12,56,1,5,0,10,NA,68,0,0,0,25,3,7,19,0,0,0,1,0,1,8,0
04,Capital                                 ,001,0002 ,0027,378,4,4,7,60,3,8,0,7,NA,54,0,0,2,17,2,3,12,23,0,0,0,0,0,8,0
04,Capital                                 ,001,0002 ,0028,378,6,7,10,43,1,10,1,7,NA,53,2,0,0,23,6,1,7,42,0,0,0,0,1,10,0
04,Capital                                 ,001,0002 ,0029,378,9,2,13,66,4,8,1,3,NA,66,0,0,0,20,3,5,4,28,1,0,0,0,0,8,0
04,Capital                                 ,001,0002 ,0030,377,9,2,15,58,0,5,2,4,NA,71,0,0,0,23,2,3,4,21,0,1,0,0,0,5,0
04,Capital                                 ,001,0002 ,0031,377,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04,Capital                                 ,001,0002 ,3504,384,20,4,8,71,0,6,1,5,NA,45,2,1,0,28,4,5,12,14,0,0,0,2,0,8,3
04,Capital                                 ,001,0002 ,3505,383,11,4,7,62,1,7,0,6,NA,51,0,0,1,21,6,5,7,26,3,0,0,0,0,12,1
04,Capital                                 ,001,0002 ,3506,383,6,0,5,48,1,0,2,4,NA,41,1,0,0,32,5,3,8,23,0,2,0,0,0,4,1
04,Capital                                 ,001,0002 ,3507,383,15,4,14,79,1,13,0,5,NA,34,1,0,3,20,0,3,7,30,1,0,0,1,0,7,3
04,Capital                                 ,001,0002 ,3508,383,16,3,3,79,3,8,1,8,NA,49,0,2,0,21,3,2,8,12,0,0,0,1,0,9,2
04,Capital                                 ,001,0002 ,3509,383,4,3,6,47,4,7,2,5,NA,48,1,1,0,23,6,3,10,27,1,0,0,0,0,11,2
04,Capital                                 ,001,0002 ,3510,383,10,3,10,52,4,10,3,6,NA,50,1,0,1,20,6,7,6,23,0,0,0,0,0,10,2
04,Capital                                 ,001,0003 ,0032,383,18,0,9,49,0,7,0,11,NA,60,0,0,0,21,10,2,4,39,0,0,0,1,0,13,0
04,Capital                                 ,001,0003 ,0033,383,25,2,4,54,1,0,1,4,NA,86,0,0,0,21,5,7,7,19,0,0,1,1,0,0,0
04,Capital                                 ,001,0003 ,0034,383,2,2,11,54,5,5,2,5,NA,68,0,1,1,18,4,3,10,31,0,1,0,0,0,3,0
04,Capital                                 ,001,0003 ,0035,383,8,4,5,65,0,10,2,2,NA,87,0,1,0,17,6,3,9,24,0,1,0,1,0,6,0
04,Capital                                 ,001,0003 ,0036,383,11,2,9,69,1,1,2,11,NA,82,0,0,1,15,6,3,5,15,1,0,0,0,0,9,0
04,Capital                                 ,001,0003 ,0037,383,8,0,9,48,1,4,3,7,NA,79,0,0,1,14,6,6,7,29,0,0,0,0,0,12,2
04,Capital                                 ,001,0003 ,0038,383,2,7,15,49,2,17,1,4,NA,82,2,0,0,23,7,6,7,27,0,0,0,0,0,9,0
04,Capital                                 ,001,0003 ,0039,383,0,2,3,67,1,6,0,7,NA,81,0,0,0,19,5,5,5,24,1,0,0,1,0,15,0
04,Capital                                 ,001,0003 ,0040,383,36,0,4,59,1,9,3,3,NA,84,0,0,0,16,5,3,10,36,0,2,1,0,0,4,0
04,Capital                                 ,001,0003 ,0041,383,18,2,6,64,0,9,0,7,NA,82,0,1,0,14,6,6,6,30,2,1,0,1,0,12,0
04,Capital                                 ,001,0003 ,0042,383,17,0,4,57,0,4,2,7,NA,84,1,1,0,18,9,4,2,22,0,2,0,1,5,0,0
04,Capital                                 ,001,0003 ,0043,383,13,4,8,53,1,6,3,7,NA,88,0,0,1,23,9,5,7,24,4,0,0,0,0,9,0
04,Capital                                 ,001,0003 ,0044,383,19,2,7,51,0,9,1,4,NA,86,3,0,0,15,4,6,6,41,0,1,0,1,0,7,0
04,Capital                                 ,001,0003 ,0045,382,4,1,4,56,1,0,1,10,NA,68,1,2,1,9,7,8,10,29,0,0,0,2,0,20,2
04,Capital                                 ,001,0003 ,0046,382,0,5,4,61,1,10,2,8,NA,78,0,2,1,11,8,1,8,20,0,0,0,0,0,13,0
04,Capital                                 ,001,0003 ,0047,382,10,4,12,63,5,6,5,3,NA,63,0,0,0,13,3,1,11,36,0,1,0,0,1,9,0
04,Capital                                 ,001,0003 ,0048,382,19,5,21,57,0,0,1,4,NA,82,0,1,1,20,1,3,4,23,0,0,0,1,0,10,0
04,Capital                                 ,001,0003 ,0049,382,3,1,6,72,1,3,1,3,NA,75,0,0,0,26,1,5,16,17,0,0,0,0,0,7,1
04,Capital                                 ,001,0003 ,0050,382,18,3,15,57,3,3,0,4,NA,64,0,1,0,21,7,4,9,25,1,0,0,0,0,4,0
04,Capital                                 ,001,0003 ,0051,382,7,6,10,55,0,7,1,3,NA,81,1,0,1,17,3,8,5,30,0,0,0,2,0,9,1
04,Capital                                 ,001,0003 ,0052,382,1,8,17,61,1,13,3,7,NA,56,0,0,0,21,6,0,4,24,0,1,0,0,0,10,0
04,Capital                                 ,001,0003 ,0053,382,23,3,9,66,1,8,1,8,NA,62,0,0,2,29,8,3,5,25,1,0,0,0,0,4,0
04,Capital                                 ,001,0003 ,0054,382,13,2,1,56,0,4,1,9,NA,79,1,0,0,13,3,3,12,30,1,0,0,0,0,14,0
04,Capital                                 ,001,0003 ,0055,382,1,3,10,76,0,4,0,1,NA,65,1,0,0,25,7,5,4,34,1,1,0,1,0,9,0
04,Capital                                 ,001,0003 ,0056,382,7,2,15,52,3,11,4,7,NA,67,0,0,0,21,6,8,12,34,0,0,1,0,0,3,0
04,Capital                                 ,001,0003 ,0057,382,2,1,5,72,3,3,4,5,NA,47,1,0,0,20,5,4,1,45,0,1,0,0,1,13,1
04,Capital                                 ,001,0003 ,0058,382,7,4,6,74,1,4,0,8,NA,69,0,1,1,27,7,4,1,32,0,1,0,1,0,8,0
04,Capital                                 ,001,0003 ,0059,382,0,0,9,73,0,10,1,2,NA,85,0,0,0,15,7,2,8,17,0,1,0,0,0,8,1
04,Capital                                 ,001,0003 ,3511,375,13,3,0,63,0,8,3,7,NA,56,0,0,2,20,9,5,7,25,1,0,0,0,2,12,1
04,Capital                                 ,001,0003 ,3512,375,17,3,4,46,3,10,0,2,NA,51,0,1,1,27,9,5,9,47,1,0,2,0,0,6,0
04,Capital                                 ,001,0003 ,3513,375,2,2,7,70,1,5,2,4,NA,66,2,0,0,26,6,3,6,31,0,0,0,1,0,5,1
04,Capital                                 ,001,0003 ,3514,375,8,8,17,36,0,17,0,10,NA,56,0,0,0,22,7,4,2,38,0,2,2,0,1,8,3
04,Capital                                 ,001,0003 ,3515,375,9,4,17,44,1,4,1,3,NA,52,2,0,2,21,5,5,4,48,0,0,0,0,0,12,1
04,Capital                                 ,001,0003 ,3516,375,25,0,6,48,0,15,0,11,NA,50,3,0,0,18,7,4,12,25,0,0,0,0,0,15,1
04,Capital                                 ,001,0003 ,3517,375,12,3,10,65,1,0,2,5,NA,71,0,0,0,26,0,6,14,37,0,0,0,0,0,10,0
04,Capital                                 ,001,0003 ,3518,375,0,8,6,56,2,9,0,3,NA,63,0,0,0,11,2,7,6,45,1,0,0,0,0,14,0
04,Capital                                 ,001,0003 ,3519,375,14,3,8,50,0,5,1,8,NA,47,2,1,1,22,2,6,12,31,0,1,1,0,0,13,2
04,Capital                                 ,001,0003 ,3520,375,2,3,16,67,2,6,0,10,NA,43,1,0,0,20,6,5,5,20,0,0,1,0,2,12,0
04,Capital                                 ,001,0003 ,3521,375,3,4,3,63,0,10,2,10,NA,48,1,1,1,28,7,7,5,16,1,0,0,0,1,13,0
04,Capital                                 ,001,0003 ,3522,375,10,1,1,67,1,8,3,5,NA,60,0,1,2,16,6,3,6,36,2,1,0,0,1,14,2
04,Capital                                 ,001,0003 ,3523,375,12,2,10,48,2,6,3,3,NA,60,2,0,2,24,2,4,8,31,1,0,0,1,0,14,0
04,Capital                                 ,001,0003 ,3524,375,0,4,10,78,0,6,1,6,NA,47,0,0,0,21,3,6,5,15,2,0,1,0,0,7,0
04,Capital                                 ,001,0003 ,3525,375,2,2,8,45,2,4,2,6,NA,64,1,0,0,30,10,5,7,33,0,0,0,1,1,6,0
04,Capital                                 ,001,0003 ,3526,375,0,0,9,69,2,12,0,6,NA,60,0,0,0,28,7,11,0,30,0,0,3,0,0,1,1
04,Capital                                 ,001,0003 ,3527,375,10,0,10,59,0,8,0,6,NA,52,2,1,2,23,5,4,9,33,0,0,0,0,1,13,2
04,Capital                                 ,001,0003 ,3528,375,14,7,1,50,1,11,1,2,NA,58,0,0,2,22,5,4,10,31,0,0,0,1,1,9,0
04,Capital                                 ,001,0003 ,3529,375,0,0,4,63,3,7,0,2,NA,59,0,0,1,17,8,7,9,28,0,0,0,1,0,11,4
04,Capital                                 ,001,0003 ,3530,375,7,5,18,59,0,9,1,6,NA,63,0,0,0,17,5,7,11,24,0,0,0,0,1,7,2
04,Capital                                 ,001,0003 ,3531,374,0,4,19,55,2,8,3,4,NA,54,0,1,2,24,4,7,8,15,0,0,0,0,0,10,1
04,Capital                                 ,001,0003 ,3532,374,8,3,8,61,1,0,2,5,NA,50,0,0,1,24,6,7,6,36,0,0,0,1,1,10,1
04,Capital                                 ,001,0004 ,0060,378,11,2,6,85,1,7,2,3,NA,65,0,0,0,15,5,10,2,30,1,0,0,0,0,7,0
04,Capital                                 ,001,0004 ,0061,378,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04,Capital                                 ,001,0004 ,0062,378,2,1,12,70,1,7,1,3,NA,80,0,1,0,14,3,10,5,22,0,0,0,1,0,6,0
04,Capital                                 ,001,0004 ,0063,378,13,3,14,60,3,8,0,4,NA,88,0,0,0,17,4,7,3,31,1,0,0,0,0,9,2
04,Capital                                 ,001,0004 ,0064,378,6,3,7,91,1,6,0,2,NA,80,0,0,0,13,6,7,8,16,0,0,0,1,0,9,0
04,Capital                                 ,001,0004 ,0065,378,5,1,8,65,0,7,2,8,NA,77,0,0,0,17,1,6,2,42,0,1,0,1,0,7,0
04,Capital                                 ,001,0004 ,0066,378,11,2,10,90,0,4,7,8,NA,63,0,0,0,6,0,7,2,21,0,0,0,0,0,7,0
