codprov,coddepto,depto,circuito,mesa,electores,blancos,nulos,00037,00024,00050
03,001,Capital,00001,000001,339,17,3,106,11,120
03,001,Capital,00001,000002,335,7,0,88,13,133
03,001,Capital,00001,000003,339,32,0,87,8,130
03,001,Capital,00001,000004,339,33,0,95,13,119
03,001,Capital,00001,000005,338,37,1,89,8,101
03,001,Capital,00001,000006,339,23,2,87,13,115
03,001,Capital,00001,000007,374,22,6,92,10,113
03,001,Capital,00002,000010,334,30,1,123,19,87
03,001,Capital,00002,000011,332,41,0,123,24,78
03,001,Capital,00002,000012,332,35,0,105,10,100
03,001,Capital,00002,000013,331,45,3,117,10,82
03,001,Capital,00002,000014,334,27,0,146,16,67
03,001,Capital,00002,000015,333,32,0,129,18,83
03,001,Capital,00002,000016,334,34,1,93,14,111
03,001,Capital,00002,000017,355,22,1,106,13,118
03,001,Capital,00002,000018,329,28,0,114,17,94
03,001,Capital,00002,000019,331,36,0,100,14,105
03,001,Capital,00002,000020,327,24,0,128,13,80
03,001,Capital,00002,000021,331,31,1,121,18,80
03,001,Capital,00002,000022,329,34,2,108,17,102
03,001,Capital,00002,000023,334,26,3,126,13,96
03,001,Capital,00002,000024,334,32,3,116,12,81
03,001,Capital,00002,000025,333,27,1,136,17,69
03,001,Capital,00002,000026,330,39,0,124,14,76
03,001,Capital,00002,000027,333,35,0,118,12,87
03,001,Capital,00002,000028,330,40,1,130,12,78
03,001,Capital,00002,000029,327,26,2,134,16,71
03,001,Capital,00002,000030,331,23,0,109,25,99
03,001,Capital,00002,000031,329,34,1,112,19,84
03,001,Capital,00002,000032,332,29,0,112,14,90
03,001,Capital,00002,000033,332,33,1,124,23,70
03,001,Capital,00002,000034,335,31,1,113,18,89
03,001,Capital,00002,000008,335,33,2,125,12,97
03,001,Capital,00002,000009,332,33,3,108,14,102
03,001,Capital,00003,000100,343,40,0,120,24,80
03,001,Capital,00003,000101,347,41,0,128,15,73
03,001,Capital,00003,000102,342,53,0,133,13,49
03,001,Capital,00003,000103,344,41,0,143,9,61
03,001,Capital,00003,000104,344,33,0,155,10,56
03,001,Capital,00003,000105,344,29,0,153,17,57
03,001,Capital,00003,000106,345,36,0,157,14,68
03,001,Capital,00003,000107,343,42,0,130,16,76
03,001,Capital,00003,000108,343,35,0,126,17,81
03,001,Capital,00003,000109,344,37,0,128,13,65
03,001,Capital,00003,000110,344,38,0,132,14,69
03,001,Capital,00003,000111,343,29,0,158,13,45
03,001,Capital,00003,000112,344,38,0,155,15,53
03,001,Capital,00003,000113,344,43,0,142,22,46
03,001,Capital,00003,000114,343,43,0,115,17,78
03,001,Capital,00003,000115,345,42,0,146,18,68
03,001,Capital,00003,000116,343,37,0,141,12,68
03,001,Capital,00003,000117,343,52,0,139,8,52
03,001,Capital,00003,000118,344,22,0,143,18,58
03,001,Capital,00003,000119,344,41,0,157,20,48
03,001,Capital,00003,000120,341,37,0,146,16,54
03,001,Capital,00003,000121,343,38,0,143,9,72
03,001,Capital,00003,000122,342,29,0,158,23,42
03,001,Capital,00003,000123,342,28,0,159,14,54
03,001,Capital,00003,000124,342,31,0,149,13,74
03,001,Capital,00003,000125,348,36,0,160,11,47
03,001,Capital,00003,000126,340,33,0,136,17,58
03,001,Capital,00003,000127,345,28,0,148,28,56
