codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,00095,00005,00009,00094,00079,00006,00061,00004
22,001,CAPITAL,05085,093757,0,0,22,180,37,20,0,0,1,9,4
22,001,CAPITAL,05085,093758,0,0,23,176,37,16,9,3,1,4,0
22,001,CAPITAL,05085,093759,0,0,19,162,37,30,5,3,4,4,1
22,001,CAPITAL,05085,093760,0,0,3,183,40,21,0,6,0,3,0
22,001,CAPITAL,05085,093761,0,0,13,190,38,18,6,3,1,1,3
22,001,CAPITAL,05085,093762,0,0,4,164,44,29,11,3,1,10,1
22,001,CAPITAL,05085,093763,0,0,6,183,33,30,8,8,0,7,2
22,001,CAPITAL,05085,093764,0,0,19,171,32,21,4,6,1,4,11
22,001,CAPITAL,05085,093765,0,0,7,169,45,20,6,0,2,4,1
22,001,CAPITAL,05085,093766,0,0,10,164,50,26,2,5,0,10,0
22,001,CAPITAL,05085,093767,0,0,9,172,44,23,10,6,3,7,2
22,001,CAPITAL,05086,093768,0,0,24,72,12,108,13,1,2,3,6
22,001,CAPITAL,05086,093769,0,0,15,73,16,112,13,5,0,2,7
22,001,CAPITAL,05086,093770,0,0,0,64,17,110,13,8,0,0,8
22,001,CAPITAL,05086,093771,0,0,0,0,0,99,0,0,0,0,0
22,001,CAPITAL,05086,093772,0,0,26,72,13,108,15,7,1,3,1
22,001,CAPITAL,05086,093773,0,0,24,60,16,106,16,2,0,2,5
22,001,CAPITAL,05086,093774,0,0,16,84,14,90,16,7,0,4,6
22,001,CAPITAL,05086,093775,0,0,17,63,8,118,13,4,2,0,10
22,001,CAPITAL,05086,093776,0,0,23,57,8,119,11,1,0,3,8
22,001,CAPITAL,05086,093777,0,0,20,55,19,119,21,3,0,2,5
22,001,CAPITAL,05086,093778,0,0,18,80,16,92,13,8,0,2,5
22,001,CAPITAL,05086,093779,0,0,19,70,13,109,16,8,0,4,2
22,001,CAPITAL,05086,093780,0,0,19,62,18,107,17,3,2,1,8
22,001,CAPITAL,05087,093781,0,0,21,97,17,73,13,3,1,1,9
22,001,CAPITAL,05087,093782,0,0,19,121,13,63,11,2,1,4,11
22,001,CAPITAL,05087,093783,0,0,19,92,36,80,13,9,1,0,4
22,001,CAPITAL,05087,093784,0,0,17,106,25,81,10,8,1,2,8
22,001,CAPITAL,05087,093785,0,0,12,101,18,88,14,5,1,3,4
22,001,CAPITAL,05087,093786,0,0,40,86,39,69,0,1,0,2,5
22,001,CAPITAL,05087,093787,0,0,15,121,23,57,14,6,1,5,9
