codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0003,0005,0033,0036,0037,0047,0064,0065,0131,0133,0134,0136,0186,0191,0196
21,Belgrano,001,0402 ,0001,350,18,0,31,1,2,5,1,10,25,0,77,17,71,3,6,17,0
21,Belgrano,001,0402 ,0002,350,17,0,27,12,5,6,0,13,30,0,61,18,90,0,1,5,1
21,Belgrano,001,0402 ,0003,350,7,0,44,16,4,6,0,12,27,1,64,22,60,2,3,5,1
21,Belgrano,001,0402 ,0004,352,8,1,41,16,2,20,2,22,29,0,52,16,67,2,6,6,0
21,Belgrano,001,0402 ,0005,350,7,7,49,4,5,23,0,8,24,0,67,14,60,2,1,10,0
21,Belgrano,001,0402 ,0006,350,12,2,26,15,4,9,0,14,12,0,57,28,59,3,0,19,2
21,Belgrano,001,0402 ,0007,350,6,7,26,4,5,16,0,18,16,1,50,17,84,0,2,19,0
21,Belgrano,001,0402 ,0008,350,12,6,47,4,8,23,0,15,22,0,41,20,77,4,4,0,0
21,Belgrano,001,0402 ,0009,350,5,3,37,11,6,11,0,4,21,0,63,29,59,1,2,14,0
21,Belgrano,001,0402 ,0010,350,11,11,38,9,7,13,1,8,26,0,57,15,61,2,3,12,1
21,Belgrano,001,0402 ,0011,350,9,0,31,20,3,7,1,16,13,0,90,19,53,3,2,7,0
21,Belgrano,001,0402 ,0012,350,10,5,49,4,7,24,0,11,20,0,79,14,56,1,1,1,0
21,Belgrano,001,0402 ,0013,350,4,12,43,16,7,10,0,7,28,0,59,19,71,0,3,0,2
21,Belgrano,001,0402 ,0014,350,11,7,42,13,7,15,0,11,11,0,68,26,49,0,1,10,0
21,Belgrano,001,0402 ,0015,350,8,1,51,11,9,30,1,15,24,0,52,18,64,3,0,3,0
21,Belgrano,001,0402 ,0016,350,11,8,34,16,4,10,1,14,27,1,58,31,50,0,3,18,1
21,Belgrano,001,0402 ,0017,350,11,0,24,12,5,14,0,21,15,0,59,17,86,1,3,4,0
21,Belgrano,001,0402 ,0018,350,18,0,40,9,7,23,0,9,17,0,51,24,59,3,4,8,0
21,Belgrano,001,0402 ,0019,350,17,0,38,24,3,10,0,8,25,0,66,31,56,2,0,8,0
21,Belgrano,001,0402 ,0020,350,10,3,31,9,6,27,1,13,22,1,52,25,64,0,5,6,0
21,Belgrano,001,0402 ,0021,350,13,7,38,6,5,13,1,12,28,0,65,19,58,3,2,12,0
21,Belgrano,001,0402 ,0022,350,10,7,46,13,2,0,0,9,19,0,79,17,58,2,3,1,11
21,Belgrano,001,0402 ,0023,350,2,0,46,15,5,10,2,16,28,1,59,20,40,0,2,9,0
21,Belgrano,001,0402 ,0024,350,4,10,30,7,8,17,0,9,25,0,56,18,78,0,1,8,0
21,Belgrano,001,0402 ,0025,350,5,2,49,0,0,15,0,13,33,0,62,19,65,3,4,13,0
21,Belgrano,001,0402 ,0026,350,14,5,49,9,9,10,2,20,21,1,50,17,63,2,4,3,1
21,Belgrano,001,0402 ,0027,270,11,5,32,7,7,9,1,10,21,0,50,15,42,0,0,9,0
21,Belgrano,001,0403 ,0028,350,15,0,13,4,1,15,0,3,16,0,125,20,65,0,1,3,0
21,Belgrano,001,0403 ,0029,351,14,0,16,7,2,11,2,17,15,1,119,21,51,3,4,6,0
21,Belgrano,001,0403 ,0030,350,19,0,11,7,2,17,0,6,11,0,103,18,77,1,3,8,0
21,Belgrano,001,0403 ,0031,350,36,0,7,3,1,19,1,9,18,1,67,40,54,4,2,9,0
21,Belgrano,001,0403 ,0032,349,22,0,7,1,0,19,2,9,11,0,112,26,67,1,6,10,0
21,Belgrano,001,0403 ,0033,350,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Belgrano,001,0403 ,0034,350,9,0,9,6,2,24,0,9,10,0,79,25,72,0,1,9,0
21,Belgrano,001,0403 ,0035,350,20,0,15,1,3,25,0,5,16,0,104,16,62,3,2,2,1
21,Belgrano,001,0403 ,0036,350,21,0,16,6,6,28,0,7,15,0,108,25,33,2,2,5,2
21,Belgrano,001,0403 ,0037,350,16,0,10,2,1,18,0,12,8,0,121,23,53,3,3,12,0
21,Belgrano,001,0403 ,0038,350,12,27,9,5,2,9,0,7,18,0,83,28,63,1,4,21,1
21,Belgrano,001,0403 ,0039,350,16,0,12,7,6,7,0,10,30,0,105,20,51,1,3,5,0
21,Belgrano,001,0403 ,0040,350,23,0,10,8,4,6,1,5,11,1,121,24,50,1,0,5,1
