codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,00080,00008,00005,00081,00002,00071
12,001,CAPITAL,03160,067857,0,0,25,11,9,53,117,2,0
12,001,CAPITAL,03160,067858,0,0,35,9,8,33,149,0,0
12,001,CAPITAL,03160,067859,0,0,36,17,4,53,97,1,1
12,001,CAPITAL,03160,067860,0,0,34,6,3,62,105,6,0
12,001,CAPITAL,03160,067861,0,0,28,5,7,30,136,0,0
12,001,CAPITAL,03160,067862,0,0,0,6,7,63,93,5,0
12,001,CAPITAL,03160,067863,0,0,29,6,5,54,114,0,0
12,001,CAPITAL,03160,067864,0,0,3,4,11,51,116,4,0
12,001,CAPITAL,03161,067865,0,0,37,16,2,76,104,4,0
12,001,CAPITAL,03161,067866,0,0,33,11,6,64,121,2,0
12,001,CAPITAL,03161,067867,0,0,38,15,7,63,124,5,0
12,001,CAPITAL,03161,067868,0,0,42,14,10,68,122,0,0
12,001,CAPITAL,03161,067869,0,0,4,3,3,75,118,3,0
12,001,CAPITAL,03161,067870,0,0,0,12,3,74,105,0,0
12,001,CAPITAL,03162,067871,0,0,31,6,9,97,93,2,0
12,001,CAPITAL,03162,067872,0,0,44,9,6,89,95,5,0
12,001,CAPITAL,03162,067873,0,0,48,14,6,82,99,1,0
12,001,CAPITAL,03162,067874,0,0,41,14,8,87,95,1,0
12,001,CAPITAL,03162,067875,0,0,39,7,6,87,96,2,0
12,001,CAPITAL,03162,067876,0,0,33,4,6,100,80,1,1
12,001,CAPITAL,03162,067877,0,0,40,6,8,79,92,2,0
12,001,CAPITAL,03162,067878,0,0,39,10,6,87,99,2,0
12,001,CAPITAL,03162,067879,0,0,30,9,3,91,92,1,0
12,001,CAPITAL,03162,067880,0,0,30,11,4,88,92,4,0
12,001,CAPITAL,03162,067881,0,0,0,0,2,1,0,0,0
12,001,CAPITAL,03162,067882,0,0,28,9,8,92,92,1,0
12,001,CAPITAL,03162,067883,0,0,41,9,6,81,99,3,1
12,001,CAPITAL,03162,067884,0,0,33,8,9,92,92,2,0
12,001,CAPITAL,03163,067885,0,0,28,5,9,102,71,0,0
12,001,CAPITAL,03163,067886,0,0,27,5,2,105,85,1,0
12,001,CAPITAL,03163,067887,0,0,29,5,5,114,69,5,1
12,001,CAPITAL,03163,067888,0,0,37,1,5,104,73,4,2
12,001,CAPITAL,03163,067889,0,0,6,1,4,107,84,4,1
12,001,CAPITAL,03163,067890,0,0,45,7,5,116,70,0,1
12,001,CAPITAL,03163,067891,0,0,33,5,5,102,84,3,0
12,001,CAPITAL,03163,067892,0,0,28,5,3,97,83,1,1
12,001,CAPITAL,03163,067893,0,0,25,5,5,108,65,0,0
12,001,CAPITAL,03163,067894,0,0,37,4,4,120,63,2,1
12,001,CAPITAL,03163,067895,0,0,30,12,2,119,59,2,1
12,001,CAPITAL,03163,067896,0,0,39,5,8,106,68,2,2
12,001,CAPITAL,03163,067897,0,0,27,2,8,114,60,2,4
12,001,CAPITAL,03163,067898,0,0,27,9,4,114,71,0,1
12,001,CAPITAL,03164,067899,0,0,29,6,7,67,113,3,0
12,001,CAPITAL,03164,067900,0,0,34,10,13,52,125,3,0
12,001,CAPITAL,03164,067901,0,0,29,12,13,64,115,1,0
12,001,CAPITAL,03164,067902,0,0,43,8,7,62,125,2,0
12,001,CAPITAL,03164,067903,0,0,38,6,7,70,148,2,0
12,001,CAPITAL,03165,067904,0,0,0,111,14,39,93,0,0
12,001,CAPITAL,03165,067905,0,0,19,0,3,44,103,1,0
12,001,CAPITAL,03165,067906,0,0,26,12,8,36,95,2,0
12,001,CAPITAL,03165,067907,0,0,34,11,4,44,95,4,0
12,001,CAPITAL,03166,067908,0,0,39,9,7,47,94,1,0
12,001,CAPITAL,03166,067909,0,0,19,8,5,64,110,3,0
12,001,CAPITAL,03166,067910,0,0,21,19,8,46,101,0,0
12,001,CAPITAL,03166,067911,0,0,35,10,3,56,119,0,0
12,001,CAPITAL,03166,067912,0,0,35,9,7,48,98,1,0
12,001,CAPITAL,03166,067913,0,0,30,10,0,42,114,1,0
12,001,CAPITAL,03167,067914,0,0,35,6,3,105,78,5,0
12,001,CAPITAL,03167,067915,0,0,34,9,5,107,71,2,0
12,001,CAPITAL,03167,067916,0,0,29,3,4,122,62,0,0
12,001,CAPITAL,03167,067917,0,0,27,10,9,108,68,3,0
12,001,CAPITAL,03167,067918,0,0,0,0,0,0,0,0,0
12,001,CAPITAL,03167,067919,0,0,0,5,2,125,65,0,0
12,001,CAPITAL,03167,067920,0,0,0,6,3,120,64,3,0
12,001,CAPITAL,03167,067921,0,0,0,3,8,110,75,1,0
12,001,CAPITAL,03167,067922,0,0,0,8,2,142,56,0,0
12,001,CAPITAL,03167,067923,0,0,2,13,4,102,76,2,0
