codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,00001,00062,00008,00005,00065,00063,00009,00002,00051,00064,00004
04,001,CAPITAL,01403,045597,0,0,0,6,18,19,42,1,27,114,4,0,0,6
04,001,CAPITAL,01403,045598,0,0,7,12,8,11,48,1,18,102,2,2,0,3
04,001,CAPITAL,01403,045599,0,0,12,6,8,11,41,2,17,103,4,0,0,7
04,001,CAPITAL,01403,045600,0,0,6,7,3,9,50,1,25,112,2,0,0,6
04,001,CAPITAL,01403,045601,0,0,2,13,7,15,55,1,26,85,2,0,0,4
04,001,CAPITAL,01403,045602,0,0,6,8,5,14,46,2,31,105,0,2,1,7
04,001,CAPITAL,01403,045603,0,0,4,15,12,12,36,3,31,86,5,1,0,8
04,001,CAPITAL,01403,045604,0,0,7,8,8,7,51,0,25,88,4,1,0,3
04,001,CAPITAL,01403,045605,0,0,9,11,8,6,40,2,22,109,1,2,0,1
04,001,CAPITAL,01403,045606,0,0,9,12,10,15,50,0,25,87,1,1,0,8
04,001,CAPITAL,01403,045607,0,0,4,8,11,15,49,0,20,96,2,1,0,8
04,001,CAPITAL,01403,045608,0,0,11,8,11,9,59,2,30,83,1,1,0,2
04,001,CAPITAL,01403,045609,0,0,8,10,8,13,40,2,25,84,2,1,0,7
04,001,CAPITAL,01403,045610,0,0,14,4,9,7,46,1,31,94,2,0,0,11
04,001,CAPITAL,01403,045611,0,0,8,12,8,15,38,0,23,101,1,0,1,7
04,001,CAPITAL,01404,045612,0,0,9,13,13,17,61,1,23,97,3,0,0,7
04,001,CAPITAL,01404,045613,0,0,11,8,10,16,43,1,29,111,2,2,0,6
04,001,CAPITAL,01404,045614,0,0,4,8,15,18,40,1,20,120,7,1,0,3
04,001,CAPITAL,01404,045615,0,0,0,9,8,19,58,0,34,101,1,0,0,5
04,001,CAPITAL,01404,045616,0,0,10,8,3,14,53,1,23,110,6,0,0,6
04,001,CAPITAL,01404,045617,0,0,9,12,14,19,53,1,35,97,6,2,0,6
04,001,CAPITAL,01404,045618,0,0,3,7,19,13,57,2,21,109,2,1,0,10
04,001,CAPITAL,01404,045619,0,0,10,13,13,11,52,1,10,117,0,2,0,7
04,001,CAPITAL,01404,045620,0,0,6,6,9,10,53,0,29,116,2,1,0,8
04,001,CAPITAL,01404,045621,0,0,8,10,16,7,56,5,28,100,5,0,0,0
04,001,CAPITAL,01404,045622,0,0,9,10,7,15,53,1,25,2,3,0,0,7
04,001,CAPITAL,01404,045623,0,0,10,11,20,15,47,3,28,94,1,1,1,13
04,001,CAPITAL,01404,045624,0,0,0,14,6,13,51,0,24,115,2,0,0,7
04,001,CAPITAL,01404,045625,0,0,10,16,10,20,44,1,37,95,7,2,0,7
04,001,CAPITAL,01404,045626,0,0,5,10,14,15,46,1,31,93,4,2,0,11
04,001,CAPITAL,01404,045627,0,0,2,8,11,12,49,24,28,0,2,1,0,4
04,001,CAPITAL,01404,045628,0,0,13,10,19,19,43,3,19,113,3,1,0,13
04,001,CAPITAL,01404,045629,0,0,2,16,17,17,53,1,29,98,2,0,0,9
04,001,CAPITAL,01404,045630,0,0,6,11,12,17,42,1,26,114,2,0,0,3
04,001,CAPITAL,01404,045631,0,0,4,11,9,16,41,0,25,107,3,0,1,4
04,001,CAPITAL,01404,045632,0,0,4,12,9,6,50,1,41,95,2,0,0,6
04,001,CAPITAL,01404,045633,0,0,3,10,12,17,50,3,23,105,1,0,1,4
04,001,CAPITAL,01404,045634,0,0,4,12,19,13,40,0,31,118,3,0,0,9
