codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0005,0038,0044,0048,0051,0059,0131,0132,0133,0134,0154,0309
08,Paraná                                  ,001,0001 ,0001,760,12,13,10,4,0,18,8,176,106,10,46,206,4,6
08,Paraná                                  ,001,0001 ,0002,760,22,1,2,10,2,10,12,172,128,12,50,172,2,10
08,Paraná                                  ,001,0001 ,0003,760,48,10,2,8,0,18,14,184,114,18,68,162,2,14
08,Paraná                                  ,001,0001 ,0004,760,0,0,0,8,0,14,28,210,100,4,66,178,2,12
08,Paraná                                  ,001,0001 ,0005,760,38,11,8,10,0,16,16,162,100,12,66,184,4,12
08,Paraná                                  ,001,0001 ,0006,760,9,6,4,20,2,12,12,176,124,6,56,168,4,6
08,Paraná                                  ,001,0001 ,0007,760,19,7,4,4,2,22,14,168,116,12,44,144,4,8
08,Paraná                                  ,001,0001 ,0008,760,39,3,2,10,8,12,12,162,98,10,46,178,2,6
08,Paraná                                  ,001,0001 ,0009,760,27,12,4,10,0,18,12,166,96,14,56,178,0,12
08,Paraná                                  ,001,0001 ,0010,760,62,11,6,6,4,16,6,184,102,6,50,176,2,2
08,Paraná                                  ,001,0001 ,0011,760,0,0,0,10,0,22,18,162,84,12,58,180,4,6
08,Paraná                                  ,001,0001 ,0012,760,27,0,4,4,6,12,8,158,124,10,54,178,2,4
08,Paraná                                  ,001,0001 ,0013,760,42,6,2,6,4,18,14,186,122,8,60,150,0,14
08,Paraná                                  ,001,0001 ,0014,642,17,2,6,10,2,8,12,128,88,8,54,168,6,12
08,Paraná                                  ,001,0001 ,0015,643,38,4,4,10,2,22,12,132,78,6,52,190,2,10
08,Paraná                                  ,001,0001 ,0016,380,4,6,3,3,1,5,1,85,60,6,12,84,0,8
08,Paraná                                  ,001,0001 ,0017,380,18,1,3,2,0,11,5,80,48,3,28,79,1,2
08,Paraná                                  ,001,0001 ,0018,272,1,1,1,1,0,4,4,68,37,2,18,52,0,2
08,Paraná                                  ,001,0002 ,0016,380,21,5,4,2,0,13,3,79,55,2,22,73,1,2
08,Paraná                                  ,001,0002 ,0017,380,29,3,3,2,0,8,6,79,70,3,25,53,0,7
08,Paraná                                  ,001,0002 ,0018,380,0,0,2,4,0,13,4,77,63,4,34,67,0,5
08,Paraná                                  ,001,0002 ,0019,760,6,7,2,4,2,10,24,170,168,112,24,144,4,18
08,Paraná                                  ,001,0002 ,0020,760,36,8,6,2,0,28,6,186,154,4,44,128,0,12
08,Paraná                                  ,001,0002 ,0021,760,16,4,4,10,0,14,12,198,120,20,52,126,14,12
08,Paraná                                  ,001,0002 ,0022,760,22,9,4,10,4,24,14,186,128,8,52,148,2,12
08,Paraná                                  ,001,0002 ,0023,760,40,5,2,14,0,20,10,176,100,6,60,144,0,12
08,Paraná                                  ,001,0002 ,0024,760,36,7,4,10,2,24,10,160,152,6,48,150,2,12
