codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,00001,00008,00005,00011,00009,00059,00012,00013,00006,00018,00017,00058
02,002,ALBERTI,00174,007522,0,0,25,11,4,127,0,119,0,0,0,1,0,0,1
02,002,ALBERTI,00174,007523,0,0,30,16,0,108,1,110,0,0,0,0,0,0,0
02,002,ALBERTI,00174,007524,0,0,42,11,2,104,2,123,0,0,0,0,0,0,1
02,002,ALBERTI,00174,007525,0,0,30,10,4,99,1,135,0,0,0,0,0,0,0
02,002,ALBERTI,00174,007526,0,0,22,13,2,94,1,145,0,1,0,0,0,0,1
02,002,ALBERTI,00174,007527,0,0,24,13,3,66,0,115,0,1,0,0,1,0,0
02,002,ALBERTI,00175,007529,0,0,11,11,5,222,2,55,0,0,0,0,0,2,0
02,002,ALBERTI,00175,007530,0,0,9,5,0,66,1,19,0,0,0,0,0,0,0
02,002,ALBERTI,00176,007531,0,0,16,6,1,114,1,84,0,0,0,0,0,0,0
02,002,ALBERTI,00177,007532,0,0,7,3,2,34,0,97,0,2,0,0,0,0,0
02,002,ALBERTI,00178,007533,0,0,37,13,6,100,2,130,0,0,0,0,0,15,1
02,002,ALBERTI,00178,007534,0,0,20,16,2,91,0,105,0,0,0,1,0,0,0
02,002,ALBERTI,00179,007535,0,0,9,3,0,58,0,25,0,0,0,0,0,0,0
02,003,ALMIRANTE BROWN,00180,007536,0,0,13,20,7,111,1,132,0,2,0,0,0,0,1
02,003,ALMIRANTE BROWN,00180,007537,0,0,12,23,9,85,0,141,0,3,1,2,1,0,0
02,003,ALMIRANTE BROWN,00180,007538,0,0,15,17,13,88,1,141,0,4,0,0,0,0,1
02,003,ALMIRANTE BROWN,00180,007539,0,0,20,26,11,78,0,149,0,3,1,0,0,0,0
02,003,ALMIRANTE BROWN,00180,007540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02,003,ALMIRANTE BROWN,00180,007541,0,0,16,26,14,82,0,129,0,3,2,0,2,0,0
02,003,ALMIRANTE BROWN,00180,007542,0,0,17,24,17,67,2,151,0,2,1,0,0,0,0
02,003,ALMIRANTE BROWN,00180,007543,0,0,10,29,10,66,0,148,0,2,0,1,0,0,0
02,003,ALMIRANTE BROWN,00180,007544,0,0,2,17,15,0,3,141,0,4,0,0,0,0,0
02,003,ALMIRANTE BROWN,00180,007545,0,0,19,16,13,66,0,155,0,1,0,1,1,0,0
02,003,ALMIRANTE BROWN,00180,007546,0,0,18,21,14,64,0,150,0,3,2,0,0,1,0
02,003,ALMIRANTE BROWN,00180,007547,0,0,20,34,13,76,0,130,0,1,0,0,0,0,0
02,003,ALMIRANTE BROWN,00180,007548,0,0,19,18,16,67,2,138,0,6,0,2,0,0,0
02,003,ALMIRANTE BROWN,00180,007549,0,0,10,26,12,78,0,147,0,4,0,1,0,0,0
02,003,ALMIRANTE BROWN,00180,007550,0,0,18,25,11,66,0,140,0,6,0,0,0,1,1
02,003,ALMIRANTE BROWN,00180,007551,0,0,5,24,15,75,1,154,0,3,0,0,0,0,0
02,003,ALMIRANTE BROWN,00180,007552,0,0,17,13,14,74,0,153,0,2,0,0,1,0,0
02,003,ALMIRANTE BROWN,00180,007553,0,0,22,25,14,78,0,131,0,4,0,1,0,0,0
02,003,ALMIRANTE BROWN,00180,007554,0,0,13,21,15,62,0,150,0,3,0,0,0,0,1
02,003,ALMIRANTE BROWN,00180,007555,0,0,13,20,11,65,0,164,0,0,0,0,2,0,0
02,003,ALMIRANTE BROWN,00180,007556,0,0,21,22,15,60,2,135,0,4,0,0,1,0,0
02,003,ALMIRANTE BROWN,00180,007557,0,0,13,29,12,60,0,151,0,3,0,2,0,0,0
02,003,ALMIRANTE BROWN,00180,007558,0,0,12,20,10,70,1,138,0,5,0,1,0,1,0
02,003,ALMIRANTE BROWN,00180,007559,0,0,19,23,13,67,1,155,0,1,0,0,2,0,0
02,003,ALMIRANTE BROWN,00180,007560,0,0,27,20,12,84,0,133,0,6,0,2,0,1,0
02,003,ALMIRANTE BROWN,00180,007561,0,0,17,33,13,69,1,152,0,3,0,0,0,0,0
02,003,ALMIRANTE BROWN,00180,007562,0,0,11,12,7,85,0,131,0,6,0,0,0,0,0
02,003,ALMIRANTE BROWN,00180,007563,0,0,11,28,17,28,0,59,0,4,0,0,0,0,0
