codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,00037,00047,00052,00081,00086,00109
24,001,Ushuaia,05657,098139,0,0,20,56,18,65,7,15,18
24,001,Ushuaia,05657,098140,0,0,21,62,9,71,8,17,20
24,001,Ushuaia,05657,098141,0,0,16,77,22,58,6,14,25
24,001,Ushuaia,05657,098142,0,0,20,73,14,63,6,13,24
24,001,Ushuaia,05657,098143,0,0,13,79,17,68,6,17,16
24,001,Ushuaia,05657,098144,0,0,0,71,12,54,4,13,40
24,001,Ushuaia,05657,098145,0,0,23,56,14,67,10,16,28
24,001,Ushuaia,05657,098146,0,0,12,71,22,73,8,9,24
24,001,Ushuaia,05657,098147,0,0,26,45,27,61,5,16,25
24,001,Ushuaia,05657,098148,0,0,16,73,20,58,7,18,22
24,001,Ushuaia,05657,098149,0,0,25,60,19,60,2,22,34
24,001,Ushuaia,05657,098150,0,0,14,38,13,54,7,12,20
24,001,Ushuaia,05658,098151,0,0,25,68,19,58,11,13,28
24,001,Ushuaia,05658,098152,0,0,20,67,27,52,10,13,27
24,001,Ushuaia,05658,098153,0,0,13,54,19,49,9,23,29
24,001,Ushuaia,05658,098154,0,0,22,71,15,62,6,13,20
24,001,Ushuaia,05658,098155,0,0,24,75,17,37,9,18,26
24,001,Ushuaia,05658,098156,0,0,16,64,11,63,9,18,24
24,001,Ushuaia,05658,098157,0,0,27,62,18,53,5,16,35
24,001,Ushuaia,05658,098158,0,0,21,69,21,46,12,23,30
24,001,Ushuaia,05658,098159,0,0,18,72,21,57,6,21,21
24,001,Ushuaia,05658,098160,0,0,17,65,20,66,9,22,26
24,001,Ushuaia,05658,098161,0,0,21,66,17,52,9,23,28
24,001,Ushuaia,05658,098162,0,0,16,78,19,56,9,20,14
24,001,Ushuaia,05658,098163,0,0,20,68,18,55,9,12,36
24,001,Ushuaia,05658,098164,0,0,24,68,12,55,10,13,38
24,001,Ushuaia,05658,098165,0,0,23,85,19,60,3,23,18
24,001,Ushuaia,05658,098166,0,0,17,71,21,59,5,12,23
24,001,Ushuaia,05658,098167,0,0,20,75,16,52,6,18,31
24,001,Ushuaia,05658,098168,0,0,27,70,20,45,6,12,29
24,001,Ushuaia,05658,098169,0,0,24,80,14,50,11,11,27
24,001,Ushuaia,05658,098170,0,0,18,61,11,48,7,19,21
24,001,Ushuaia,05659,098171,0,0,25,92,22,44,7,9,18
24,001,Ushuaia,05659,098172,0,0,25,89,23,33,11,19,30
24,001,Ushuaia,05659,098173,0,0,34,79,19,42,10,6,30
24,001,Ushuaia,05659,098174,0,0,34,81,17,35,11,16,28
24,001,Ushuaia,05659,098175,0,0,22,75,26,48,7,6,30
24,001,Ushuaia,05659,098176,0,0,30,97,15,44,6,12,27
24,001,Ushuaia,05659,098177,0,0,29,84,12,39,7,12,31
24,001,Ushuaia,05659,098178,0,0,19,89,17,43,4,14,29
24,001,Ushuaia,05659,098179,0,0,34,96,23,38,6,15,20
24,001,Ushuaia,05659,098180,0,0,23,96,23,38,8,16,21
24,001,Ushuaia,05659,098181,0,0,32,86,24,31,4,20,29
24,001,Ushuaia,05659,098182,0,0,2,29,6,11,4,0,16
24,001,Ushuaia,05660,098183,0,0,22,54,13,74,2,16,19
24,001,Ushuaia,05660,098184,0,0,14,60,12,69,5,17,19
24,001,Ushuaia,05660,098185,0,0,1,49,17,61,4,25,23
24,001,Ushuaia,05660,098186,0,0,19,54,16,76,7,16,23
24,001,Ushuaia,05660,098187,0,0,12,57,23,78,6,12,20
24,001,Ushuaia,05660,098188,0,0,10,59,16,74,3,12,13
24,001,Ushuaia,05660,098189,0,0,16,56,23,57,11,13,21
24,001,Ushuaia,05660,098190,0,0,13,58,20,61,5,18,23
24,001,Ushuaia,05660,098191,0,0,16,57,12,66,9,14,17
24,001,Ushuaia,05660,098192,0,0,11,53,17,74,7,17,22
24,001,Ushuaia,05660,098193,0,0,15,59,16,63,2,9,24
24,001,Ushuaia,05660,098194,0,0,7,19,9,27,1,6,7
24,001,Ushuaia,05661,098195,0,0,25,73,25,46,5,16,27
24,001,Ushuaia,05661,098196,0,0,16,83,14,43,8,15,27
24,001,Ushuaia,05661,098197,0,0,15,70,19,48,8,17,29
24,001,Ushuaia,05661,098198,0,0,21,75,10,48,6,21,25
24,001,Ushuaia,05661,098199,0,0,17,77,17,68,6,11,23
24,001,Ushuaia,05661,098200,0,0,20,67,21,67,6,12,21
24,001,Ushuaia,05661,098201,0,0,15,64,19,52,14,12,38
24,001,Ushuaia,05661,098202,0,0,13,63,14,62,7,19,28
24,001,Ushuaia,05661,098203,0,0,16,63,19,43,9,13,24
24,001,Ushuaia,05662,098204,0,0,13,76,17,36,10,28,37
24,001,Ushuaia,05662,098205,0,0,16,86,20,43,11,17,20
24,001,Ushuaia,05662,098206,0,0,25,93,12,34,9,12,23
24,001,Ushuaia,05662,098207,0,0,16,88,15,41,10,17,28
24,001,Ushuaia,05662,098208,0,0,20,83,18,34,7,24,23
24,001,Ushuaia,05662,098209,0,0,19,94,17,39,5,25,21
24,001,Ushuaia,05662,098210,0,0,20,76,14,46,12,26,31
24,001,Ushuaia,05662,098211,0,0,18,92,7,45,10,20,16
24,001,Ushuaia,05662,098212,0,0,17,74,16,51,8,21,17
