codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0008,0014,0022,0540,0045,0112,0119,0124,0130,0160,0501,0527,0536,0563
23,Capital,001,0003 ,0037,343,3,2,0,4,5,540,2,14,8,2,23,4,70,18,100,12
23,Capital,001,0003 ,0038,343,3,1,2,7,1,540,1,19,2,4,25,2,60,27,100,9
23,Capital,001,0003 ,0039,343,5,4,2,4,2,540,0,21,2,1,16,0,47,29,94,8
23,Capital,001,0003 ,0040,343,1,6,2,3,5,540,1,14,1,3,21,1,52,23,111,7
23,Capital,001,0003 ,0041,343,3,8,0,5,6,540,1,13,2,2,24,1,45,21,102,6
23,Capital,001,0003 ,0042,342,3,3,1,2,7,540,1,10,5,1,25,1,54,21,76,10
23,Capital,001,0003 ,0043,342,4,8,1,2,6,540,2,18,7,1,19,1,34,14,105,10
23,Capital,001,0003 ,0044,342,1,7,0,5,4,540,0,16,2,4,0,1,49,28,109,16
23,Capital,001,0003 ,0045,342,2,0,1,5,4,540,1,16,4,2,16,0,42,27,106,11
23,Capital,001,0003 ,0046,342,2,6,2,2,4,540,4,16,2,1,20,1,41,26,98,9
23,Capital,001,0003 ,0047,342,2,1,0,8,7,540,0,23,3,5,21,0,50,29,81,10
23,Capital,001,0003 ,0048,342,5,6,0,7,6,540,0,15,4,3,15,2,51,16,94,14
23,Capital,001,0003 ,1597,327,2,9,1,7,4,540,0,27,4,1,11,9,45,28,98,9
23,Capital,001,0003 ,1598,327,3,9,0,3,3,540,0,23,5,2,15,1,44,35,91,11
23,Capital,001,0003 ,1599,327,2,6,1,7,1,540,0,15,4,1,15,1,48,25,88,9
23,Capital,001,0003 ,1600,327,5,2,0,6,6,540,1,26,6,2,12,3,54,25,82,6
23,Capital,001,0003 ,1601,327,3,1,2,4,7,540,0,11,3,2,16,1,42,35,92,8
23,Capital,001,0003 ,1602,327,2,6,1,4,1,540,1,16,6,2,15,3,37,26,112,5
23,Capital,001,0003 ,1603,327,0,4,1,4,4,540,0,9,0,6,21,6,49,34,100,4
23,Capital,001,0003 ,1604,326,1,8,0,8,5,540,3,17,4,1,17,1,55,29,75,11
23,Capital,001,0003 ,1605,326,5,8,1,7,0,540,0,25,6,7,13,5,40,31,82,3
23,Capital,001,0003 ,1606,326,2,3,0,8,5,540,1,12,2,4,21,1,41,28,92,8
23,Capital,001,0004 ,0049,332,2,7,1,7,2,540,3,18,1,2,10,0,50,29,88,15
23,Capital,001,0004 ,0050,332,1,7,0,8,3,540,1,13,1,1,28,3,55,23,100,4
23,Capital,001,0004 ,0051,332,4,3,1,5,2,540,1,20,2,4,16,1,51,25,104,11
23,Capital,001,0004 ,0052,331,4,7,1,4,4,540,2,23,2,2,30,0,46,16,73,9
23,Capital,001,0004 ,0053,331,2,5,0,7,0,540,4,22,3,5,24,0,51,21,93,7
23,Capital,001,0004 ,0054,331,1,2,3,2,6,540,1,16,6,2,19,0,57,30,87,8
23,Capital,001,0004 ,0055,331,2,8,0,7,2,540,0,16,3,4,26,0,46,19,83,17
23,Capital,001,0004 ,0056,331,3,11,2,6,4,540,0,15,8,2,23,0,55,14,88,7
23,Capital,001,0004 ,0057,331,4,2,1,6,1,540,5,15,1,3,19,0,40,22,94,7
23,Capital,001,0004 ,0058,331,2,1,1,7,2,540,0,4,4,5,21,0,50,25,112,15
23,Capital,001,0004 ,0059,331,1,3,0,6,3,540,4,15,3,5,20,1,50,35,83,10
23,Capital,001,0004 ,1607,322,2,3,0,4,1,540,5,18,4,4,13,4,45,23,101,10
23,Capital,001,0004 ,1608,322,6,2,1,6,3,540,0,18,7,5,17,2,39,38,98,9
23,Capital,001,0004 ,1609,322,2,4,4,3,2,540,0,15,5,2,19,1,41,38,91,7
23,Capital,001,0004 ,1610,322,3,2,0,5,6,540,1,18,3,4,20,1,37,29,86,12
23,Capital,001,0004 ,1611,322,8,6,1,6,4,540,1,21,4,3,13,4,48,31,72,15
23,Capital,001,0004 ,1612,322,6,5,2,3,1,540,0,12,2,2,15,1,55,33,78,9
23,Capital,001,0004 ,1613,322,3,7,2,7,5,540,0,15,4,3,13,1,52,29,84,7
23,Capital,001,0004 ,1614,322,4,6,0,3,2,540,0,19,2,5,17,0,49,31,85,11
23,Capital,001,0004 ,1615,321,4,2,0,5,4,540,3,15,6,4,17,1,46,37,91,9
23,Capital,001,0005 ,0060,340,2,4,1,3,4,540,1,14,1,3,18,1,32,22,140,7
23,Capital,001,0005 ,0061,340,6,4,0,5,1,540,2,10,2,0,12,0,33,17,145,7
23,Capital,001,0005 ,0062,340,1,3,2,3,2,540,0,9,2,3,19,3,27,30,124,8
23,Capital,001,0005 ,0063,340,5,1,0,3,3,540,0,11,2,2,16,0,32,21,138,8
23,Capital,001,0005 ,0064,339,3,1,0,2,2,540,0,17,3,1,8,3,36,21,151,8
23,Capital,001,0005 ,0065,339,1,1,0,2,2,540,2,12,0,4,22,1,28,32,138,7
23,Capital,001,0005 ,0066,339,1,4,0,3,2,540,1,18,1,5,10,2,32,28,128,5
23,Capital,001,0005 ,0067,339,2,5,1,4,1,540,1,13,6,1,10,2,34,28,137,0
23,Capital,001,0005 ,0068,339,1,2,1,4,4,540,1,14,1,2,15,0,26,26,135,12
23,Capital,001,0005 ,0069,339,4,4,0,2,4,540,0,16,2,2,15,0,33,26,132,10
23,Capital,001,0005 ,0070,339,4,4,0,0,2,540,1,19,0,0,12,0,37,26,132,4
23,Capital,001,0005 ,0071,339,4,4,2,2,1,540,0,14,2,1,13,0,31,27,140,11
23,Capital,001,0005 ,0072,339,2,3,2,2,1,540,0,4,1,6,18,1,43,25,133,6
23,Capital,001,0005 ,0073,339,1,2,1,2,1,540,1,14,2,4,12,0,29,29,138,5
23,Capital,001,0005 ,0074,339,6,4,1,2,2,540,0,12,3,5,16,2,30,24,129,6
23,Capital,001,0005 ,0075,339,4,7,3,3,3,540,1,15,2,4,12,0,32,23,144,8
23,Capital,001,0005 ,1616,332,5,6,0,2,2,540,2,20,2,8,18,3,33,27,127,9
23,Capital,001,0005 ,1617,332,5,3,1,3,1,540,1,24,1,4,18,2,40,28,112,6
23,Capital,001,0005 ,1618,332,3,1,4,3,1,540,0,15,0,2,19,1,27,30,141,12
23,Capital,001,0005 ,1619,332,4,2,1,3,2,540,1,17,2,0,13,1,37,28,136,7
23,Capital,001,0005 ,1620,332,2,4,2,0,4,540,1,11,3,7,9,2,41,33,124,7
23,Capital,001,0005 ,1621,332,2,4,1,3,3,540,2,11,1,4,16,1,20,29,139,4
23,Capital,001,0005 ,1622,332,5,3,1,3,2,540,3,18,6,2,16,1,36,39,97,7
23,Capital,001,0005 ,1623,332,6,3,0,3,1,540,1,11,3,0,18,2,27,29,135,6
23,Capital,001,0005 ,1624,332,1,1,1,2,3,540,3,20,4,1,20,3,32,28,129,10
23,Capital,001,0005 ,1625,332,3,3,1,2,3,540,0,23,3,3,13,0,26,45,132,8
23,Capital,001,0005 ,1626,331,3,2,0,4,1,540,2,9,4,9,14,1,35,34,128,4
23,Capital,001,0005 ,1627,331,7,3,2,2,0,540,4,19,3,3,17,1,34,32,114,10
23,Capital,001,0005 ,1628,331,0,3,0,5,2,540,2,14,2,7,14,0,37,31,122,3
