codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0008,0022,0079,0083,0178,0185,0187,0262,0327,0503,0515,0525,0531,0567,0576,0580
01,Comuna 01,001,0002 ,0038,344,3,2,0,2,3,0,0,1,13,2,0,13,3,1,35,1,65,82
01,Comuna 01,001,0002 ,0039,343,1,1,0,1,1,0,1,2,5,0,0,9,8,2,28,6,75,90
01,Comuna 01,001,0002 ,0040,343,4,4,1,1,1,0,0,1,8,0,2,11,11,6,26,3,68,91
01,Comuna 01,001,0002 ,0041,343,4,2,0,3,1,0,0,2,13,1,0,8,10,1,28,0,83,88
01,Comuna 01,001,0002 ,0042,343,3,4,0,1,2,0,0,0,9,0,2,15,5,2,25,0,65,84
01,Comuna 01,001,0002 ,0043,343,2,6,0,0,1,1,0,0,11,0,0,11,17,2,27,5,63,82
01,Comuna 01,001,0002 ,0044,343,1,3,1,0,0,1,2,0,12,1,0,20,6,0,33,2,55,88
01,Comuna 01,001,0002 ,0045,344,2,0,0,0,0,0,1,0,10,0,1,14,7,2,32,4,75,89
01,Comuna 01,001,0002 ,0046,343,4,1,0,4,0,0,0,2,12,0,1,10,9,3,32,2,68,93
01,Comuna 01,001,0002 ,0047,343,3,3,0,2,0,1,1,0,9,0,0,21,10,1,36,1,61,96
01,Comuna 01,001,0002 ,0048,343,3,2,0,1,1,0,0,1,19,3,0,7,10,3,26,1,70,87
01,Comuna 01,001,0002 ,0049,343,1,2,0,0,0,2,1,1,13,1,0,12,8,3,32,0,53,102
01,Comuna 01,001,0002 ,0050,343,5,4,0,1,0,0,2,2,12,0,2,14,9,1,31,3,65,93
01,Comuna 01,001,0002 ,0051,343,0,3,0,1,0,2,0,0,20,0,0,13,13,2,26,2,64,93
01,Comuna 01,001,0002 ,0052,343,3,6,0,1,0,0,1,1,11,0,1,13,11,2,25,3,69,91
01,Comuna 01,001,0002 ,0053,343,4,3,0,0,1,1,0,1,8,0,1,10,6,3,30,2,57,95
01,Comuna 01,001,0002 ,0054,343,2,5,0,3,1,2,0,1,7,0,1,12,8,4,34,2,57,93
01,Comuna 01,001,0002 ,0055,343,1,0,1,1,4,1,1,3,12,0,1,10,6,4,27,3,60,75
01,Comuna 01,001,0002 ,0056,343,2,5,0,1,3,2,1,1,14,0,0,16,9,3,24,2,73,89
01,Comuna 01,001,0002 ,0057,343,3,2,2,0,0,0,2,1,6,0,0,7,8,1,30,1,74,101
01,Comuna 01,001,0002 ,0058,343,2,3,0,1,0,2,0,0,7,0,0,13,5,4,33,4,80,88
01,Comuna 01,001,0002 ,0059,343,5,4,1,2,1,3,0,1,14,0,0,13,8,1,27,3,55,96
01,Comuna 01,001,0002 ,0060,342,3,3,2,2,0,1,0,0,11,1,1,12,7,5,21,4,85,81
