codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0005,0014,0038,0048,0056,0060,0132,0302,0303,0304,0305,0306,0307,0308,0439
17,Capital                                 ,001,0001A,1001,392,1,4,6,13,4,3,0,0,0,5,18,0,59,2,19,15,101
17,Capital                                 ,001,0001A,1002,391,34,0,3,16,2,2,0,0,2,4,18,0,54,1,2,13,114
17,Capital                                 ,001,0001A,1003,391,1,3,3,14,2,4,0,0,0,1,16,0,50,3,12,20,109
17,Capital                                 ,001,0001A,1004,391,1,0,7,7,3,4,3,0,2,1,22,0,60,3,10,15,109
17,Capital                                 ,001,0001A,1005,391,25,3,0,12,0,2,0,0,1,0,9,0,49,1,11,22,136
17,Capital                                 ,001,0001A,3001,429,27,3,15,9,3,2,0,2,1,0,14,2,66,2,16,19,123
17,Capital                                 ,001,0001A,3002,429,0,0,5,15,0,4,0,1,3,4,15,0,70,2,13,15,123
17,Capital                                 ,001,0001A,3003,429,0,0,1,10,3,4,0,0,0,1,28,0,60,3,15,10,123
17,Capital                                 ,001,0001A,3004,428,0,0,2,9,2,3,0,0,0,1,27,0,65,3,8,12,117
17,Capital                                 ,001,0001A,3005,428,1,8,4,6,1,2,0,0,1,3,22,0,64,0,5,19,128
17,Capital                                 ,001,0001A,3006,428,0,0,6,11,2,2,0,0,0,2,31,0,64,2,17,17,112
17,Capital                                 ,001,0001B,1006,442,3,2,1,13,0,4,2,0,0,3,26,0,76,4,9,16,119
17,Capital                                 ,001,0001B,1007,442,4,2,1,6,1,2,0,0,0,0,19,0,64,2,10,19,127
17,Capital                                 ,001,0001B,1008,441,0,0,2,9,5,1,0,1,1,2,20,0,70,1,14,13,115
17,Capital                                 ,001,0001B,1009,441,2,5,3,11,1,3,2,0,0,1,35,0,61,0,16,25,106
17,Capital                                 ,001,0001B,3007,406,26,1,16,11,1,4,2,1,0,1,23,0,54,2,7,20,115
17,Capital                                 ,001,0001B,3008,405,0,0,1,9,2,3,0,0,0,1,24,0,63,2,13,21,111
17,Capital                                 ,001,0001B,3009,405,0,0,5,9,2,5,1,0,2,1,21,0,54,1,27,22,95
17,Capital                                 ,001,0001B,3010,405,0,0,2,7,1,2,0,1,1,2,25,0,76,0,10,15,90
17,Capital                                 ,001,0001B,3011,405,2,2,9,5,1,3,1,0,0,1,22,1,56,4,17,24,101
17,Capital                                 ,001,0001B,3012,405,3,0,1,2,1,0,0,0,1,2,28,0,59,6,22,21,91
17,Capital                                 ,001,0001C,1010,387,0,0,0,11,2,7,0,0,0,1,15,2,30,0,13,30,105
17,Capital                                 ,001,0001C,1011,387,1,2,6,12,3,1,0,0,0,2,26,0,56,0,9,12,116
17,Capital                                 ,001,0001C,1012,387,21,2,1,10,1,4,3,0,0,0,15,2,70,5,10,17,103
17,Capital                                 ,001,0001C,1013,386,24,3,2,6,4,5,1,0,0,2,13,0,58,3,10,17,109
17,Capital                                 ,001,0001C,1014,386,20,3,0,7,0,2,1,0,0,0,16,0,54,4,11,23,105
17,Capital                                 ,001,0001C,3013,383,34,3,4,10,0,3,0,2,2,1,13,0,44,5,14,21,108
17,Capital                                 ,001,0001C,3014,383,0,1,2,7,3,2,1,0,0,1,32,0,55,2,18,24,110
17,Capital                                 ,001,0001C,3015,383,113,6,1,6,0,2,1,0,0,0,18,1,44,0,10,14,61
17,Capital                                 ,001,0001C,3016,383,40,3,0,3,0,2,1,0,5,0,18,0,60,5,10,18,106
17,Capital                                 ,001,0001C,3017,383,34,2,1,8,0,6,0,0,1,2,19,0,54,1,15,23,112
