codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0008,0014,0038,0045,0187,0188,0243,0325,0326,0327,0328,0329
10,General Belgrano                        ,001,0006 ,0035,361,0,0,0,1,5,0,37,0,3,33,30,10,13,92
10,General Belgrano                        ,001,0006 ,0036,361,34,1,4,1,3,0,46,3,4,40,27,10,5,108
10,General Belgrano                        ,001,0006 ,0037,361,34,8,0,1,2,2,55,0,3,24,27,9,10,89
10,General Belgrano                        ,001,0006 ,0038,361,31,1,1,1,2,0,55,0,1,22,33,11,9,96
10,General Belgrano                        ,001,0006 ,0039,361,17,12,1,4,0,0,50,1,1,35,32,11,6,99
10,General Belgrano                        ,001,0006 ,0040,361,1,41,0,1,4,2,35,1,9,32,45,12,9,86
10,General Belgrano                        ,001,0006 ,0041,361,41,8,2,0,5,1,40,2,1,35,35,10,7,93
10,General Belgrano                        ,001,0006 ,0637,382,40,6,1,0,4,1,51,3,4,26,46,16,10,83
10,General Belgrano                        ,001,0006 ,0638,382,15,5,0,2,2,3,45,3,5,30,51,9,15,92
10,General Belgrano                        ,001,0006 ,0639,382,0,0,3,1,2,0,44,2,0,38,28,8,13,87
10,General Belgrano                        ,001,0006 ,0640,382,45,4,0,2,3,0,36,0,2,28,41,18,9,78
10,General Belgrano                        ,001,0006 ,0641,381,32,2,1,1,3,1,42,0,4,18,49,22,12,85
10,General Belgrano                        ,001,0006 ,0642,381,0,0,2,1,4,2,46,0,6,23,34,20,6,80
10,General Belgrano                        ,001,0006 ,0643,381,0,0,2,1,1,0,46,2,5,27,34,14,12,82
10,General Belgrano                        ,001,0006 ,0644,381,0,0,0,0,1,1,47,2,3,24,35,15,14,97
10,General Belgrano                        ,001,0007 ,0042,397,0,9,1,0,5,0,80,6,5,20,32,21,15,93
10,General Belgrano                        ,001,0007 ,0043,397,0,0,0,4,2,0,72,0,0,19,45,18,7,98
10,General Belgrano                        ,001,0007 ,0044,397,0,0,2,0,7,0,77,0,3,19,89,20,7,95
10,General Belgrano                        ,001,0007 ,0045,397,0,0,2,0,3,1,70,0,5,18,40,19,9,94
10,General Belgrano                        ,001,0007 ,0046,397,0,6,0,2,6,0,73,0,5,17,42,24,14,80
10,General Belgrano                        ,001,0007 ,0047,397,45,2,0,0,6,0,68,4,7,17,52,22,10,71
10,General Belgrano                        ,001,0007 ,0048,397,54,4,0,0,3,0,65,5,3,13,55,22,13,73
10,General Belgrano                        ,001,0007 ,0049,397,0,0,1,1,4,0,55,1,4,10,50,34,7,94
10,General Belgrano                        ,001,0007 ,0050,397,0,0,3,1,3,0,77,2,2,7,47,39,9,85
10,General Belgrano                        ,001,0007 ,0051,397,0,0,1,0,2,0,73,1,7,21,36,23,16,81
10,General Belgrano                        ,001,0007 ,0052,397,0,0,2,2,2,1,76,1,4,20,37,22,9,78
10,General Belgrano                        ,001,0007 ,0053,397,0,0,1,3,1,0,56,1,3,18,59,19,8,83
10,General Belgrano                        ,001,0007 ,0054,397,0,0,0,0,8,1,84,1,2,20,58,18,8,61
10,General Belgrano                        ,001,0007 ,0055,397,0,0,2,1,1,1,61,0,4,15,47,24,12,93
10,General Belgrano                        ,001,0007 ,0056,397,40,13,0,2,2,0,76,0,0,23,38,21,12,68
10,General Belgrano                        ,001,0007 ,0057,397,0,0,1,0,2,0,74,0,2,26,31,22,7,85
10,General Belgrano                        ,001,0007 ,0058,397,74,2,2,1,4,1,53,1,3,18,46,19,15,81
10,General Belgrano                        ,001,0007 ,0059,397,37,2,0,2,5,1,88,2,6,12,49,32,4,71
10,General Belgrano                        ,001,0007 ,0060,397,2,1,1,5,4,0,62,4,4,25,41,25,14,82
10,General Belgrano                        ,001,0007 ,0061,397,0,0,0,4,7,2,61,1,1,24,50,21,11,70
10,General Belgrano                        ,001,0007 ,0062,397,49,0,1,1,5,0,59,0,9,25,31,20,9,81
10,General Belgrano                        ,001,0007 ,0063,397,0,0,0,1,0,0,68,1,8,14,38,21,12,73
10,General Belgrano                        ,001,0007 ,0064,397,0,0,0,3,6,2,64,3,1,14,42,21,17,77
10,General Belgrano                        ,001,0007 ,0065,397,0,0,5,1,2,0,62,0,1,21,47,24,11,96
10,General Belgrano                        ,001,0007 ,0066,397,35,10,2,1,9,2,91,0,4,23,33,28,7,62
10,General Belgrano                        ,001,0007 ,0067,397,32,8,3,1,2,0,69,0,5,23,56,20,8,87
10,General Belgrano                        ,001,0007 ,0068,397,0,0,2,1,6,2,74,7,6,18,43,26,16,76
10,General Belgrano                        ,001,0007 ,0069,397,30,9,3,4,3,1,60,3,3,21,50,19,12,70
10,General Belgrano                        ,001,0007 ,0070,397,35,3,1,1,6,1,70,1,3,18,48,19,13,80
10,General Belgrano                        ,001,0007 ,0071,397,34,3,1,2,4,0,83,2,4,20,62,18,5,73
10,General Belgrano                        ,001,0007 ,0072,397,0,10,0,3,2,1,66,1,6,17,44,23,7,92
10,General Belgrano                        ,001,0007 ,0073,397,0,0,0,3,2,0,74,4,5,59,46,14,6,85
10,General Belgrano                        ,001,0007 ,0645,400,0,0,3,1,2,0,65,0,5,18,28,21,14,77
10,General Belgrano                        ,001,0007 ,0646,400,1,1,0,0,5,0,69,0,2,14,33,21,8,83
10,General Belgrano                        ,001,0007 ,0647,400,0,0,3,3,0,3,66,4,3,12,33,19,5,77
10,General Belgrano                        ,001,0007 ,0648,400,41,5,2,2,7,0,58,3,1,16,46,16,14,73
10,General Belgrano                        ,001,0007 ,0649,400,0,0,2,1,6,1,76,0,6,13,47,23,7,64
10,General Belgrano                        ,001,0007 ,0650,400,0,0,1,2,3,0,61,4,8,16,40,13,10,70
10,General Belgrano                        ,001,0007 ,0651,400,40,7,1,2,3,0,54,3,6,8,63,27,8,62
10,General Belgrano                        ,001,0007 ,0652,400,0,0,2,0,5,0,59,0,0,20,54,21,10,68
10,General Belgrano                        ,001,0007 ,0653,400,0,0,7,0,0,2,69,7,5,10,49,23,7,80
10,General Belgrano                        ,001,0007 ,0654,400,0,0,2,0,6,1,76,2,3,20,42,14,12,0
10,General Belgrano                        ,001,0007 ,0655,400,0,0,1,5,1,0,71,0,0,24,49,13,9,69
10,General Belgrano                        ,001,0007 ,0656,400,0,0,0,2,10,0,70,4,3,12,40,2,11,73
10,General Belgrano                        ,001,0007 ,0657,400,28,10,1,3,4,1,61,5,4,14,48,23,11,63
10,General Belgrano                        ,001,0007 ,0658,400,0,0,0,1,4,0,71,1,4,11,41,22,9,67
10,General Belgrano                        ,001,0007 ,0659,400,0,0,0,2,3,0,52,2,5,16,41,27,14,75
10,General Belgrano                        ,001,0007 ,0660,400,31,9,0,2,7,2,63,4,3,10,45,29,9,66
10,General Belgrano                        ,001,0007 ,0661,400,0,0,3,1,5,0,77,9,4,11,43,23,8,66
10,General Belgrano                        ,001,0007 ,0662,400,30,0,2,2,7,0,51,0,0,19,39,18,12,85
10,General Belgrano                        ,001,0007 ,0663,399,0,0,1,2,7,2,66,3,6,18,40,19,6,85
10,General Belgrano                        ,001,0007 ,0664,399,0,0,2,2,1,2,70,3,3,14,50,26,9,65
10,General Belgrano                        ,001,0007 ,0665,399,0,0,1,2,6,0,79,1,2,20,37,19,10,74
10,General Belgrano                        ,001,0007 ,0666,399,0,0,0,1,5,2,69,2,9,12,50,17,10,64
10,General Belgrano                        ,001,0007 ,0667,399,0,0,0,1,1,0,84,0,0,0,38,23,0,51
10,General Belgrano                        ,001,0007 ,0668,399,34,3,3,0,0,1,71,0,11,15,53,19,8,57
10,General Belgrano                        ,001,0007 ,0669,399,3,2,1,0,9,3,60,4,1,16,50,16,13,70
10,General Belgrano                        ,001,0007 ,0670,399,0,0,0,0,4,0,77,0,5,17,48,15,10,70
10,General Belgrano                        ,001,0007 ,0671,399,0,0,0,0,3,3,66,5,7,20,39,22,7,67
10,General Belgrano                        ,001,0007 ,0672,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,General Belgrano                        ,001,0007 ,0673,399,0,0,2,1,0,0,70,4,1,22,35,20,19,65
10,General Belgrano                        ,001,0008 ,0074,394,0,0,0,1,4,0,72,0,0,23,31,21,7,89
10,General Belgrano                        ,001,0008 ,0075,394,0,0,1,1,6,2,60,2,0,0,49,22,8,86
10,General Belgrano                        ,001,0008 ,0076,394,0,0,3,1,1,1,62,0,0,11,55,14,11,77
10,General Belgrano                        ,001,0008 ,0077,394,57,3,5,0,2,1,58,0,3,27,45,24,10,86
10,General Belgrano                        ,001,0008 ,0078,394,30,9,2,2,4,1,69,0,1,18,56,16,12,85
10,General Belgrano                        ,001,0008 ,0079,394,43,15,1,0,5,1,65,1,4,14,52,19,8,76
10,General Belgrano                        ,001,0008 ,0080,394,1,3,1,2,2,0,82,3,4,18,40,20,15,78
10,General Belgrano                        ,001,0008 ,0081,394,38,5,0,0,1,0,69,0,6,17,46,31,11,82
10,General Belgrano                        ,001,0008 ,0082,394,0,0,7,4,6,0,90,2,2,14,40,23,9,63
10,General Belgrano                        ,001,0008 ,0083,394,41,6,1,4,1,0,72,0,4,22,32,19,5,87
10,General Belgrano                        ,001,0008 ,0084,394,0,0,0,1,4,0,78,1,4,25,55,16,4,82
10,General Belgrano                        ,001,0008 ,0085,394,46,3,0,2,1,1,67,1,5,13,45,21,24,80
10,General Belgrano                        ,001,0008 ,0086,394,0,0,0,1,1,0,76,0,196,95,39,93,7,41
10,General Belgrano                        ,001,0008 ,0087,394,45,4,2,2,2,0,73,0,4,20,32,25,18,79
10,General Belgrano                        ,001,0008 ,0088,393,1,4,0,2,4,0,46,1,5,26,67,20,9,91
