codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0001,0006,0045,0048,0178,0179,0180,0181,0187,0440,0441
15,Confluencia                             ,001,0001C,0031,328,82,11,13,0,1,3,29,38,2,3,57,0,2
15,Confluencia                             ,001,0001C,0032,328,80,8,17,0,0,3,34,49,1,0,46,0,2
15,Confluencia                             ,001,0001C,0033,328,87,6,10,0,0,2,28,34,0,1,71,0,0
15,Confluencia                             ,001,0001C,0034,328,102,5,9,0,2,5,28,51,3,6,43,0,0
15,Confluencia                             ,001,0001C,0035,328,93,9,13,0,4,4,27,50,2,1,35,0,0
15,Confluencia                             ,001,0001C,1034,303,73,6,9,0,1,3,34,44,1,3,60,0,0
15,Confluencia                             ,001,0001C,1035,303,75,6,17,0,1,1,36,37,4,4,57,0,1
15,Confluencia                             ,001,0001C,1036,303,96,5,17,0,1,1,41,30,0,2,48,0,0
15,Confluencia                             ,001,0001C,1037,303,83,5,15,0,0,5,39,35,0,2,45,0,0
15,Confluencia                             ,001,0001C,1038,303,77,2,10,0,2,3,37,51,0,2,40,0,0
15,Confluencia                             ,001,0001C,1039,303,86,4,13,0,0,0,37,53,4,1,40,0,0
15,Confluencia                             ,001,0001C,1040,302,107,5,15,0,1,0,45,39,0,0,37,0,0
15,Confluencia                             ,001,0001C,1041,302,91,3,14,0,0,4,41,38,0,2,39,0,1
15,Confluencia                             ,001,0001D,0036,310,40,9,19,0,0,4,42,58,2,2,35,0,4
15,Confluencia                             ,001,0001D,0037,310,58,4,27,0,0,10,44,39,4,1,29,0,1
15,Confluencia                             ,001,0001D,0038,310,45,5,28,0,1,11,47,46,0,0,27,0,0
15,Confluencia                             ,001,0001D,0039,310,43,5,36,0,1,9,49,49,1,2,31,0,0
15,Confluencia                             ,001,0001D,0040,310,57,3,22,0,2,15,57,42,2,1,39,0,1
15,Confluencia                             ,001,0001D,0041,310,51,15,15,0,3,3,60,29,0,2,50,0,1
15,Confluencia                             ,001,0001D,0042,310,67,2,18,0,1,9,53,36,2,1,30,0,1
15,Confluencia                             ,001,0001D,0043,310,59,12,14,0,0,11,42,31,1,0,41,0,1
15,Confluencia                             ,001,0001D,0044,310,61,2,26,0,3,9,53,30,0,0,35,0,1
15,Confluencia                             ,001,0001D,1042,328,73,7,25,0,1,3,67,36,0,1,35,0,1
15,Confluencia                             ,001,0001D,1043,328,50,8,31,0,0,10,65,40,1,1,42,0,0
15,Confluencia                             ,001,0001D,1044,328,48,7,18,0,1,48,60,52,0,1,36,0,0
15,Confluencia                             ,001,0001D,1045,328,46,7,28,0,4,7,82,36,1,1,34,0,1
15,Confluencia                             ,001,0001D,1046,328,67,3,26,0,2,7,66,37,2,1,36,0,0
15,Confluencia                             ,001,0001D,1047,328,58,6,28,1,1,3,73,36,1,1,45,1,1
15,Confluencia                             ,001,0001D,1048,328,61,5,38,0,2,3,62,48,2,2,36,0,0
15,Confluencia                             ,001,0001D,1049,328,54,6,21,0,1,2,68,48,3,0,45,0,0
15,Confluencia                             ,001,0001D,1050,327,64,7,30,0,7,4,61,42,2,2,34,0,1
15,Confluencia                             ,001,0001D,1051,327,20,0,22,0,1,4,76,38,4,3,74,0,2
15,Confluencia                             ,001,0001E,0045,318,85,4,3,0,1,5,68,47,4,1,34,0,0
15,Confluencia                             ,001,0001E,0046,318,74,5,28,0,1,3,58,46,0,0,26,0,0
15,Confluencia                             ,001,0001E,0047,318,57,13,23,0,4,3,59,51,2,0,40,0,3
15,Confluencia                             ,001,0001E,0048,318,51,12,36,0,2,3,60,24,2,2,47,0,0
15,Confluencia                             ,001,0001E,0049,318,71,9,22,0,1,4,45,35,3,0,48,0,0
15,Confluencia                             ,001,0001E,0050,318,66,13,22,0,0,5,46,58,0,1,40,0,0
15,Confluencia                             ,001,0001E,0051,318,60,7,24,0,7,5,63,50,3,1,33,0,0
15,Confluencia                             ,001,0001E,0052,317,56,7,24,0,0,4,63,47,4,2,35,0,0
15,Confluencia                             ,001,0001E,1052,304,0,1,19,0,2,4,70,48,2,1,54,0,0
15,Confluencia                             ,001,0001E,1053,304,54,0,30,0,1,5,62,52,2,1,24,0,1
15,Confluencia                             ,001,0001E,1054,304,58,6,26,0,1,4,67,40,2,2,24,0,1
15,Confluencia                             ,001,0001E,1055,304,43,12,25,0,2,2,63,36,1,1,49,0,0
15,Confluencia                             ,001,0001E,1056,304,63,8,22,0,2,4,61,38,1,1,33,0,2
15,Confluencia                             ,001,0001E,1057,304,51,5,27,0,3,5,69,39,3,2,34,0,0
15,Confluencia                             ,001,0001E,1058,304,65,5,28,0,2,2,72,35,3,2,34,0,2
15,Confluencia                             ,001,0001E,1059,303,48,9,32,0,2,5,74,43,0,0,26,0,1
15,Confluencia                             ,001,0001E,1060,303,67,11,23,0,1,1,65,39,2,1,37,0,1
15,Confluencia                             ,001,0001E,1061,303,49,5,29,0,2,1,77,34,1,0,27,0,1
15,Confluencia                             ,001,0001F,0053,333,106,9,11,0,0,0,17,48,5,3,64,0,0
15,Confluencia                             ,001,0001F,0054,333,112,9,6,0,3,1,26,52,2,0,40,0,1
15,Confluencia                             ,001,0001F,0055,332,104,20,11,0,4,2,25,44,1,0,58,0,1
15,Confluencia                             ,001,0001F,0056,332,93,9,9,0,0,1,32,55,2,1,60,0,2
15,Confluencia                             ,001,0001F,1062,277,85,10,8,0,2,2,26,54,3,1,46,0,2
15,Confluencia                             ,001,0001F,1063,276,92,7,5,0,0,0,34,35,3,0,52,0,0
15,Confluencia                             ,001,0001F,1064,276,93,5,6,0,1,1,35,37,1,2,59,0,0
15,Confluencia                             ,001,0001F,1065,276,97,10,12,0,1,3,37,33,4,2,44,0,0
15,Confluencia                             ,001,0001F,1066,276,88,8,7,0,0,1,30,40,3,0,52,0,0
15,Confluencia                             ,001,0001G,0057,330,107,8,9,0,2,2,35,39,2,2,49,0,0
15,Confluencia                             ,001,0001G,0058,330,92,10,13,0,1,2,32,44,2,1,61,0,4
15,Confluencia                             ,001,0001G,0059,330,110,6,11,0,0,5,24,35,3,5,65,0,0
15,Confluencia                             ,001,0001G,0060,330,86,2,12,0,0,0,36,47,3,2,54,0,0
15,Confluencia                             ,001,0001G,0061,330,94,3,14,0,4,1,37,51,5,1,38,0,0
15,Confluencia                             ,001,0001G,0062,330,83,7,23,0,2,3,0,48,2,2,53,0,0
15,Confluencia                             ,001,0001G,0063,329,102,9,11,0,4,2,32,37,2,0,52,0,0
15,Confluencia                             ,001,0001G,0064,329,101,3,17,0,1,1,29,44,4,0,52,0,0
15,Confluencia                             ,001,0001G,0065,329,84,13,15,0,2,0,26,56,3,2,54,0,0
15,Confluencia                             ,001,0001G,0066,329,98,13,12,0,2,4,42,35,2,4,61,0,0
15,Confluencia                             ,001,0001G,0067,329,107,7,13,0,2,3,29,41,6,1,57,0,2
15,Confluencia                             ,001,0001G,0068,329,95,9,16,0,2,4,0,45,2,1,48,0,0
15,Confluencia                             ,001,0001G,0069,329,97,6,11,0,1,2,30,40,2,4,58,0,1
15,Confluencia                             ,001,0001G,0070,329,96,5,4,0,1,0,28,58,0,3,62,0,2
15,Confluencia                             ,001,0001G,0071,329,98,4,13,0,3,7,30,34,2,6,55,0,1
15,Confluencia                             ,001,0001G,0072,329,99,4,15,0,3,6,33,49,2,0,42,0,2
15,Confluencia                             ,001,0001G,0073,329,89,15,20,0,1,6,35,39,0,4,51,0,1
15,Confluencia                             ,001,0001G,0074,329,99,4,26,0,1,6,35,33,3,2,45,0,0
15,Confluencia                             ,001,0001G,0075,329,83,12,19,0,2,0,30,39,1,0,54,0,1
15,Confluencia                             ,001,0001G,0076,329,87,6,14,0,1,0,28,35,7,0,56,0,2
15,Confluencia                             ,001,0001G,0077,329,104,7,10,0,3,1,29,32,5,2,74,0,3
15,Confluencia                             ,001,0001G,0078,329,0,5,15,0,0,4,32,37,5,2,65,4,0
15,Confluencia                             ,001,0001G,0079,329,91,7,16,0,0,4,26,42,1,0,65,0,0
15,Confluencia                             ,001,0001G,0080,329,96,4,12,0,0,2,38,39,5,0,54,0,1
15,Confluencia                             ,001,0001G,0081,329,94,7,12,0,0,6,28,44,3,1,61,0,1
15,Confluencia                             ,001,0001G,0082,329,87,5,8,0,1,3,35,45,3,1,67,0,2
15,Confluencia                             ,001,0001G,0083,329,81,11,19,0,5,2,36,44,2,3,50,0,3
15,Confluencia                             ,001,0001G,0084,329,110,5,20,0,2,2,29,55,0,1,43,0,0
15,Confluencia                             ,001,0001G,0085,329,92,8,10,0,4,7,34,40,5,2,61,0,0
15,Confluencia                             ,001,0001G,0086,329,124,6,8,0,1,7,22,40,2,2,44,0,1
15,Confluencia                             ,001,0001G,0087,329,108,6,13,0,0,1,40,37,2,0,55,0,0
15,Confluencia                             ,001,0001G,0088,329,120,10,14,0,4,1,23,37,0,1,52,0,0
15,Confluencia                             ,001,0001G,0089,329,122,3,11,0,2,3,36,38,2,0,55,0,0
15,Confluencia                             ,001,0001G,0090,329,101,12,14,0,2,2,35,37,2,3,55,0,0
