codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0001,0005,0012,0014,0017,0038,0050,0056,0060,0175,0187,0209,0210,0211,0212,0213,0442
22,Capital                                 ,001,0001 ,0001,900,5,4,36,56,2,2,0,8,52,2,2,16,42,200,40,14,52,40,16
22,Capital                                 ,001,0001 ,0002,900,1,4,42,68,0,0,0,10,48,12,2,8,32,196,36,22,48,36,6
22,Capital                                 ,001,0001 ,0003,900,5,9,44,78,2,4,0,8,38,4,2,24,28,220,44,24,38,50,8
22,Capital                                 ,001,0001 ,0004,801,1,1,36,54,0,2,0,12,38,2,4,16,36,202,42,24,44,36,10
22,Capital                                 ,001,0001 ,0005,327,4,0,8,19,0,0,0,1,12,0,0,3,11,94,15,4,15,12,4
22,Capital                                 ,001,0002 ,0005,450,2,8,12,9,2,2,0,6,24,1,2,11,14,120,16,12,15,26,5
22,Capital                                 ,001,0002 ,0006,900,12,4,26,24,6,2,0,4,66,4,0,40,18,238,34,14,46,44,8
22,Capital                                 ,001,0002 ,0007,900,12,9,28,68,0,8,0,16,34,6,2,16,30,238,22,30,34,32,12
22,Capital                                 ,001,0002 ,0008,900,29,3,32,56,0,6,0,6,42,8,0,28,24,230,38,34,38,40,8
22,Capital                                 ,001,0002 ,0009,837,62,5,32,38,2,2,0,8,26,4,2,12,22,224,32,14,32,56,6
22,Capital                                 ,001,0002 ,0010,450,0,0,4,24,0,0,0,5,19,3,0,5,16,149,10,6,14,39,3
22,Capital                                 ,001,0002 ,0011,284,0,3,8,16,1,2,0,1,7,2,1,2,5,84,10,4,18,15,1
22,Capital                                 ,001,0002A,0010,450,0,0,9,4,0,2,0,8,9,1,0,16,11,121,9,9,25,37,6
22,Capital                                 ,001,0002A,0011,450,0,0,7,13,3,2,0,0,10,3,0,5,20,104,6,14,24,32,4
22,Capital                                 ,001,0002A,0012,900,16,1,26,22,2,4,0,14,28,6,4,22,26,356,10,48,50,72,10
22,Capital                                 ,001,0002A,0013,900,0,0,26,36,2,8,0,8,36,8,4,34,34,246,10,26,80,62,10
22,Capital                                 ,001,0002A,0014,900,22,8,24,34,2,2,0,12,18,6,2,28,36,300,18,26,56,56,14
22,Capital                                 ,001,0002A,0015,900,0,0,14,26,2,2,0,10,26,6,2,26,28,284,14,54,38,62,4
22,Capital                                 ,001,0002A,0016,900,0,0,14,34,10,4,0,16,28,4,4,42,54,268,16,30,44,58,4
22,Capital                                 ,001,0002A,0017,900,24,3,26,40,0,2,0,10,26,2,0,26,30,324,20,36,44,68,6
22,Capital                                 ,001,0002A,0018,900,2,7,16,10,0,4,0,8,0,6,2,24,28,286,20,28,48,168,8
22,Capital                                 ,001,0002A,0019,900,6,5,8,26,8,6,0,10,28,4,2,40,30,304,28,24,56,66,16
22,Capital                                 ,001,0002A,0020,900,2,3,30,46,2,4,0,14,44,4,2,36,32,222,32,30,50,64,10
22,Capital                                 ,001,0002A,0021,693,3,6,20,42,0,4,0,12,26,4,2,40,24,272,10,18,58,66,4
22,Capital                                 ,001,0002A,0022,693,8,1,14,14,2,4,0,12,36,8,0,24,18,306,18,18,44,52,4
22,Capital                                 ,001,0002A,0023,450,4,3,13,17,0,2,0,2,6,1,0,14,13,142,5,19,27,23,1
22,Capital                                 ,001,0002A,0024,450,2,1,8,5,2,2,0,6,21,4,0,11,12,150,6,9,30,33,5
22,Capital                                 ,001,0002A,0025,239,108,0,5,8,0,1,0,1,8,0,0,10,15,80,4,10,27,17,2
22,Capital                                 ,001,0002A,0026,240,4,0,0,4,0,0,0,1,7,0,0,4,7,68,4,8,15,19,1
22,Capital                                 ,001,0003 ,0023,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
