codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0001,0014,0022,0045,0048,0145,0161,0201,0202,0203,0214,0616,0617,0618
04,Capital                                 ,001,0001 ,0001,429,0,0,5,4,1,6,14,1,9,73,1,11,0,35,12,48
04,Capital                                 ,001,0001 ,0002,429,6,13,1,1,4,5,13,0,9,67,0,19,0,44,8,55
04,Capital                                 ,001,0001 ,0003,429,9,6,3,3,3,5,16,3,14,79,2,11,1,25,11,44
04,Capital                                 ,001,0001 ,0004,429,11,6,1,4,5,4,18,1,6,73,1,11,0,42,13,40
04,Capital                                 ,001,0001 ,0005,429,5,15,2,2,5,5,15,2,8,68,3,20,1,46,10,36
04,Capital                                 ,001,0001 ,0006,429,5,12,1,2,4,5,11,1,9,74,2,20,2,38,14,47
04,Capital                                 ,001,0001 ,0007,429,4,7,1,4,5,5,15,1,7,61,1,17,1,30,11,46
04,Capital                                 ,001,0001 ,0008,429,8,6,0,3,3,3,14,1,13,72,5,14,2,40,15,45
04,Capital                                 ,001,0001 ,0009,429,7,14,0,2,2,7,16,1,13,67,3,15,0,34,8,57
04,Capital                                 ,001,0001 ,0010,429,6,8,2,3,7,6,15,2,13,63,2,12,1,47,9,49
04,Capital                                 ,001,0001 ,0011,429,4,13,1,3,4,3,16,3,7,69,2,8,1,36,22,44
04,Capital                                 ,001,0001 ,0012,429,3,11,0,4,4,2,14,3,10,65,2,17,0,50,11,59
04,Capital                                 ,001,0001 ,0013,429,4,6,0,4,3,3,24,1,10,50,1,20,1,24,9,50
04,Capital                                 ,001,0001 ,0014,429,7,8,2,4,3,5,15,3,19,59,4,18,1,52,11,52
04,Capital                                 ,001,0001 ,0015,429,3,12,0,6,4,2,13,3,10,76,0,17,0,43,16,46
04,Capital                                 ,001,0001 ,0016,428,5,9,0,0,5,8,21,1,17,78,2,9,0,39,9,42
04,Capital                                 ,001,0001 ,0017,428,10,13,0,0,4,2,5,3,12,65,0,20,1,44,12,52
04,Capital                                 ,001,0001 ,0018,428,9,9,1,5,1,3,16,0,11,76,2,15,0,32,12,52
04,Capital                                 ,001,0001 ,0019,428,14,5,2,5,2,3,9,1,16,62,0,17,1,30,15,50
04,Capital                                 ,001,0001 ,0020,428,3,8,2,7,2,2,12,1,8,69,2,18,0,40,12,48
04,Capital                                 ,001,0001 ,0021,428,6,8,3,5,2,2,23,0,15,59,2,20,0,40,12,54
04,Capital                                 ,001,0001 ,3051,421,13,5,0,9,5,8,19,2,4,67,1,12,0,33,9,35
04,Capital                                 ,001,0001 ,3052,421,9,9,0,4,3,2,9,2,10,76,1,10,0,38,13,43
04,Capital                                 ,001,0001 ,3053,421,5,18,1,3,3,3,14,3,8,79,4,10,0,48,11,33
04,Capital                                 ,001,0001 ,3054,421,8,9,2,3,4,2,27,0,6,76,2,16,0,41,15,34
04,Capital                                 ,001,0001 ,3055,421,4,8,1,1,6,7,18,2,12,69,3,11,0,28,12,39
04,Capital                                 ,001,0001 ,3056,421,8,11,1,1,1,3,15,0,9,72,6,20,1,39,8,39
04,Capital                                 ,001,0001 ,3057,421,3,5,4,2,2,3,26,1,9,52,3,13,0,46,11,46
04,Capital                                 ,001,0001 ,3058,421,6,12,3,4,1,1,17,0,10,65,3,11,0,41,9,36
04,Capital                                 ,001,0001 ,3059,420,8,13,2,4,4,3,12,0,10,81,0,11,1,48,11,33
04,Capital                                 ,001,0001 ,3060,420,7,12,0,3,1,8,30,1,12,60,1,14,0,47,11,35
04,Capital                                 ,001,0001 ,3061,420,8,11,1,8,3,1,25,0,10,72,4,11,0,46,18,35
04,Capital                                 ,001,0001 ,3062,420,14,11,1,5,1,2,10,4,9,65,1,11,0,40,11,30
04,Capital                                 ,001,0001 ,3063,420,9,9,2,6,2,1,19,0,10,70,2,14,0,35,16,42
04,Capital                                 ,001,0001 ,3064,420,4,16,4,7,4,6,18,0,12,80,2,13,2,34,15,23
04,Capital                                 ,001,0001 ,3065,420,12,9,3,8,4,2,16,3,9,65,0,9,0,48,8,32
04,Capital                                 ,001,0001 ,3066,420,4,0,1,5,5,3,20,0,6,81,1,14,0,50,13,38
04,Capital                                 ,001,0002 ,0022,427,3,13,2,5,5,5,14,1,14,64,3,12,0,51,15,53
04,Capital                                 ,001,0002 ,0023,427,9,11,2,5,1,3,4,1,13,77,2,13,1,54,14,50
04,Capital                                 ,001,0002 ,0024,427,4,8,2,2,2,5,4,0,8,68,2,11,1,36,10,43
04,Capital                                 ,001,0002 ,0025,426,7,6,0,2,3,5,4,1,13,69,2,8,0,60,16,43
04,Capital                                 ,001,0002 ,0026,426,8,3,0,2,5,6,8,2,16,84,2,11,0,43,14,41
04,Capital                                 ,001,0002 ,0027,426,7,10,2,2,4,9,5,3,15,100,3,15,3,43,4,35
04,Capital                                 ,001,0002 ,0028,426,4,13,2,3,5,2,6,0,8,69,1,13,0,46,11,49
04,Capital                                 ,001,0002 ,3067,381,9,11,0,6,2,9,7,0,5,70,3,11,0,32,8,35
04,Capital                                 ,001,0002 ,3068,381,0,0,0,7,3,4,12,1,14,60,2,15,0,41,9,40
04,Capital                                 ,001,0002 ,3069,381,7,9,1,2,2,2,5,0,16,61,2,7,1,42,9,35
04,Capital                                 ,001,0002 ,3070,381,5,7,1,11,4,3,7,1,16,80,2,12,0,46,8,36
04,Capital                                 ,001,0002 ,3071,381,9,10,2,2,1,3,8,0,6,68,2,12,0,44,8,39
04,Capital                                 ,001,0002 ,3072,381,6,7,2,3,1,7,6,1,12,67,1,5,0,49,9,29
04,Capital                                 ,001,0002 ,3073,381,11,3,0,6,2,2,4,0,11,23,1,16,1,97,10,29
04,Capital                                 ,001,0003 ,0029,424,10,9,1,2,4,4,12,2,22,78,0,14,1,41,9,51
04,Capital                                 ,001,0003 ,0030,424,7,3,1,2,8,9,15,3,18,67,0,17,0,35,14,51
04,Capital                                 ,001,0003 ,0031,424,3,10,0,4,3,7,9,0,17,80,4,24,0,33,8,57
04,Capital                                 ,001,0003 ,0032,424,8,0,2,2,0,4,16,0,11,90,0,23,0,37,16,49
04,Capital                                 ,001,0003 ,0033,424,6,9,2,1,1,2,7,2,20,82,3,21,2,41,9,35
04,Capital                                 ,001,0003 ,0034,424,8,10,2,4,3,5,21,2,14,83,1,10,0,43,11,38
04,Capital                                 ,001,0003 ,0035,424,3,8,0,4,3,8,18,2,9,77,3,19,0,41,15,56
04,Capital                                 ,001,0003 ,0036,424,5,10,1,2,3,3,19,2,8,85,0,14,0,45,23,51
04,Capital                                 ,001,0003 ,0037,424,11,6,0,2,5,4,12,1,17,77,2,12,1,40,18,58
04,Capital                                 ,001,0003 ,0038,424,7,6,1,2,2,9,15,0,12,83,3,18,1,35,12,46
04,Capital                                 ,001,0003 ,0039,423,10,10,4,1,7,3,10,3,13,89,0,19,0,35,17,42
04,Capital                                 ,001,0003 ,0040,423,7,9,3,6,4,8,9,1,13,85,0,20,0,29,15,45
04,Capital                                 ,001,0003 ,0041,423,9,10,0,2,4,6,12,1,16,77,3,15,0,31,17,41
04,Capital                                 ,001,0003 ,0042,423,8,8,0,2,1,6,16,1,16,88,3,10,0,39,14,48
04,Capital                                 ,001,0003 ,0043,423,8,12,0,1,3,3,12,1,11,78,2,15,1,33,15,54
04,Capital                                 ,001,0003 ,0044,423,5,8,0,3,6,14,9,0,11,82,0,15,0,40,17,50
04,Capital                                 ,001,0003 ,0045,423,9,10,2,2,3,5,10,1,11,85,4,11,1,39,7,58
04,Capital                                 ,001,0003 ,0046,423,4,10,0,3,4,5,12,0,11,89,0,18,0,26,20,40
04,Capital                                 ,001,0003 ,0047,423,6,13,1,3,5,7,17,1,13,86,2,16,1,31,14,57
04,Capital                                 ,001,0003 ,0048,423,4,10,2,7,4,7,10,1,12,79,5,16,0,30,23,45
04,Capital                                 ,001,0003 ,0049,423,9,11,2,4,7,5,11,2,17,72,5,24,1,40,16,47
04,Capital                                 ,001,0003 ,0050,423,3,2,1,2,6,4,13,2,14,89,0,15,0,39,15,58
04,Capital                                 ,001,0003 ,0051,423,9,10,2,5,4,3,6,3,18,94,3,18,1,46,16,64
04,Capital                                 ,001,0003 ,0052,423,9,7,1,4,2,8,15,4,16,85,2,21,0,39,15,55
04,Capital                                 ,001,0003 ,0053,423,8,12,0,3,5,6,9,0,11,94,0,20,1,34,13,56
04,Capital                                 ,001,0003 ,3074,431,11,0,0,4,4,6,10,4,26,89,4,5,1,42,5,52
04,Capital                                 ,001,0003 ,3075,431,8,5,3,4,7,6,9,2,14,100,4,13,0,43,13,45
04,Capital                                 ,001,0003 ,3076,431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04,Capital                                 ,001,0003 ,3077,431,10,12,2,1,3,7,24,2,19,78,4,16,0,37,9,37
04,Capital                                 ,001,0003 ,3078,431,2,10,1,3,2,11,17,0,18,98,5,19,0,22,11,39
04,Capital                                 ,001,0003 ,3079,431,12,20,2,4,6,7,14,1,17,76,0,19,0,35,13,44
04,Capital                                 ,001,0003 ,3080,431,5,9,1,4,5,10,19,4,18,102,5,10,0,32,12,37
04,Capital                                 ,001,0003 ,3081,431,9,6,1,5,2,4,12,1,17,81,1,14,1,53,14,36
04,Capital                                 ,001,0003 ,3082,431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04,Capital                                 ,001,0003 ,3083,431,5,11,1,7,2,10,11,1,17,86,0,13,0,41,8,45
04,Capital                                 ,001,0003 ,3084,431,14,4,0,8,5,2,20,1,13,76,3,7,1,36,10,44
04,Capital                                 ,001,0003 ,3085,431,19,1,2,1,8,4,6,0,8,93,2,4,0,42,6,56
04,Capital                                 ,001,0003 ,3086,431,14,5,1,3,3,6,11,1,15,85,2,9,0,49,6,52
04,Capital                                 ,001,0003 ,3087,431,9,18,2,7,4,6,17,1,14,91,1,11,0,47,11,42
04,Capital                                 ,001,0003 ,3088,431,6,12,0,3,3,2,6,2,11,92,2,15,0,44,14,47
04,Capital                                 ,001,0003 ,3089,431,10,15,2,5,3,3,12,3,19,81,3,12,0,41,11,37
04,Capital                                 ,001,0003 ,3090,431,10,10,0,2,2,6,21,0,11,77,2,12,1,46,13,47
04,Capital                                 ,001,0003 ,3091,430,4,23,1,3,4,6,14,2,16,87,5,13,0,40,16,37
04,Capital                                 ,001,0003 ,3092,430,9,14,3,4,2,45,12,2,18,86,0,17,2,17,33,39
04,Capital                                 ,001,0004 ,0054,440,7,17,1,1,3,4,28,0,10,70,1,19,0,37,25,52
04,Capital                                 ,001,0004 ,0055,440,9,8,2,8,5,5,28,0,7,79,4,20,0,36,11,54
04,Capital                                 ,001,0004 ,0056,440,8,23,0,3,2,7,32,0,9,45,1,27,2,40,19,76
04,Capital                                 ,001,0004 ,0057,440,5,9,1,3,6,3,27,3,13,84,0,22,0,43,26,49
04,Capital                                 ,001,0004 ,0058,440,10,4,0,7,1,3,24,1,12,68,3,21,0,40,12,58
04,Capital                                 ,001,0004 ,0059,440,7,16,1,3,4,5,19,3,15,59,4,19,0,24,19,51
04,Capital                                 ,001,0004 ,0060,440,8,8,1,1,3,6,26,0,16,97,25,21,1,25,25,55
04,Capital                                 ,001,0004 ,0061,440,9,9,1,0,2,3,30,2,15,72,4,25,0,33,27,55
04,Capital                                 ,001,0004 ,0062,440,5,10,0,1,3,6,26,3,7,88,1,9,0,26,22,58
04,Capital                                 ,001,0004 ,0063,440,5,17,0,4,4,4,22,1,12,75,2,25,0,29,20,57
04,Capital                                 ,001,0004 ,0064,440,10,10,1,3,5,9,26,1,8,70,0,24,0,34,13,57
04,Capital                                 ,001,0004 ,0065,440,6,13,3,3,5,8,25,2,9,65,3,25,0,44,14,52
04,Capital                                 ,001,0004 ,0066,440,9,8,2,5,6,2,28,1,12,69,0,10,2,46,13,55
04,Capital                                 ,001,0004 ,0067,440,14,17,2,5,3,1,28,2,11,61,4,17,0,34,17,50
04,Capital                                 ,001,0004 ,0068,440,4,4,1,4,6,1,36,2,6,71,3,19,1,40,22,46
04,Capital                                 ,001,0004 ,0069,440,5,15,1,2,3,5,23,1,9,73,3,18,0,31,21,52
04,Capital                                 ,001,0004 ,0070,440,10,20,2,3,7,4,23,0,9,65,2,17,1,49,8,53
04,Capital                                 ,001,0004 ,0071,440,11,7,1,1,1,4,17,1,14,57,3,33,0,24,16,60
04,Capital                                 ,001,0004 ,0072,439,6,10,2,4,2,6,37,2,15,55,0,17,1,37,31,54
04,Capital                                 ,001,0004 ,0073,439,4,15,1,3,2,4,34,3,13,71,1,28,0,38,13,50
04,Capital                                 ,001,0004 ,0074,439,10,16,1,4,3,4,25,1,13,62,2,13,0,32,27,43
04,Capital                                 ,001,0004 ,0075,439,8,11,0,1,5,5,24,2,9,70,2,15,0,42,15,50
04,Capital                                 ,001,0004 ,0076,439,9,22,1,1,2,3,25,2,9,80,4,19,1,43,15,43
04,Capital                                 ,001,0004 ,3093,418,12,13,0,1,1,5,34,3,9,68,4,17,1,38,23,36
04,Capital                                 ,001,0004 ,3094,418,8,19,1,4,3,5,28,1,10,75,1,18,1,37,16,35
04,Capital                                 ,001,0004 ,3095,418,12,8,1,1,2,3,25,2,14,56,2,17,0,35,17,68
04,Capital                                 ,001,0004 ,3096,418,5,13,0,4,3,3,27,0,9,77,3,12,0,49,16,46
04,Capital                                 ,001,0004 ,3097,418,8,10,2,4,3,2,22,0,4,78,5,15,0,42,19,39
04,Capital                                 ,001,0004 ,3098,418,8,12,1,2,3,4,28,2,9,73,1,20,1,30,20,42
04,Capital                                 ,001,0004 ,3099,418,16,18,2,3,0,0,28,1,9,63,3,17,0,46,16,40
04,Capital                                 ,001,0004 ,3100,418,8,9,1,2,3,5,20,2,8,80,1,15,1,39,16,52
04,Capital                                 ,001,0004 ,3101,417,7,9,1,3,2,4,23,2,5,65,2,11,1,37,12,31
04,Capital                                 ,001,0004 ,3102,417,9,8,0,4,6,4,32,2,11,69,4,5,0,32,18,41
04,Capital                                 ,001,0004 ,3103,417,10,9,0,0,5,7,22,1,10,72,4,14,1,43,20,37
