codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,00001,00067,00005,00066
05,001,CAPITAL,02033,054381,0,0,21,11,168,33,13
05,001,CAPITAL,02033,054382,0,0,19,9,155,40,7
05,001,CAPITAL,02034,054383,0,0,26,18,117,80,17
05,001,CAPITAL,02034,054384,0,0,4,19,112,105,11
05,001,CAPITAL,02034,054385,0,0,4,14,107,92,8
05,001,CAPITAL,02034,054386,0,0,15,13,118,105,11
05,001,CAPITAL,02034,054387,0,0,19,13,125,86,9
05,001,CAPITAL,02034,054388,0,0,3,16,113,97,6
05,001,CAPITAL,02034,054389,0,0,27,11,119,83,16
05,001,CAPITAL,02034,054390,0,0,26,8,110,96,6
05,001,CAPITAL,02034,054391,0,0,24,12,121,74,18
05,001,CAPITAL,02034,054392,0,0,21,13,125,66,17
05,001,CAPITAL,02034,054393,0,0,0,5,104,100,2
05,001,CAPITAL,02034,054394,0,0,28,14,133,59,9
05,001,CAPITAL,02034,054395,0,0,39,6,109,80,18
05,001,CAPITAL,02034,054396,0,0,1,12,103,92,5
05,001,CAPITAL,02034,054397,0,0,20,16,91,96,3
05,001,CAPITAL,02034,054398,0,0,39,24,105,77,12
05,001,CAPITAL,02034,054399,0,0,24,19,101,101,15
05,001,CAPITAL,02034,054400,0,0,12,11,93,100,15
05,001,CAPITAL,02034,054401,0,0,1,12,103,96,8
05,001,CAPITAL,02034,054402,0,0,0,19,100,77,17
05,001,CAPITAL,02034,054403,0,0,0,7,94,106,11
05,001,CAPITAL,02034,054404,0,0,2,4,100,104,3
05,001,CAPITAL,02034,054405,0,0,0,16,81,109,17
05,001,CAPITAL,02034,054406,0,0,0,17,115,80,13
05,001,CAPITAL,02034,054407,0,0,0,11,126,63,13
05,001,CAPITAL,02034,054408,0,0,30,16,87,108,6
05,001,CAPITAL,02034,054409,0,0,35,12,98,90,13
05,001,CAPITAL,02034,054410,0,0,2,15,108,94,14
05,001,CAPITAL,02034,054411,0,0,33,19,115,72,8
05,001,CAPITAL,02034,054412,0,0,0,12,121,83,14
05,001,CAPITAL,02034,054413,0,0,32,15,117,79,18
05,001,CAPITAL,02034,054414,0,0,1,13,121,70,17
05,001,CAPITAL,02034,054415,0,0,3,9,117,94,18
05,001,CAPITAL,02034,054416,0,0,4,10,107,96,7
05,001,CAPITAL,02034,054417,0,0,32,19,119,77,17
05,001,CAPITAL,02034,054418,0,0,31,8,109,80,13
05,001,CAPITAL,02034,054419,0,0,3,20,135,64,5
05,001,CAPITAL,02034,054420,0,0,3,10,99,92,6
05,001,CAPITAL,02034,054421,0,0,26,13,103,94,20
05,001,CAPITAL,02034,054422,0,0,5,24,90,104,13
05,001,CAPITAL,02034,054423,0,0,1,19,100,85,17
05,001,CAPITAL,02034,054424,0,0,0,12,81,125,10
05,001,CAPITAL,02034,054425,0,0,20,17,124,75,10
05,001,CAPITAL,02034,054426,0,0,2,11,119,92,12
05,001,CAPITAL,02034,054427,0,0,19,12,136,81,12
05,001,CAPITAL,02034,054428,0,0,21,20,104,104,7
05,001,CAPITAL,02034,054429,0,0,19,17,118,81,12
05,001,CAPITAL,02034,054430,0,0,21,25,66,100,18
05,001,CAPITAL,02034,054431,0,0,16,16,125,95,12
05,001,CAPITAL,02034,054432,0,0,0,15,115,79,13
05,001,CAPITAL,02034,054433,0,0,5,4,72,43,7
05,001,CAPITAL,02034,054434,0,0,0,9,65,42,4
05,001,CAPITAL,02035,054435,0,0,35,0,69,82,5
05,001,CAPITAL,02035,054436,0,0,29,10,90,111,12
05,001,CAPITAL,02035,054437,0,0,31,11,112,83,6
05,001,CAPITAL,02035,054438,0,0,1,14,111,87,13
05,001,CAPITAL,02035,054439,0,0,28,22,111,75,10
05,001,CAPITAL,02035,054440,0,0,30,9,95,115,18
05,001,CAPITAL,02035,054441,0,0,23,9,104,97,12
05,001,CAPITAL,02035,054442,0,0,1,5,112,104,12
05,001,CAPITAL,02035,054443,0,0,2,11,112,84,9
05,001,CAPITAL,02035,054444,0,0,0,31,111,86,9
05,001,CAPITAL,02035,054445,0,0,43,15,95,90,11
05,001,CAPITAL,02035,054446,0,0,4,8,124,88,5
05,001,CAPITAL,02035,054447,0,0,0,13,111,81,7
05,001,CAPITAL,02035,054448,0,0,38,19,116,77,17
05,001,CAPITAL,02035,054449,0,0,3,17,146,70,12
05,001,CAPITAL,02035,054450,0,0,42,12,105,84,5
05,001,CAPITAL,02035,054451,0,0,29,22,105,99,7
05,001,CAPITAL,02035,054452,0,0,25,11,89,101,17
05,001,CAPITAL,02035,054453,0,0,2,12,98,106,16
05,001,CAPITAL,02035,054454,0,0,31,17,113,92,7
05,001,CAPITAL,02035,054455,0,0,0,14,93,106,14
