codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0003,0014,0022,0038,0047,0051,0101,0102,0104,0126,0127,0135,0181,0298,0299,0313,0314
02,Adolfo Alsina                           ,001,0001 ,0001,390,37,0,49,4,1,3,10,0,41,4,2,0,0,1,0,0,0,0,129
02,Adolfo Alsina                           ,001,0001 ,0002,390,27,0,34,0,2,2,19,0,56,10,2,4,0,2,0,3,0,1,122
02,Adolfo Alsina                           ,001,0001 ,0003,390,33,5,39,3,0,2,11,0,58,5,1,0,0,1,2,2,0,1,141
02,Adolfo Alsina                           ,001,0001 ,0004,390,22,0,41,0,1,0,14,0,89,11,3,5,0,1,2,1,0,3,118
02,Adolfo Alsina                           ,001,0001 ,0005,390,30,1,52,2,3,0,14,0,59,7,2,3,0,4,2,2,0,2,114
02,Adolfo Alsina                           ,001,0001 ,0006,390,4,3,43,0,1,1,18,0,59,12,0,1,0,1,0,0,0,1,137
02,Adolfo Alsina                           ,001,0001 ,0007,390,0,2,48,1,5,0,8,1,73,16,2,3,0,0,1,0,0,1,117
02,Adolfo Alsina                           ,001,0001 ,0008,390,2,10,47,5,2,2,15,1,46,6,0,2,0,0,1,2,0,0,117
02,Adolfo Alsina                           ,001,0001 ,0009,390,30,0,36,2,0,1,18,3,66,7,2,2,0,1,0,0,0,2,128
02,Adolfo Alsina                           ,001,0001 ,0010,303,27,0,46,0,1,0,14,0,50,8,0,5,0,0,1,1,0,1,104
02,Adolfo Alsina                           ,001,0001 ,5001,390,2,14,58,1,1,0,17,0,53,5,6,4,0,0,0,0,0,0,131
02,Adolfo Alsina                           ,001,0001 ,5002,390,19,8,43,0,1,1,23,0,62,4,2,0,0,0,0,1,0,0,128
02,Adolfo Alsina                           ,001,0001 ,5003,390,13,2,50,0,5,1,21,0,57,7,0,1,0,1,0,0,0,0,145
02,Adolfo Alsina                           ,001,0001 ,5004,390,16,10,50,2,1,1,27,0,57,8,0,4,1,0,1,0,0,0,124
02,Adolfo Alsina                           ,001,0001 ,5005,390,6,25,40,3,1,0,36,2,54,6,0,1,0,0,2,0,0,0,132
02,Adolfo Alsina                           ,001,0001 ,5006,390,0,0,44,1,0,0,27,0,53,7,0,1,0,0,0,0,0,2,133
02,Adolfo Alsina                           ,001,0001 ,5007,390,17,4,60,0,2,0,18,0,55,7,0,2,0,0,1,1,0,0,136
02,Adolfo Alsina                           ,001,0001 ,5008,390,25,1,44,0,2,1,19,1,56,8,3,3,0,2,0,1,0,0,157
02,Adolfo Alsina                           ,001,0001 ,5009,390,19,4,45,0,2,2,18,0,75,5,3,2,0,2,6,1,0,0,123
02,Adolfo Alsina                           ,001,0001 ,5010,221,4,0,37,1,1,1,8,1,41,2,0,0,0,1,1,1,0,0,58
02,Adolfo Alsina                           ,001,0001 ,5011,221,11,0,13,0,1,0,10,0,41,3,2,2,0,0,0,0,0,0,87
02,Adolfo Alsina                           ,001,0002 ,0011,85,3,0,19,0,0,0,1,0,4,2,0,0,0,0,0,0,0,0,17
02,Adolfo Alsina                           ,001,0002 ,5012,139,75,4,22,0,1,0,4,0,10,2,0,1,0,0,0,0,0,0,35
02,Adolfo Alsina                           ,001,0003 ,0012,390,20,0,34,2,2,0,8,1,61,0,0,0,0,5,0,0,0,0,162
02,Adolfo Alsina                           ,001,0003 ,0013,390,20,0,27,5,1,0,7,3,72,2,2,2,0,2,0,6,0,1,167
02,Adolfo Alsina                           ,001,0003 ,0014,390,24,0,20,6,3,1,17,0,98,11,0,3,0,1,0,2,0,0,126
02,Adolfo Alsina                           ,001,0003 ,0015,195,6,0,15,1,0,0,10,1,39,10,2,1,0,0,0,1,0,0,59
02,Adolfo Alsina                           ,001,0003 ,0016,196,10,0,13,0,1,0,8,0,35,3,0,0,0,0,0,1,0,0,71
02,Adolfo Alsina                           ,001,0003 ,5013,390,3,0,34,2,1,0,12,0,85,2,0,0,0,0,0,1,0,0,146
02,Adolfo Alsina                           ,001,0003 ,5014,390,12,4,30,1,4,0,11,1,79,5,0,2,0,1,0,2,0,0,154
02,Adolfo Alsina                           ,001,0003 ,5015,390,1,1,27,1,2,2,18,2,91,3,3,1,0,1,0,0,0,0,135
02,Adolfo Alsina                           ,001,0003 ,5016,299,8,2,26,1,2,2,9,0,64,1,1,1,0,1,0,0,0,1,108
02,Adolfo Alsina                           ,001,0004 ,0017,113,3,1,10,0,0,0,0,0,14,2,0,0,0,0,0,0,0,0,30
02,Adolfo Alsina                           ,001,0004 ,5017,36,1,0,3,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,9
02,Adolfo Alsina                           ,001,0005 ,0018,390,14,4,63,1,4,1,11,3,83,7,2,0,0,1,0,3,0,4,104
02,Adolfo Alsina                           ,001,0005 ,0019,300,9,6,24,3,0,1,6,2,68,11,1,1,0,1,0,1,0,0,83
02,Adolfo Alsina                           ,001,0005 ,5018,390,26,0,51,0,2,1,11,0,81,7,1,3,0,0,0,0,0,0,111
02,Adolfo Alsina                           ,001,0005 ,5019,297,10,0,36,0,0,1,15,0,48,11,0,3,0,0,0,1,0,1,100
02,Adolfo Alsina                           ,001,0006 ,0020,91,0,0,17,0,1,0,1,0,17,3,0,1,0,1,0,0,0,0,33
02,Adolfo Alsina                           ,001,0006 ,5020,60,1,0,11,0,2,0,1,0,15,1,0,0,0,0,0,0,0,0,24
02,Adolfo Alsina                           ,001,0007 ,0021,200,11,0,41,3,3,0,3,1,30,7,2,4,0,0,0,2,0,2,47
02,Adolfo Alsina                           ,001,0007 ,0022,201,10,0,27,2,0,2,7,1,24,4,4,3,0,0,0,0,0,0,56
02,Adolfo Alsina                           ,001,0007 ,5021,312,18,0,60,1,4,0,14,0,48,6,1,1,0,0,0,0,0,1,88
02,Alberti                                 ,002,0010 ,0001,390,22,0,85,1,1,0,4,4,140,11,1,2,0,2,0,0,2,2,42
02,Alberti                                 ,002,0010 ,0002,390,32,0,93,2,0,0,12,1,118,22,2,1,0,1,0,0,0,0,38
02,Alberti                                 ,002,0010 ,0003,390,35,0,81,3,1,1,10,0,147,7,1,0,0,1,0,1,1,0,32
