codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0501,0548
09,Formosa,001,0003 ,0046,433,7,4,156,135
09,Formosa,001,0003 ,0047,433,9,10,159,135
09,Formosa,001,0003 ,0048,433,17,7,141,161
09,Formosa,001,0003 ,0049,433,3,1,142,150
09,Formosa,001,0003 ,0050,433,0,0,168,142
09,Formosa,001,0003 ,0051,433,13,7,150,140
09,Formosa,001,0003 ,0052,433,16,9,169,127
09,Formosa,001,0003 ,0053,432,13,10,148,147
09,Formosa,001,0003 ,0054,432,6,8,164,141
09,Formosa,001,0003 ,0055,432,18,7,178,126
09,Formosa,001,0003 ,0056,432,3,4,156,176
09,Formosa,001,0003 ,0057,432,30,13,147,139
09,Formosa,001,0003 ,0058,432,13,9,148,138
09,Formosa,001,0003 ,0059,432,2,14,153,143
09,Formosa,001,0003 ,0060,432,15,8,119,157
09,Formosa,001,0003 ,0061,432,9,2,148,154
09,Formosa,001,0003 ,0062,432,9,4,141,160
09,Formosa,001,0003 ,0063,432,15,6,159,142
09,Formosa,001,0003 ,0064,432,12,13,150,155
09,Formosa,001,0003 ,0065,432,0,7,128,157
09,Formosa,001,0003 ,0066,432,11,12,158,135
09,Formosa,001,0003 ,0067,432,5,3,159,139
09,Formosa,001,0003 ,0068,432,13,3,156,153
09,Formosa,001,0003 ,0069,432,16,7,145,136
09,Formosa,001,0003 ,0070,432,12,0,142,137
09,Formosa,001,0003 ,0071,432,17,4,162,134
09,Formosa,001,0003 ,0072,432,14,11,150,147
09,Formosa,001,0003 ,0073,432,10,12,154,145
09,Formosa,001,0003 ,0074,432,0,6,158,148
09,Formosa,001,0003 ,0075,432,10,4,155,146
09,Formosa,001,0003 ,0076,432,8,5,174,138
09,Formosa,001,0003 ,0077,432,25,0,175,128
09,Formosa,001,0003 ,0078,432,17,4,159,153
09,Formosa,001,0003 ,0079,432,8,8,146,151
09,Formosa,001,0003 ,0080,432,0,0,0,0
09,Formosa,001,0003 ,0081,432,3,8,166,138
09,Formosa,001,0003 ,0082,432,4,6,162,153
09,Formosa,001,0003 ,0083,432,18,9,152,137
09,Formosa,001,0003 ,0084,432,4,2,153,166
09,Formosa,001,0003 ,0085,432,2,3,170,157
09,Formosa,001,0003 ,0086,432,0,0,0,0
09,Formosa,001,0003 ,0087,432,9,5,167,133
09,Formosa,001,0003 ,0088,432,14,9,143,152
09,Formosa,001,0003 ,0089,432,9,7,151,140
09,Formosa,001,0003 ,0090,432,7,4,141,140
09,Formosa,001,0003 ,0091,432,6,4,132,162
09,Formosa,001,0003 ,0539,430,16,7,164,118
09,Formosa,001,0003 ,0540,430,21,7,132,149
09,Formosa,001,0003 ,0541,430,3,6,153,120
09,Formosa,001,0003 ,0542,430,20,7,143,128
09,Formosa,001,0003 ,0543,430,16,10,148,137
09,Formosa,001,0003 ,0544,430,2,8,157,130
09,Formosa,001,0003 ,0545,430,23,0,143,139
09,Formosa,001,0003 ,0546,430,6,8,151,140
09,Formosa,001,0003 ,0547,430,8,2,118,152
09,Formosa,001,0003 ,0548,430,2,5,141,134
09,Formosa,001,0003 ,0549,430,13,9,140,128
09,Formosa,001,0003 ,0550,430,5,5,141,149
09,Formosa,001,0003 ,0551,430,2,4,166,139
09,Formosa,001,0003 ,0552,430,12,8,140,139
09,Formosa,001,0003 ,0553,430,17,5,154,135
09,Formosa,001,0003 ,0554,430,8,15,145,133
09,Formosa,001,0003 ,0555,430,4,10,137,140
09,Formosa,001,0003 ,0556,430,5,9,128,139
09,Formosa,001,0003 ,0557,430,5,8,157,120
09,Formosa,001,0003 ,0558,430,4,5,177,116
09,Formosa,001,0003 ,0559,430,10,11,143,122
09,Formosa,001,0003 ,0560,430,16,9,143,144
09,Formosa,001,0003 ,0561,430,11,11,137,149
09,Formosa,001,0003 ,0562,430,15,6,144,133
09,Formosa,001,0003 ,0563,430,23,5,159,120
09,Formosa,001,0003 ,0564,430,5,3,156,121
09,Formosa,001,0003 ,0565,430,15,7,159,134
09,Formosa,001,0003 ,0566,430,18,4,143,136
09,Formosa,001,0003 ,0567,430,24,1,147,123
09,Formosa,001,0003 ,0568,430,3,3,160,126
09,Formosa,001,0003 ,0569,430,17,8,140,137
09,Formosa,001,0003 ,0570,430,10,5,144,118
09,Formosa,001,0003 ,0571,430,12,8,147,124
09,Formosa,001,0003 ,0572,430,6,4,165,121
09,Formosa,001,0003 ,0573,430,6,15,154,126
09,Formosa,001,0003 ,0574,430,24,0,128,143
09,Formosa,001,0003 ,0575,430,32,3,126,134
09,Formosa,001,0003 ,0576,430,24,0,159,112
09,Formosa,001,0003 ,0577,430,12,8,151,126
09,Formosa,001,0003 ,0578,430,4,4,141,151
09,Formosa,001,0003 ,0579,430,15,5,175,103
09,Formosa,001,0003 ,0580,430,4,15,163,119
09,Formosa,001,0003 ,0581,430,12,6,160,123
09,Formosa,001,0003 ,0582,430,16,8,129,141
