codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0002,0003,0005,0014,0022,0030,0038,0047,0051,0101,0102,0104,0126,0127,0133,0135,0152,0153,0181,0298,0299,0311,0312,0313,0315
02,Adolfo Alsina                           ,001,0001 ,0001,390,27,0,117,48,0,1,0,6,3,11,0,57,4,1,0,0,0,1,4,1,0,0,0,0,0,0,0
02,Adolfo Alsina                           ,001,0001 ,0002,390,27,0,108,37,0,0,2,1,2,21,0,52,8,2,4,0,0,2,9,2,0,3,0,0,0,0,4
02,Adolfo Alsina                           ,001,0001 ,0003,390,29,5,143,41,0,3,0,4,2,10,0,52,3,1,0,0,0,1,4,0,2,2,0,0,0,1,1
02,Adolfo Alsina                           ,001,0001 ,0004,390,39,0,109,42,0,0,1,1,0,14,0,76,7,2,3,0,0,1,7,1,2,1,0,0,0,3,3
02,Adolfo Alsina                           ,001,0001 ,0005,390,29,1,108,56,0,2,4,5,0,14,0,52,3,2,1,0,0,5,4,1,2,2,0,0,0,2,4
02,Adolfo Alsina                           ,001,0001 ,0006,390,4,3,133,44,0,1,2,2,0,16,0,49,8,0,0,0,0,1,5,4,0,0,0,0,0,1,4
02,Adolfo Alsina                           ,001,0001 ,0007,390,0,2,107,49,0,1,5,4,0,8,1,63,14,2,3,0,0,0,9,1,1,0,0,0,0,1,5
02,Adolfo Alsina                           ,001,0001 ,0008,390,2,10,110,48,0,5,2,2,2,15,1,39,4,0,1,0,0,0,5,0,1,3,0,0,0,0,1
02,Adolfo Alsina                           ,001,0001 ,0009,390,40,0,118,40,0,2,0,2,1,16,3,58,5,2,1,0,0,0,6,0,0,0,0,0,0,2,2
02,Adolfo Alsina                           ,001,0001 ,0010,303,29,0,100,46,0,0,1,0,0,15,0,45,6,0,7,0,0,0,3,1,1,1,0,0,0,1,2
02,Adolfo Alsina                           ,001,0001 ,5001,390,2,14,117,61,0,1,1,1,0,17,0,44,5,6,3,0,0,0,7,1,0,0,0,0,0,0,0
02,Adolfo Alsina                           ,001,0001 ,5002,390,20,8,123,44,0,0,1,0,0,25,0,55,3,2,0,0,0,0,6,2,0,1,0,0,0,0,2
02,Adolfo Alsina                           ,001,0001 ,5003,390,19,2,137,52,0,0,5,0,1,21,0,42,6,0,1,0,0,0,7,0,0,0,0,0,0,0,1
02,Adolfo Alsina                           ,001,0001 ,5004,390,31,10,112,56,0,2,1,0,0,30,0,44,6,0,2,1,0,0,5,0,1,0,0,0,0,0,1
02,Adolfo Alsina                           ,001,0001 ,5005,390,6,32,128,41,0,2,1,2,0,35,1,49,3,0,1,0,0,0,3,0,2,0,0,0,0,0,2
02,Adolfo Alsina                           ,001,0001 ,5006,390,0,0,131,49,0,1,0,1,0,27,0,45,3,0,1,0,0,0,2,1,0,0,0,0,0,2,1
02,Adolfo Alsina                           ,001,0001 ,5007,390,23,4,131,61,0,0,2,3,0,19,0,52,3,0,2,0,0,0,1,0,1,1,0,0,0,0,0
02,Adolfo Alsina                           ,001,0001 ,5008,390,30,1,145,48,0,0,1,1,1,21,1,50,5,3,2,0,0,2,8,1,0,1,0,0,0,0,2
02,Adolfo Alsina                           ,001,0001 ,5009,390,32,4,111,44,0,0,2,1,2,21,0,62,5,3,2,0,0,2,9,1,6,0,0,0,0,0,1
02,Adolfo Alsina                           ,001,0001 ,5010,221,4,0,58,36,0,1,1,3,1,8,2,34,0,1,0,0,0,1,3,0,1,1,0,0,0,0,1
02,Adolfo Alsina                           ,001,0001 ,5011,221,16,0,81,16,0,0,1,2,0,11,0,30,2,2,0,0,0,0,7,1,0,0,0,0,0,0,1
02,Adolfo Alsina                           ,001,0002 ,0011,85,4,0,15,22,0,0,0,1,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
02,Adolfo Alsina                           ,001,0002 ,5012,139,77,2,34,24,0,0,1,0,0,4,0,8,1,0,1,0,0,0,2,0,0,0,0,0,0,0,2
02,Adolfo Alsina                           ,001,0003 ,0012,390,34,0,156,31,0,2,2,0,0,7,1,53,0,0,0,0,0,5,4,4,0,0,0,0,0,0,0
