codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,00024,00036,00037,00039,00050,00108
21,001,Belgrano,04592,084095,0,0,6,28,6,99,8,125,5
21,001,Belgrano,04592,084096,0,0,13,22,5,124,0,112,5
21,001,Belgrano,04592,084097,0,0,5,23,3,118,0,105,3
21,001,Belgrano,04592,084098,0,0,16,28,3,130,0,92,7
21,001,Belgrano,04592,084099,0,0,17,24,4,96,0,122,2
21,001,Belgrano,04592,084100,0,0,10,18,6,114,0,114,10
21,001,Belgrano,04592,084101,0,0,9,34,3,110,0,107,4
21,001,Belgrano,04592,084102,0,0,16,20,2,80,0,159,9
21,001,Belgrano,04592,084103,0,0,8,14,5,86,0,156,5
21,001,Belgrano,04592,084104,0,0,7,23,3,125,0,105,2
21,001,Belgrano,04592,084105,0,0,16,20,7,108,0,121,4
21,001,Belgrano,04592,084106,0,0,20,24,2,101,0,137,4
21,001,Belgrano,04592,084107,0,0,14,24,1,93,0,135,6
21,001,Belgrano,04592,084108,0,0,15,31,3,87,0,151,4
21,001,Belgrano,04592,084109,0,0,6,16,5,94,0,142,3
21,001,Belgrano,04592,084110,0,0,15,17,1,128,0,106,5
21,001,Belgrano,04592,084111,0,0,11,15,0,57,0,70,1
21,001,Belgrano,04592,084112,0,0,9,19,1,55,0,62,10
21,001,Belgrano,04593,084113,0,0,0,15,2,100,0,141,3
21,001,Belgrano,04593,084114,0,0,4,11,4,109,0,150,1
21,001,Belgrano,04593,084115,0,0,6,26,5,64,0,166,6
21,001,Belgrano,04593,084116,0,0,6,16,0,59,0,118,0
21,002,Caseros,04594,084117,0,0,5,26,10,119,0,110,7
21,002,Caseros,04594,084118,0,0,6,24,10,99,0,131,8
21,002,Caseros,04594,084119,0,0,5,29,4,100,0,137,5
21,002,Caseros,04594,084120,0,0,8,25,4,117,0,111,9
21,002,Caseros,04594,084121,0,0,11,28,7,87,0,149,9
21,002,Caseros,04594,084122,0,0,6,25,3,85,0,143,9
21,002,Caseros,04594,084123,0,0,4,22,5,117,0,113,7
21,002,Caseros,04594,084124,0,0,6,22,9,103,0,131,12
21,002,Caseros,04594,084125,0,0,3,38,7,119,0,118,3
21,002,Caseros,04594,084126,0,0,8,36,6,110,0,110,7
21,002,Caseros,04594,084127,0,0,8,26,9,127,0,108,9
21,002,Caseros,04594,084128,0,0,2,25,11,120,0,119,6
21,002,Caseros,04594,084129,0,0,3,25,13,123,0,97,8
21,002,Caseros,04594,084130,0,0,6,29,12,131,0,93,9
21,002,Caseros,04594,084131,0,0,9,28,10,120,0,110,5
21,002,Caseros,04594,084132,0,0,6,26,2,114,0,126,8
21,002,Caseros,04594,084133,0,0,8,22,8,108,0,132,9
21,002,Caseros,04594,084134,0,0,4,28,8,80,0,122,6
21,002,Caseros,04595,084135,0,0,8,25,5,71,0,170,3
21,002,Caseros,04595,084136,0,0,10,32,3,83,0,155,6
21,002,Caseros,04595,084137,0,0,15,23,1,80,0,161,4
21,002,Caseros,04595,084138,0,0,8,32,3,83,0,152,10
21,002,Caseros,04595,084139,0,0,1,40,4,83,2,163,3
21,002,Caseros,04595,084140,0,0,8,26,8,69,0,172,7
21,002,Caseros,04595,084141,0,0,8,32,9,85,0,150,8
21,002,Caseros,04595,084142,0,0,3,25,3,74,0,145,7
21,002,Caseros,04596,084143,0,0,6,21,3,92,0,148,6
21,002,Caseros,04596,084144,0,0,5,19,3,85,0,152,7
21,002,Caseros,04596,084145,0,0,5,21,1,108,0,147,2
21,002,Caseros,04596,084146,0,0,11,19,4,103,0,134,4
21,002,Caseros,04596,084147,0,0,7,19,8,90,0,152,0
21,002,Caseros,04596,084148,0,0,1,7,0,31,0,49,0
21,002,Caseros,04597,084149,0,0,5,26,6,120,0,122,4
21,002,Caseros,04597,084150,0,0,5,26,8,107,0,118,7
21,002,Caseros,04597,084151,0,0,8,23,6,98,0,154,5
21,002,Caseros,04597,084152,0,0,5,32,4,101,0,135,5
21,002,Caseros,04597,084153,0,0,17,29,7,97,0,137,3
21,002,Caseros,04597,084154,0,0,4,25,6,134,0,122,3
21,002,Caseros,04597,084155,0,0,8,30,4,105,0,124,5
21,002,Caseros,04597,084156,0,0,10,19,6,97,0,153,6
21,002,Caseros,04597,084157,0,0,14,20,3,128,0,108,11
21,002,Caseros,04597,084158,0,0,5,33,9,94,0,126,8
21,002,Caseros,04597,084159,0,0,16,23,5,127,0,106,6
21,002,Caseros,04597,084160,0,0,17,26,4,120,0,109,7
21,002,Caseros,04597,084161,0,0,7,22,9,103,0,130,6
21,002,Caseros,04597,084162,0,0,0,15,5,36,0,48,7
21,002,Caseros,04598,084163,0,0,4,23,5,122,0,97,8
21,002,Caseros,04598,084164,0,0,4,27,3,118,0,115,3
21,002,Caseros,04598,084165,0,0,1,13,0,64,0,69,2
21,002,Caseros,04598,084166,0,0,4,14,2,76,0,45,6
21,002,Caseros,04599,084167,0,0,7,39,2,127,0,99,8
21,002,Caseros,04599,084168,0,0,28,27,5,102,0,105,8
21,002,Caseros,04599,084169,0,0,8,32,2,81,0,167,8
21,002,Caseros,04599,084170,0,0,6,28,1,72,0,162,10
21,002,Caseros,04599,084171,0,0,3,35,1,80,0,155,9
21,002,Caseros,04599,084172,0,0,8,39,4,68,0,144,10
21,002,Caseros,04599,084173,0,0,16,43,7,86,0,137,7
21,002,Caseros,04599,084174,0,0,3,26,3,92,0,145,9
21,002,Caseros,04599,084175,0,0,4,31,9,123,0,100,8
21,002,Caseros,04599,084176,0,0,9,16,4,95,0,136,6
21,002,Caseros,04599,084177,0,0,6,27,7,116,0,125,4
21,002,Caseros,04599,084178,0,0,5,39,8,95,0,127,12
21,002,Caseros,04599,084179,0,0,9,29,6,90,0,135,6
21,002,Caseros,04599,084180,0,0,5,21,6,93,0,147,5
21,002,Caseros,04599,084181,0,0,3,30,7,109,0,108,6
21,002,Caseros,04599,084182,0,0,3,29,7,106,0,123,7
21,002,Caseros,04599,084183,0,0,6,24,7,105,0,145,6
21,002,Caseros,04599,084184,0,0,9,32,4,86,0,143,6
21,002,Caseros,04599,101252,0,0,0,0,0,0,0,0,0
21,002,Caseros,04600,084185,0,0,5,26,9,88,0,152,5
21,002,Caseros,04600,084186,0,0,12,22,6,47,0,187,4
21,002,Caseros,04600,084187,0,0,1,36,4,71,0,164,5
21,002,Caseros,04600,084188,0,0,9,23,2,108,0,126,2
21,002,Caseros,04600,084189,0,0,7,25,5,81,0,156,3
21,002,Caseros,04600,084190,0,0,6,28,5,91,0,139,5
21,002,Caseros,04600,084191,0,0,10,31,7,72,0,146,5
21,002,Caseros,04600,084192,0,0,17,23,7,76,0,150,7
21,002,Caseros,04600,084193,0,0,8,20,6,52,0,161,8
