codprov,coddepto,depto,circuito,mesa,electores,blancos,nulos,00002,00085,00009,00008,00005,00001
15,001,Confluencia,00016,000100,325,27,9,4,49,86,13,61,14
15,001,Confluencia,00016,000101,325,23,13,5,32,73,16,86,15
15,001,Confluencia,00016,000102,323,19,13,1,60,84,20,66,10
15,001,Confluencia,00016,000103,330,15,10,1,40,61,15,101,17
15,001,Confluencia,00016,000093,324,13,10,3,40,88,22,74,10
15,001,Confluencia,00016,000094,327,24,5,5,51,81,8,86,12
15,001,Confluencia,00016,000095,326,17,11,2,40,58,13,107,11
15,001,Confluencia,00016,000096,323,36,10,0,48,71,18,67,8
15,001,Confluencia,00016,000097,323,25,8,1,47,77,14,71,12
15,001,Confluencia,00016,000098,330,23,7,5,40,55,13,100,16
15,001,Confluencia,00016,000099,328,19,9,3,39,82,18,77,14
15,001,Confluencia,00018,000104,350,20,7,1,47,122,10,56,18
15,001,Confluencia,00018,000105,350,21,5,2,44,91,18,85,16
15,001,Confluencia,00018,000106,351,20,4,6,35,109,17,74,13
15,001,Confluencia,00018,000107,353,23,3,2,48,104,16,73,17
15,001,Confluencia,00018,000108,349,28,5,1,48,94,23,63,13
15,001,Confluencia,00018,000109,350,22,9,3,45,84,18,87,19
15,001,Confluencia,00018,000110,354,14,13,3,46,81,17,92,17
15,001,Confluencia,00018,000111,349,17,3,6,45,118,8,66,11
15,001,Confluencia,00018,000112,348,16,6,4,59,87,16,81,13
15,001,Confluencia,00018,000113,348,19,5,5,60,109,11,58,14
15,001,Confluencia,00018,000114,349,31,8,5,36,102,12,71,14
15,001,Confluencia,00018,000115,349,24,5,4,50,115,13,73,12
15,001,Confluencia,00018,000116,348,24,11,2,57,92,20,66,8
15,001,Confluencia,00018,000117,354,17,9,3,59,95,15,67,14
15,001,Confluencia,00018,000118,346,25,9,4,58,98,13,68,5
15,001,Confluencia,00018,000119,349,22,11,6,40,96,24,70,17
15,001,Confluencia,00018,000120,347,23,7,5,45,90,19,73,20
15,001,Confluencia,00018,000121,349,28,7,3,58,73,20,74,13
15,001,Confluencia,00018,000122,348,19,19,3,58,88,14,65,8
15,001,Confluencia,00018,000123,356,24,8,3,40,95,12,81,19
15,001,Confluencia,00018,000124,348,20,5,7,47,83,18,79,18
15,001,Confluencia,00018,000125,352,21,8,9,60,88,18,64,12
15,001,Confluencia,00018,000126,348,17,5,3,48,106,13,73,15
15,001,Confluencia,00018,000127,346,23,10,5,62,90,18,68,15
15,001,Confluencia,00018,000128,349,25,3,1,31,102,20,81,19
15,001,Confluencia,00018,000129,349,16,5,3,68,95,19,63,13
15,001,Confluencia,00018,000130,350,27,6,3,37,101,17,63,9
15,001,Confluencia,00018,000131,350,27,6,2,65,69,14,65,16
15,001,Confluencia,00018,000132,350,23,5,3,39,88,16,80,15
15,001,Confluencia,00021,000133,342,13,5,5,30,108,15,55,20
15,001,Confluencia,00021,000134,343,14,5,1,40,124,18,53,14
15,001,Confluencia,00021,000135,345,19,7,3,33,117,15,57,18
15,001,Confluencia,00021,000136,344,12,4,4,30,108,12,67,18
15,001,Confluencia,00021,000137,340,23,2,4,29,118,11,38,25
15,001,Confluencia,00021,000138,358,16,5,4,45,116,11,63,10
15,001,Confluencia,00021,000139,341,17,4,4,36,127,18,40,16
15,001,Confluencia,00021,000140,340,14,6,1,39,114,11,50,21
15,001,Confluencia,00021,000141,343,15,3,4,45,101,19,64,9
15,001,Confluencia,00021,000142,340,13,10,0,42,127,12,43,10
15,001,Confluencia,00021,000143,350,13,5,3,32,137,10,60,11
15,001,Confluencia,00021,000144,342,21,3,1,41,111,12,55,16
15,001,Confluencia,00021,000145,344,18,1,1,32,148,10,40,15
15,001,Confluencia,00021,000146,342,12,5,3,32,120,14,50,17
15,001,Confluencia,00021,000147,344,15,5,2,42,123,17,52,10
15,001,Confluencia,00021,000148,346,12,5,8,29,135,16,55,9
15,001,Confluencia,00021,000149,359,21,2,2,26,138,7,60,10
15,001,Confluencia,00021,000150,343,11,4,5,40,113,16,58,20
15,001,Confluencia,00021,000151,345,16,6,6,41,125,8,56,12
15,001,Confluencia,00021,000152,341,18,10,7,34,114,12,45,18
15,001,Confluencia,00021,000153,342,17,3,1,40,131,16,49,11
15,001,Confluencia,00021,000154,344,14,0,2,41,118,14,60,16
15,001,Confluencia,00021,000155,342,12,6,3,30,126,16,51,18
15,001,Confluencia,00021,000156,346,22,7,3,32,120,15,59,17
15,001,Confluencia,00021,000157,344,5,5,2,27,129,17,50,22
15,001,Confluencia,00021,000158,352,17,2,3,42,127,15,54,13
15,001,Confluencia,00021,000159,345,21,2,1,35,124,8,45,16
15,001,Confluencia,00021,000160,345,15,9,6,40,126,10,54,8
15,001,Confluencia,00021,000161,340,37,4,4,39,104,19,54,10
15,001,Confluencia,00021,000162,343,14,4,5,40,117,17,58,10
15,001,Confluencia,00021,000163,343,17,0,3,44,115,14,55,18
15,001,Confluencia,00021,000164,349,20,6,2,43,118,12,43,22
15,001,Confluencia,00021,000165,341,12,5,4,33,121,12,58,11
15,001,Confluencia,00021,000166,344,13,3,2,41,124,13,38,13
15,001,Confluencia,00021,000167,343,24,2,2,41,123,12,43,21
15,001,Confluencia,00021,000168,344,13,3,3,42,103,9,60,15
15,001,Confluencia,00021,000169,341,16,3,3,43,135,7,52,12
15,001,Confluencia,00021,000170,342,12,4,4,38,112,11,58,15
15,001,Confluencia,00021,000171,345,9,5,6,34,137,8,46,19
15,001,Confluencia,00025,000172,340,18,9,4,35,122,10,65,11
15,001,Confluencia,00025,000173,337,19,10,2,37,114,19,44,20
