lista,votos,electores,cargos
Frente Justicialista Popular,74344,165567,8
Union Civica Radical,55312,165567,6
Alianza De Centro,6455,165567,0
Alianza Izquierda Unida,2769,165567,0
Confederacion Federalista Independiente,2739,165567,0
Alianza Unidad Socialista,1963,165567,0
Frente Humanista - Verde,529,165567,0
Votos En Blanco,1754,165567,0
Votos Nulos,670,165567,0
