lista,votos,electores
Alianza Frente Para La Victoria,364705,819998
Alianza 	Unión Para El Desarrollo Social,78308,819998
Alianza Frente Amplio Progresista,46543,819998
Alianza Frente Popular,29256,819998
Coalición Cívica-Afirmación Para Una República Igualitaria,24519,819998
Alianza Frente De Izquierda Y De Los Trabajadores,17117,819998
Alianza Compromiso Federal,14226,819998
Alianza Proyecto Sur,3484,819998
Movimiento 	Acción Vecinal,2008,819998
Del Campo Popular,1643,819998
Votos En Blanco,11992,819998
Votos Nulos,6924,819998
